date,Open,High,Low,Close,Volume
2017-05-30,14.17,14.17,14.17,14.17,0.0
2017-05-26,14.2505,14.4628,14.1695,14.17,57128467.0
2017-05-25,14.1212,14.1899,13.9002,14.25,4703501.0
2017-05-24,14.2902,14.32,14.1465,14.35,3839215.0
2017-05-23,14.5903,14.6913,14.4742,14.52,2856651.0
2017-05-22,14.6308,14.773,14.5598,14.52,2007363.0
2017-05-19,14.6656,14.9776,14.6344,14.38,2068442.0
2017-05-18,14.3849,14.7066,14.3745,14.12,1883890.0
2017-05-17,13.6044,13.7009,13.2764,13.85,3156178.0
2017-05-16,13.9766,13.9957,13.6605,14.28,3481748.0
2017-05-15,14.5306,14.6293,14.4318,14.62,3159763.0
2017-05-12,14.51,14.8008,14.51,14.49,3239370.0
2017-05-11,14.5103,14.6817,14.48,14.45,2615461.0
2017-05-10,14.602,14.8068,14.5713,14.43,2893241.0
2017-05-09,14.0105,14.0599,13.9017,14.09,4725862.0
2017-05-08,13.7406,13.7998,13.553,13.83,3338633.0
2017-05-05,13.7201,13.8692,13.6306,13.76,2609326.0
2017-05-04,13.76,14.1161,13.74,13.74,4871379.0
2017-05-03,14.0487,14.4482,14.0276,13.7,2530888.0
2017-05-02,13.7307,13.8525,13.6648,13.63,1641264.0
2017-05-01,13.3235,13.3235,13.1008,13.54,1411647.0
2017-04-28,13.65,13.7299,13.5302,13.66,2052689.0
2017-04-27,13.9932,14.2098,13.9417,13.78,2263585.0
2017-04-26,13.6811,13.9305,13.6709,13.56,2268697.0
2017-04-25,13.3705,13.4792,13.2371,13.45,2050993.0
2017-04-24,13.3505,13.4394,13.2714,13.43,2691076.0
2017-04-21,13.0508,13.1246,12.903,13.15,2331892.0
2017-04-20,13.1405,13.2492,12.9132,13.22,4091612.0
2017-04-19,13.0915,13.16,12.9054,13.23,2122197.0
2017-04-18,13.18,13.2601,12.9797,13.17,2575966.0
2017-04-17,13.5048,13.7645,13.4633,13.25,1288857.0
2017-04-13,12.8225,12.8808,12.6376,13.0,1319616.0
2017-04-12,13.3615,13.5658,13.3309,13.22,1431106.0
2017-04-11,13.2411,13.4856,13.1749,13.12,2678551.0
2017-04-10,12.9,13.0302,12.8499,12.89,981255.0
2017-04-07,12.7305,12.7898,12.6416,12.81,1117881.0
2017-04-06,13.0709,13.1828,12.9692,12.96,965797.0
2017-04-05,12.5764,12.586,12.299,12.86,1462978.0
2017-04-04,13.1301,13.2207,13.0698,13.09,1437520.0
2017-04-03,13.32,13.38,13.24,13.32,2455595.0
2017-03-31,13.3211,13.5146,13.2905,13.2,1766276.0
2017-03-30,13.11,13.2,13.03,13.11,3573638.0
