date,Open,High,Low,Close,Volume
2017-07-12,18.49,18.49,18.49,18.49,0.0
2017-07-11,18.48,18.49,18.47,18.49,7789960.0
2017-07-10,18.49,18.5,18.48,18.49,3712390.0
2017-07-07,18.49,18.5,18.49,18.49,1101562.0
2017-07-06,18.5,18.5,18.485,18.5,374755.0
2017-07-05,18.51,18.52,18.5,18.5,2186400.0
2017-07-03,18.49,18.53,18.49,18.48,2137282.0
2017-06-30,18.5,18.51,18.49,18.49,982171.0
2017-06-29,18.49,18.51,18.49,18.48,890947.0
2017-06-28,18.45,18.46,18.44,18.46,1371496.0
2017-06-27,18.46,18.48,18.46,18.46,8187800.0
2017-06-26,18.46,18.48,18.46,18.46,1541100.0
2017-06-23,18.42,18.42,18.3901,18.45,3679589.0
2017-06-22,18.48,18.49,18.48,18.48,4223204.0
2017-06-21,18.49,18.49,18.48,18.49,792600.0
2017-06-20,18.49,18.49,18.48,18.49,997600.0
2017-06-19,18.5,18.5,18.48,18.5,1402067.0
2017-06-16,18.54,18.5701,18.52,18.51,3380643.0
2017-06-15,18.47,18.48,18.47,18.47,1113735.0
2017-06-14,18.46,18.46,18.45,18.47,800609.0
2017-06-13,18.49,18.5,18.48,18.48,1879679.0
2017-06-12,18.45,18.47,18.44,18.46,3338165.0
2017-06-09,18.47,18.48,18.455,18.47,1446898.0
2017-06-08,18.43,18.45,18.4101,18.45,3219359.0
2017-06-07,18.49,18.5201,18.49,18.47,1866241.0
2017-06-06,18.44,18.44,18.43,18.45,1784446.0
2017-06-05,18.46,18.47,18.45,18.46,3536954.0
2017-06-02,18.44,18.46,18.42,18.45,3135372.0
2017-06-01,18.47,18.5001,18.46,18.45,4100120.0
2017-05-31,18.4,18.41,18.3701,18.42,5487548.0
2017-05-30,18.42,18.44,18.4,18.43,27536.0
2017-05-26,18.48,18.5202,18.48,18.45,64597.0
2017-05-25,18.4,18.4,18.3801,18.42,6265735.0
2017-05-24,18.43,18.44,18.42,18.43,2439568.0
2017-05-23,18.41,18.42,18.4,18.42,2588907.0
2017-05-22,18.44,18.465,18.44,18.43,2970249.0
2017-05-19,18.44,18.45,18.44,18.43,2898433.0
2017-05-18,18.41,18.415,18.39,18.42,3424113.0
2017-05-17,18.44,18.4751,18.44,18.42,7301180.0
2017-05-16,18.39,18.4,18.38,18.4,74797.0
2017-05-15,18.42,18.45,18.41,18.41,43287.0
2017-05-12,18.41,18.43,18.4,18.41,6267772.0
2017-05-11,18.41,18.42,18.39,18.42,5765667.0
2017-05-10,18.4801,18.5303,18.4801,18.44,7113571.0
2017-05-09,18.42,18.4701,18.4,18.41,12466438.0
2017-05-08,18.37,18.38,18.3201,18.38,125435641.0
2017-05-05,17.1826,17.3979,17.1314,16.97,1427779.0
2017-05-04,16.8707,17.0582,16.8454,16.76,2086167.0
2017-05-03,16.3937,16.5005,16.0637,16.64,3108121.0
2017-05-02,17.1229,17.667,16.9484,16.9,6433376.0
2017-05-01,16.1435,16.1667,15.5405,16.76,4864407.0
2017-04-28,16.7456,16.8104,15.9861,17.4,3678578.0
2017-04-27,18.0748,18.4055,17.9921,17.78,3234924.0
2017-04-26,17.4202,17.5989,17.0527,17.48,6264743.0
2017-04-25,17.6819,17.9575,17.5389,17.5,4594100.0
2017-04-24,16.6553,16.8814,16.1372,17.16,5991419.0
2017-04-21,17.1681,17.1968,16.7082,17.54,4850928.0
2017-04-20,17.6043,17.9242,17.2844,17.88,5363076.0
2017-04-19,17.9506,18.1978,17.644,18.05,7740670.0
2017-04-18,17.8262,17.8841,17.1132,18.16,11412377.0
2017-04-17,19.4803,19.6417,19.3392,19.4,1693681.0
2017-04-13,19.1517,19.1898,18.8285,19.38,2088847.0
2017-04-12,19.4505,19.599,19.2723,19.55,3099300.0
2017-04-11,19.8817,20.1872,19.8307,19.7,2831479.0
2017-04-10,19.1073,19.1939,18.6647,19.48,2931540.0
2017-04-07,19.74,19.8902,19.5698,19.73,4290810.0
2017-04-06,19.8811,20.3076,19.8608,19.73,4309745.0
2017-04-05,19.46,19.7597,19.3501,19.47,3990730.0
2017-04-04,19.0777,19.1257,18.4241,19.46,168184.0
2017-04-03,22.4553,22.5329,22.0673,22.8,2449960.0
2017-03-31,23.4419,23.8951,23.3961,23.23,3526208.0
2017-03-30,23.6693,24.2418,23.6693,23.2,2616278.0
2017-03-29,23.01,23.25,22.96,23.01,3372119.0
2017-03-28,22.8027,23.0767,22.328,23.05,5844497.0
2017-03-27,24.1985,25.309,24.1985,23.53,3615421.0
2017-03-24,23.5351,24.117,23.5248,23.19,2198862.0
2017-03-23,22.9901,23.1908,22.8295,22.95,2176458.0
2017-03-22,23.4498,24.0126,23.4498,22.97,2367729.0
2017-03-21,22.2434,22.3292,21.5385,22.79,6767886.0
2017-03-20,23.6602,23.8292,23.1234,23.73,2851774.0
2017-03-17,23.8201,23.8301,23.5911,23.87,1904964.0
2017-03-16,23.7805,23.9489,23.6121,23.89,1381269.0
2017-03-15,24.2615,24.5958,24.0786,24.07,2334899.0
2017-03-14,23.8301,24.0006,23.7899,23.79,1822790.0
2017-03-13,23.7201,23.8496,23.5606,23.76,1322470.0
2017-03-10,23.9703,24.081,23.8193,23.89,1424330.0
2017-03-09,23.5009,23.5503,23.1702,23.65,2492559.0
2017-03-08,23.8001,23.8804,23.4988,23.75,4403797.0
2017-03-07,23.6414,23.8445,23.3367,23.46,2890411.0
2017-03-06,23.0622,23.0721,22.6896,23.29,2579451.0
2017-03-03,23.2605,23.4983,22.9534,23.37,2609835.0
2017-03-02,22.9289,22.9866,22.4336,23.38,3326819.0
2017-03-01,23.6211,23.9171,23.2757,23.78,3617706.0
2017-02-28,23.6224,23.7008,23.3283,23.86,2858633.0
2017-02-27,24.6106,25.1841,24.6106,24.1,4632360.0
2017-02-24,23.28,23.8505,23.1799,23.27,3626529.0
2017-02-23,22.7618,22.9434,22.1882,23.28,4579803.0
2017-02-22,24.0214,24.2265,23.7777,23.84,4475000.0
2017-02-21,24.015,24.6532,23.9532,23.67,8290455.0
2017-02-17,23.8376,25.4859,23.8376,23.19,13904948.0
2017-02-16,23.5409,24.7059,23.2251,22.56,177486.0
2017-02-15,19.8009,20.0846,19.6691,19.67,3079314.0
2017-02-14,20.3898,21.698,20.2601,19.61,8876434.0
2017-02-13,18.5723,18.6506,18.2789,18.78,4123967.0
2017-02-10,19.2819,19.588,19.0575,19.09,3571562.0
2017-02-09,18.8202,19.0013,18.7397,18.76,2267048.0
2017-02-08,19.0246,19.3341,18.8698,18.73,2640966.0
2017-02-07,18.5916,18.8361,18.4184,18.42,3581689.0
2017-02-06,18.3702,18.5011,18.1286,18.31,2766552.0
2017-02-03,18.5724,18.9715,18.5213,18.36,2953217.0
2017-02-02,17.9042,17.9915,17.5939,18.18,3107582.0
2017-02-01,18.3714,18.391,17.7619,18.53,3036908.0
2017-01-31,19.3571,20.2976,19.3461,18.51,3174348.0
2017-01-30,17.6337,17.6532,17.2451,17.89,3442233.0
2017-01-27,17.7704,17.8848,17.2556,18.2,3544097.0
2017-01-26,18.4428,18.5599,18.1793,18.67,2832981.0
2017-01-25,18.8629,19.2729,18.8219,18.63,2382957.0
2017-01-24,18.7918,19.0365,18.5674,18.61,3409448.0
2017-01-23,18.3005,18.5478,17.8653,18.4,4443464.0
2017-01-20,17.6705,17.8486,17.4923,17.76,2190684.0
2017-01-19,17.7603,17.8992,17.5023,17.83,3726656.0
2017-01-18,18.585,18.9261,18.1509,18.28,2682828.0
2017-01-17,18.0101,18.5726,17.99,17.97,2090101.0
2017-01-13,18.0402,18.3084,17.6925,18.1,2793887.0
2017-01-12,18.4754,18.936,18.2684,18.16,3074328.0
2017-01-11,17.7424,17.7424,17.4005,17.95,2357040.0
2017-01-10,18.6294,19.1109,18.6294,18.21,3472028.0
2017-01-09,18.0123,18.2475,17.8793,17.81,2367878.0
2017-01-06,16.8791,16.9269,16.1324,17.58,4247062.0
2017-01-05,18.9232,19.6428,18.7299,18.26,6255128.0
2017-01-04,18.373,18.9167,18.2396,18.14,6938315.0
2017-01-03,17.0196,17.0878,15.8227,17.84,7908324.0
2016-12-30,18.4721,19.0399,18.1784,18.67,10698169.0
2016-12-29,19.381,20.4906,18.8536,18.49,14328041.0
2016-12-28,21.8779,27.4599,21.4652,17.86,22710121.0
2016-12-27,14.8582,15.2828,14.7533,14.51,2270273.0
2016-12-23,14.1201,14.364,14.0354,14.15,1691040.0
2016-12-22,13.5093,13.5464,13.0172,14.02,2546383.0
2016-12-21,14.6,14.6899,14.46,14.6,1676249.0
2016-12-20,14.8822,15.159,14.79,14.7,3428199.0
2016-12-19,14.3217,14.4196,14.087,14.48,2036562.0
2016-12-16,14.2473,14.2951,13.7788,14.57,4145074.0
2016-12-15,14.5105,14.5389,13.9794,14.9,2771063.0
2016-12-14,15.1023,15.1901,14.4877,15.29,3704703.0
2016-12-13,15.3418,15.4043,14.9015,15.51,2176164.0
2016-12-12,14.5875,14.6314,13.6407,15.58,2804085.0
2016-12-09,16.4349,16.5219,16.0002,16.72,2752135.0
2016-12-08,18.2664,19.927,18.1626,17.01,5686008.0
2016-12-07,15.9847,16.2642,15.933,15.71,2124910.0
