date,Open,High,Low,Close,Volume
2021-02-12,132.2201,132.6807,131.4791,132.13,1721880.0
2021-02-11,131.1369,131.2108,129.8556,132.09,1275505.0
2021-02-10,132.6003,133.5774,131.9871,132.8,1542369.0
2021-02-09,132.3401,132.6496,131.0318,132.43,1836506.0
2021-02-08,132.19,132.67,131.17,132.19,1450993.0
2021-02-05,132.6517,133.3367,132.1582,132.17,1550629.0
2021-02-04,131.0317,131.3444,129.8005,131.5,1674090.0
2021-02-03,132.9826,133.6284,131.4288,132.39,1734482.0
2021-02-02,131.4659,131.7126,129.1078,132.35,1799186.0
2021-02-01,134.1867,135.9363,134.1461,133.24,1563159.0
2021-01-29,129.5694,131.1857,126.9815,132.1,4039450.0
2021-01-28,132.0531,132.7308,128.6931,135.16,2421601.0
2021-01-27,139.8808,143.2804,139.5755,138.65,2906343.0
2021-01-26,138.2694,139.6521,135.2498,137.13,3134949.0
2021-01-25,139.4834,147.1884,139.118,136.51,4608871.0
2021-01-22,132.6012,133.6976,131.4544,132.21,2497645.0
2021-01-21,131.2203,132.043,130.9695,131.01,1745261.0
2021-01-20,131.7409,132.4692,130.806,131.39,2013507.0
2021-01-19,131.1023,131.613,129.7139,131.65,1865800.0
2021-01-15,130.9012,131.095,129.251,131.29,3343299.0
2021-01-14,131.1911,131.5093,130.2515,131.57,1848258.0
2021-01-13,132.9422,134.7363,132.6975,131.67,1694638.0
2021-01-12,129.3867,129.9338,127.4744,130.32,2186422.0
2021-01-11,130.8131,131.8034,129.9515,131.45,2269636.0
2021-01-08,132.0205,132.7032,130.8559,131.76,1650013.0
2021-01-07,130.8444,131.0826,128.7289,131.6,1957033.0
2021-01-06,131.9855,132.8691,130.7713,132.84,1822030.0
2021-01-05,133.3902,133.4401,131.1253,133.54,2246228.0
2021-01-04,132.4567,132.999,130.6229,133.4,1837150.0
2020-12-31,136.1121,137.4879,135.6942,134.83,1480705.0
2020-12-30,132.3842,132.4435,131.425,133.13,1196403.0
2020-12-29,134.08,135.509,133.6603,134.13,1044357.0
2020-12-28,133.6308,134.1383,132.7848,133.95,1056623.0
2020-12-24,134.2108,134.9899,133.6883,133.89,529755.0
2020-12-23,133.9616,135.3411,133.5991,133.5,1309848.0
2020-12-22,131.2552,131.5489,129.2781,132.67,1600881.0
2020-12-21,133.9805,134.2893,131.7292,134.24,1804883.0
2020-12-18,133.8709,134.0674,132.2012,135.08,4072823.0
2020-12-17,136.24,137.9281,135.2412,136.32,2452236.0
2020-12-16,135.8602,136.9677,135.1118,136.01,2077229.0
2020-12-15,135.302,135.6692,134.3294,135.82,1420500.0
2020-12-14,135.2541,136.3915,134.453,136.0,1960027.0
