date,Open,High,Low,Close,Volume
2021-02-12,253.3317,255.0204,252.1936,252.68,1478286.0
2021-02-11,252.0743,253.1355,249.7335,253.11,1204050.0
2021-02-10,251.2585,252.1679,248.4611,252.72,1583644.0
2021-02-09,253.37,253.5468,250.4815,255.62,1387553.0
2021-02-08,255.5722,256.4205,252.13,257.34,1770384.0
2021-02-05,259.7111,264.4206,256.8192,257.37,2806426.0
2021-02-04,248.4223,250.8873,245.8083,249.18,2712425.0
2021-02-03,247.7626,248.7143,245.1037,250.13,2365670.0
2021-02-02,253.759,256.6837,253.253,252.25,1525968.0
2021-02-01,252.6291,255.6312,250.2784,250.43,1629209.0
2021-01-29,243.2294,244.9289,239.8009,245.4,1647317.0
2021-01-28,252.1367,256.4521,251.2179,249.54,2110384.0
2021-01-27,235.4983,235.6909,226.3295,242.91,2681632.0
2021-01-26,257.1667,260.3189,256.8737,255.85,1544606.0
2021-01-25,257.7844,262.9807,255.1499,253.12,1990807.0
2021-01-22,251.7703,255.1481,251.7703,251.48,1581985.0
2021-01-21,249.3301,249.9216,245.3253,253.2,1559828.0
2021-01-20,257.37,260.6392,257.23,257.4,1773340.0
2021-01-19,255.0717,255.5953,250.4274,259.04,1643118.0
2021-01-15,254.3257,254.3257,249.4608,258.09,1955553.0
2021-01-14,260.2456,260.343,256.7001,263.69,1903454.0
2021-01-13,268.8144,270.7096,268.3708,267.73,1518767.0
2021-01-12,268.2398,270.8512,266.8835,266.62,1785166.0
2021-01-11,270.861,275.8325,270.8097,267.53,1913155.0
2021-01-08,268.7798,269.1256,264.7288,270.4,1879264.0
2021-01-07,272.3902,277.1484,272.3295,270.72,1757991.0
2021-01-06,281.9902,296.203,281.9795,271.5,2586650.0
2021-01-05,268.2895,274.2061,268.2895,262.87,1620032.0
2021-01-04,251.144,251.6901,242.3444,258.81,1741264.0
2020-12-31,264.5642,265.9452,262.6994,263.51,909292.0
2020-12-30,262.5423,263.9807,261.9991,261.77,924920.0
2020-12-29,255.7623,255.9081,251.3883,259.42,881119.0
2020-12-28,258.0254,259.3991,255.7113,260.02,1227870.0
2020-12-24,258.453,260.6643,258.4226,256.62,276353.0
2020-12-23,254.0246,255.6111,252.7553,255.1,1036725.0
2020-12-22,253.9208,255.617,252.6161,253.46,1162386.0
2020-12-21,258.4096,263.6036,255.8255,254.17,1716228.0
2020-12-18,258.2111,259.8179,254.5759,257.67,3525820.0
2020-12-17,257.3923,258.7402,256.6177,256.63,1538687.0
2020-12-16,248.4711,248.7671,246.1916,250.13,1354962.0
2020-12-15,253.7777,257.2656,253.5133,251.66,1424011.0
2020-12-14,244.3045,244.8594,241.0236,247.6,1814296.0
2020-12-11,250.4746,252.1187,249.5702,249.4,1328935.0
2020-12-10,251.04,252.5911,249.579,250.95,1245985.0
2020-12-09,251.3001,252.1512,248.7769,251.14,1450359.0
2020-12-08,250.4862,252.5669,249.0469,249.24,1397716.0
2020-12-07,246.1826,247.3774,242.093,249.78,1771321.0
2020-12-04,256.5679,262.6569,256.526,250.62,3030913.0
2020-12-03,239.9527,240.0666,233.4459,246.2,2464016.0
2020-12-02,245.5892,246.0487,240.0557,251.0,2060158.0
2020-12-01,256.0414,256.4881,252.7622,257.9105,1802182.0
2020-11-30,250.6406,250.8229,244.8573,255.44,3384435.0
2020-11-27,255.6516,256.5426,254.6319,256.4461,1081980.0
2020-11-25,249.847,249.9642,247.0547,252.3717,1172039.0
2020-11-24,257.8993,262.2848,257.1056,255.181,1982093.0
2020-11-23,249.3861,250.6234,246.5873,251.1763,1231293.0
2020-11-20,249.7886,250.9025,247.8171,251.1066,1344544.0
2020-11-19,255.1986,258.557,253.9838,252.1028,1205392.0
2020-11-18,246.5947,247.8613,243.7788,249.3434,1180131.0
2020-11-17,249.5433,250.4184,246.8098,251.1763,1947522.0
2020-11-16,251.6077,252.2893,246.1837,254.4836,1720870.0
2020-11-13,255.5506,256.5725,253.7847,256.0775,1196749.0
2020-11-12,252.1281,254.7469,249.2837,254.0951,1669732.0
2020-11-11,255.6928,255.9362,250.1281,258.6277,1841288.0
2020-11-10,260.5711,262.5365,257.7918,261.0385,1935206.0
2020-11-09,246.156,247.1914,235.6555,256.6653,3184286.0
2020-11-06,246.206,246.3323,242.3216,249.3633,1725132.0
2020-11-05,248.7656,252.3059,247.3323,248.8054,2918057.0
2020-11-04,236.0763,241.018,234.5352,234.3907,2347185.0
2020-11-03,234.6488,237.4023,233.852,233.1953,1595854.0
2020-11-02,231.2061,236.4337,230.1072,227.7064,2182574.0
2020-10-30,220.7099,222.4927,218.8466,219.4979,2481336.0
2020-10-29,223.2135,229.3193,221.6094,218.9998,2239904.0
2020-10-28,215.1387,217.7458,213.4402,216.081,2297250.0
2020-10-27,223.656,225.75,222.4213,224.6083,1566736.0
2020-10-26,224.0234,224.3627,219.3131,227.1186,1252311.0
2020-10-23,231.2719,231.7904,228.6891,233.3746,1323736.0
2020-10-22,235.8793,240.4085,234.6366,232.3087,1466680.0
2020-10-21,228.474,231.5501,226.7444,230.0275,1360263.0
2020-10-20,234.0949,236.7645,233.5691,232.3486,1415052.0
2020-10-19,225.0364,225.527,220.7263,228.9914,1130005.0
2020-10-16,234.1785,237.5529,233.6313,232.1892,1836107.0
2020-10-15,229.2417,230.8728,228.1609,228.7225,2389188.0
2020-10-14,232.3498,232.4677,230.0016,233.9624,1076960.0
2020-10-13,232.2534,232.4868,228.3833,235.0781,1668298.0
2020-10-12,237.8764,238.949,236.1052,239.3417,1453381.0
2020-10-09,239.8025,241.9783,239.4566,239.023,1849793.0
2020-10-08,235.7308,237.221,233.9742,236.8413,1537838.0
2020-10-07,242.4091,247.9518,242.1199,238.0367,1791316.0
2020-10-06,227.2277,228.8443,223.0417,231.193,1988417.0
2020-10-05,234.8508,237.0748,234.6605,234.1915,2728284.0
2020-10-02,234.1678,239.9997,234.035,231.2627,2458628.0
2020-10-01,227.9029,229.5157,223.4737,231.8106,2480134.0
2020-09-30,239.3203,243.3556,239.1986,237.2199,2121030.0
2020-09-29,234.2089,235.716,232.7411,235.5264,1178588.0
2020-09-28,235.2904,236.2695,233.797,236.144,1182349.0
2020-09-25,235.5236,240.1903,234.8452,231.8604,2227321.0
2020-09-24,234.6946,236.776,232.9752,233.6037,1391154.0
2020-09-23,227.4017,227.6309,222.3787,232.2589,1753517.0
2020-09-22,237.7086,238.5432,236.0396,237.3195,2209154.0
2020-09-21,236.6849,237.9906,232.3131,237.5287,2180414.0
2020-09-18,241.9931,243.2452,238.0427,245.1594,2460215.0
2020-09-17,252.9076,256.574,251.8323,249.433,1506477.0
2020-09-16,246.443,248.0036,244.6117,247.8889,1635035.0
