date,Open,High,Low,Close,Volume
2015-06-22,71.4,71.4,71.4,71.4,0.0
2015-06-19,71.4,71.4,71.4,71.4,0.0
2015-06-18,71.4,71.4,71.4,71.4,0.0
2015-06-17,71.4,71.4,71.4,71.4,0.0
2015-06-16,71.4,71.4,71.4,71.4,0.0
2015-06-15,71.4,71.4,71.4,71.4,0.0
2015-06-12,71.4,71.4,71.4,71.4,0.0
2015-06-11,71.131,71.27,70.8333,71.4,35317287.0
2015-06-10,72.0918,72.4757,72.0817,71.73,3629641.0
2015-06-09,71.7318,72.2773,71.6207,71.37,4199494.0
2015-06-08,71.03,71.1599,70.7105,71.08,4079493.0
2015-06-05,70.5339,70.5438,69.8738,71.06,4730517.0
2015-06-04,71.59,71.8504,71.58,71.54,2148676.0
2015-06-03,71.2619,71.3411,70.8957,71.63,2770674.0
2015-06-02,71.8101,72.0097,71.5705,71.88,4566386.0
2015-06-01,71.7418,71.8705,71.1972,72.1,4763285.0
2015-05-29,72.6906,73.0528,72.6604,72.48,9918001.0
2015-05-28,72.6804,72.9716,72.6301,72.52,13987947.0
2015-05-27,72.1831,72.4012,72.0641,72.1632,27124763.0
2015-05-26,71.5787,71.8918,71.4396,71.4696,2873874.0
2015-05-22,71.3804,71.6382,71.3011,71.3606,3317829.0
2015-05-21,71.5793,72.1977,71.31,71.3506,4522969.0
2015-05-20,70.8265,71.0625,70.5512,71.1029,4274636.0
2015-05-19,71.4499,71.6784,71.2213,71.3506,3191346.0
2015-05-18,71.1426,71.4494,71.004,71.1822,2726942.0
2015-05-15,71.7778,72.0873,71.7678,71.5092,2699235.0
2015-05-14,71.2912,71.3606,71.0631,71.2714,1961525.0
2015-05-13,71.3518,71.6815,71.2219,71.0633,2472736.0
2015-05-12,71.3442,71.907,71.2538,70.8452,1245537.0
2015-05-11,70.2922,70.4099,69.8459,70.657,1550475.0
2015-05-08,71.1528,71.76,71.1528,70.9939,3598305.0
2015-05-07,71.107,71.7208,70.8756,70.5678,2683172.0
2015-05-06,70.7803,71.3945,70.6091,70.2209,4166148.0
2015-05-05,69.8749,70.2291,69.7252,69.6362,2764328.0
2015-05-04,69.0355,69.0648,68.4106,69.5471,4738096.0
2015-05-01,69.8153,70.0447,69.5062,69.5966,3315567.0
2015-04-30,69.2795,69.5772,68.9917,69.2299,3555004.0
2015-04-29,68.377,68.377,67.5829,69.1705,7193457.0
2015-04-28,70.2212,70.5394,70.1615,70.0921,7776885.0
2015-04-27,69.9541,70.4365,69.6489,70.1813,9299966.0
2015-04-24,70.0625,70.4083,69.944,70.1714,7354382.0
2015-04-23,70.5883,71.3165,70.5684,70.3597,4587819.0
2015-04-22,69.8357,70.1305,69.5409,70.1317,5000828.0
2015-04-21,70.5385,70.8074,70.529,70.3597,6225289.0
2015-04-20,69.618,69.6524,68.823,69.9534,3526279.0
2015-04-17,69.9732,70.1364,69.4392,70.0425,6621188.0
2015-04-16,69.4706,69.5,68.9618,69.9137,2286885.0
2015-04-15,69.8846,70.1801,69.5743,70.0921,3762835.0
2015-04-14,71.2456,72.3872,71.1335,70.2507,4101553.0
2015-04-13,68.3721,68.3721,67.3899,69.3588,2150040.0
2015-04-10,70.9712,72.7296,70.9712,69.8741,7222546.0
2015-04-09,69.867,71.1196,69.867,68.9227,2269568.0
2015-04-08,68.0707,68.2484,67.8141,68.1993,1666589.0
2015-04-07,67.7088,68.0254,67.1145,68.2885,2337739.0
2015-04-06,69.8025,71.1485,69.7721,69.0714,2909902.0
2015-04-02,68.3393,68.6144,67.5924,68.6254,12064068.0
2015-04-01,68.9936,71.934,68.9619,66.7822,4902972.0
2015-03-31,64.7111,66.0865,64.3255,64.7606,12098268.0
2015-03-30,64.0843,64.1124,61.5386,65.821,6469116.0
2015-03-27,69.0018,70.5517,68.8571,67.575,4269826.0
2015-03-26,65.704,65.8216,65.2628,66.0588,4716247.0
2015-03-25,65.487,65.487,64.5618,66.4056,4050193.0
2015-03-24,66.7163,66.7163,66.0374,67.1984,3986721.0
2015-03-23,68.5466,69.8875,68.4146,67.7038,4143344.0
2015-03-20,66.8916,67.0609,66.6526,66.7327,3156864.0
2015-03-19,66.3264,66.5343,66.0393,66.3561,2639277.0
2015-03-18,66.5642,66.9015,65.7906,66.5345,4055399.0
2015-03-17,66.3573,66.3573,65.7777,66.6435,2795645.0
2015-03-16,67.8311,68.6012,67.8311,67.0795,2184427.0
2015-03-13,66.4952,66.7242,66.0073,66.3363,2409559.0
2015-03-12,67.285,68.1047,67.285,66.584,1688847.0
2015-03-11,65.6925,65.9786,65.4261,65.8408,3440503.0
2015-03-10,65.6931,65.9586,65.2802,65.9498,3478374.0
