date,Open,High,Low,Close,Volume
2021-02-12,77.4511,77.8541,77.0279,77.16,472974.0
2021-02-11,77.8545,78.4943,77.4179,77.26,437948.0
2021-02-10,74.7431,74.8653,72.1573,77.08,590926.0
2021-02-09,77.7533,77.7533,76.5061,78.77,634527.0
2021-02-08,79.8904,80.5233,78.695,79.71,529902.0
2021-02-05,79.0031,80.1585,78.0946,79.5,338754.0
2021-02-04,79.6523,80.6633,79.1165,79.22,420941.0
2021-02-03,79.6979,82.0836,79.6979,78.3077,531040.0
2021-02-02,78.9692,80.7963,78.5666,77.6098,488224.0
2021-02-01,75.8177,76.5339,74.7343,75.3764,725139.0
2021-01-29,72.9268,72.965,70.0877,74.4791,881713.0
2021-01-28,79.3335,82.6097,78.8373,76.6825,909935.0
2021-01-27,70.977,71.3101,68.1385,73.163,1392287.0
2021-01-26,75.0632,75.2256,73.3158,76.7025,1148090.0
2021-01-25,78.2808,79.27,76.8575,77.7992,887643.0
2021-01-22,79.0005,80.5481,78.5905,77.9189,844264.0
2021-01-21,76.5837,76.6926,75.4002,76.8421,540414.0
2021-01-20,77.5622,78.5903,77.0582,77.1412,656326.0
2021-01-19,74.7954,74.9465,72.7088,76.862,888979.0
2021-01-15,79.0432,80.4261,78.2296,78.2678,937072.0
2021-01-14,78.8882,81.2189,78.5815,77.9089,953396.0
2021-01-13,78.3847,81.2871,77.8189,76.4632,855744.0
2021-01-12,74.3136,74.9129,73.0657,74.8579,1260299.0
2021-01-11,75.6956,76.3421,74.6511,75.7852,923734.0
2021-01-08,78.1592,80.0795,76.4051,76.6028,963717.0
2021-01-07,74.0864,76.6417,71.3005,75.4761,1418343.0
2021-01-06,76.7439,78.464,76.2006,76.4034,1244356.0
2021-01-05,74.7309,74.9822,73.637,75.167,1018860.0
2021-01-04,72.8376,73.2744,69.2227,75.4462,1162850.0
2020-12-31,79.6707,81.3444,79.0033,78.5071,382570.0
2020-12-30,77.724,78.5845,77.5519,77.1312,421117.0
2020-12-29,75.8136,75.8985,74.7884,76.6127,527843.0
2020-12-28,76.3142,76.4603,75.1941,77.211,368160.0
2020-12-24,76.6406,76.6406,74.9894,77.4203,294932.0
2020-12-23,79.3774,81.1675,79.1524,78.3675,615088.0
2020-12-22,76.4784,76.9589,75.5761,77.1113,640334.0
2020-12-21,77.7022,78.3278,76.3048,77.2409,719879.0
2020-12-18,78.2086,79.3191,77.4154,78.4274,1326007.0
2020-12-17,80.5061,82.6924,80.2538,78.4074,785932.0
2020-12-16,75.2616,75.556,74.1037,75.865,514367.0
2020-12-15,76.5331,76.8662,75.4296,76.6426,580733.0
2020-12-14,75.0488,75.9648,73.6891,76.3136,1008038.0
2020-12-11,78.4214,80.1565,78.0909,77.0514,668063.0
2020-12-10,75.9751,76.868,75.0326,76.1641,963851.0
2020-12-09,76.7743,77.4766,75.7382,77.1711,602791.0
2020-12-08,79.0142,81.2661,78.9099,77.2708,566025.0
2020-12-07,74.5249,75.6641,72.4173,76.3734,853082.0
2020-12-04,77.1234,78.1153,76.7246,76.1541,1332753.0
2020-12-03,78.185,81.6337,77.7994,75.4362,838972.0
2020-12-02,73.2829,74.6614,73.2625,72.4152,815878.0
2020-12-01,72.0004,72.4818,70.3205,72.5348,1043983.0
2020-11-30,71.553,71.553,70.3327,72.1659,3592799.0
2020-11-27,73.1434,73.7545,72.4372,72.9735,661230.0
2020-11-25,74.3629,76.6001,73.4845,73.0433,1041140.0
2020-11-24,72.2186,74.0864,71.6936,71.7671,1552328.0
2020-11-23,69.8927,70.2719,69.2041,69.8628,1339934.0
2020-11-20,67.8642,68.031,66.0535,69.4141,1215039.0
2020-11-19,70.5118,70.6382,68.5372,71.3882,1020733.0
2020-11-18,71.6729,72.5023,70.3378,73.0234,1073931.0
2020-11-17,75.3518,76.7164,74.9721,74.2797,740489.0
2020-11-16,73.9806,74.3392,71.9283,74.0105,1099049.0
2020-11-13,71.6475,72.1948,70.7221,71.7173,585587.0
2020-11-12,69.5527,69.5527,67.3548,71.1988,735849.0
2020-11-11,70.9648,71.1921,68.376,73.5618,1025139.0
2020-11-10,76.2339,76.6925,75.0175,76.2339,1073884.0
2020-11-09,78.7707,89.0738,78.6085,75.6456,2421918.0
2020-11-06,64.8362,65.3384,63.0283,66.1936,768731.0
2020-11-05,67.4104,68.2045,66.646,67.5596,766854.0
2020-11-04,66.3012,67.4862,65.7038,66.7845,1237242.0
2020-11-03,67.2848,68.9883,67.1235,66.8044,671031.0
2020-11-02,66.4174,67.9306,66.0056,65.2543,1062832.0
2020-10-30,62.4187,62.7547,60.9871,63.0483,725839.0
2020-10-29,64.5607,66.2457,64.1675,63.6843,1129268.0
2020-10-28,61.7965,62.4197,60.6075,62.9092,1089612.0
2020-10-27,64.4008,64.8052,62.9639,65.8107,749235.0
2020-10-26,64.2611,64.3967,60.7975,67.3609,1201291.0
2020-10-23,70.4902,70.7595,68.8073,71.6535,688439.0
2020-10-22,73.5797,74.8004,72.8616,72.4186,1632150.0
2020-10-21,70.2191,70.5408,69.4683,70.8884,1885605.0
2020-10-20,70.9905,71.7452,70.1466,71.4349,857157.0
2020-10-19,70.2264,70.5743,69.0666,71.2064,788840.0
2020-10-16,71.668,72.0592,70.5531,72.2398,963964.0
2020-10-15,75.0407,77.6502,74.6825,72.7764,617971.0
2020-10-14,71.8927,73.0324,71.7277,71.6734,502068.0
2020-10-13,71.5144,71.7331,71.0472,71.5045,757060.0
2020-10-12,71.3449,71.4614,70.5095,72.1603,630657.0
2020-10-09,71.4294,71.8509,69.6092,72.7465,1324505.0
2020-10-08,75.5882,77.7217,75.3072,73.8595,1069733.0
2020-10-07,71.9622,74.211,71.1826,71.7529,2515437.0
2020-10-06,69.8752,71.5772,69.2563,69.7159,1791918.0
2020-10-05,70.3231,71.9487,70.179,69.1097,989657.0
2020-10-02,69.8975,72.6891,69.6311,67.5,699680.0
2020-10-01,66.0795,66.5639,65.2688,66.2479,819192.0
2020-09-30,66.0898,67.2108,65.7295,65.8505,856339.0
2020-09-29,63.7441,64.3389,62.4299,64.8767,744273.0
2020-09-28,67.3868,69.5087,67.3868,66.3473,668286.0
2020-09-25,66.8273,69.6238,66.5284,64.4792,872074.0
2020-09-24,61.469,62.4856,60.1474,62.2733,735777.0
2020-09-23,62.1496,62.7467,60.7579,63.1278,957522.0
2020-09-22,61.9973,63.2799,60.5902,63.1676,1383342.0
2020-09-21,62.5957,62.647,60.3098,64.5985,1092417.0
2020-09-18,66.4394,66.9815,64.889,67.9074,1429668.0
2020-09-17,72.4574,75.5217,71.1994,69.6562,1421823.0
2020-09-16,68.9206,70.8225,68.2699,67.7583,1318555.0
2020-09-15,68.4529,70.2046,68.2652,66.8243,1544505.0
2020-09-14,67.3186,69.7871,67.0325,65.1947,750492.0
2020-09-11,64.279,65.9586,63.9887,62.9291,991214.0
2020-09-10,62.0176,63.226,61.8263,61.6075,1070265.0
2020-09-09,60.636,61.4409,59.527,61.0113,857854.0
2020-09-08,59.6491,59.8505,58.3734,60.7132,789993.0
2020-09-04,61.0667,61.5191,59.4592,62.0447,580387.0
