date,Open,High,Low,Close,Volume
2021-02-12,87.4317,90.8629,87.259,84.17,4125688.0
2021-02-11,81.9194,84.8929,81.102,81.04,3470333.0
2021-02-10,81.4821,84.6128,80.3094,79.63,2906435.0
2021-02-09,78.7389,80.8098,77.7042,77.52,1826745.0
2021-02-08,77.8058,79.6316,77.1003,76.39,1435753.0
2021-02-05,73.5289,73.7931,72.0615,74.34,2043226.0
2021-02-04,77.9501,81.7397,77.6047,75.02,2816186.0
2021-02-03,72.0247,73.092,71.7706,71.44,1121648.0
2021-02-02,71.8918,75.0638,71.6101,70.38,3182623.0
2021-02-01,67.7304,68.5345,66.5847,67.56,2350815.0
2021-01-29,64.3486,64.6018,61.7792,66.45,2924608.0
2021-01-28,68.3696,68.9166,66.4553,69.18,2215538.0
2021-01-27,69.4525,71.9388,68.1785,68.52,2795968.0
2021-01-26,67.5496,67.8686,65.2873,68.7,2500980.0
2021-01-25,66.8158,67.0954,63.7308,69.21,3563589.0
2021-01-22,71.0803,71.8926,69.649,72.28,2667828.0
2021-01-21,75.4396,76.4522,74.7223,74.59,1725628.0
2021-01-20,71.0324,71.5133,68.3779,73.73,3201304.0
2021-01-19,82.6636,90.9802,82.0921,76.54,6217691.0
2021-01-15,70.2739,70.3125,68.2878,71.57,1738786.0
2021-01-14,72.8433,74.1655,72.2808,73.33,2119274.0
2021-01-13,73.1803,74.1366,72.7718,73.32,2163193.0
2021-01-12,74.353,75.5751,73.6547,73.37,1861499.0
2021-01-11,72.0008,73.5107,71.0571,72.24,2328255.0
2021-01-08,73.7109,74.5667,73.1471,73.46,2259290.0
2021-01-07,73.1101,74.6945,72.3882,73.01,1355576.0
2021-01-06,72.5201,74.2853,71.5229,72.62,2630653.0
2021-01-05,73.7936,76.7979,73.7936,72.0,1642205.0
2021-01-04,68.0694,68.459,64.8964,70.67,2355012.0
2020-12-31,72.6007,73.0692,71.4097,73.48,1117820.0
2020-12-30,74.8914,75.7386,74.8914,74.57,1232982.0
2020-12-29,74.0232,74.3588,73.2139,74.51,1921807.0
2020-12-28,77.6972,81.798,77.643,74.68,2298732.0
2020-12-24,71.3512,71.4603,70.7758,71.64,381838.0
2020-12-23,71.2421,72.2709,70.8069,71.63,1845681.0
2020-12-22,71.632,71.8695,70.5089,72.01,1847618.0
