date,Open,High,Low,Close,Volume
2021-02-12,133.3312,137.6258,133.1405,129.48,1741073.0
2021-02-11,125.7465,126.9097,123.2525,126.65,1929388.0
2021-02-10,126.4308,128.2814,125.5254,126.75,1671353.0
2021-02-09,124.8488,124.8488,121.7684,127.05,1392108.0
2021-02-08,128.0386,128.6978,124.6446,129.09,2187988.0
2021-02-05,132.0188,134.649,132.0084,129.48,2807278.0
2021-02-04,126.9067,128.7897,126.1904,125.45,1869230.0
2021-02-03,124.7149,127.5466,124.5616,123.35,2256753.0
2021-02-02,124.7879,128.0154,124.2865,122.1,2549462.0
2021-02-01,117.5503,119.3642,116.6783,117.75,2227410.0
2021-01-29,112.9688,113.1764,108.9595,116.31,4896777.0
2021-01-28,121.4141,124.9146,121.4141,120.71,3559856.0
2021-01-27,116.2625,117.9278,113.5786,117.47,3939606.0
2021-01-26,120.5,121.5611,119.419,120.44,1966367.0
2021-01-25,116.9127,117.1037,111.6685,119.62,4417475.0
2021-01-22,120.5748,121.533,118.1734,122.9,2155253.0
2021-01-21,127.233,128.9293,125.7285,126.62,1771945.0
2021-01-20,127.4339,129.0618,126.4227,126.73,1990152.0
2021-01-19,126.3946,127.2909,124.5412,126.86,1587263.0
2021-01-15,125.3859,125.5326,122.9512,126.8,1698367.0
2021-01-14,129.5126,131.8133,128.4127,128.93,1886605.0
2021-01-13,126.2107,126.7183,123.8021,126.51,2715009.0
2021-01-12,126.892,127.5964,125.1158,127.39,2916474.0
2021-01-11,129.5765,131.0929,128.8868,128.66,1692490.0
2021-01-08,128.1974,129.1647,126.0327,129.69,1485477.0
2021-01-07,131.4492,133.4119,131.3272,130.35,1910032.0
2021-01-06,134.1058,140.433,134.1058,129.39,2280080.0
2021-01-05,128.2844,131.7799,127.9189,126.09,1428925.0
2021-01-04,118.3754,118.9155,111.0394,124.77,3992316.0
2020-12-31,133.5704,135.8565,132.0736,131.92,1537281.0
2020-12-30,131.7423,133.9242,131.0184,130.47,1284661.0
2020-12-29,128.5119,130.338,127.4301,129.0,1685107.0
2020-12-28,126.4225,126.737,124.3589,128.32,1316438.0
2020-12-24,128.8801,129.2409,127.7579,128.75,592067.0
2020-12-23,130.1789,132.2485,129.8511,128.61,1624632.0
2020-12-22,125.9806,126.7173,123.8899,126.26,1498541.0
2020-12-21,128.8686,131.2864,126.807,127.32,2187192.0
2020-12-18,127.3177,127.8745,125.2957,128.82,3376444.0
2020-12-17,129.8018,131.4097,127.7076,130.29,1818381.0
2020-12-16,130.2802,130.5994,128.4199,130.44,1752454.0
2020-12-15,131.3779,132.5358,128.8285,130.36,1812403.0
2020-12-14,122.1161,122.2463,117.5957,126.62,1888963.0
2020-12-11,126.3954,127.5078,123.474,128.51,2171863.0
2020-12-10,133.7081,136.3337,132.6991,131.77,1791266.0
2020-12-09,127.0994,127.4885,122.7245,130.47,2787239.0
2020-12-08,133.6084,136.3212,133.1512,132.55,1552763.0
2020-12-07,131.0673,131.4609,128.4242,132.96,1766416.0
2020-12-04,137.6113,139.879,136.7177,135.61,1923206.0
2020-12-03,134.7229,139.6055,133.8313,132.32,2693953.0
2020-12-02,129.3329,131.8871,128.8988,128.72,1955063.0
2020-12-01,127.5474,127.7149,125.745,128.52,1890652.0
2020-11-30,125.8286,126.2122,122.8383,126.87,2094480.0
2020-11-27,128.701,131.456,127.8966,128.35,1365789.0
2020-11-25,128.5733,128.9495,126.4843,129.22,2086576.0
2020-11-24,135.699,141.136,134.7039,130.91,4270187.0
2020-11-23,125.2679,127.826,124.8743,123.09,2185388.0
2020-11-20,117.923,119.1514,116.5131,119.28,5292167.0
2020-11-19,121.8748,123.252,121.0444,121.11,2034789.0
2020-11-18,118.4502,120.3491,116.4737,120.34,2370148.0
2020-11-17,121.9358,121.9654,118.7107,122.78,2924367.0
2020-11-16,121.8499,121.8499,117.9241,123.76,4596254.0
2020-11-13,123.8071,127.8733,123.1045,120.0,2806144.0
2020-11-12,116.0848,117.8169,113.3194,115.34,3115329.0
2020-11-11,115.2513,115.8984,112.8293,116.39,3846817.0
2020-11-10,119.774,122.4311,118.4659,118.48,4883897.0
2020-11-09,113.7334,121.9133,104.9989,118.3,14217328.0
2020-11-06,105.815,108.5641,105.2963,103.89,4167957.0
2020-11-05,103.1381,107.4839,102.5113,100.91,3572771.0
