date,Open,High,Low,Close,Volume
2021-02-12,19.3192,19.9643,19.2552,18.71,2409261.0
2021-02-11,17.6414,17.941,17.0328,18.09,4479265.0
2021-02-10,17.9295,17.9295,16.5412,18.47,6723316.0
2021-02-09,19.0621,19.4401,18.8578,18.86,4021166.0
2021-02-08,18.0877,18.1261,17.5116,18.46,3173821.0
2021-02-05,18.2342,18.2342,17.8751,18.51,1888152.0
2021-02-04,18.56,18.76,18.47,18.56,1724376.0
2021-02-03,18.6705,18.8424,18.3066,18.57,1490317.0
2021-02-02,18.5004,18.7428,18.1975,18.41,2405241.0
2021-02-01,18.2152,18.2202,17.7337,18.28,1511269.0
2021-01-29,18.2408,18.5144,17.9976,18.12,3236528.0
2021-01-28,18.1606,18.383,17.8977,18.06,2030356.0
2021-01-27,18.9261,19.8226,18.4996,18.1,3983787.0
2021-01-26,17.2412,17.2507,16.6278,17.68,1935973.0
2021-01-25,17.6767,17.8964,16.9742,18.02,1545484.0
2021-01-22,18.644,18.9633,18.3453,18.37,1388858.0
2021-01-21,18.1108,18.318,17.943,18.23,1341269.0
2021-01-20,17.8528,18.0377,17.331,18.33,2664089.0
2021-01-19,18.9104,19.1275,18.8196,18.82,1433426.0
2021-01-15,18.9622,19.2942,18.7272,18.76,1554192.0
2021-01-14,18.5538,18.7385,18.2525,18.82,1333664.0
2021-01-13,18.7909,19.1559,18.6331,18.92,3441490.0
2021-01-12,19.8766,20.7169,19.855,19.15,2116524.0
2021-01-11,18.6427,18.909,18.6017,18.42,1311421.0
2021-01-08,18.2501,18.2501,18.0211,18.29,1789186.0
2021-01-07,18.4112,18.6451,18.3789,18.26,1592145.0
2021-01-06,18.5825,19.1622,18.5825,18.1,2981684.0
2021-01-05,18.0783,18.5274,17.9687,17.69,1584784.0
2021-01-04,16.907,16.955,16.1865,17.25,3151390.0
2020-12-31,17.44,17.6298,17.3077,17.45,2154589.0
2020-12-30,17.7431,18.01,17.7431,17.51,1435456.0
2020-12-29,16.9945,17.1688,16.4812,17.27,2349851.0
2020-12-28,17.61,17.7449,17.4202,17.62,2315971.0
2020-12-24,17.3911,17.5141,17.1844,17.53,735048.0
2020-12-23,17.63,17.7353,17.4797,17.61,2413351.0
2020-12-22,17.3714,17.5875,17.2045,17.53,1837001.0
2020-12-21,17.8101,18.0414,17.4582,17.76,2147009.0
2020-12-18,18.2814,18.714,18.2814,18.12,7985828.0
2020-12-17,18.0102,18.4733,17.829,17.95,2816881.0
2020-12-16,18.4395,19.1232,18.2686,17.84,5095759.0
2020-12-15,18.1186,19.2086,17.9852,17.18,7141210.0
2020-12-14,16.4914,16.7257,16.4099,16.34,2410495.0
2020-12-11,16.2246,16.5868,16.2246,15.95,1696659.0
2020-12-10,15.5049,15.64,15.2056,15.78,1849794.0
2020-12-09,16.3314,17.0649,16.3008,16.18,3948428.0
2020-12-08,16.9166,17.8515,16.8066,16.13,4627617.0
2020-12-07,15.44,15.6903,15.3699,15.43,1809652.0
2020-12-04,15.3706,15.4496,15.2028,15.47,1652636.0
2020-12-03,15.4904,15.6389,15.3122,15.57,2156273.0
2020-12-02,15.6403,15.8018,15.3124,15.57,2533813.0
2020-12-01,15.7301,15.9308,15.5795,15.7,2434694.0
2020-11-30,15.1191,15.2144,14.6542,15.49,3180633.0
2020-11-27,16.1323,16.4191,16.122,15.94,1143143.0
2020-11-25,16.0055,16.4725,15.9795,15.71,2860762.0
2020-11-24,15.49,15.6047,15.2905,15.51,7545655.0
2020-11-23,15.7448,16.4181,15.7241,15.47,4996267.0
2020-11-20,15.1813,15.3545,14.9674,15.04,2302453.0
2020-11-19,15.3594,15.8009,15.3173,14.98,3449735.0
2020-11-18,14.3817,14.5383,14.1078,14.54,4739076.0
2020-11-17,14.7959,15.1343,14.5304,14.5,5509949.0
2020-11-16,14.7821,15.5556,14.6867,14.36,7153493.0
2020-11-13,13.8809,14.0638,13.7894,13.77,1647053.0
2020-11-12,13.3432,13.4499,13.0717,13.55,2509189.0
2020-11-11,13.7316,13.7512,13.438,13.88,2915953.0
2020-11-10,14.3501,14.8565,14.1338,13.97,3907468.0
2020-11-09,12.5484,12.6085,11.6294,13.54,4531784.0
2020-11-06,13.7847,13.9488,13.3018,14.235,4725090.0
2020-11-05,14.988,15.7527,14.9879,14.34,2992851.0
2020-11-04,13.354,13.6197,13.1221,13.585,2710200.0
2020-11-03,13.9202,14.1386,13.7762,13.97,3436707.0
2020-11-02,13.9601,14.0705,13.7893,13.93,3015328.0
2020-10-30,13.6021,13.6801,13.2118,13.77,2910255.0
2020-10-29,13.9205,13.9897,13.6041,14.0,3414551.0
2020-10-28,14.171,14.4406,14.049,14.05,3899364.0
2020-10-27,14.756,15.3601,14.6598,14.27,5406565.0
2020-10-26,13.5045,13.6202,12.9257,13.75,6749682.0
2020-10-23,14.4667,15.4799,14.4145,14.155,27723137.0
2020-10-22,13.3541,13.9631,13.29,12.92,7917239.0
2020-10-21,12.3018,12.3652,12.1553,12.45,2768122.0
2020-10-20,12.4804,12.6287,12.3667,12.55,2835336.0
2020-10-19,12.1703,12.2836,11.8021,12.525,3862255.0
2020-10-16,12.8032,13.0459,12.7258,12.6,3998263.0
2020-10-15,12.4807,12.6887,12.3792,12.39,3282863.0
2020-10-14,12.3211,12.4683,12.2032,12.435,5856625.0
2020-10-13,12.55,12.69,12.48,12.55,6196652.0
2020-10-12,12.59,12.6399,12.3608,12.61,4704670.0
2020-10-09,12.2257,12.2928,11.967,12.49,4938265.0
2020-10-08,12.6704,12.8322,12.4682,12.6,4538020.0
2020-10-07,12.3201,12.549,12.2305,12.35,3254671.0
2020-10-06,12.1804,12.477,12.1112,12.25,5027450.0
2020-10-05,12.1803,12.3407,11.9674,12.24,13279836.0
2020-10-02,12.4514,12.8767,12.4407,12.075,11679118.0
2020-10-01,12.1131,12.3661,12.0718,11.92,2190299.0
2020-09-30,11.8212,12.2806,11.8212,11.7,3670541.0
2020-09-29,11.4502,11.8121,11.361,11.5,3203017.0
2020-09-28,11.38,11.4897,11.1907,11.4,3483995.0
2020-09-25,11.31,11.4645,11.2552,11.33,3066334.0
2020-09-24,11.4106,11.6134,11.3091,11.33,4184356.0
2020-09-23,11.2303,11.448,11.1709,11.29,2711514.0
2020-09-22,10.8854,11.0897,10.3653,11.295,4271991.0
2020-09-21,11.8555,12.148,11.6466,11.6,5238032.0
2020-09-18,11.4827,11.7543,11.2548,11.66,6441983.0
2020-09-17,12.3929,13.2228,12.1418,11.86,9372596.0
2020-09-16,11.801,12.365,11.7851,11.44,3857568.0
2020-09-15,11.1103,11.2974,10.8273,11.05,2405568.0
2020-09-14,10.9202,11.0391,10.7716,10.97,1894854.0
2020-09-11,10.8426,10.8523,10.6292,11.01,2413467.0
2020-09-10,11.1504,11.4239,11.0998,11.08,1863096.0
2020-09-09,11.0202,11.2221,10.7478,10.97,3103882.0
2020-09-08,11.0434,11.3231,10.9501,10.85,1998109.0
2020-09-04,10.5368,10.5463,10.0233,10.805,1661166.0
2020-09-03,10.5193,10.5561,10.0595,10.97,1437901.0
2020-09-02,11.5936,11.8319,11.4537,11.39,1444011.0
2020-09-01,11.6298,12.1302,11.5645,11.15,2295441.0
2020-08-31,10.4014,10.4387,10.064,10.745,2346106.0
2020-08-28,11.19,11.245,10.95,11.19,2608425.0
2020-08-27,11.0502,11.1097,10.9115,11.1,1450452.0
2020-08-26,10.9323,10.9711,10.7039,11.09,1756385.0
2020-08-25,11.2102,11.2499,10.8336,11.26,2176938.0
2020-08-24,11.21,11.3599,11.0302,11.215,2660165.0
2020-08-21,11.1001,11.2292,11.0009,11.14,1177062.0
2020-08-20,11.3208,11.4734,11.2801,11.225,1434919.0
2020-08-19,11.2102,11.3391,11.1508,11.26,933860.0
