date,Open,High,Low,Close,Volume
2021-02-12,182.7112,184.4502,181.6055,182.24,906232.0
2021-02-11,179.5573,179.9476,176.0053,181.77,657068.0
2021-02-10,181.7977,182.1001,178.3922,184.04,752499.0
2021-02-09,185.5015,186.487,183.9327,184.98,769135.0
2021-02-08,185.3835,187.0316,184.2441,183.8,914193.0
2021-02-05,180.0213,180.5629,176.269,183.06,873834.0
2021-02-04,190.8602,196.5524,190.4394,186.07,1373492.0
2021-02-03,181.9812,183.4287,179.1968,181.51,1544913.0
2021-02-02,176.7708,179.6082,172.6298,180.55,1589144.0
2021-02-01,183.0813,188.0724,182.0022,179.73,1418129.0
2021-01-29,169.5715,170.7617,163.2047,174.47,1718331.0
2021-01-28,181.9788,186.5716,181.9175,180.13,906939.0
2021-01-27,173.5728,174.683,168.2782,178.19,1245564.0
2021-01-26,184.9716,187.0943,184.0663,184.42,664414.0
2021-01-25,183.13,185.3495,182.2602,183.15,893212.0
2021-01-22,187.1853,191.0137,186.479,185.01,917069.0
2021-01-21,181.4006,182.0309,178.0718,182.79,760734.0
2021-01-20,185.8351,187.6374,184.0531,184.16,644279.0
2021-01-19,180.9724,181.7987,178.4444,182.47,788782.0
2021-01-15,186.5442,189.7807,183.7386,184.42,901764.0
2021-01-14,182.3612,183.579,180.9383,182.82,684833.0
2021-01-13,183.831,184.8759,183.0976,183.4,616148.0
2021-01-12,182.4933,182.7809,180.421,183.27,695086.0
2021-01-11,184.2035,186.6044,182.8215,183.4,1119280.0
2021-01-08,183.2405,183.7687,181.2273,183.55,1171645.0
2021-01-07,186.1941,190.1892,185.7905,183.02,2120500.0
2021-01-06,183.9997,192.9882,183.8622,178.93,1478998.0
2021-01-05,176.6867,180.1643,175.8059,175.6,1548755.0
2021-01-04,174.5801,175.3014,170.7936,174.43,1071980.0
2020-12-31,174.8449,175.997,173.5917,173.92,663276.0
2020-12-30,172.8022,173.8845,171.8192,173.42,579953.0
2020-12-29,173.2154,174.9398,171.1682,174.18,813989.0
2020-12-28,176.8255,179.8506,176.2184,174.32,1023208.0
2020-12-24,170.84,171.1102,169.2089,170.78,256761.0
2020-12-23,170.03,172.8637,169.9201,170.07,504399.0
2020-12-22,168.5624,169.2899,166.4658,170.01,720783.0
2020-12-21,171.7406,172.3328,169.8335,171.42,956454.0
2020-12-18,174.1017,175.2893,171.9179,173.55,2085514.0
2020-12-17,172.0147,172.2027,169.303,172.91,802734.0
