date,Open,High,Low,Close,Volume
2021-02-12,282.389,292.6474,282.389,278.67,910685.0
2021-02-11,278.3603,278.969,274.6184,278.66,567388.0
2021-02-10,270.0141,270.0141,262.3578,276.87,802826.0
2021-02-09,285.5771,291.2662,284.9735,282.32,677855.0
2021-02-08,278.2701,280.0735,275.9421,278.39,729265.0
2021-02-05,275.7157,276.7166,273.8576,276.97,480039.0
2021-02-04,279.7807,282.8956,278.4224,276.85,662806.0
2021-02-03,271.1083,272.6369,267.816,273.88,494528.0
2021-02-02,283.7777,292.6604,282.9144,278.25,729234.0
2021-02-01,271.3112,274.1479,269.0418,270.75,569555.0
2021-01-29,264.6399,267.1491,260.4069,266.26,753106.0
2021-01-28,276.9404,288.4231,276.4252,270.07,784071.0
2021-01-27,259.8687,262.8798,255.1154,263.04,1008852.0
2021-01-26,270.5937,274.2545,269.133,268.67,553215.0
2021-01-25,266.0808,269.5705,264.5363,266.55,760425.0
2021-01-22,262.3811,263.5232,258.1031,266.7,729687.0
2021-01-21,266.7506,269.2642,262.7617,270.77,838941.0
2021-01-20,278.3996,283.6778,278.0576,275.53,885130.0
2021-01-19,271.0717,273.9089,267.5455,269.29,1357164.0
2021-01-15,262.2634,263.0663,257.8328,266.65,888637.0
2021-01-14,269.4963,271.3201,265.7409,272.16,1270223.0
2021-01-13,273.9803,275.2677,269.7736,274.25,956028.0
2021-01-12,270.7993,272.3468,266.1714,274.06,579673.0
2021-01-11,274.069,274.1673,270.1052,276.35,621695.0
2021-01-08,277.4377,278.7074,271.5068,280.21,650203.0
2021-01-07,279.6211,284.1045,277.3399,281.38,749897.0
2021-01-06,280.2741,282.8642,275.3619,281.35,1035834.0
2021-01-05,277.7483,281.1156,269.9263,284.38,832867.0
2021-01-04,290.5077,291.3985,285.9298,292.0,1356770.0
2020-12-31,294.4811,298.99,292.9266,290.24,709425.0
2020-12-30,288.3275,291.5094,287.2312,285.51,612686.0
2020-12-29,281.1005,282.9554,279.4762,280.73,569929.0
2020-12-28,274.8162,274.8162,270.5692,277.97,433028.0
2020-12-24,282.486,286.6363,282.486,278.88,210328.0
2020-12-23,270.0771,272.9703,264.4153,275.7,419957.0
2020-12-22,284.8962,288.9076,284.0446,281.27,880113.0
2020-12-21,276.5198,277.0408,269.1648,278.86,898226.0
2020-12-18,287.0266,292.1154,286.0416,283.37,1567441.0
2020-12-17,277.3956,279.1321,273.8049,280.06,736394.0
2020-12-16,283.1438,286.5254,281.3714,280.55,808333.0
2020-12-15,279.06,283.3816,277.7949,277.39,692737.0
2020-12-14,272.4769,276.267,270.2028,274.62,596752.0
2020-12-11,276.4721,279.563,275.4993,274.64,386595.0
2020-12-10,273.4211,275.5864,271.011,273.98,529310.0
2020-12-09,271.8054,271.859,264.0766,275.32,1000813.0
2020-12-08,275.9007,276.8897,272.6888,278.81,779398.0
2020-12-07,280.1315,280.3909,275.5393,283.1,614709.0
2020-12-04,290.8112,298.864,290.5211,285.66,1052815.0
2020-12-03,282.7593,286.9135,282.7593,279.88,1140002.0
2020-12-02,276.8743,278.6701,274.8107,277.97,741541.0
2020-12-01,274.7617,276.3597,268.7815,279.2,1136268.0
2020-11-30,284.4354,287.5664,281.4618,282.34,1527230.0
2020-11-27,275.2639,277.1865,272.4145,277.22,391752.0
2020-11-25,280.1867,283.9841,278.4317,276.57,1038030.0
2020-11-24,271.4501,272.599,268.4629,271.58,1337178.0
2020-11-23,266.52,268.2921,261.9397,270.84,619956.0
2020-11-20,272.1423,274.0511,269.9651,272.94,737457.0
2020-11-19,274.1789,275.7127,271.6927,273.5587,527635.0
