date,Open,High,Low,Close,Volume
2020-01-22,0.7,0.7,0.7,0.7,0.0
2020-01-21,0.7032,0.7032,0.7032,0.7032,435368.0
2020-01-17,0.713,0.7711,0.7094,0.7032,8718170.0
2020-01-16,0.7117,0.7775,0.6723,0.7262,9470106.0
2020-01-15,0.8581,1.0393,0.8472,0.78,21489065.0
2020-01-14,0.7989,0.9168,0.7989,0.6981,8589545.0
2020-01-13,0.5403,0.548,0.4485,0.6172,10742695.0
2020-01-10,0.7,0.7288,0.6805,0.71,5931686.0
2020-01-09,0.7558,0.7964,0.7558,0.7529,5233629.0
2020-01-08,0.7519,0.761,0.6722,0.79,9797413.0
2020-01-07,0.7455,0.7543,0.6261,0.8286,14392347.0
2020-01-06,1.264,1.7432,1.2082,0.9271,26356978.0
2020-01-03,0.6632,0.668,0.6196,0.674,9607246.0
2020-01-02,0.6668,0.7429,0.5944,0.67,18410203.0
2019-12-31,0.7043,0.8126,0.6068,0.6766,28670790.0
2019-12-30,0.3451,0.3705,0.1122,0.75,52219187.0
2019-12-27,1.7078,1.9705,1.6946,1.49,20930118.0
2019-12-26,1.4106,1.6436,1.3848,1.24,18114687.0
2019-12-24,0.977,1.011,0.9006,1.06,6407526.0
2019-12-23,1.2146,1.3281,1.1578,1.14,11437715.0
2019-12-20,1.2834,1.4973,1.2701,1.11,25566220.0
2019-12-19,0.8469,0.8705,0.6987,0.9564,21902873.0
2019-12-18,1.5148,2.2427,1.5069,1.08,32455767.0
2019-12-17,0.789,0.8194,0.7794,0.7845,4312962.0
2019-12-16,0.72,0.72,0.6455,0.7709,11841418.0
2019-12-13,0.8779,0.9338,0.868,0.8254,10139515.0
2019-12-12,0.7879,0.8109,0.775,0.7777,6762149.0
2019-12-11,0.765,0.7749,0.7502,0.77,4452950.0
2019-12-10,0.7662,0.7682,0.7371,0.778,8437746.0
2019-12-09,0.8171,0.8512,0.798,0.7921,6613365.0
2019-12-06,0.7777,0.7824,0.6693,0.801,11576758.0
2019-12-05,0.7939,0.8082,0.7549,0.8142,6001643.0
2019-12-04,0.84,0.8872,0.835,0.8375,8062910.0
2019-12-03,0.7867,0.7905,0.722,0.8229,10638143.0
2019-12-02,0.8327,0.8327,0.7517,0.88,12826861.0
2019-11-29,0.7862,0.8007,0.7332,0.8004,5908391.0
2019-11-27,0.7925,0.8208,0.7548,0.8159,10354617.0
2019-11-26,0.7283,0.7378,0.6536,0.7537,13119150.0
2019-11-25,0.8407,0.9088,0.8331,0.8082,13673165.0
2019-11-22,0.7564,0.854,0.6762,0.7971,23559747.0
2019-11-21,1.0926,1.7196,1.0926,0.8164,36514839.0
2019-11-20,0.6645,0.7546,0.6585,0.61,18937548.0
2019-11-19,0.5314,0.5404,0.4773,0.56,16527879.0
2019-11-18,0.5191,0.5272,0.4402,0.6071,15975097.0
2019-11-15,0.688,0.7275,0.5731,0.684,24888029.0
2019-11-14,0.4763,0.4818,0.3451,0.64,22720338.0
2019-11-13,0.885,0.9471,0.8745,0.8673,13247311.0
2019-11-12,0.7976,0.8144,0.7339,0.8431,15014857.0
2019-11-11,0.8472,0.8735,0.7504,0.92,16034558.0
2019-11-08,0.7605,0.7667,0.5771,0.9672,32359253.0
2019-11-07,1.2773,1.2935,1.1736,1.38,11943093.0
2019-11-06,1.4051,1.4229,1.2895,1.49,16883711.0
2019-11-05,1.62,1.75,1.55,1.62,17171061.0
2019-11-04,1.8249,2.0197,1.7693,1.73,19525381.0
2019-11-01,1.711,1.753,1.669,1.67,9686575.0
2019-10-31,1.591,1.6005,1.5243,1.63,8726003.0
2019-10-30,1.5125,1.5629,1.3528,1.65,11886000.0
2019-10-29,1.9419,2.1184,1.9066,1.79,15181973.0
2019-10-28,1.63,1.69,1.61,1.63,8660940.0
2019-10-25,1.5715,1.6091,1.5056,1.62,10450763.0
2019-10-24,1.5746,1.5746,1.4127,1.66,13484323.0
2019-10-23,1.6514,1.6514,1.5571,1.7,18525001.0
2019-10-22,1.5062,1.5134,1.1948,1.77,28878133.0
2019-10-21,1.4654,1.5634,1.0371,2.04,61479338.0
2019-10-18,2.1828,2.2001,1.9153,2.35,25218615.0
2019-10-17,2.531,2.8123,2.4269,2.48,18215635.0
2019-10-16,2.4989,2.8607,2.4819,2.35,19043001.0
2019-10-15,2.2617,2.4308,2.2194,2.2,13500256.0
2019-10-14,2.2124,2.3192,2.1696,2.14,10051553.0
2019-10-11,2.0913,2.354,2.0807,2.04,25884676.0
2019-10-10,2.1605,2.4429,2.1605,1.95,25464050.0
2019-10-09,1.6835,1.6926,1.5462,1.76,8268235.0
2019-10-08,1.8101,1.9617,1.7797,1.8,13363076.0
2019-10-07,1.9636,2.1779,1.9279,1.8,16956466.0
2019-10-04,1.5721,1.5814,1.4233,1.63,18713011.0
2019-10-03,1.6514,1.6892,1.5854,1.7,11275728.0
2019-10-02,1.692,1.7106,1.5331,1.75,14346524.0
2019-10-01,1.6416,1.6416,1.4646,1.83,17395260.0
2019-09-30,2.0002,2.059,1.961,2.02,11809674.0
2019-09-27,1.8519,1.8861,1.6975,2.0,15587183.0
2019-09-26,2.396,2.6689,2.3723,2.2,19964245.0
2019-09-25,2.1312,2.1837,1.9003,2.08,30318932.0
2019-09-24,1.9839,2.2138,1.8051,2.15,44889661.0
2019-09-23,2.7475,3.3216,2.6792,2.35,49432164.0
2019-09-20,1.6096,1.7763,1.1543,2.01,192938531.0
2019-09-19,1.1245,1.1397,0.7699,1.58,101821249.0
2019-09-18,0.8142,0.8384,0.2046,2.16,78918734.0
2019-09-17,5.6772,5.7052,5.3137,5.88,7343077.0
2019-09-16,6.08,6.37,5.95,6.08,10014883.0
2019-09-13,5.4071,5.4115,4.8664,5.79,11127226.0
2019-09-12,6.4577,6.903,6.2684,6.12,6946430.0
2019-09-11,5.7072,5.9403,5.4741,5.91,10259747.0
2019-09-10,6.3482,6.6495,6.2514,6.12,9709978.0
2019-09-09,6.7865,7.8594,6.7395,5.86,11869392.0
2019-09-06,5.1247,5.3692,5.1034,4.97,5855263.0
2019-09-05,4.811,4.879,4.636,4.88,11907505.0
2019-09-04,4.9426,5.2829,4.8169,4.83,7050514.0
2019-09-03,4.65,4.7153,4.4893,4.64,4203729.0
2019-08-30,4.6608,4.7534,4.5145,4.72,5246905.0
2019-08-29,4.8964,5.1062,4.891,4.72,3934609.0
2019-08-28,4.2794,4.4071,4.0787,4.48,5434886.0
2019-08-27,4.5625,4.7248,4.4003,4.67,5772711.0
2019-08-26,4.9917,5.2899,4.9475,4.75,5297394.0
2019-08-23,4.6576,4.9561,4.5381,4.47,7896642.0
