date,Open,High,Low,Close,Volume
2021-02-12,120.5555,121.5185,120.15,119.74,3005377.0
2021-02-11,119.7895,121.1538,119.3314,118.72,3892773.0
2021-02-10,116.3012,116.7032,114.6928,117.44,3368341.0
2021-02-09,117.4019,118.5575,116.5707,117.88,3607656.0
2021-02-08,117.7608,118.1488,116.9849,118.07,4780276.0
2021-02-05,118.8014,119.7075,118.5295,118.4,4147805.0
2021-02-04,121.0024,125.6551,120.3392,117.0,5903486.0
2021-02-03,111.5995,111.8351,110.0483,112.63,4602968.0
2021-02-02,114.9996,117.388,114.3579,113.95,3799133.0
2021-02-01,109.7194,110.2648,107.5671,111.18,5905813.0
2021-01-29,108.7035,108.7035,105.9006,111.33,7315097.0
2021-01-28,117.4407,121.3149,117.4407,114.77,4236897.0
2021-01-27,107.9095,108.1343,104.088,111.5,6894590.0
2021-01-26,116.4707,116.9782,116.0129,116.75,3371784.0
2021-01-25,117.0702,117.331,116.1576,116.9,3287628.0
2021-01-22,115.4707,115.5295,114.3523,116.58,3028395.0
2021-01-21,116.9282,117.3118,115.163,117.91,3806020.0
2021-01-20,120.0245,120.9761,119.4171,119.29,4062522.0
2021-01-19,118.9737,120.3389,118.549,118.31,4508566.0
2021-01-15,116.0845,116.8302,115.1463,116.81,5659503.0
2021-01-14,117.2523,118.2237,116.5188,117.77,4281616.0
2021-01-13,119.7488,121.7902,119.1587,118.72,4070929.0
2021-01-12,116.4658,116.6384,114.9523,117.29,3208967.0
2021-01-11,118.44,119.3541,117.461,118.5,3728432.0
2021-01-08,120.5154,121.4883,119.9884,119.71,3529887.0
2021-01-07,118.5203,119.3677,117.6031,118.7,3908866.0
2021-01-06,121.195,124.3036,121.195,118.86,4493883.0
2021-01-05,117.9078,119.5748,117.2217,116.95,3395482.0
2021-01-04,114.8519,115.4203,112.1472,116.02,4579167.0
2020-12-31,118.5467,120.0727,118.2702,117.14,2544159.0
2020-12-30,115.7802,116.9129,115.5412,115.64,2055241.0
2020-12-29,115.1416,115.7223,114.4964,115.57,2717595.0
2020-12-28,115.3805,116.3146,115.26,115.13,2286171.0
2020-12-24,113.98,114.4296,113.5104,114.03,1025223.0
2020-12-23,113.0077,113.7061,112.0633,113.94,2373501.0
2020-12-22,114.7201,116.1223,114.2493,114.63,3953693.0
2020-12-21,114.2005,114.4544,112.1595,114.45,4308618.0
2020-12-18,117.562,119.8371,117.0725,116.1215,10211586.0
2020-12-17,114.8481,115.3363,114.1505,114.7584,2944609.0
2020-12-16,114.5896,115.8876,113.8358,114.3903,3356657.0
2020-12-15,114.8706,116.2672,113.886,114.3107,7534110.0
2020-12-14,110.2144,110.7695,108.9679,111.4054,5414937.0
2020-12-11,112.6049,113.6746,112.504,111.8134,3843399.0
2020-12-10,111.9231,112.766,110.7629,112.1118,3398360.0
2020-12-09,113.8011,115.7498,113.5562,112.3805,5574906.0
2020-12-08,109.7605,109.9564,107.8112,110.6194,5768094.0
2020-12-07,111.2028,111.4773,109.6935,112.0422,3047835.0
2020-12-04,114.911,116.58,114.3684,113.2759,4077936.0
2020-12-03,111.1126,111.3774,109.9747,111.9029,3441453.0
2020-12-02,114.601,116.3603,113.6497,113.0272,5116824.0
2020-12-01,109.1986,109.7227,106.6635,111.5746,5030450.0
2020-11-30,112.7894,113.19,111.8202,113.1267,5797285.0
2020-11-27,114.8643,115.8741,113.8645,114.0122,2082096.0
2020-11-25,112.2927,113.0528,111.2365,112.7387,3266683.0
2020-11-24,115.4382,118.64,115.2735,113.4849,6648617.0
2020-11-23,109.63,109.9733,108.2861,110.4105,3509614.0
2020-11-20,109.0305,109.3062,107.8786,109.6046,4380825.0
2020-11-19,111.7695,113.4305,110.6661,110.4403,4477923.0
2020-11-18,108.2653,109.0075,107.587,108.918,4393111.0
2020-11-17,109.1881,109.4943,108.0225,109.5847,3588984.0
2020-11-16,108.6243,108.7956,105.7307,111.0572,3690566.0
2020-11-13,113.5272,115.3388,112.7084,111.9328,3627174.0
2020-11-12,109.147,110.672,108.4592,109.0474,3904568.0
2020-11-11,105.4928,105.7505,100.9461,109.6842,6191714.0
2020-11-10,115.7506,117.9156,114.8527,113.9824,5441382.0
2020-11-09,112.7387,115.8081,111.3037,112.6491,11675134.0
2020-11-06,102.2774,102.5126,100.9735,103.0378,3924333.0
2020-11-05,103.1978,103.9102,102.3222,103.4856,3692755.0
2020-11-04,100.3277,101.3299,98.41,101.9434,6023302.0
2020-11-03,101.928,103.2731,101.1917,102.61,3859193.0
2020-11-02,101.5566,101.7443,99.9363,101.9135,5302686.0
2020-10-30,99.3909,99.6363,97.1233,100.0629,5872471.0
2020-10-29,99.6497,100.0868,97.9889,100.8589,4858230.0
2020-10-28,101.5481,102.651,99.9134,102.0727,7090004.0
2020-10-27,102.3544,102.8015,99.786,104.6795,5023438.0
2020-10-26,105.3458,105.5948,101.9084,107.3858,5763760.0
2020-10-23,110.4814,111.1534,109.8391,110.8582,3919053.0
2020-10-22,113.7995,116.7548,113.4978,111.2761,4306796.0
2020-10-21,109.0486,110.5212,108.4576,108.6792,3566870.0
2020-10-20,109.6139,111.9338,109.6139,108.5996,3879362.0
2020-10-19,105.6254,106.321,103.0336,107.933,5333701.0
2020-10-16,111.8601,115.1366,111.7771,109.5747,6405628.0
2020-10-15,108.4914,110.7376,108.2561,106.9779,3952660.0
2020-10-14,106.8488,108.6638,106.4124,107.0177,3594696.0
2020-10-13,104.7744,105.1217,102.7966,106.4008,3822794.0
2020-10-12,107.9459,108.2512,106.4394,108.5101,2898911.0
2020-10-09,108.3114,108.8704,107.7823,108.132,2950867.0
2020-10-08,105.1113,105.1113,102.9422,107.2565,5617093.0
2020-10-07,106.4674,108.488,106.049,105.1272,3386181.0
2020-10-06,102.5512,104.1774,101.938,102.8587,2982489.0
2020-10-05,103.697,104.6214,103.1544,103.1871,2551009.0
2020-10-02,102.4101,104.5496,102.4101,101.4459,4116265.0
2020-10-01,100.6235,102.0529,99.2038,101.7842,5228442.0
2020-09-30,104.5022,106.5857,104.1769,103.396,6474797.0
2020-09-29,99.8104,99.9243,96.9334,102.1722,4044789.0
2020-09-28,101.8786,102.374,100.4992,103.1075,3403233.0
2020-09-25,104.9596,107.8416,104.3572,102.6399,3662061.0
2020-09-24,100.2643,100.6584,98.8358,100.7594,5352432.0
2020-09-23,100.5494,100.9758,99.181,101.8773,5057867.0
