date,Open,High,Low,Close,Volume
2021-02-12,170.5292,180.8295,169.4737,169.28,1303008.0
2021-02-11,159.3309,161.0129,156.6736,159.71,767665.0
2021-02-10,163.3734,167.6634,162.8307,159.91,865274.0
2021-02-09,160.259,166.4053,159.8794,156.08,664480.0
2021-02-08,153.5111,155.1901,151.7467,153.1,526474.0
2021-02-05,154.3108,157.2281,152.0076,152.52,570746.0
2021-02-04,149.3506,151.8101,148.8386,149.06,392754.0
2021-02-03,150.417,153.1396,149.3178,148.4,242047.0
2021-02-02,143.2596,143.3277,140.898,145.32,515799.0
2021-02-01,145.81,146.4796,142.5618,145.85,286992.0
2021-01-29,139.8031,139.8031,134.2489,143.6,444837.0
2021-01-28,150.8225,154.65,150.1088,148.29,441954.0
2021-01-27,142.3187,144.2923,137.8952,144.34,473582.0
2021-01-26,146.6987,147.467,142.638,148.75,204857.0
2021-01-25,149.6951,153.6917,149.4826,148.82,373561.0
2021-01-22,150.544,152.201,147.8261,149.77,367219.0
2021-01-21,151.0601,152.753,149.5375,150.93,353253.0
2021-01-20,152.9498,155.569,151.6811,151.21,347985.0
2021-01-19,146.5187,146.5187,143.1782,148.9,319063.0
2021-01-15,147.0452,147.0452,143.6935,148.97,386996.0
2021-01-14,153.7404,156.9412,153.4538,151.97,436092.0
2021-01-13,147.6672,148.0079,144.4549,149.67,407157.0
2021-01-12,154.4112,158.3603,154.4112,150.87,530000.0
2021-01-11,153.7474,160.9974,153.666,147.58,793221.0
2021-01-08,142.1465,142.5772,138.4199,143.68,431590.0
2021-01-07,144.5604,145.8047,142.4933,144.31,397335.0
2021-01-06,146.3061,151.3222,145.4369,142.97,550479.0
2021-01-05,141.0219,145.236,140.6181,138.59,580018.0
2021-01-04,131.6043,131.7164,125.3592,136.11,590873.0
2020-12-31,140.0458,140.2828,137.8049,140.95,363658.0
2020-12-30,145.2206,148.3254,144.9143,142.51,349347.0
2020-12-29,138.635,139.0599,136.3032,139.47,397701.0
2020-12-28,140.7103,142.4357,139.2859,140.49,332883.0
2020-12-24,140.4821,142.4204,138.9181,138.72,161808.0
2020-12-23,137.793,139.731,137.2782,137.15,424268.0
2020-12-22,134.2353,135.3611,132.5124,135.67,490544.0
2020-12-21,138.2087,140.7987,137.3427,136.6,574456.0
2020-12-18,141.0486,144.8025,140.719,138.43,1563036.0
2020-12-17,137.4554,139.7071,136.7324,135.25,798087.0
2020-12-16,130.3106,130.8803,126.815,132.61,642543.0
2020-12-15,134.6016,135.5581,131.8628,134.14,577236.0
2020-12-14,127.1321,127.6647,122.7692,131.53,832488.0
2020-12-11,137.5886,142.8953,137.5886,134.75,579104.0
2020-12-10,133.2305,135.6596,132.4977,132.98,838727.0
2020-12-09,135.1541,136.5494,134.1733,134.41,823557.0
2020-12-08,133.2719,135.5893,132.0124,132.77,432907.0
2020-12-07,137.8569,141.9847,136.5038,134.6,1044888.0
2020-12-04,133.5739,136.0002,133.0533,132.85,483812.0
2020-12-03,133.7052,137.4343,130.0272,132.28,991091.0
2020-12-02,123.9947,128.2026,122.6415,124.76,684659.0
2020-12-01,125.6788,126.6033,123.2594,126.73,559819.0
2020-11-30,122.1131,122.7065,118.393,125.83,840063.0
2020-11-27,128.8719,128.8719,126.0849,130.55,244896.0
2020-11-25,132.5525,132.5525,128.6565,133.13,474388.0
2020-11-24,136.746,138.8332,135.358,134.86,737317.0
2020-11-23,132.5724,135.6684,131.9635,130.5,547141.0
2020-11-20,127.4306,127.9579,125.5122,127.15,397396.0
2020-11-19,126.185,126.4813,122.6991,126.98,717741.0
2020-11-18,125.9134,128.0199,123.6097,128.25,493710.0
2020-11-17,134.8728,139.2617,132.4298,131.15,656116.0
2020-11-16,133.504,139.7579,132.9053,129.12,711691.0
2020-11-13,127.6493,132.8295,127.6171,123.14,523198.0
2020-11-12,116.3489,117.2849,112.8973,117.83,621261.0
2020-11-11,115.0795,115.2761,110.2397,118.94,793987.0
2020-11-10,121.9065,124.1732,120.7634,122.8,792624.0
2020-11-09,117.5929,123.2943,113.0946,122.23,1117906.0
2020-11-06,119.4605,121.188,118.0275,120.58,541678.0
2020-11-05,126.06,130.5424,126.06,122.17,719981.0
2020-11-04,120.3837,123.8443,119.0015,118.09,908101.0
2020-11-03,117.9478,120.0213,117.2546,116.99,976013.0
2020-11-02,123.5562,133.6417,122.6261,114.69,1887086.0
2020-10-30,100.5304,104.3553,93.393,103.19,1809118.0
2020-10-29,93.8977,97.003,92.6451,93.05,762326.0
2020-10-28,89.9374,91.962,87.5591,92.21,512916.0
2020-10-27,95.1782,95.513,92.3657,97.32,448316.0
2020-10-26,95.9858,96.1166,91.6428,99.32,593420.0
2020-10-23,106.0887,108.564,105.6984,104.68,471844.0
2020-10-22,103.7313,107.2318,102.5299,101.93,553705.0
2020-10-21,97.5575,98.4382,95.2887,99.71,438100.0
2020-10-20,102.82,105.7708,102.3008,102.89,377744.0
2020-10-19,97.9356,98.8837,93.7713,101.58,540321.0
2020-10-16,107.2423,110.3182,106.6209,105.38,582388.0
2020-10-15,103.3311,103.8343,102.5762,103.0,378183.0
2020-10-14,103.3805,104.172,101.5885,103.61,561050.0
2020-10-13,99.8378,100.5816,97.0343,102.24,515900.0
2020-10-12,103.9538,104.5304,101.4126,105.15,445723.0
2020-10-09,98.7816,98.7816,92.4506,104.24,740923.0
2020-10-08,110.4077,112.408,110.0179,109.01,415260.0
2020-10-07,106.0411,107.9439,104.8189,106.38,368501.0
2020-10-06,102.8224,104.8589,100.2096,104.91,500882.0
2020-10-05,110.545,114.6024,110.545,106.98,454132.0
2020-10-02,109.1201,116.8509,108.9263,102.19,504770.0
2020-10-01,97.5671,98.4863,95.1584,98.4,508823.0
2020-09-30,99.5693,102.7912,99.4965,97.59,732666.0
2020-09-29,94.6575,95.1602,92.4339,96.27,407416.0
