date,Open,High,Low,Close,Volume
2021-02-12,93.5973,95.6274,93.1496,91.73,1607651.0
2021-02-11,89.098,89.3139,88.0577,89.94,1029077.0
2021-02-10,89.7357,89.7554,87.9542,90.45,1498586.0
2021-02-09,90.57,90.8905,89.8391,90.51,1033316.0
2021-02-08,90.0477,90.4447,88.3885,90.88,1703414.0
2021-02-05,90.1598,90.816,88.9942,91.1,1726184.0
2021-02-04,92.686,94.0515,92.6243,91.47,1202281.0
2021-02-03,90.6104,91.5446,89.6462,90.41,1296561.0
2021-02-02,91.893,94.5228,91.4594,90.44,1627029.0
2021-02-01,89.7139,91.3881,89.3315,88.25,1542522.0
2021-01-29,86.1553,87.2973,85.4267,86.83,1846984.0
2021-01-28,90.7238,93.3897,90.567,88.73,1884584.0
2021-01-27,83.8801,84.3565,81.3312,85.93,3584348.0
2021-01-26,89.3028,90.7592,89.2775,88.8,1437557.0
2021-01-25,88.3601,89.1982,87.9111,88.46,1738784.0
2021-01-22,87.2993,87.5785,86.2902,88.2,1196736.0
2021-01-21,88.7919,88.8711,87.8109,89.2,1278012.0
2021-01-20,89.093,89.4291,88.259,89.61,1987195.0
2021-01-19,87.8753,88.4939,85.6675,90.08,2363502.0
2021-01-15,93.0202,95.2865,92.4254,91.65,3070720.0
2021-01-14,91.0014,91.9539,89.8214,91.36,2386128.0
2021-01-13,89.7883,89.9411,87.6964,91.87,3372556.0
2021-01-12,94.7257,95.909,94.0604,93.99,2693912.0
2021-01-11,91.0589,91.294,88.8318,92.94,1508848.0
2021-01-08,96.2207,97.5393,95.3742,94.99,3138755.0
2021-01-07,96.5248,99.754,96.2051,93.5,3020426.0
2021-01-06,90.3414,90.6787,89.3791,90.7,3788945.0
2021-01-05,92.976,94.8068,92.5209,91.42,2530234.0
2021-01-04,88.7294,88.7678,85.171,90.6,3006597.0
2020-12-31,93.4501,94.4916,92.9855,92.48,1194023.0
2020-12-30,91.8618,92.4872,91.8618,91.46,787175.0
2020-12-29,90.8803,91.1194,90.1927,91.04,882655.0
2020-12-28,91.2622,91.8139,91.1107,90.81,857393.0
2020-12-24,90.6274,91.666,90.6172,89.81,461412.0
2020-12-23,89.6049,90.8432,89.5237,88.94,1416100.0
2020-12-22,87.9313,88.1496,87.3061,88.27,1516555.0
2020-12-21,89.0902,89.6918,87.546,88.97,1506766.0
2020-12-18,89.5537,89.5537,87.9445,90.13,4193340.0
2020-12-17,90.3003,90.772,89.8386,90.14,1370210.0
2020-12-16,90.8624,92.0807,90.6628,89.8,1364609.0
2020-12-15,88.1818,88.3602,87.3791,88.58,1757480.0
2020-12-14,88.5602,89.7741,88.3797,88.42,1691337.0
2020-12-11,88.4925,89.1697,87.9619,88.02,1908536.0
2020-12-10,87.5131,87.5803,86.4852,88.03,1253293.0
2020-12-09,87.4028,87.6994,86.4833,87.9,1484753.0
2020-12-08,88.5413,89.5793,87.4832,88.2,2137832.0
2020-12-07,87.3906,88.2047,87.1041,87.17,1313185.0
2020-12-04,88.7596,90.2743,88.7442,87.44,1821330.0
2020-12-03,87.3173,88.3765,87.1441,86.52,2465523.0
2020-12-02,84.7084,85.3063,82.7604,86.26,1741196.0
2020-12-01,87.8968,89.4855,87.3827,86.68,2495517.0
2020-11-30,85.364,86.023,84.4313,84.78,2654486.0
2020-11-27,83.8213,84.4761,83.2458,84.15,1116157.0
2020-11-25,83.5928,83.9586,82.8713,84.08,944506.0
2020-11-24,84.0801,84.7683,83.2922,84.19,1397842.0
2020-11-23,84.2102,84.9928,83.548,84.07,2138519.0
2020-11-20,83.4301,84.2084,83.2604,83.52,1532287.0
2020-11-19,84.0815,84.8983,83.547,83.73,1802982.0
2020-11-18,83.5159,84.5976,82.7194,84.22,1892180.0
2020-11-17,86.2458,87.2928,85.3664,85.54,2205243.0
2020-11-16,83.1819,84.5191,82.4291,83.58,2411580.0
2020-11-13,84.6142,85.314,84.0564,84.02,1865291.0
2020-11-12,81.4481,81.7276,79.4143,82.96,1448569.0
2020-11-11,87.3425,90.5798,87.1021,84.5,2326045.0
2020-11-10,82.2047,84.0324,81.7478,81.58,2622715.0
2020-11-09,75.3652,75.8759,69.4346,81.35,3369110.0
2020-11-06,82.0479,82.1353,80.2514,83.26,2141390.0
2020-11-05,83.3215,83.966,81.9335,83.68,2894173.0
2020-11-04,84.5809,87.2156,84.0634,82.72,2723618.0
2020-11-03,78.6986,78.8749,76.4458,79.52,5653763.0
2020-11-02,78.0001,78.5111,77.0797,77.92,1526929.0
2020-10-30,76.3109,76.6982,74.9402,76.57,3256029.0
2020-10-29,78.0129,79.4705,77.4764,77.54,1530320.0
2020-10-28,76.0528,76.4683,74.6373,77.37,2172598.0
2020-10-27,80.9945,82.304,80.5276,80.39,1906367.0
2020-10-26,78.3581,79.2716,77.0989,78.85,1550815.0
2020-10-23,79.9227,80.3477,79.1221,80.39,1504162.0
2020-10-22,80.7002,81.0615,79.6135,80.56,1169486.0
2020-10-21,80.3106,81.1251,79.8481,80.09,1191309.0
2020-10-20,79.9011,80.457,79.3254,80.2,1714724.0
2020-10-19,79.5625,80.6601,78.7418,80.01,2186773.0
2020-10-16,79.8015,80.69,78.7958,80.76,4755043.0
2020-10-15,80.9524,81.6102,80.2104,81.39,2194273.0
2020-10-14,81.8217,82.3588,80.2398,82.8,1890246.0
2020-10-13,83.3203,84.1171,82.4887,83.49,2924998.0
2020-10-12,83.5369,84.9218,83.0582,82.78,3339970.0
2020-10-09,82.4368,84.2102,82.3124,80.95,2503818.0
2020-10-08,79.15,79.3099,78.5603,79.17,1452197.0
2020-10-07,79.6499,80.7852,79.3943,78.76,1648099.0
2020-10-06,76.6427,77.364,75.3951,77.63,1837320.0
2020-10-05,77.6436,78.0429,75.9974,78.67,2281595.0
2020-10-02,78.7776,79.2679,77.1987,79.55,2002050.0
2020-10-01,81.9123,82.6298,81.0937,81.48,4699135.0
2020-09-30,80.0702,80.7978,79.3824,80.2,3390275.0
2020-09-29,78.705,78.8898,77.4401,79.79,1469315.0
2020-09-28,81.1145,81.9469,80.6374,80.51,2271363.0
2020-09-25,80.1532,81.7883,79.7703,78.79,1576921.0
2020-09-24,78.5539,80.1463,77.9758,78.0,1236195.0
2020-09-23,76.7442,77.1238,75.3622,77.79,1425188.0
2020-09-22,80.2736,81.6491,79.9759,79.23,1329612.0
2020-09-21,78.35,78.4399,77.011,78.38,2097177.0
2020-09-18,77.211,77.3448,74.6312,78.99,4431834.0
2020-09-17,80.6301,81.2788,79.5023,80.71,2034532.0
2020-09-16,80.3933,80.9971,78.9433,81.87,1433046.0
2020-09-15,83.0401,83.7285,82.2221,83.14,1545133.0
2020-09-14,83.6774,84.9105,83.6774,82.89,1841693.0
2020-09-11,80.6361,80.9054,79.0342,81.34,1503739.0
2020-09-10,81.1253,81.8633,79.7771,81.78,2332234.0
2020-09-09,84.9895,87.9439,84.9895,82.74,3872410.0
2020-09-08,78.4353,78.5983,76.3738,80.1,2670045.0
2020-09-04,81.3895,81.9768,79.2413,82.27,2801150.0
2020-09-03,78.8118,78.8391,74.4435,82.7,2701735.0
2020-09-02,88.0875,90.212,88.0305,86.53,2571520.0
2020-09-01,85.9134,87.0209,85.5955,84.84,2151764.0
2020-08-31,83.3037,83.8464,82.1393,83.86,2787611.0
2020-08-28,85.3375,86.2443,84.6344,84.54,1666860.0
2020-08-27,82.6852,82.8722,81.4941,83.34,1341744.0
2020-08-26,84.2409,84.6334,83.5565,83.97,1471373.0
2020-08-25,83.8901,84.3991,83.0317,83.97,1317816.0
2020-08-24,84.4061,85.1384,83.9585,83.69,1440573.0
2020-08-21,82.7,82.9648,81.7607,82.73,1480916.0
2020-08-20,83.8382,84.848,83.5526,83.01,1119345.0
2020-08-19,82.5601,83.358,82.1313,82.67,1231656.0
2020-08-18,82.5225,82.9082,81.6918,82.98,1372387.0
