date,Open,High,Low,Close,Volume
2021-02-12,75.281,75.674,75.0997,75.0,6429473.0
2021-02-11,74.6701,74.9595,74.0912,74.74,8378774.0
2021-02-10,74.4625,74.5218,73.6913,74.89,11138176.0
2021-02-09,74.98,75.0499,74.2412,75.04,12842124.0
2021-02-08,74.2386,74.5714,73.0739,75.04,15952827.0
2021-02-05,75.1752,75.7162,74.1719,75.8,13265134.0
2021-02-04,75.1015,75.1405,73.7062,76.03,18003423.0
2021-02-03,77.0013,77.5071,76.5153,77.32,9575218.0
2021-02-02,77.75,78.8794,77.6601,77.77,9187814.0
2021-02-01,76.7351,77.0696,76.0955,77.36,7847914.0
2021-01-29,76.1609,76.5319,74.5984,77.07,10182720.0
2021-01-28,78.7692,80.2305,78.7589,77.92,12377893.0
2021-01-27,74.3775,74.5731,71.5648,77.07,15487020.0
2021-01-26,79.36,79.36,78.3625,80.25,7393373.0
2021-01-25,81.5924,82.0776,80.9402,81.15,9501581.0
2021-01-22,81.0701,81.6113,80.9398,80.98,9004702.0
2021-01-21,80.5549,81.0373,79.7179,81.18,8631277.0
2021-01-20,81.6775,81.9718,80.7111,82.46,10589557.0
2021-01-19,82.8117,83.1338,81.91,83.19,8079485.0
2021-01-15,84.949,86.672,84.6628,83.38,9736212.0
2021-01-14,81.9208,82.2935,81.384,82.17,10845849.0
2021-01-13,81.3227,81.3227,80.201,82.34,9631524.0
2021-01-12,81.1084,81.1275,78.6595,83.09,9656641.0
2021-01-11,86.5269,88.7031,86.2679,85.0,12871440.0
2021-01-08,81.7113,81.7113,79.9486,83.03,9125149.0
2021-01-07,85.5162,87.4016,85.0189,84.02,9969438.0
2021-01-06,84.2202,86.4747,83.938,82.38,10039525.0
2021-01-05,81.5323,82.265,80.7642,81.1,10454680.0
2021-01-04,79.9332,80.0209,77.8666,80.96,10021557.0
2020-12-31,82.9767,84.3144,82.7092,81.8,5258719.0
2020-12-30,79.534,79.6022,78.4432,80.59,5661572.0
2020-12-29,82.0448,82.8469,82.0041,81.42,5446607.0
2020-12-28,80.2505,80.7381,79.7331,80.45,4542048.0
2020-12-24,80.2802,80.7118,80.1498,80.14,2822033.0
2020-12-23,79.9304,80.774,79.9103,79.76,5778679.0
2020-12-22,79.8523,80.8633,79.0943,79.42,8641615.0
2020-12-21,79.783,80.3197,78.7048,79.29,10630522.0
2020-12-18,79.3504,79.8183,78.0961,79.53,31642853.0
2020-12-17,79.254,79.4216,78.5541,79.82,11173677.0
2020-12-16,79.3825,79.8473,78.7596,79.83,9053075.0
2020-12-15,80.46,80.9997,79.9603,80.48,9626717.0
2020-12-14,78.0746,78.4998,75.6274,80.32,12537466.0
2020-12-11,82.4033,82.9702,82.0751,82.294,7613715.0
2020-12-10,81.6645,81.9378,80.7469,82.3238,7012586.0
2020-12-09,82.4542,82.5132,81.195,82.7999,6839992.0
2020-12-08,83.4047,84.8743,83.3743,82.5123,8268076.0
2020-12-07,82.2965,83.7105,82.2864,81.8476,8424766.0
2020-12-04,82.0836,82.9132,82.0533,81.2822,8255332.0
2020-12-03,80.313,80.3424,79.2152,80.7961,6760629.0
2020-12-02,81.0641,81.8556,80.4211,81.1731,6837583.0
2020-12-01,81.4949,83.0151,81.3641,80.8953,9678681.0
2020-11-30,80.1334,80.6743,79.5424,79.7447,13837652.0
