date,Open,High,Low,Close,Volume
2021-02-12,75.3472,76.5099,75.3472,74.61,7281192.0
2021-02-11,73.115,73.5478,71.5903,73.72,6972883.0
2021-02-10,74.061,74.3241,73.0186,74.33,7180859.0
2021-02-09,74.5816,75.3688,74.0467,74.24,7323686.0
2021-02-08,74.8247,75.4852,74.5809,74.23,9018095.0
2021-02-05,73.3402,73.9572,72.7887,73.22,8832176.0
2021-02-04,73.6761,75.1199,73.5068,72.29,8889354.0
2021-02-03,70.331,70.7925,69.7753,70.6,8014333.0
2021-02-02,72.8285,75.1992,72.7231,70.95,13711152.0
2021-02-01,67.4606,67.6992,66.8545,67.67,11961557.0
2021-01-29,65.1457,66.1369,63.1019,67.05,17566053.0
2021-01-28,69.2002,70.5256,68.4129,69.32,14986197.0
2021-01-27,66.7973,67.3051,64.9964,68.0763,17002601.0
2021-01-26,69.362,69.915,67.8363,70.8523,10899728.0
2021-01-25,70.8997,71.3819,69.3519,72.0164,15933115.0
2021-01-22,75.3639,77.5973,75.2185,73.7576,15459988.0
2021-01-21,74.0274,74.9059,72.7838,74.3247,13591901.0
2021-01-20,72.8387,74.0287,70.7347,74.464,16132961.0
2021-01-19,73.1214,73.1978,71.3727,74.6133,14897745.0
2021-01-15,75.0315,75.5313,74.112,74.862,12882601.0
2021-01-14,76.7078,77.709,76.5763,76.0858,9854347.0
2021-01-13,74.9325,75.5453,74.1408,75.1804,9852176.0
2021-01-12,74.6705,75.2655,73.6562,75.4192,11792873.0
2021-01-11,77.5331,79.8934,76.9379,75.6779,9081177.0
2021-01-08,75.6562,76.54,75.0263,74.872,12896730.0
2021-01-07,74.7031,76.4109,74.7031,74.5635,13530361.0
2021-01-06,75.6402,79.3105,74.7399,73.3099,18334255.0
2021-01-05,70.49,72.4757,70.4073,69.1409,11120399.0
2021-01-04,67.0545,67.6836,65.5446,67.9867,14014631.0
2020-12-31,68.9199,69.8754,68.5234,68.1857,5297387.0
2020-12-30,67.5091,67.8674,67.2504,67.4992,5283216.0
2020-12-29,66.7781,66.9541,65.8025,67.3698,4701262.0
2020-12-28,67.2045,67.4789,66.6261,67.7081,6512157.0
2020-12-24,67.4804,67.6975,66.8881,67.7479,3126691.0
2020-12-23,69.093,71.1245,69.0621,67.8673,8772476.0
2020-12-22,64.7411,64.7411,63.1664,66.3052,9809755.0
2020-12-21,69.35,71.7559,69.1294,67.4892,14787830.0
2020-12-18,63.2173,63.3148,61.7741,63.8576,15499829.0
2020-12-17,64.6049,64.9459,64.2638,64.3451,7197498.0
2020-12-16,64.3784,64.9943,64.2068,63.9073,8806355.0
2020-12-15,65.1153,66.72,64.7715,63.6287,9746935.0
2020-12-14,59.298,59.3442,57.0922,61.5691,10236584.0
