date,Open,High,Low,Close,Volume
2021-02-12,246.0514,247.43,244.8377,244.99,16561079.0
2021-02-11,244.2003,244.5695,241.5766,244.49,15751059.0
2021-02-10,240.6594,241.5631,236.6222,242.82,22117240.0
2021-02-09,245.6849,248.6205,245.1872,243.77,23471475.0
2021-02-08,241.7919,242.3189,239.465,242.47,22211929.0
2021-02-05,242.17,243.2197,240.3605,242.2,18054752.0
2021-02-04,241.3617,241.9385,239.084,242.01,25296100.0
2021-02-03,246.4791,252.1583,246.1602,243.0,27158104.0
2021-02-02,237.7333,238.7283,235.1619,239.51,25678356.0
2021-02-01,244.3296,252.063,241.5959,239.65,33314193.0
2021-01-29,227.9988,229.9601,223.5159,231.96,42503138.0
2021-01-28,242.2968,249.5263,241.762,238.93,49111159.0
2021-01-27,227.9093,230.2458,220.3825,232.9,69870638.0
2021-01-26,232.801,235.1304,231.0137,232.33,49169601.0
2021-01-25,229.9407,230.6031,225.0232,229.53,33152095.0
2021-01-22,224.8256,227.7859,223.5583,225.95,30172663.0
2021-01-21,225.2403,226.8442,222.9548,224.97,30749553.0
2021-01-20,231.1825,239.7736,230.748,224.34,37777260.0
2021-01-19,219.1639,222.4757,218.0155,216.44,30480859.0
2021-01-15,211.7835,212.7655,210.3057,212.65,31746512.0
2021-01-14,210.1687,211.6775,207.083,213.02,29346737.0
2021-01-13,218.6851,221.4849,218.5897,216.34,20087080.0
2021-01-12,213.3714,213.9627,210.2375,214.93,23148341.0
2021-01-11,216.5144,216.9505,214.79,217.49,23047029.0
2021-01-08,220.564,222.4804,218.8959,219.62,22956206.0
2021-01-07,222.6244,228.137,222.2812,218.29,27694480.0
2021-01-06,212.33,216.6532,212.0999,212.25,35930653.0
2021-01-05,218.5419,219.8093,216.9727,217.9,23822953.0
2021-01-04,212.9553,213.405,205.5674,217.69,37130139.0
2020-12-31,223.1423,224.4508,221.1092,222.42,20942132.0
2020-12-30,218.186,218.5734,214.5435,221.68,20272337.0
2020-12-29,222.0106,222.8641,219.3325,224.15,17403213.0
2020-12-28,225.4712,227.0583,224.0347,224.96,17762701.0
2020-12-24,224.088,226.3044,223.8653,222.75,10550572.0
2020-12-23,218.9496,219.3901,216.6827,221.02,18699638.0
2020-12-22,225.197,228.1701,224.3476,223.94,22643397.0
2020-12-21,227.7468,234.4991,227.4642,222.59,37181886.0
2020-12-18,218.59,219.69,216.02,218.59,63354922.0
2020-12-17,218.9709,219.9868,217.0289,219.42,32515784.0
2020-12-16,223.9056,229.4941,223.8743,219.28,35023253.0
2020-12-15,213.1,213.3525,210.2031,214.13,27018106.0
2020-12-14,215.3057,218.4479,215.0834,214.2,28798379.0
2020-12-11,216.5191,219.8898,215.5501,213.26,30979440.0
2020-12-10,209.2774,210.572,207.884,210.52,26467017.0
2020-12-09,208.4925,208.5555,204.6688,211.8,32440603.0
2020-12-08,218.0694,221.1065,216.9688,216.01,23284094.0
2020-12-07,214.21,215.3792,212.8311,214.29,24619997.0
2020-12-04,214.5001,215.6616,213.4587,214.36,24666039.0
2020-12-03,213.8706,215.6303,212.9139,214.24,25120922.0
2020-12-02,215.8611,216.4538,213.7716,215.37,23724509.0
2020-12-01,217.9235,220.7782,216.745,216.21,30498026.0
2020-11-30,214.04,214.6998,210.7759,214.07,33064753.0
2020-11-27,215.6107,217.0357,214.7978,215.23,14512213.0
2020-11-25,212.6371,212.8151,210.0176,213.87,21012887.0
2020-11-24,218.217,223.0688,217.4569,213.86,33830438.0
2020-11-23,209.2733,210.6027,206.5055,210.11,25683507.0
2020-11-20,208.5954,209.662,206.4328,210.39,22843119.0
2020-11-19,213.4651,215.1314,212.0008,212.42,24792746.0
2020-11-18,208.5409,210.0246,205.886,211.08,28372789.0
2020-11-17,212.2693,213.8213,210.2851,213.8925,24154112.0
2020-11-16,219.0348,221.9604,218.678,216.6552,24953344.0
2020-11-13,216.0868,217.1455,213.8896,215.9371,18630307.0
2020-11-12,213.119,214.9832,210.4208,214.8699,21616115.0
2020-11-11,220.2073,226.0652,220.0103,215.977,29440788.0
2020-11-10,207.0275,208.9579,202.4141,210.4517,44045120.0
2020-11-09,211.9455,215.4255,205.7553,217.8121,44394950.0
2020-11-06,224.5937,226.7158,220.3193,223.128,25231895.0
2020-11-05,223.9529,226.0508,223.0552,222.6992,36080137.0
2020-11-04,218.2073,222.5915,216.5745,215.8174,42311777.0
2020-11-03,208.4486,212.7732,207.6614,205.8838,27512030.0
2020-11-02,199.8586,200.8271,195.779,201.7946,30842163.0
2020-10-30,200.9122,201.6921,197.0815,201.9343,36980111.0
2020-10-29,204.8287,208.1309,204.1261,204.1783,31432563.0
2020-10-28,197.2865,198.398,191.995,202.1437,51195593.0
2020-10-27,214.3543,217.4746,213.0769,212.6857,36700325.0
2020-10-26,205.8304,208.2269,200.296,209.5241,37111561.0
2020-10-23,216.8614,218.122,214.9754,215.6579,18879608.0
2020-10-22,215.2832,217.4216,213.0391,214.3214,22351450.0
2020-10-21,215.9204,219.7703,215.9204,214.2316,22724906.0
2020-10-20,212.9412,214.4904,210.2672,214.082,22753511.0
2020-10-19,207.6482,209.424,201.341,213.6532,27625841.0
2020-10-16,218.5912,220.716,217.767,219.0788,26057882.0
2020-10-15,221.6621,224.9906,220.5492,219.0788,22733064.0
2020-10-14,218.1617,219.3553,214.3757,220.2756,23451713.0
2020-10-13,222.41,224.8966,220.1232,222.2703,28950843.0
2020-10-12,223.4483,228.6263,221.4262,220.8142,40461368.0
2020-10-09,219.9059,224.7261,219.9059,215.239,26458047.0
2020-10-08,210.0926,210.7713,207.907,210.0228,19925837.0
2020-10-07,212.0744,215.1983,211.7262,209.2748,25681054.0
2020-10-06,202.5033,203.8222,198.6243,205.3652,28554261.0
2020-10-05,213.023,216.3024,212.7763,209.8233,21331561.0
2020-10-02,203.8549,206.7853,201.4439,205.6444,33154781.0
2020-10-01,210.8755,211.3694,208.7321,211.8978,27158418.0
2020-09-30,212.399,216.7446,211.1823,209.7735,33829088.0
2020-09-29,204.6479,205.3518,202.165,206.7116,24464472.0
2020-09-28,207.4594,209.122,204.6852,208.8858,32004936.0
2020-09-25,211.6181,217.3258,210.5681,207.2701,29437312.0
2020-09-24,206.0392,211.9363,205.3691,202.6524,31202493.0
2020-09-23,193.0249,193.2106,185.718,200.0592,30803780.0
2020-09-22,209.252,212.3542,206.206,206.8712,33517065.0
2020-09-21,207.4847,213.2929,206.6324,202.0041,39839657.0
2020-09-18,197.4847,198.3124,191.1064,199.8598,55225326.0
2020-09-17,205.2663,209.6579,205.174,202.3731,34011257.0
2020-09-16,199.0991,199.1274,193.4462,204.5074,26372464.0
2020-09-15,208.5872,209.9483,207.096,208.2276,21823942.0
2020-09-14,206.0401,211.0438,205.8282,204.8665,30375768.0
2020-09-11,200.3769,201.7598,194.6132,203.4901,33620073.0
2020-09-10,197.1192,198.357,188.538,204.8266,35461514.0
2020-09-09,214.4766,221.9563,213.5468,210.7309,45678986.0
2020-09-08,198.3651,201.7561,194.2345,202.1238,52924330.0
2020-09-04,212.8387,216.0643,203.0329,213.6831,59664072.0
2020-09-03,205.41,205.4458,192.5894,216.725,58400288.0
2020-09-02,234.7666,239.8024,234.1281,231.0371,34080839.0
2020-09-01,228.4377,230.4029,227.3437,226.6686,25791235.0
2020-08-31,223.4766,225.1502,220.8284,224.9332,28774156.0
2020-08-28,229.0347,231.5079,227.4287,228.3043,26292896.0
2020-08-27,229.7216,238.2348,226.1247,225.9805,57602195.0
2020-08-26,223.8751,228.201,223.3408,220.5648,39600828.0
2020-08-25,219.3115,222.9238,219.3115,215.8972,23043696.0
2020-08-24,212.0331,212.7537,209.7034,213.1246,25460147.0
2020-08-21,211.6219,213.9868,210.6224,212.4563,36249319.0
2020-08-20,219.1598,224.8705,218.5009,214.0122,26981478.0
2020-08-19,207.375,207.9731,205.1786,209.1451,27627561.0
2020-08-18,211.3781,213.2155,210.0528,210.4186,21336167.0
2020-08-17,209.8935,211.4832,209.2076,209.2148,20063496.0
2020-08-14,207.9812,208.8081,206.7358,207.8418,17958936.0
2020-08-13,206.9091,208.7961,205.6347,207.6428,22588870.0
2020-08-12,212.0843,217.2394,211.5264,208.1303,28041364.0
2020-08-11,198.6623,199.137,194.8119,202.3497,36446459.0
2020-08-10,203.8474,204.0496,198.724,207.1951,36716462.0
2020-08-07,209.0717,209.8988,205.2571,211.4036,27820421.0
2020-08-06,219.3191,223.482,218.5031,215.254,32656843.0
2020-08-05,209.929,210.0267,206.676,211.8613,28858621.0
2020-08-04,211.3376,211.9297,207.5286,212.2095,49280056.0
2020-08-03,220.5562,226.9376,219.43,215.4431,78983009.0
2020-07-31,204.5802,205.2808,199.1854,203.9715,51247969.0
2020-07-30,205.794,209.3366,204.3299,202.8671,25079596.0
2020-07-29,204.5903,206.7625,204.0953,203.0263,19632602.0
2020-07-28,199.427,200.4946,197.5954,200.9966,23251388.0
2020-07-27,205.2133,207.7597,204.5919,202.8174,30160867.0
2020-07-24,201.1597,203.6087,198.2389,200.2803,39826989.0
2020-07-23,196.9914,200.5378,192.1995,201.514,67457035.0
2020-07-22,213.2453,216.4053,212.4197,210.6773,49605692.0
