date,Open,High,Low,Close,Volume
2021-02-12,142.4303,143.8894,141.8486,142.23,696086.0
2021-02-11,141.5134,142.2561,138.9784,142.21,666360.0
2021-02-10,142.4952,143.8389,140.8651,143.36,542936.0
2021-02-09,143.2202,143.9819,142.0075,143.06,599020.0
2021-02-08,145.0828,148.2267,144.6087,142.9,525746.0
2021-02-05,138.2824,138.3115,135.7603,140.4,540523.0
2021-02-04,143.7943,148.152,143.4511,141.0,757730.0
2021-02-03,139.2142,141.2782,138.4491,137.38,678481.0
2021-02-02,137.0164,139.5306,135.5058,136.08,541507.0
2021-02-01,132.4122,132.9081,130.2299,132.95,592612.0
2021-01-29,128.4649,129.2266,123.9037,132.47,835035.0
2021-01-28,138.9791,141.5183,136.4604,137.35,888519.0
2021-01-27,131.1905,131.7953,128.9274,132.83,1238875.0
2021-01-26,133.3438,133.797,129.4544,137.24,644872.0
2021-01-25,139.4426,140.1564,135.4082,140.04,1086523.0
2021-01-22,143.4908,145.5,142.1094,143.16,802571.0
2021-01-21,146.3532,149.7379,144.3435,144.51,1020753.0
2021-01-20,141.884,142.5759,139.2383,143.73,760067.0
2021-01-19,147.0347,148.5013,146.0941,146.2,883247.0
2021-01-15,143.1679,144.3709,140.7132,144.77,653584.0
2021-01-14,150.4986,152.7729,149.7676,149.36,628696.0
2021-01-13,145.1566,146.4243,141.7499,146.71,1059704.0
2021-01-12,151.5232,154.8038,150.1699,149.65,1040897.0
2021-01-11,151.353,156.4211,150.5654,146.7,635060.0
2021-01-08,142.1896,142.899,137.3696,144.24,915733.0
2021-01-07,150.0414,154.2086,147.115,147.55,1597752.0
2021-01-06,147.0571,155.6757,146.9023,139.81,1386867.0
2021-01-05,130.7801,134.0537,130.0135,128.49,767848.0
2021-01-04,125.0355,125.9686,121.9443,126.82,936405.0
2020-12-31,128.7565,130.557,127.4061,127.3,531198.0
2020-12-30,127.5279,129.9182,127.5279,125.64,515955.0
2020-12-29,122.1038,122.3773,120.1197,123.81,477384.0
2020-12-28,125.5203,127.006,124.2439,125.7,346234.0
2020-12-24,124.2936,124.2936,122.018,124.96,243392.0
2020-12-23,129.1786,133.1394,129.1786,125.61,576590.0
2020-12-22,118.1364,118.688,115.1311,121.14,925304.0
2020-12-21,124.8655,125.9903,121.491,124.04,1389203.0
2020-12-18,121.5684,122.0704,118.3441,123.73,1872266.0
2020-12-17,125.0449,125.914,123.0402,125.83,911728.0
2020-12-16,127.1703,127.6115,124.8387,126.99,954012.0
2020-12-15,126.9105,127.6635,124.6265,126.66,687949.0
2020-12-14,121.2043,121.2739,116.8722,124.76,648672.0
2020-12-11,125.9,127.3314,124.5587,125.84,690722.0
2020-12-10,129.5798,132.1375,129.1902,127.98,611554.0
2020-12-09,128.5916,130.8877,127.504,128.14,751229.0
2020-12-08,126.864,129.7464,125.9336,126.15,622534.0
2020-12-07,127.6818,129.0924,126.8455,127.2,622523.0
2020-12-04,129.2415,130.5359,127.1013,128.02,1304146.0
2020-12-03,126.5329,129.6359,123.9437,124.83,1058612.0
2020-12-02,126.0955,129.8626,124.5613,123.01,1055522.0
2020-12-01,121.5738,123.0302,120.8255,120.89,1428178.0
2020-11-30,113.5558,115.1618,110.5055,116.49,1832502.0
2020-11-27,118.9048,120.2797,117.0325,119.8483,539432.0
2020-11-25,121.0767,121.6802,119.2761,121.1559,1490264.0
2020-11-24,124.3124,127.0561,123.4761,122.5131,1737498.0
2020-11-23,116.0872,116.5881,114.1608,117.7283,968939.0
2020-11-20,115.4697,115.9185,113.0955,116.9853,1046106.0
2020-11-19,118.9185,118.9185,115.9672,119.3332,1065638.0
2020-11-18,117.1457,118.8427,113.6399,120.7498,1019736.0
2020-11-17,125.0114,127.0518,122.981,123.801,976238.0
