date,Open,High,Low,Close,Volume
2021-02-12,12.4101,12.6316,12.3095,12.37,1348497.0
2021-02-11,12.4101,12.6138,12.1717,12.45,3996644.0
2021-02-10,12.53,12.7608,12.4598,12.51,2782943.0
2021-02-09,12.4601,12.591,12.092,12.42,4023247.0
2021-02-08,12.667,13.0025,12.667,12.37,3039067.0
2021-02-05,11.7578,11.7768,11.3776,12.06,3664186.0
2021-02-04,12.6522,13.1314,12.5457,12.26,2873296.0
2021-02-03,11.8401,11.9694,11.7505,11.87,4335184.0
2021-02-02,11.6556,11.6747,11.3971,11.91,3693446.0
2021-02-01,12.1012,12.3053,11.9788,11.98,3528491.0
2021-01-29,11.1583,11.2489,10.5918,11.72,4100764.0
2021-01-28,12.4927,12.8222,12.3485,12.31,3577918.0
2021-01-27,11.7216,11.7998,11.2918,11.86,4967641.0
2021-01-26,11.8246,11.8993,11.3766,12.24,3349477.0
2021-01-25,12.5,12.5598,12.2658,12.52,3381660.0
2021-01-22,12.3111,12.443,11.2411,12.68,9188927.0
2021-01-21,12.6943,12.6943,12.0793,13.25,3911708.0
2021-01-20,13.9843,14.3261,13.9221,13.74,3346200.0
2021-01-19,13.4005,13.4944,13.2176,13.48,3167802.0
2021-01-15,13.41,13.595,13.34,13.41,2130932.0
2021-01-14,13.7724,14.0394,13.5773,13.59,2087146.0
2021-01-13,13.1009,13.1894,12.7911,13.21,3567848.0
2021-01-12,13.1215,13.19,12.8913,13.26,3870386.0
2021-01-11,13.596,14.0395,13.4186,13.31,3966380.0
2021-01-08,13.2003,13.2498,12.903,13.26,2048965.0
2021-01-07,13.6706,14.1467,13.6441,13.29,5624470.0
2021-01-06,12.9754,13.5174,12.965,12.71,8444998.0
2021-01-05,12.5665,12.9592,12.5665,12.28,3753324.0
2021-01-04,11.504,11.5772,10.8685,12.03,3645985.0
2020-12-31,12.7326,12.9797,12.5473,12.55,2489696.0
2020-12-30,12.4916,12.7064,12.4916,12.35,2087553.0
2020-12-29,11.9658,12.0041,11.6116,12.23,1810286.0
2020-12-28,12.5404,12.6668,12.4696,12.47,2850862.0
2020-12-24,12.0167,12.0167,11.6349,12.3,948762.0
2020-12-23,12.6614,12.8605,12.646,12.53,1711092.0
2020-12-22,12.0562,12.0562,11.712,12.33,3884978.0
2020-12-21,12.9306,13.3387,12.8246,12.56,3313314.0
2020-12-18,12.1829,12.2993,11.921,12.37,5618734.0
2020-12-17,12.4308,12.4603,12.2635,12.53,1735751.0
2020-12-16,12.7408,12.8729,12.5528,12.64,3221802.0
2020-12-15,12.696,13.0408,12.6229,12.42,2425418.0
2020-12-14,11.7764,11.7764,11.4421,12.05,3456256.0
2020-12-11,11.9124,11.9999,11.7373,12.08,3139549.0
2020-12-10,12.6529,12.9211,12.6117,12.46,2779212.0
2020-12-09,12.31,12.44,12.15,12.31,3594358.0
2020-12-08,12.1903,12.4024,12.16,12.13,5812872.0
2020-12-07,12.0623,12.111,11.8386,12.23,3883460.0
2020-12-04,12.5305,12.6622,12.3583,12.45,3175118.0
2020-12-03,12.1605,12.3086,11.9532,12.24,3787391.0
2020-12-02,12.4737,12.7303,12.4116,12.26,3836434.0
2020-12-01,11.8636,11.9119,11.5255,12.07,4211079.0
2020-11-30,11.9003,12.0142,11.7864,11.96,6213058.0
2020-11-27,11.9812,12.04,11.7361,12.1,1720388.0
2020-11-25,12.1808,12.2398,11.8707,12.28,3089592.0
2020-11-24,12.6114,12.8922,12.4837,12.48,4986134.0
2020-11-23,12.2514,12.4251,12.0777,12.12,4017502.0
2020-11-20,11.9714,12.1401,11.8385,11.84,3698426.0
2020-11-19,12.0759,12.3686,11.919,11.81,2945346.0
2020-11-18,11.4624,11.647,11.2973,11.63,3701084.0
2020-11-17,11.9414,12.0948,11.8136,11.81,6085694.0
2020-11-16,12.1341,12.5545,11.8279,11.91,7094607.0
2020-11-13,11.392,11.731,11.3612,11.24,7271345.0
2020-11-12,10.7847,10.9574,10.3865,11.01,57892358.0
2020-11-11,11.46,11.5301,11.1044,11.45,7415632.0
2020-11-10,11.552,11.9525,11.4904,11.4,11095707.0
2020-11-09,10.8155,11.4754,10.5573,11.06,12573260.0
2020-11-06,10.441,10.705,9.809,10.7218,19793396.0
2020-11-05,9.5505,9.6467,8.8684,10.1847,9198982.0
2020-11-04,11.0831,11.8084,10.7097,10.7019,5605035.0
2020-11-03,10.7637,10.9888,10.6512,10.6124,3461086.0
2020-11-02,10.2647,10.5163,10.1338,10.2046,4971423.0
2020-10-30,10.4852,11.0203,10.365,10.0057,5953414.0
2020-10-29,9.8095,10.0562,9.6861,9.6477,5964738.0
2020-10-28,9.4016,9.4882,9.1707,9.5581,5602620.0
2020-10-27,9.8289,9.9061,9.5827,9.9759,4707584.0
2020-10-26,10.0861,10.1447,9.7587,10.1748,3473422.0
2020-10-23,10.7179,11.031,10.6136,10.4632,3246024.0
2020-10-22,10.463,10.8015,10.4206,10.145,3338639.0
2020-10-21,9.4322,9.4322,9.0812,9.7869,3197315.0
2020-10-20,10.0369,10.173,9.9106,10.1549,2409137.0
2020-10-19,9.9499,10.0168,9.6724,10.145,5374239.0
2020-10-16,10.0704,10.0704,9.7467,10.2942,2811105.0
2020-10-15,10.9455,11.5672,10.9241,10.5428,3507954.0
2020-10-14,10.1189,10.2242,9.9179,10.314,1908926.0
2020-10-13,10.434,10.4389,10.1205,10.513,3067391.0
2020-10-12,10.8532,11.0578,10.7816,10.7019,4990389.0
2020-10-09,10.2199,10.2484,9.9442,10.4533,5205679.0
2020-10-08,10.6328,10.7336,10.3052,10.5627,5017457.0
2020-10-07,10.5144,11.0233,10.4584,10.3936,6591381.0
2020-10-06,9.8171,10.1561,9.7139,9.8764,4086732.0
2020-10-05,9.9075,10.1313,9.8922,9.7969,2977281.0
2020-10-02,10.4166,11.387,10.3468,9.6079,5012423.0
2020-10-01,9.3761,9.7125,9.2553,9.1205,2730267.0
2020-09-30,8.923,9.1881,8.923,8.8122,3639660.0
2020-09-29,8.4889,8.5126,8.2138,8.6928,2786055.0
2020-09-28,9.2469,9.5941,9.1523,8.9912,3608544.0
2020-09-25,8.6554,8.8764,8.6245,8.5138,2046719.0
2020-09-24,8.4941,8.7953,8.3234,8.4541,3567634.0
2020-09-23,8.0074,8.2596,7.584,8.4144,4164409.0
2020-09-22,8.6641,8.9072,8.5572,8.7625,4371952.0
2020-09-21,8.7435,8.9189,8.4803,8.8321,5898272.0
2020-09-18,9.1331,9.2004,8.8928,9.2896,7950527.0
2020-09-17,9.6515,9.9208,9.6412,9.4587,4166654.0
2020-09-16,9.2814,9.2814,9.1266,9.409,3489255.0
2020-09-15,9.4591,9.5524,9.2577,9.5184,4160644.0
2020-09-14,9.6693,10.0169,9.5467,9.5383,3476588.0
2020-09-11,9.4221,9.6078,9.3292,9.2498,3832833.0
2020-09-10,8.972,9.1479,8.8352,9.0509,3743063.0
2020-09-09,9.2733,9.5114,9.1802,9.0907,4634160.0
2020-09-08,8.4903,8.518,8.1206,8.8619,5244502.0
2020-09-04,9.2326,9.2566,8.9008,9.3891,3914875.0
2020-09-03,9.0375,9.1979,8.7639,9.2797,4534901.0
2020-09-02,9.8171,10.1678,9.7534,9.4985,4186056.0
2020-09-01,9.3322,9.5279,9.2395,9.1703,2424266.0
2020-08-31,9.1106,9.1503,8.9865,9.1205,2817211.0
2020-08-28,9.1205,9.1801,9.0511,9.1305,1998474.0
2020-08-27,9.2746,9.5352,9.2694,9.0608,3066106.0
2020-08-26,8.6644,8.8002,8.5576,8.7724,3368727.0
2020-08-25,8.7557,8.7557,8.4443,8.9216,2496937.0
2020-08-24,9.3013,9.6541,9.1784,8.9713,3253983.0
2020-08-21,8.6136,8.7645,8.5934,8.5635,3683755.0
2020-08-20,8.6741,8.8676,8.6538,8.5735,2104553.0
2020-08-19,8.534,8.652,8.4357,8.5834,3871406.0
2020-08-18,8.4558,8.4896,8.2042,8.5735,4671247.0
2020-08-17,8.7929,8.8737,8.6766,8.7227,3492000.0
2020-08-14,8.8259,9.0697,8.7689,8.6431,3668596.0
2020-08-13,8.4356,8.5326,8.2805,8.5437,4548746.0
2020-08-12,8.517,8.6091,7.983,8.852,4728931.0
2020-08-11,8.7672,9.0522,8.5582,8.9713,8387145.0
2020-08-10,9.3253,9.85,9.2604,8.9415,7015259.0
2020-08-07,8.7934,9.1214,8.6241,8.4969,3708320.0
2020-08-06,8.1621,8.3455,8.0464,8.2598,3184700.0
2020-08-05,8.3586,8.4327,8.1659,8.3586,6179670.0
2020-08-04,8.161,8.2987,8.0627,8.1807,5070319.0
2020-08-03,8.2401,8.4535,8.2103,8.2202,3736135.0
2020-07-31,8.3115,8.4802,8.2298,8.1708,7507574.0
2020-07-30,8.4737,8.9331,8.398,8.1017,3663825.0
2020-07-29,8.4383,8.9193,8.4383,8.0226,3252895.0
2020-07-28,7.7177,8.0016,7.667,7.6176,2194930.0
2020-07-27,7.315,7.315,7.0409,7.4792,2654649.0
2020-07-24,7.5595,7.6077,7.391,7.6571,3751503.0
2020-07-23,7.8162,7.9729,7.7656,7.7262,1966088.0
2020-07-22,8.0011,8.3121,7.959,7.746,3289817.0
2020-07-21,7.6979,7.8602,7.6066,7.5978,2737619.0
2020-07-20,7.3903,7.499,7.3212,7.3903,3972018.0
2020-07-17,7.2862,7.3897,7.0512,7.4694,5180761.0
2020-07-16,7.5516,7.6654,7.3049,7.7065,4043256.0
2020-07-15,8.3683,8.8811,8.3028,7.9634,5482413.0
2020-07-14,7.1943,7.2231,6.9737,7.3014,4430677.0
2020-07-13,7.4202,7.557,7.1464,7.4595,7852773.0
2020-07-10,7.6974,8.0599,7.6655,7.4101,4764138.0
2020-07-09,6.8671,6.9129,6.4185,7.1334,7585098.0
2020-07-08,7.6412,7.9204,7.5274,7.4694,5070046.0
2020-07-07,6.8277,6.8451,6.376,7.2816,4957246.0
2020-07-06,7.5684,7.7155,7.2925,7.8448,4106992.0
2020-07-02,7.5395,7.7596,7.2459,7.825,6343248.0
2020-07-01,7.6158,7.6436,7.2823,7.8646,4067794.0
2020-06-30,8.3995,8.8147,8.3037,8.0918,6067126.0
2020-06-29,8.1795,8.6017,8.0845,7.914,5082348.0
2020-06-26,7.1058,7.1058,6.7243,7.499,8304905.0
2020-06-25,8.3518,8.7158,8.1483,8.0226,5266308.0
2020-06-24,7.4122,7.4122,6.7634,7.8152,7748729.0
2020-06-23,8.2248,8.2248,7.923,8.4178,9358364.0
2020-06-22,8.6427,8.9469,8.4329,8.3882,4511545.0
2020-06-19,7.6886,7.7584,7.0864,8.1807,7092902.0
2020-06-18,8.4971,8.906,8.3674,8.4574,6398248.0
2020-06-17,8.2618,8.2618,7.9409,8.5759,7697492.0
2020-06-16,8.5677,8.5953,8.0805,8.8822,9426874.0
2020-06-15,9.3208,10.0834,9.207,8.6846,8542612.0
2020-06-12,8.655,8.7741,8.3374,8.6352,3745883.0
2020-06-11,8.043,8.3927,7.8681,8.1116,4944702.0
2020-06-10,8.5706,8.6253,8.1511,8.9217,9031317.0
2020-06-09,9.2594,9.3555,8.9613,9.3861,7594190.0
2020-06-08,10.3381,10.6356,10.2356,10.1469,6058504.0
2020-06-05,9.2838,9.4841,8.7468,9.6726,7834967.0
2020-06-04,9.5281,9.9015,9.2187,9.1687,7384285.0
2020-06-03,8.7843,8.8618,8.5906,8.8723,4444843.0
2020-06-02,8.6058,8.7231,8.4203,8.655,7229475.0
2020-06-01,8.8033,9.3217,8.7504,8.5068,8215271.0
2020-05-29,7.966,8.0804,7.6039,8.1116,8056997.0
2020-05-28,7.5397,7.5477,6.7532,8.408,9338827.0
2020-05-27,9.7356,10.2819,9.2111,9.2577,11599954.0
2020-05-26,8.5428,8.9814,8.407,8.3092,7609738.0
2020-05-22,7.2519,7.3806,6.8659,7.5188,6575351.0
2020-05-21,7.8053,7.8546,7.6378,7.8152,6744146.0
2020-05-20,8.468,9.1176,8.3882,7.8843,8840306.0
2020-05-19,7.3669,7.8175,7.1468,7.1532,5724954.0
2020-05-18,6.9466,7.1591,6.7244,7.0248,6029767.0
2020-05-15,6.6197,6.8766,6.4122,6.6197,5984404.0
2020-05-14,7.232,7.8309,6.9787,6.6987,7427787.0
2020-05-13,6.0536,6.0536,5.581,6.3727,4881652.0
2020-05-12,6.2675,6.4079,5.8988,6.6493,9449872.0
2020-05-11,7.2472,7.5914,7.0804,7.0544,10512131.0
2020-05-08,6.6438,6.8635,6.1429,7.0445,6924121.0
2020-05-07,7.8131,8.4418,7.8131,7.2993,7395251.0
2020-05-06,6.4501,6.6001,6.2626,6.5938,4950078.0
2020-05-05,6.6923,7.0813,6.6425,6.633,7244565.0
2020-05-04,6.6098,6.9121,6.3075,6.4077,8054473.0
2020-05-01,6.2581,6.2758,5.8509,6.584,4939167.0
2020-04-30,6.8888,6.8888,6.4265,7.1621,5538873.0
2020-04-29,8.1504,8.8139,8.1393,7.6716,6801525.0
2020-04-28,7.0601,7.4442,6.9666,6.8584,8589008.0
2020-04-27,6.8145,7.235,6.7282,6.4958,7055393.0
2020-04-24,6.2522,6.4236,6.0808,6.1627,4857933.0
2020-04-23,6.1053,6.4988,6.075,6.0158,5000210.0
2020-04-22,5.9706,6.2284,5.95,5.8198,9575406.0
2020-04-21,5.4575,5.5862,5.2396,5.4279,6186707.0
2020-04-20,5.5312,5.6141,5.2546,5.7022,6226827.0
2020-04-17,6.3854,6.6999,6.3539,6.1725,6945528.0
2020-04-16,5.2551,5.3068,4.8502,5.6043,7031018.0
2020-04-15,6.1561,6.4742,5.9509,6.0158,11704027.0
2020-04-14,5.9212,6.0775,5.5218,6.2901,5531753.0
2020-04-13,5.8516,5.8595,5.2155,6.4958,3264262.0
2020-04-09,7.4805,7.7384,7.0678,7.2895,12559717.0
2020-04-08,6.8852,7.5234,6.791,6.6624,9656335.0
2020-04-07,6.6268,7.0349,6.369,6.3293,13527713.0
2020-04-06,6.0885,6.6611,6.0885,5.5749,7609816.0
2020-04-03,4.231,4.4381,3.6688,4.8694,11117892.0
2020-04-02,5.8856,6.3165,5.791,5.6826,5623150.0
2020-04-01,5.0535,5.0702,4.48,5.4867,7840451.0
2020-03-31,5.6926,5.8238,5.102,6.2215,6480690.0
2020-03-30,6.2877,6.5618,5.4322,6.829,5981350.0
2020-03-27,7.8382,8.085,7.5618,7.8087,7229877.0
2020-03-26,9.9772,12.598,9.8431,8.0929,9781083.0
2020-03-25,7.0154,7.8909,6.747,6.4273,9335164.0
2020-03-24,6.0951,6.5861,6.0417,5.8394,8034165.0
2020-03-23,4.1984,4.275,3.2286,5.2026,6564217.0
2020-03-20,5.9302,6.0716,5.1683,6.6232,11193515.0
2020-03-19,9.2051,13.0793,8.2446,7.2013,11938776.0
2020-03-18,4.5869,4.6056,2.7048,5.7512,9703710.0
2020-03-17,7.565,7.6701,6.8582,7.6618,10863849.0
2020-03-16,7.4894,8.3787,7.2272,7.6618,6155245.0
2020-03-13,9.0726,9.2694,8.3389,9.4939,7190572.0
2020-03-12,9.4256,9.9008,9.0183,9.4743,8383311.0
2020-03-11,9.6982,9.8394,8.9834,10.219,6963977.0
2020-03-10,10.7002,10.829,10.1297,11.042,4609478.0
2020-03-09,10.8041,11.009,10.1056,11.0811,3717020.0
2020-03-06,12.1982,12.6215,12.0111,12.1687,3594869.0
2020-03-05,12.5018,12.7655,12.3163,12.5214,3807992.0
2020-03-04,12.8848,13.0841,12.7653,12.7761,3249062.0
2020-03-03,12.6297,12.9174,12.4709,12.5508,7410395.0
2020-03-02,13.2177,13.9965,13.1738,12.492,5167513.0
2020-02-28,11.8457,12.0634,11.717,11.7866,7537104.0
2020-02-27,11.7711,11.9882,11.5446,11.9923,5100317.0
2020-02-26,12.1812,12.3334,11.972,12.3646,4296425.0
2020-02-25,12.2632,12.3194,11.9259,12.541,4152156.0
2020-02-24,12.7859,12.9718,12.7566,12.7957,3638637.0
2020-02-21,13.0118,13.1473,12.9343,13.0897,2635352.0
2020-02-20,13.4466,13.7412,13.406,13.2072,3280034.0
2020-02-19,12.7051,12.7425,12.3875,13.0113,3445673.0
2020-02-18,13.374,13.5122,13.3542,13.3248,2442832.0
2020-02-14,13.1988,13.2372,12.9973,13.3346,4343034.0
2020-02-13,13.5404,13.6483,13.4913,13.5306,2588148.0
2020-02-12,13.3197,13.4424,13.0082,13.5698,5795712.0
2020-02-11,13.8833,14.0105,13.8539,13.8931,2134330.0
2020-02-10,13.8539,13.8735,13.6976,13.8735,2175311.0
2020-02-07,13.7962,13.8635,13.6617,13.9027,3377068.0
2020-02-06,13.8941,13.9995,13.7408,14.0198,3863752.0
2020-02-05,14.3041,14.4931,14.3041,14.1662,3513888.0
2020-02-04,13.5145,14.03,13.0726,13.9125,7528691.0
2020-02-03,14.0148,14.3287,13.9845,13.7564,4245396.0
2020-01-31,13.4248,13.551,13.3762,13.454,3598056.0
2020-01-30,13.7395,13.9501,13.6291,13.5515,3967512.0
2020-01-29,13.4053,13.4732,13.318,13.4442,3160775.0
2020-01-28,13.4735,13.5519,13.4441,13.4442,1811582.0
2020-01-27,13.3957,13.5433,13.3268,13.3369,2019935.0
