date,Open,High,Low,Close,Volume
2021-02-12,15.0382,15.9809,14.9828,14.28,2458720.0
2021-02-11,13.3368,13.4485,12.6616,13.7596,3240318.0
2021-02-10,15.0804,15.9521,14.9824,14.3841,4113111.0
2021-02-09,13.122,13.1775,12.6508,13.591,2958565.0
2021-02-08,15.522,16.9246,15.5161,14.2949,3897527.0
2021-02-05,12.6929,12.8365,12.3579,12.9169,2415958.0
2021-02-04,12.8575,13.0252,12.5122,12.8872,2641116.0
2021-02-03,13.848,14.89,13.848,13.026,4220025.0
2021-02-02,11.8814,11.9955,11.3919,12.1338,4387657.0
2021-02-01,11.5649,11.6571,10.9521,11.995,5054332.0
2021-01-29,11.8693,12.524,11.3538,12.2627,5658533.0
2021-01-28,11.9664,12.1046,10.9382,12.8178,7998650.0
2021-01-27,15.7073,18.723,15.593,13.8785,10594692.0
2021-01-26,12.6295,13.1474,12.4502,12.5997,5539825.0
2021-01-25,12.7666,13.3042,12.1753,12.4411,7161660.0
2021-01-22,12.5416,13.0225,12.1974,12.4114,7831196.0
2021-01-21,11.1341,11.2967,9.2981,12.8971,12326053.0
2021-01-20,14.3991,14.5151,13.7139,14.9987,3334203.0
2021-01-19,16.0544,16.9457,16.0118,15.425,3823026.0
2021-01-15,14.0094,14.092,13.3397,14.5625,4050488.0
2021-01-14,16.0214,16.9133,15.984,15.4349,3441635.0
2021-01-13,14.0886,14.1115,13.3084,14.6418,3486857.0
2021-01-12,16.2377,17.2932,16.1366,15.2565,4214234.0
2021-01-11,14.6611,15.4213,14.509,14.0074,3027143.0
2021-01-08,13.1029,13.1029,12.2218,13.9677,3755157.0
2021-01-07,14.3588,14.5268,13.9377,14.6121,4858331.0
2021-01-06,15.5468,17.0099,15.1287,14.5625,12001552.0
2021-01-05,14.3023,15.5071,14.2409,13.482,4784597.0
2021-01-04,12.6436,13.0706,12.3967,12.4114,3718301.0
2020-12-31,11.926,12.121,11.8084,11.995,2638350.0
2020-12-30,12.4976,12.943,12.4768,12.2032,2369348.0
2020-12-29,11.8963,12.1119,11.6807,11.9653,2913699.0
2020-12-28,11.7012,12.0315,11.4714,11.9058,2621984.0
2020-12-24,11.7737,11.7926,11.3387,12.0545,1577279.0
2020-12-23,12.9883,13.8795,12.985,12.2527,3777519.0
2020-12-22,11.1672,11.2623,10.9056,11.4002,3542033.0
2020-12-21,12.0769,12.6803,11.8017,11.6877,4625449.0
2020-12-18,12.2438,12.4962,12.052,12.1338,6628428.0
2020-12-17,11.7365,11.8397,11.2956,12.0644,3968835.0
2020-12-16,11.6012,11.6276,10.8871,12.3023,4236402.0
2020-12-15,13.4568,13.923,13.2621,13.0161,5029654.0
2020-12-14,11.9392,12.0426,11.0778,12.8079,3939561.0
2020-12-11,12.9951,12.9951,12.4113,13.3333,3989217.0
2020-12-10,14.8084,16.3251,14.7428,13.4919,7289096.0
2020-12-09,12.243,12.7052,11.8792,12.2924,6995354.0
2020-12-08,12.8475,13.6588,12.8364,12.1338,4877923.0
2020-12-07,11.0777,11.2134,10.5351,11.5985,6093021.0
2020-12-04,13.383,14.5118,13.3539,12.3519,5320574.0
2020-12-03,11.4073,11.9703,11.2144,11.1226,5364735.0
2020-12-02,11.5085,12.9111,11.474,10.6865,5471397.0
2020-12-01,9.554,9.6269,8.9614,9.9628,3985941.0
2020-11-30,9.2637,9.3663,8.5708,9.9727,4827921.0
2020-11-27,10.9063,10.9836,10.6288,11.0433,1934535.0
2020-11-25,11.372,11.7524,11.1234,11.2416,4549498.0
2020-11-24,11.4612,11.8567,11.2127,11.3308,6813623.0
2020-11-23,11.5558,12.5892,11.4736,10.6171,5301418.0
2020-11-20,9.2247,9.3948,8.9884,9.4473,4265374.0
2020-11-19,10.305,10.9868,10.2268,9.705,4064572.0
2020-11-18,8.8894,9.1442,8.5072,9.2788,4043851.0
2020-11-17,9.7624,10.0983,9.6049,9.487,3792109.0
2020-11-16,9.6314,9.8813,9.4544,9.3977,4145600.0
2020-11-13,9.0679,9.5121,9.0342,8.6741,3272511.0
2020-11-12,8.1418,8.5754,7.9877,8.2001,3802765.0
2020-11-11,8.2818,8.4131,8.0145,8.4542,3719551.0
2020-11-10,8.2373,8.2557,7.8052,8.4933,5053147.0
2020-11-09,9.2046,10.4817,9.1701,8.4835,9076130.0
2020-11-06,6.6813,6.9624,6.4509,6.8806,4340231.0
2020-11-05,6.9065,7.1367,6.6394,7.1152,5339018.0
2020-11-04,7.4867,7.5691,7.0891,7.5159,5788313.0
2020-11-03,7.1004,7.1702,6.6294,7.5159,3848650.0
2020-11-02,7.8295,8.0289,7.5402,7.7505,3711961.0
2020-10-30,7.5257,7.623,7.3021,7.5452,3727504.0
2020-10-29,8.3164,9.0725,8.1536,7.6234,4071659.0
2020-10-28,6.9132,7.0119,6.5002,7.2129,5969977.0
2020-10-27,7.8385,7.9563,7.6911,7.8189,2866260.0
2020-10-26,7.311,7.311,6.7004,7.8482,5599628.0
2020-10-23,8.1847,8.2703,7.7971,8.5226,3454771.0
2020-10-22,9.2614,9.7947,9.1852,8.7767,4863906.0
2020-10-21,8.2301,8.6282,8.1006,8.3076,5601493.0
2020-10-20,8.8701,9.4816,8.8701,8.503,4749063.0
2020-10-19,7.7921,7.8283,7.4848,8.1023,4375499.0
2020-10-16,8.1468,8.3233,7.896,8.3564,3848542.0
2020-10-15,9.2339,9.8633,9.156,8.6496,3958542.0
2020-10-14,8.4775,9.161,8.4775,8.2978,5136600.0
2020-10-13,7.8749,7.9946,7.5802,8.1121,6154587.0
2020-10-12,8.3957,8.3957,7.9745,8.4346,6909493.0
2020-10-09,7.9447,8.0046,7.3546,8.4933,4151793.0
2020-10-08,9.4661,9.9763,9.2489,8.9819,3452741.0
2020-10-07,8.4647,8.624,8.3352,8.3858,3217251.0
2020-10-06,7.6565,7.8342,7.115,8.2294,4578137.0
2020-10-05,8.6694,8.8372,8.3636,8.6301,4727549.0
2020-10-02,8.9728,9.8644,8.9279,8.376,5878406.0
2020-10-01,7.9743,8.0841,7.6355,8.2391,4197429.0
2020-09-30,8.7475,9.146,8.6491,8.7181,5320222.0
2020-09-29,8.3368,8.3368,7.9528,8.6203,3573820.0
2020-09-28,9.2223,9.6644,9.1195,8.9917,4126947.0
2020-09-25,8.5815,8.804,8.4629,8.5324,4036597.0
2020-09-24,8.9141,9.5007,8.6103,8.6105,4088921.0
2020-09-23,7.644,7.707,6.8638,8.5128,4395786.0
2020-09-22,9.8474,10.4933,9.8262,9.4608,5792706.0
2020-09-21,8.3059,8.38,7.5815,9.0504,6547345.0
2020-09-18,9.9931,10.143,9.6181,10.2036,7871223.0
2020-09-17,10.5589,10.873,10.4548,10.3698,4202070.0
2020-09-16,11.084,12.063,10.9426,10.5066,7634878.0
2020-09-15,9.6125,9.8273,9.3182,9.8322,5301177.0
2020-09-14,9.9985,10.2049,9.561,9.9691,6439892.0
2020-09-11,9.7446,9.8798,9.397,9.8029,8571642.0
2020-09-10,8.8483,8.8483,7.9547,9.7931,23213828.0
2020-09-09,10.8196,10.8826,10.5193,10.8682,3415011.0
2020-09-08,10.0671,10.0756,9.3925,10.7705,4360242.0
2020-09-04,11.6559,11.7213,10.9088,11.914,4823355.0
2020-09-03,11.4934,11.6175,10.9041,12.0704,11990546.0
2020-09-02,12.0876,12.2018,11.4381,12.7546,4415363.0
2020-09-01,13.6349,13.9671,13.506,13.5364,2503207.0
2020-08-31,12.7426,12.7426,12.0386,13.4289,2016190.0
2020-08-28,14.1033,14.415,13.9661,14.0838,1432396.0
2020-08-27,14.2024,14.4316,13.9532,14.0642,2490304.0
2020-08-26,12.9907,13.0946,12.2199,13.8003,1894520.0
2020-08-25,14.6508,14.8181,14.4048,14.6018,1341431.0
2020-08-24,14.6991,15.3677,14.4214,14.3281,1856496.0
2020-08-21,13.4289,13.466,12.8915,13.7906,2082400.0
2020-08-20,14.0943,14.388,13.9884,14.201,3430634.0
2020-08-19,14.8806,15.378,14.7791,14.6018,2806249.0
2020-08-18,14.2325,14.366,14.0417,14.4063,1809658.0
2020-08-17,14.622,14.8149,14.1686,14.719,1973902.0
