date,Open,High,Low,Close,Volume
2021-02-12,44.2101,44.2803,44.18,44.14,332074.0
2021-02-11,44.08,44.08,44.03,44.09,591290.0
2021-02-10,44.0001,44.0101,43.8905,44.08,361483.0
2021-02-09,44.19,44.22,44.1199,44.17,322938.0
2021-02-08,44.13,44.17,44.1,44.12,385435.0
2021-02-05,44.1,44.13,44.08,44.11,277758.0
2021-02-04,44.09,44.13,44.06,44.11,1176809.0
2021-02-03,44.2301,44.3003,44.1799,44.17,643541.0
2021-02-02,44.1701,44.2704,44.15,44.11,374906.0
2021-02-01,44.16,44.2101,44.0298,44.13,1079574.0
2021-01-29,43.9301,43.9301,43.8105,44.0,745752.0
2021-01-28,43.9004,43.9104,43.7017,44.04,789904.0
2021-01-27,44.04,44.145,43.97,44.05,923895.0
2021-01-26,44.04,44.11,43.99,44.05,484240.0
2021-01-25,44.06,44.12,44.03,44.06,361997.0
2021-01-22,44.2503,44.371,44.2503,44.13,311972.0
2021-01-21,44.06,44.1501,44.04,44.04,330730.0
2021-01-20,43.96,43.98,43.93,43.97,405923.0
2021-01-19,44.01,44.0451,43.97,43.98,579905.0
2021-01-15,43.89,43.93,43.8601,43.92,788770.0
2021-01-14,43.8801,43.9,43.8103,43.95,415718.0
2021-01-13,43.97,44.0,43.95,43.97,452444.0
2021-01-12,44.01,44.1002,44.01,43.97,794042.0
2021-01-11,43.9,43.9699,43.8501,43.93,553842.0
2021-01-08,43.96,43.97,43.92,43.98,709870.0
2021-01-07,43.8803,43.8803,43.741,43.99,809061.0
2021-01-06,44.2706,44.462,44.2706,44.11,764597.0
2021-01-05,43.7807,43.8203,43.612,43.95,914314.0
2021-01-04,44.2804,44.4415,44.2804,44.14,1100231.0
2020-12-31,43.8403,43.8602,43.721,43.96,531104.0
2020-12-30,44.07,44.09,43.97,44.07,522550.0
2020-12-29,44.1702,44.3008,44.12,44.07,621993.0
2020-12-28,43.9001,43.9599,43.8452,43.95,771693.0
2020-12-24,43.9501,43.9601,43.8504,44.01,191839.0
2020-12-23,44.04,44.05,43.97,44.03,881988.0
2020-12-22,43.8901,43.91,43.7207,43.96,1100354.0
2020-12-21,43.98,44.0299,43.9002,44.02,899500.0
2020-12-18,43.9902,44.0101,43.8109,44.08,1109283.0
2020-12-17,44.0601,44.08,44.0002,44.12,605236.0
2020-12-16,44.1501,44.18,44.0303,44.2,710797.0
2020-12-15,44.21,44.2601,44.2,44.19,723846.0
2020-12-14,44.16,44.16,44.0801,44.18,769329.0
2020-12-11,44.2701,44.3504,44.2701,44.2,704275.0
2020-12-10,44.16,44.19,44.0602,44.19,580787.0
2020-12-09,44.3701,44.4202,44.2899,44.32,1209042.0
2020-12-08,44.28,44.3802,44.27,44.24,983279.0
2020-12-07,44.4605,44.6115,44.4202,44.31,1086104.0
2020-12-04,44.2,44.23,44.1199,44.18,612063.0
2020-12-03,44.14,44.15,44.0901,44.17,780159.0
2020-12-02,44.24,44.2901,44.23,44.2,1323553.0
2020-12-01,44.2701,44.3804,44.23,44.21,1938543.0
2020-11-30,44.471,44.7133,44.4054,44.26,2277106.0
2020-11-27,44.1301,44.2003,44.1301,44.06,308629.0
2020-11-25,44.01,44.05,43.98,44.01,591590.0
2020-11-24,44.0,44.05,43.97,44.0,1451315.0
2020-11-23,44.0201,44.1203,44.0201,43.97,952203.0
2020-11-20,44.0,44.03,43.95,43.98,974043.0
2020-11-19,43.93,44.0302,43.93,43.9,814689.0
2020-11-18,43.8801,43.9,43.7804,43.94,1954109.0
2020-11-17,43.97,43.98,43.93,43.98,1081146.0
2020-11-16,43.98,44.0,43.95,43.99,1165687.0
2020-11-13,43.99,44.1102,43.98,43.96,1360632.0
2020-11-12,43.93,43.9851,43.89,43.91,1741023.0
2020-11-11,43.9,43.96,43.85,43.89,1446690.0
2020-11-10,43.9802,44.1308,43.93,43.89,3415536.0
2020-11-09,43.9407,44.1624,43.9205,43.77,5545430.0
2020-11-06,43.1907,43.2106,42.9726,43.37,1156091.0
2020-11-05,43.11,43.2299,43.03,43.12,1176193.0
2020-11-04,43.3405,43.5317,43.3405,43.2,1198230.0
2020-11-03,43.09,43.1699,42.9102,43.11,1422061.0
2020-11-02,43.1001,43.4208,42.9998,43.05,1806752.0
2020-10-30,43.6056,44.1377,43.4931,43.11,1894801.0
2020-10-29,43.0612,43.3645,43.041,42.83,1328866.0
2020-10-28,43.1438,43.6838,43.0826,42.74,1476885.0
2020-10-27,42.5805,42.7394,42.2725,42.72,832423.0
2020-10-26,42.9706,43.4341,42.9404,42.81,1926199.0
2020-10-23,42.472,42.541,42.0477,42.76,2039481.0
2020-10-22,42.7337,42.8024,42.3312,43.13,1390153.0
2020-10-21,43.3301,43.4503,43.2198,43.28,1583116.0
2020-10-20,42.9309,43.0003,42.7129,43.13,2186523.0
2020-10-19,43.3201,43.4696,42.937,43.39,1764365.0
2020-10-16,44.149,44.9208,43.8094,43.52,17313352.0
2020-10-15,34.8493,35.4786,33.5522,35.42,5675817.0
2020-10-14,29.4545,29.9098,23.4298,36.0,13656566.0
2020-10-13,44.7215,45.0757,44.4787,44.46,525807.0
2020-10-12,43.8449,43.9428,43.0714,44.31,556594.0
2020-10-09,44.6904,44.8196,44.4221,44.83,412860.0
2020-10-08,44.8803,45.0915,44.5586,44.76,345995.0
2020-10-07,45.1036,45.633,44.9713,44.7,835673.0
2020-10-06,43.3168,43.6484,42.7316,43.86,920977.0
2020-10-05,43.1561,43.5507,42.3188,43.99,2259557.0
