date,Open,High,Low,Close,Volume
2021-02-12,141.4719,142.4894,140.7969,141.99,484922.0
2021-02-11,141.7031,141.9013,140.2766,142.37,466100.0
2021-02-10,140.9563,141.338,138.1567,142.47,509717.0
2021-02-09,143.6217,144.9608,142.9924,143.13,420598.0
2021-02-08,141.803,142.5362,140.6336,142.45,493387.0
2021-02-05,141.3705,142.0586,139.5324,142.59,680127.0
2021-02-04,144.4858,147.2609,144.1161,143.57,824146.0
2021-02-03,142.0401,142.8587,140.7822,142.16,879399.0
2021-02-02,146.177,150.3586,145.6307,142.61,900569.0
2021-02-01,140.7217,143.3397,139.6601,138.61,873357.0
2021-01-29,132.498,132.498,128.7658,135.27,1122307.0
2021-01-28,136.7287,138.6631,134.3979,139.03,979749.0
2021-01-27,141.9136,145.1056,138.9438,141.2,1592139.0
2021-01-26,139.5479,140.115,137.353,141.13,971532.0
2021-01-25,144.082,146.4195,143.2414,142.3,836133.0
2021-01-22,139.5554,139.7875,137.5108,140.42,1126985.0
2021-01-21,138.7602,139.0588,135.2549,141.4,692687.0
2021-01-20,143.9606,144.8843,142.073,143.67,1266978.0
2021-01-19,142.31,143.1006,140.3386,142.26,896293.0
2021-01-15,138.6539,139.7126,136.6344,140.04,2754167.0
2021-01-14,141.0483,141.0975,138.6551,142.13,959087.0
2021-01-13,142.9112,144.3497,142.8408,142.49,1414480.0
2021-01-12,142.8561,144.5685,142.7244,141.92,942587.0
2021-01-11,143.6424,147.4462,143.4241,140.9,1129180.0
2021-01-08,142.2744,146.1719,142.2744,138.81,787072.0
2021-01-07,138.6856,140.6795,138.4081,136.8,881744.0
2021-01-06,138.5203,142.8533,138.0702,135.4,1022769.0
2021-01-05,131.6508,132.3972,130.9039,131.97,1101815.0
2021-01-04,130.3121,130.507,127.3596,132.01,1443819.0
2020-12-31,135.5378,138.53,134.9956,132.74,511377.0
2020-12-30,130.501,131.2552,130.1792,130.14,399687.0
2020-12-29,128.632,128.8503,127.8879,129.14,303599.0
2020-12-28,128.6204,128.7599,127.4645,128.85,457984.0
2020-12-24,129.2632,130.0308,128.8693,128.62,191829.0
2020-12-23,125.4594,125.6998,123.0077,127.95,493169.0
2020-12-22,132.8348,136.3379,132.5316,129.9,1041181.0
2020-12-21,128.2804,129.0281,124.7226,128.05,1112400.0
2020-12-18,129.0113,130.4706,128.7698,128.6,1709452.0
2020-12-17,129.1634,130.8103,128.6178,128.5,1051413.0
2020-12-16,126.305,126.7099,125.1251,127.1,1110395.0
