date,Open,High,Low,Close,Volume
2021-02-12,62.3004,62.7979,61.7831,62.46,1808698.0
2021-02-11,63.2113,63.5948,62.9489,62.93,2122895.0
2021-02-10,62.8823,64.2691,62.7102,62.5,3430436.0
2021-02-09,62.5095,63.3398,62.4275,61.74,2115281.0
2021-02-08,60.5916,60.6807,60.1659,60.9,1911602.0
2021-02-05,61.22,61.5104,61.0698,61.18,1577267.0
2021-02-04,61.3223,62.1928,61.2008,60.95,1897226.0
2021-02-03,60.8627,61.42,60.4456,60.46,2300131.0
2021-02-02,60.4804,61.1088,60.1185,60.32,2197822.0
2021-02-01,60.8785,61.6772,60.2538,60.16,2433665.0
2021-01-29,57.9994,58.7323,56.7987,59.06,4716175.0
2021-01-28,61.4143,62.9433,61.3267,60.709,3030411.0
2021-01-27,60.2311,61.1508,60.0911,60.1213,3436558.0
2021-01-26,60.65,61.3824,60.4794,60.4301,2442603.0
2021-01-25,60.5221,61.8223,60.1444,60.1412,3616467.0
2021-01-22,60.5443,61.6131,60.3798,59.6033,2814076.0
2021-01-21,59.4601,60.4563,59.1432,58.8563,2553250.0
2021-01-20,59.5341,60.5365,59.3499,58.7467,2543338.0
2021-01-19,57.066,57.066,55.8859,57.9101,3300607.0
2021-01-15,59.0219,59.9064,58.3508,58.418,3256903.0
2021-01-14,57.2843,57.3483,56.8115,57.6013,2916482.0
2021-01-13,57.0969,57.7048,56.3911,57.5515,4278434.0
2021-01-12,58.3587,59.2846,58.3178,57.5814,11789505.0
2021-01-11,59.0261,59.2737,58.709,59.185,2555963.0
2021-01-08,60.2501,61.1283,60.1071,59.5037,3198173.0
2021-01-07,57.8131,57.8192,56.6427,58.6671,4169515.0
2021-01-06,58.4827,58.5502,57.2764,59.4141,4142096.0
2021-01-05,60.0819,60.8329,60.0218,59.9221,2714887.0
2021-01-04,57.3987,57.4725,55.2201,59.6233,3842331.0
2020-12-31,63.174,64.4802,62.666,61.9241,2289673.0
2020-12-30,61.0674,62.0381,60.9573,60.8083,1406040.0
2020-12-29,59.7171,60.1812,58.8175,60.5007,1574433.0
2020-12-28,62.0174,62.8605,61.926,61.2945,1780240.0
2020-12-24,61.0495,61.5124,60.6771,60.6197,772651.0
2020-12-23,59.4928,59.9416,58.9366,59.9946,2072244.0
2020-12-22,61.5109,62.579,61.1309,60.461,2285322.0
2020-12-21,59.8002,60.3045,59.2278,59.3099,2878452.0
2020-12-18,57.7519,58.3876,56.2339,59.0618,5574302.0
2020-12-17,59.9317,60.0289,59.2029,60.5602,2823091.0
2020-12-16,60.454,60.7672,59.9648,60.8777,2288831.0
2020-12-15,62.1605,63.0592,61.6393,61.2747,2409002.0
2020-12-14,59.8768,60.86,59.4049,60.1534,3340976.0
2020-12-11,60.4546,61.0591,60.3336,59.9946,3059343.0
2020-12-10,58.9962,59.2012,58.4395,59.4687,3454799.0
2020-12-09,60.4619,61.3021,60.2019,60.2228,4580166.0
2020-12-08,59.6683,60.1109,59.393,59.9351,2668492.0
2020-12-07,59.8,59.9074,59.1847,60.2824,2336975.0
2020-12-04,60.4824,60.7967,59.8144,60.7884,1886109.0
2020-12-03,60.8788,61.7345,60.7287,60.6197,1789798.0
2020-12-02,60.6113,61.1725,60.1603,60.3121,2003823.0
2020-12-01,59.7568,60.2604,59.4248,59.9053,2557001.0
2020-11-30,57.7462,57.7779,55.9989,59.5084,5520482.0
2020-11-27,59.6125,59.6125,58.1932,60.9278,1331091.0
2020-11-25,63.0757,64.1999,62.5365,62.1732,3173287.0
2020-11-24,61.1452,62.2926,61.0622,61.1255,3437716.0
2020-11-23,60.3152,61.5958,60.1564,60.1864,2811924.0
2020-11-20,59.1729,59.4837,58.493,59.6922,3239177.0
2020-11-19,60.4633,60.8891,59.5026,60.4039,3256866.0
2020-11-18,58.8387,59.4902,57.1923,60.483,2796400.0
2020-11-17,61.1787,61.2267,59.8354,62.0941,2491299.0
2020-11-16,63.3029,63.4882,61.9178,63.7251,2541461.0
2020-11-13,63.4486,64.7497,63.4486,62.3215,1624885.0
2020-11-12,59.9594,59.9594,58.2817,61.0563,2053841.0
2020-11-11,61.849,61.8595,60.0365,62.707,2367313.0
