date,Open,High,Low,Close,Volume
2021-02-12,217.8669,224.2332,217.8669,212.21,316241.0
2021-02-11,205.3746,206.0129,199.7223,208.04,680609.0
2021-02-10,201.9084,202.6831,194.124,208.99,929753.0
2021-02-09,219.0571,223.4684,218.6645,215.52,650553.0
2021-02-08,215.221,220.0329,214.491,212.25,631887.0
2021-02-05,211.5611,216.2543,209.7552,209.45,779109.0
2021-02-04,209.8644,217.236,207.6919,204.36,1246510.0
2021-02-03,190.9334,192.0427,184.2305,197.75,735387.0
2021-02-02,208.4835,214.1751,208.0784,204.57,499381.0
2021-02-01,201.2122,204.0923,198.5976,199.1,762920.0
2021-01-29,190.3596,191.2839,186.518,194.0,740207.0
2021-01-28,202.8109,208.1901,201.5855,199.02,707258.0
2021-01-27,184.5665,184.5665,173.8773,194.33,755911.0
2021-01-26,203.1259,203.6049,197.8861,207.54,622082.0
2021-01-25,218.5635,226.7089,218.5313,211.12,608427.0
2021-01-22,201.8089,201.8089,197.6842,204.61,498288.0
2021-01-21,205.4648,207.4118,203.1459,207.72,598342.0
2021-01-20,210.4201,212.7321,206.9826,208.96,789319.0
2021-01-19,206.7925,211.9268,205.9782,207.51,537478.0
2021-01-15,209.3178,212.4757,206.2413,207.39,777267.0
2021-01-14,209.979,214.7915,207.7468,207.51,675085.0
2021-01-13,198.7447,198.8327,195.7518,200.96,539740.0
2021-01-12,203.5502,206.2305,201.2156,203.35,376013.0
2021-01-11,200.5166,202.3236,198.3462,202.34,602513.0
2021-01-08,208.9965,213.979,208.9965,205.56,640894.0
2021-01-07,208.1331,215.7375,207.0604,201.96,1021041.0
2021-01-06,195.9354,201.1035,195.9354,193.3,1049053.0
2021-01-05,193.2314,196.4708,192.3885,191.75,1362452.0
2021-01-04,186.351,187.6785,181.7097,190.69,1039756.0
2020-12-31,195.7718,196.808,194.0816,195.18,497712.0
2020-12-30,192.3484,192.7234,189.4469,193.62,496050.0
2020-12-29,192.5824,193.8913,189.138,194.13,428709.0
2020-12-28,190.7028,191.3538,186.4716,194.91,393514.0
2020-12-24,199.6397,201.7996,199.3152,198.25,146855.0
2020-12-23,194.4687,195.645,192.0283,196.83,347554.0
2020-12-22,199.3222,201.1544,199.0907,198.66,464105.0
2020-12-21,198.5426,201.0408,197.4447,197.82,539265.0
2020-12-18,204.1124,209.407,202.3127,199.54,1581535.0
2020-12-17,196.6216,197.8888,195.2136,196.06,942271.0
2020-12-16,191.9388,192.5589,188.7901,195.0,570881.0
2020-12-15,199.8727,203.5511,198.9683,198.28,515721.0
2020-12-14,188.7134,188.802,181.929,195.35,807176.0
2020-12-11,203.8767,209.1605,203.619,200.79,589694.0
2020-12-10,195.9486,195.9584,191.0278,198.7,754234.0
2020-12-09,195.6399,196.3869,188.0996,202.77,676255.0
2020-12-08,212.4552,214.888,211.4433,210.14,512176.0
2020-12-07,207.1938,207.6697,204.6367,208.08,513856.0
2020-12-04,208.9903,212.0527,207.7983,209.25,672589.0
2020-12-03,210.9018,216.3303,210.9018,207.01,595117.0
2020-12-02,199.2749,199.3648,192.6873,204.83,803895.0
2020-12-01,218.6016,226.874,217.4535,211.04,1339493.0
2020-11-30,205.1016,207.9874,202.8621,203.2156,965570.0
2020-11-27,202.5283,204.0978,201.4317,201.8465,242123.0
2020-11-25,201.1205,201.5433,196.8635,202.7659,514485.0
2020-11-24,204.1482,207.11,202.7177,203.3255,725467.0
2020-11-23,197.9176,200.5915,193.3078,202.0964,726871.0
2020-11-20,206.2967,208.7646,205.7829,205.474,428197.0
2020-11-19,206.6104,208.3801,204.5677,205.384,538728.0
2020-11-18,202.9751,204.7348,201.4766,204.3548,517359.0
2020-11-17,208.0978,211.3066,206.3095,205.7837,534155.0
2020-11-16,209.4285,214.2949,208.0957,205.9636,776074.0
2020-11-13,206.4758,211.4678,206.2371,202.606,629143.0
2020-11-12,195.4456,196.0055,191.5116,197.1299,776013.0
2020-11-11,194.6448,194.6448,189.6353,197.8594,852124.0
2020-11-10,195.7636,198.1532,190.9843,197.3397,867173.0
2020-11-09,186.8124,187.8764,174.9239,199.1485,1010434.0
2020-11-06,208.3727,211.7538,208.1902,206.873,424284.0
2020-11-05,208.7267,212.6961,206.2138,206.0236,561047.0
2020-11-04,199.9982,203.5564,199.2208,200.2577,609522.0
2020-11-03,200.4475,204.7284,199.582,197.9993,503482.0
2020-11-02,193.4776,194.5004,190.8282,193.6124,685965.0
2020-10-30,192.1832,197.2417,192.1832,190.2348,803160.0
2020-10-29,194.0686,198.6975,192.6446,190.2148,785890.0
2020-10-28,186.2879,188.8993,184.6034,186.5274,826288.0
2020-10-27,184.001,190.3917,178.1476,189.4553,911033.0
2020-10-26,198.4191,199.54,196.2373,198.2691,820899.0
2020-10-23,204.0992,208.1489,203.9542,200.4775,642657.0
2020-10-22,195.0462,196.936,191.6329,196.0207,586235.0
2020-10-21,193.2751,195.633,190.3254,196.1406,587580.0
2020-10-20,199.6202,202.8788,199.1073,198.9786,397448.0
2020-10-19,192.6795,193.5324,187.6839,196.7601,592085.0
2020-10-16,197.1546,197.493,193.7707,200.4375,560526.0
2020-10-15,207.1757,211.6752,206.4017,203.8651,380688.0
2020-10-14,203.5421,207.2422,203.5421,202.3662,442540.0
2020-10-13,200.5475,202.5377,199.8924,200.4675,501649.0
2020-10-12,200.3181,202.7491,199.7402,200.6174,576518.0
2020-10-09,201.362,203.8837,200.2028,199.6181,866879.0
2020-10-08,200.0967,203.4483,199.0345,196.97,640537.0
2020-10-07,194.8217,198.1064,193.9074,192.793,758007.0
2020-10-06,189.2058,192.5115,186.2808,188.9757,764581.0
2020-10-05,191.7033,196.2903,191.7033,188.3261,707365.0
2020-10-02,188.379,195.1243,188.379,184.4289,595163.0
2020-10-01,182.9605,185.4274,181.0051,182.6402,927499.0
2020-09-30,175.8538,176.7992,170.0109,180.7915,1006723.0
2020-09-29,183.8858,185.9398,182.5921,184.9785,1313894.0
2020-09-28,190.0059,193.2893,189.8618,187.2169,793928.0
2020-09-25,182.4705,185.4101,181.3289,182.2804,779020.0
2020-09-24,186.6715,191.444,185.8675,183.7994,1153303.0
2020-09-23,183.43,188.1372,182.659,182.0506,1075078.0
2020-09-22,182.3168,185.53,179.5974,180.5916,1281154.0
