date,Open,High,Low,Close,Volume
2021-02-12,32.941,32.941,32.1962,33.38,347044.0
2021-02-11,33.7976,34.8284,33.6946,33.29,563193.0
2021-02-10,32.1005,32.3996,31.126,32.68,543981.0
2021-02-09,33.2942,33.8568,33.1357,32.92,503848.0
2021-02-08,32.7753,33.4318,32.4207,32.36,469307.0
2021-02-05,31.4174,31.4174,30.5541,31.9,487151.0
2021-02-04,32.2734,32.8146,31.9059,31.94,570677.0
2021-02-03,30.8232,30.8232,29.5753,31.46,787473.0
2021-02-02,31.3566,31.8278,30.5986,31.81,704485.0
2021-02-01,32.4705,33.9078,32.4705,31.76,1100884.0
2021-01-29,30.9473,31.4817,29.5541,31.68,1385161.0
2021-01-28,30.7957,31.725,29.1805,32.42,1648169.0
2021-01-27,35.8249,40.2321,35.6831,34.3,3169510.0
2021-01-26,33.2,33.64,32.75,33.2,775455.0
2021-01-25,33.6116,34.6853,33.6116,32.76,718493.0
2021-01-22,34.1166,35.8577,34.0615,32.5,1708417.0
2021-01-21,30.9161,30.9161,30.3034,31.35,454911.0
2021-01-20,31.4218,31.4218,30.2595,31.66,500542.0
2021-01-19,31.1038,31.5786,29.1617,31.76,974828.0
2021-01-15,31.6827,31.9103,29.8898,32.53,1442076.0
2021-01-14,34.542,36.0576,34.3105,33.67,713409.0
2021-01-13,33.1655,34.3629,32.6523,32.9357,838115.0
2021-01-12,33.2365,34.0627,33.1125,32.5784,510860.0
2021-01-11,32.1358,32.6838,32.1155,31.7796,474382.0
2021-01-08,32.3463,33.1318,32.1321,31.9036,607500.0
2021-01-07,31.1597,32.0486,30.3208,31.0602,1112171.0
2021-01-06,30.843,30.9704,29.9508,31.0304,977920.0
2021-01-05,30.4244,31.7921,30.4244,29.661,878539.0
2021-01-04,27.6409,27.6454,25.5328,28.9167,1130446.0
2020-12-31,28.7528,28.7528,28.0411,29.403,688407.0
2020-12-30,29.4904,30.7004,29.0007,29.9785,1245384.0
2020-12-29,30.9476,30.9476,30.0269,31.3975,282174.0
2020-12-28,31.4974,31.5761,31.0449,31.6357,335176.0
2020-12-24,30.7016,30.956,29.8036,31.467,151855.0
2020-12-23,31.4545,31.4545,30.9634,31.9334,369924.0
2020-12-22,32.1722,32.5125,31.5115,32.0326,1056054.0
2020-12-21,32.4215,33.1949,31.6171,31.8044,683537.0
2020-12-18,30.5211,30.5952,29.2973,31.5762,1512192.0
2020-12-17,32.251,32.4788,31.8845,32.2807,636987.0
2020-12-16,32.4608,32.8028,32.1389,32.241,552153.0
2020-12-15,32.9805,34.0194,32.7916,32.0723,605743.0
2020-12-14,30.5216,30.5216,29.766,30.9907,777691.0
2020-12-11,30.9235,31.3235,30.1236,31.1892,535018.0
2020-12-10,31.5961,32.041,31.0919,31.6556,649086.0
2020-12-09,30.907,31.0741,29.8115,31.9533,805620.0
2020-12-08,33.8275,35.0905,33.8275,32.8464,862461.0
2020-12-07,31.6076,32.0771,30.9423,31.8342,921875.0
2020-12-04,33.0596,33.9296,32.5936,32.3601,847815.0
2020-12-03,31.3335,32.0779,30.5407,31.7449,2003524.0
2020-12-02,34.4928,38.1601,34.3759,31.6952,3220119.0
2020-12-01,27.0676,27.337,26.1631,27.4877,904208.0
2020-11-30,27.597,28.5829,27.3878,27.5473,963097.0
2020-11-27,27.8156,28.1857,27.2355,27.7061,236731.0
2020-11-25,26.7368,26.8032,25.6635,27.329,490854.0
2020-11-24,28.1431,28.7232,27.7031,28.0335,592403.0
2020-11-23,27.6268,28.2991,27.3894,27.6763,740018.0
2020-11-20,28.021,28.6054,28.021,27.5671,551883.0
2020-11-19,27.9363,28.5882,27.4397,27.3587,666419.0
2020-11-18,26.1882,26.5639,25.371,26.9171,622985.0
2020-11-17,27.6176,27.8984,26.6846,27.4679,533492.0
2020-11-16,27.1465,27.6005,26.1439,27.8053,709638.0
2020-11-13,28.8857,29.9826,28.8439,28.1526,576057.0
2020-11-12,26.7701,27.2797,25.9265,27.195,583985.0
2020-11-11,27.0764,27.0764,25.7404,27.9045,732830.0
2020-11-10,28.7684,29.6797,27.8372,28.6389,1364602.0
2020-11-09,30.8268,32.9185,30.8044,29.0358,1761326.0
2020-11-06,26.3084,26.7618,25.9759,26.1084,334427.0
2020-11-05,25.9993,26.4145,25.2819,26.0489,783374.0
2020-11-04,26.1319,26.6503,25.7152,25.8206,624592.0
2020-11-03,25.9814,26.738,25.6187,25.4237,651477.0
2020-11-02,23.7752,23.9912,22.8268,24.4413,779028.0
2020-10-30,24.5315,24.9726,23.8651,24.6844,985607.0
2020-10-29,25.3783,26.2735,24.7017,24.7787,549092.0
2020-10-28,23.0506,23.4942,21.7479,24.3916,1200508.0
2020-10-27,26.2672,26.7817,25.9902,26.3069,670448.0
2020-10-26,25.5989,25.774,24.7022,26.2473,697596.0
2020-10-23,26.8429,26.9712,26.3789,26.9122,417532.0
2020-10-22,27.7427,28.8629,27.7427,26.8824,717624.0
2020-10-21,25.7222,26.1441,25.5653,25.8702,511276.0
2020-10-20,25.5948,25.7659,24.8823,26.158,770740.0
2020-10-19,25.6442,26.0938,24.8574,26.3962,749208.0
2020-10-16,27.8786,28.6155,27.5257,27.2595,596241.0
2020-10-15,28.5626,30.4253,28.4903,26.9816,831882.0
2020-10-14,26.8378,28.0586,26.7126,26.0479,914137.0
2020-10-13,25.6505,26.0859,25.4986,25.2713,341865.0
2020-10-12,25.6612,26.1789,25.509,25.2517,543283.0
2020-10-09,24.4423,24.4899,23.9854,24.8388,585175.0
2020-10-08,25.2934,25.6944,24.9225,25.0453,600056.0
2020-10-07,24.574,25.11,24.4748,24.4555,825319.0
2020-10-06,23.9621,24.2465,23.3742,24.3965,934330.0
2020-10-05,25.2723,25.9435,25.1083,24.7504,747771.0
2020-10-02,24.8949,25.8613,24.6533,24.082,612696.0
2020-10-01,23.6204,24.0103,23.172,23.7183,1096068.0
2020-09-30,24.2521,25.0863,24.2315,23.6937,965080.0
2020-09-29,22.5275,22.5554,21.8583,23.1678,553141.0
2020-09-28,24.2455,24.8039,24.0526,23.8559,716965.0
2020-09-25,23.5615,24.1664,23.5307,23.0696,567383.0
2020-09-24,23.4874,24.7999,23.2566,22.7255,2361299.0
2020-09-23,20.7923,20.7923,19.5216,22.0964,2063693.0
2020-09-22,22.9834,23.3309,22.3541,23.5119,1406885.0
2020-09-21,25.844,27.6109,25.74,24.2294,2243095.0
2020-09-18,22.4917,22.5511,21.4126,23.3349,1893966.0
2020-09-17,24.6712,25.5241,24.0992,23.9837,1911610.0
2020-09-16,23.486,23.6586,23.1503,23.7773,1370606.0
2020-09-15,23.3194,23.5723,22.617,23.8903,1003620.0
2020-09-14,24.7409,25.4065,24.3774,24.2393,700505.0
2020-09-11,23.3557,23.6806,22.7737,23.5119,1387784.0
2020-09-10,22.7927,23.0438,22.1324,23.4332,946944.0
2020-09-09,24.1214,24.4866,23.7167,24.0722,736073.0
2020-09-08,22.1707,22.359,20.6684,23.7576,1354411.0
2020-09-04,24.997,25.0342,23.9798,25.7137,1582202.0
2020-09-03,23.8524,24.1999,21.3456,25.9987,2260781.0
2020-09-02,28.3877,29.6363,28.2413,28.4954,2378419.0
2020-09-01,28.4561,28.6234,27.8458,28.4364,803617.0
2020-08-31,28.0034,28.0034,26.79,28.515,1320062.0
2020-08-28,29.2455,29.6972,29.0147,28.9426,817644.0
2020-08-27,28.8412,29.4104,28.4318,28.6133,1184754.0
2020-08-26,29.293,30.6399,29.2506,28.2005,1638943.0
2020-08-25,27.6351,28.3455,27.2036,27.0013,917897.0
2020-08-24,27.2318,28.5057,27.2318,26.4214,1524364.0
2020-08-21,25.7269,26.069,25.4754,25.4286,681851.0
2020-08-20,25.1452,25.416,24.9373,25.35,608185.0
2020-08-19,25.3056,25.6376,24.8848,25.6547,652131.0
2020-08-18,25.8327,26.0462,25.493,25.9987,656996.0
2020-08-17,25.9046,25.9046,25.5309,26.2346,463025.0
2020-08-14,26.6987,27.129,26.5186,26.4607,517145.0
2020-08-13,26.2055,26.4592,25.9713,26.3034,474212.0
2020-08-12,26.4225,26.6068,25.7821,26.5934,621167.0
2020-08-11,25.7237,25.8157,24.7446,26.5983,849970.0
2020-08-10,27.0318,27.1726,26.7794,27.1979,660561.0
2020-08-07,27.2176,27.4435,26.9916,27.2274,603564.0
2020-08-06,27.1207,27.1207,26.1648,27.3158,742300.0
2020-08-05,27.5223,27.5223,27.1009,27.5616,796762.0
2020-08-04,27.9153,29.0074,27.4764,27.3945,1343033.0
2020-08-03,27.5239,28.1231,27.4112,26.962,1951117.0
2020-07-31,26.567,27.0963,26.4041,26.1068,1780929.0
2020-07-30,27.0117,28.4078,26.6221,25.7431,1285466.0
2020-07-29,25.2955,25.7802,25.1946,24.9568,880768.0
2020-07-28,24.3607,24.5047,24.0439,24.6521,970423.0
2020-07-27,25.3073,25.8453,25.1454,24.9027,1525303.0
2020-07-24,24.1688,24.2162,23.638,24.6128,579040.0
2020-07-23,25.0945,25.7305,24.9184,25.1534,934668.0
2020-07-22,25.6422,26.1608,25.5711,25.2124,1206257.0
2020-07-21,24.3456,24.7059,23.7484,24.7897,996988.0
2020-07-20,24.1364,24.4171,23.2851,24.7405,1425675.0
2020-07-17,26.4054,27.7502,26.2773,25.3401,1402012.0
2020-07-16,24.4771,24.8674,24.1869,24.2589,788039.0
2020-07-15,24.9372,25.852,24.9268,24.1227,1022128.0
2020-07-14,23.5971,24.3287,23.2467,22.9263,741057.0
2020-07-13,22.008,22.2623,21.5934,22.3622,719387.0
2020-07-10,22.8148,23.3564,22.7246,22.4692,896420.0
2020-07-09,21.9261,21.9931,21.1519,22.119,1056188.0
2020-07-08,22.3146,22.6106,21.8411,22.1579,1433400.0
2020-07-07,22.3052,22.8092,22.0482,22.1287,1717780.0
2020-07-06,23.0431,23.7449,22.7232,22.3719,1426568.0
2020-07-02,20.7034,20.7489,19.8848,21.4089,875879.0
2020-07-01,22.0966,22.7616,22.0966,21.7105,1181140.0
2020-06-30,20.9237,21.0539,20.3006,21.3992,1159242.0
2020-06-29,21.4284,21.5217,20.7943,21.8855,1742988.0
2020-06-26,23.1947,24.3225,23.0563,22.1774,2298489.0
2020-06-25,22.3595,23.9004,21.8315,21.2436,2370107.0
2020-06-24,18.495,19.1261,17.4431,19.483,2638597.0
2020-06-23,20.113,20.7399,20.113,19.7262,2009000.0
2020-06-22,19.6503,20.4371,19.2824,19.1717,1079362.0
2020-06-19,18.9585,20.2782,18.9092,18.841,1723751.0
2020-06-18,18.3845,18.7306,18.0479,18.4909,785371.0
2020-06-17,18.8903,19.1658,18.6443,18.7827,706709.0
2020-06-16,18.4252,18.5393,17.9118,18.6368,690537.0
2020-06-15,19.5919,21.3069,19.4329,18.131,1305718.0
2020-06-12,17.2072,17.5254,16.6963,17.2847,1213078.0
2020-06-11,15.9636,16.1663,15.038,16.7692,1420924.0
2020-06-10,17.5514,17.6765,16.8101,18.3158,834569.0
2020-06-09,17.5875,17.6879,16.2829,18.9675,1055065.0
2020-06-08,21.1888,22.0276,21.1888,20.9129,1089707.0
2020-06-05,20.3017,21.0087,20.0533,20.4849,1320781.0
2020-06-04,20.2269,21.0993,20.0664,19.9207,1267489.0
2020-06-03,19.3969,19.6195,18.8867,19.8623,899645.0
2020-06-02,20.5821,21.3749,20.4703,20.1347,2394481.0
2020-06-01,19.7874,20.2357,19.6279,19.5511,856114.0
2020-05-29,19.0171,19.0746,18.4704,19.1523,1364879.0
2020-05-28,19.1001,19.3066,18.4807,19.4441,1475248.0
2020-05-27,20.3473,21.3774,20.0287,19.4733,1808432.0
2020-05-26,19.2797,20.4753,19.2156,18.4033,1503576.0
2020-05-22,17.0128,17.6418,16.6688,16.9248,727830.0
2020-05-21,17.0538,17.6518,17.0538,16.847,657162.0
2020-05-20,17.0269,17.5703,16.886,16.74,898993.0
2020-05-19,16.0904,16.4042,15.6434,16.2731,973333.0
2020-05-18,18.0183,19.9137,17.8077,16.4287,1335127.0
2020-05-15,14.6012,14.8883,14.4725,14.4736,1029151.0
2020-05-14,14.474,14.7489,14.1794,14.4056,1505786.0
2020-05-13,14.2017,14.294,13.528,14.5806,1275388.0
2020-05-12,14.1522,14.3756,13.2929,15.0573,1010147.0
2020-05-11,16.2386,16.6307,16.1179,15.9716,1015845.0
2020-05-08,15.6357,15.7956,15.1468,15.9035,958362.0
2020-05-07,15.6329,15.7948,15.0898,15.7965,1064502.0
2020-05-06,15.2566,15.4275,14.6179,15.8646,1548324.0
2020-05-05,16.7667,17.213,16.4218,16.419,1639812.0
2020-05-04,15.8257,16.1572,15.5039,15.8062,1383467.0
2020-05-01,15.2133,15.3414,14.2053,16.2342,1456049.0
2020-04-30,18.2398,18.9767,18.0453,17.7808,1757327.0
2020-04-29,18.3273,19.1509,18.3065,17.703,1760460.0
2020-04-28,17.3535,18.3276,16.9088,16.633,1712179.0
2020-04-27,16.1791,16.9666,16.0111,15.5728,1355288.0
2020-04-24,15.1294,15.441,14.8479,14.8822,1271911.0
2020-04-23,14.4076,14.74,14.1797,14.5806,1522845.0
2020-04-22,14.2265,14.32,13.7778,14.5125,1296301.0
2020-04-21,14.1588,14.5042,13.5801,14.4542,936049.0
2020-04-20,15.3937,16.1219,15.1914,15.0962,997859.0
2020-04-17,15.2923,15.7094,15.1136,15.1351,1611049.0
2020-04-16,14.7282,15.1257,14.2313,14.5709,1697502.0
2020-04-15,13.8731,14.071,13.2163,14.425,1090086.0
2020-04-14,16.0664,16.6484,15.7858,15.5436,1214237.0
2020-04-13,14.8921,15.1466,14.4613,14.8433,1268203.0
2020-04-09,14.8726,15.6363,14.6866,14.8238,1335204.0
2020-04-08,15.2669,16.6904,14.9953,14.4445,1294271.0
2020-04-07,13.8552,14.9742,13.6619,13.4311,2802663.0
2020-04-06,11.9484,12.8447,11.3914,12.523,1705382.0
2020-04-03,12.4158,12.8246,11.4915,12.8767,2239981.0
2020-04-02,13.4374,13.6481,12.7687,13.7275,1481467.0
2020-04-01,13.7298,14.0093,13.2268,13.9091,1467599.0
2020-03-31,13.7361,13.7699,12.6048,14.6165,1108728.0
2020-03-30,16.0728,16.5991,15.5869,15.6203,711736.0
2020-03-27,14.4855,14.6493,13.71,15.257,936376.0
2020-03-26,16.5476,17.2767,16.0008,16.5189,1261033.0
2020-03-25,16.1186,16.7292,15.0948,16.2608,989724.0
2020-03-24,16.7614,17.7554,16.3086,16.5189,1394603.0
2020-03-23,15.2694,15.7998,14.1156,15.4769,1484393.0
2020-03-20,15.7169,17.1837,14.9981,15.5916,3024937.0
2020-03-19,15.784,17.1649,15.1591,15.3717,2961046.0
2020-03-18,12.489,12.6856,8.4854,15.0849,2965007.0
2020-03-17,18.8829,20.0686,18.0892,18.6507,3220402.0
2020-03-16,17.9151,18.2556,16.2787,18.0102,2474745.0
2020-03-13,20.452,21.0263,18.9912,19.9221,2123470.0
2020-03-12,18.9023,19.9126,17.0484,18.6602,1847719.0
