date,Open,High,Low,Close,Volume
2015-12-17,0.1215,0.1249,0.1012,0.1458,1197295.0
2015-12-16,0.1701,0.189,0.1618,0.175,551194.0
2015-12-15,0.1921,0.2076,0.1921,0.1885,326226.0
2015-12-14,0.1731,0.1804,0.162,0.185,884777.0
2015-12-11,0.1993,0.2043,0.1989,0.1982,576791.0
2015-12-10,0.2034,0.214,0.202,0.2,679090.0
2015-12-09,0.2026,0.2142,0.2015,0.1967,879619.0
2015-12-08,0.1995,0.2171,0.1995,0.1952,545291.0
2015-12-07,0.2003,0.2115,0.1913,0.1996,1181090.0
2015-12-04,0.1852,0.1931,0.1748,0.1931,1178271.0
2015-12-03,0.1818,0.1818,0.1653,0.2,899630.0
2015-12-02,0.2001,0.2002,0.1906,0.205,1140760.0
2015-12-01,0.2091,0.2132,0.1983,0.21,2264728.0
2015-11-30,0.1908,0.1934,0.1761,0.2049,718207.0
2015-11-27,0.2254,0.2418,0.2254,0.215,303927.0
2015-11-25,0.2259,0.2424,0.2225,0.2152,387072.0
2015-11-24,0.2171,0.2219,0.2036,0.221,580993.0
2015-11-23,0.2272,0.2365,0.2155,0.22,978814.0
2015-11-20,0.2242,0.2346,0.2189,0.217,490924.0
2015-11-19,0.2051,0.2189,0.2003,0.21,897556.0
2015-11-18,0.2105,0.2268,0.2027,0.2152,408767.0
2015-11-17,0.2104,0.2104,0.1876,0.22,624433.0
2015-11-16,0.2119,0.2161,0.1942,0.2255,674460.0
2015-11-13,0.2842,0.3377,0.2814,0.2396,3515147.0
2015-11-12,0.1903,0.2094,0.1856,0.1951,1233149.0
2015-11-11,0.1969,0.212,0.1844,0.1999,1198679.0
2015-11-10,0.1922,0.2105,0.183,0.2009,1351652.0
2015-11-09,0.1743,0.1791,0.1447,0.21,1761096.0
2015-11-06,0.2293,0.2296,0.2117,0.2311,1187097.0
2015-11-05,0.23,0.2495,0.2126,0.23,1185998.0
2015-11-04,0.1996,0.206,0.178,0.2234,1339075.0
2015-11-03,0.2339,0.2382,0.2196,0.2394,1177786.0
2015-11-02,0.2083,0.2178,0.1911,0.2131,2599549.0
2015-10-30,0.2215,0.2236,0.1926,0.24,569453.0
2015-10-29,0.208,0.2161,0.1841,0.2325,835623.0
2015-10-28,0.2953,0.3555,0.2952,0.2549,1301232.0
2015-10-27,0.2107,0.2155,0.1942,0.2153,630059.0
2015-10-26,0.2124,0.2213,0.193,0.2258,1054400.0
2015-10-23,0.2303,0.2385,0.221,0.24,736476.0
2015-10-22,0.2544,0.2697,0.2496,0.2522,630795.0
2015-10-21,0.2193,0.2193,0.1922,0.2456,652160.0
2015-10-20,0.2918,0.3159,0.285,0.2701,630107.0
2015-10-19,0.2766,0.3086,0.2766,0.2577,602812.0
2015-10-16,0.2431,0.2512,0.2161,0.2562,767636.0
2015-10-15,0.2652,0.2956,0.2652,0.2575,1551678.0
2015-10-14,0.2374,0.2374,0.214,0.2633,1123281.0
2015-10-13,0.2904,0.3149,0.285,0.28,1259341.0
2015-10-12,0.2341,0.2419,0.2029,0.265,1719238.0
2015-10-09,0.2568,0.2679,0.2201,0.2844,1803498.0
2015-10-08,0.285,0.3028,0.2601,0.302,2252528.0
2015-10-07,0.3268,0.3968,0.3268,0.3025,2930857.0
2015-10-06,0.2627,0.2908,0.2447,0.2712,2810996.0
2015-10-05,0.301,0.3371,0.301,0.2743,1391181.0
2015-10-02,0.2617,0.2973,0.2319,0.24,1376625.0
2015-10-01,0.2208,0.233,0.2166,0.2241,488104.0
2015-09-30,0.2215,0.2215,0.1913,0.24,814098.0
2015-09-29,0.2832,0.3176,0.2786,0.2552,1425170.0
2015-09-28,0.2351,0.2539,0.2299,0.23,991570.0
2015-09-25,0.1896,0.1968,0.1604,0.222,2405558.0
2015-09-24,0.2804,0.3125,0.2697,0.27,662209.0
2015-09-23,0.2479,0.2619,0.2339,0.2563,1911541.0
2015-09-22,0.2948,0.3145,0.2683,0.2974,1364081.0
2015-09-21,0.3183,0.35,0.3077,0.309,1970523.0
2015-09-18,0.3104,0.3104,0.2362,0.32,5645339.0
2015-09-17,0.2312,0.2404,0.144,0.34,9240505.0
2015-09-16,0.4928,0.5231,0.4582,0.53,2424065.0
