date,Open,High,Low,Close,Volume
2021-02-12,58.701,62.7321,56.4903,56.39,741669.0
2021-02-11,49.7243,49.8613,45.4291,53.74,775507.0
2021-02-10,57.9333,59.1657,54.3525,58.81,679489.0
2021-02-09,60.0836,62.9578,58.2352,59.62,986851.0
2021-02-08,64.659,73.9013,63.0265,57.7,1529781.0
2021-02-05,49.3631,49.7751,47.121,50.43,732360.0
2021-02-04,55.0161,57.659,51.3376,52.97,1284620.0
2021-02-03,51.2117,53.4852,48.9877,51.51,820484.0
2021-02-02,52.2291,52.6264,46.4572,53.31,1177140.0
2021-02-01,53.9401,55.043,51.3333,53.87,1057174.0
2021-01-29,46.1241,47.5464,42.2366,49.68,1241592.0
2021-01-28,51.0846,52.9462,43.8266,55.28,1622515.0
2021-01-27,67.1122,77.3567,66.2192,62.32,1695398.0
2021-01-26,63.2766,69.8488,62.436,60.56,2416385.0
2021-01-25,61.0512,67.7668,57.608,55.25,1901476.0
2021-01-22,48.9949,53.449,48.8085,48.14,1060338.0
2021-01-21,54.626,60.3545,53.4779,49.69,1428193.0
2021-01-20,39.371,40.0466,33.6041,43.9,2033103.0
2021-01-19,49.9995,56.8603,49.4473,46.13,1815942.0
2021-01-15,40.6319,40.9377,36.5235,40.91,1284994.0
2021-01-14,44.6553,51.7094,43.9075,40.0,2924130.0
2021-01-13,37.0503,38.8944,36.2449,35.99,719240.0
2021-01-12,36.3386,39.169,36.12,34.76,768637.0
2021-01-11,32.9071,33.3055,31.6444,33.39,425349.0
2021-01-08,31.1578,31.2509,26.8952,33.88,1341132.0
2021-01-07,39.0365,43.8376,39.0365,34.97,1433781.0
2021-01-06,28.0001,29.8667,25.2218,30.05,1730598.0
2021-01-05,35.8642,40.9842,35.2461,32.25,1892624.0
2021-01-04,29.8372,31.8359,29.4161,28.65,996174.0
2020-12-31,25.6235,25.8033,24.096,26.55,666755.0
2020-12-30,27.6813,29.1516,27.6306,27.49,431082.0
2020-12-29,25.8708,26.2371,23.1799,27.06,650322.0
2020-12-28,26.9837,28.0464,25.5606,28.07,672823.0
2020-12-24,27.1274,27.6446,25.2018,28.48,477937.0
2020-12-23,27.3013,27.4385,24.6454,29.4,1468023.0
2020-12-22,35.2845,40.8786,35.2845,31.15,2229905.0
2020-12-21,28.8872,30.146,28.0803,27.85,500636.0
2020-12-18,29.7455,32.5886,29.723,28.06,899255.0
2020-12-17,27.5266,28.2518,27.0116,26.85,481471.0
2020-12-16,27.132,28.1508,26.8103,26.2,552578.0
2020-12-15,25.9112,26.8231,25.16,25.51,723939.0
2020-12-14,23.6689,23.7959,21.9407,24.85,635574.0
2020-12-11,25.7917,26.0672,24.6994,26.0,569703.0
2020-12-10,26.096,26.6837,25.7764,25.7,485350.0
2020-12-09,24.2481,25.2092,21.8888,25.94,945893.0
2020-12-08,27.8113,28.553,26.6239,27.25,652561.0
2020-12-07,28.169,29.8712,27.0378,26.88,894156.0
2020-12-04,24.1714,24.3781,22.6579,25.39,615384.0
