date,Open,High,Low,Close,Volume
2021-02-12,164.995,168.0036,164.7262,162.27,1230833.0
2021-02-11,158.8016,160.2722,156.7051,159.31,1387505.0
2021-02-10,160.7929,162.3562,159.26,160.11,1555871.0
2021-02-09,158.3002,158.9815,156.9374,158.14,1544109.0
2021-02-08,160.795,162.8663,160.672,158.79,1310660.0
2021-02-05,155.8674,156.3408,153.7516,156.94,1260306.0
2021-02-04,160.0406,163.5567,159.978,156.68,1569607.0
2021-02-03,154.4838,157.1109,154.4322,152.2,1784208.0
2021-02-02,153.0147,158.2625,152.7352,150.4,1768148.0
2021-02-01,146.9887,148.5729,145.9224,145.86,1482144.0
2021-01-29,139.4866,139.5811,135.0518,143.52,2686765.0
2021-01-28,148.8272,150.8757,147.5292,147.79,1515868.0
2021-01-27,143.0632,143.0632,138.9135,144.44,2958692.0
2021-01-26,144.8224,145.1333,141.4259,148.06,1775485.0
2021-01-25,150.5801,151.3202,147.085,150.47,2043883.0
2021-01-22,153.678,155.2912,153.5359,152.57,1835419.0
2021-01-21,151.1333,151.1333,147.9373,153.69,2285974.0
2021-01-20,156.5204,156.9519,155.176,156.26,1635918.0
2021-01-19,156.2404,157.0027,154.6856,156.0,2560881.0
2021-01-15,152.4166,153.9294,149.6918,154.78,3289196.0
2021-01-14,161.7006,163.6801,161.13,160.3089,2036931.0
2021-01-13,156.9794,158.3917,155.2337,157.9266,1986860.0
2021-01-12,161.2651,162.9178,159.8428,160.5372,2024322.0
2021-01-11,160.3985,163.2146,158.6231,158.2046,1978697.0
2021-01-08,156.736,157.4679,154.3822,157.0233,1842260.0
2021-01-07,157.7182,161.3165,157.5596,157.8274,2520754.0
2021-01-06,159.6397,165.8656,159.472,155.3557,3066996.0
2021-01-05,146.4367,147.7764,144.5621,147.2658,2907575.0
2021-01-04,147.5258,147.6046,143.948,148.05,2229508.0
2020-12-31,150.1688,152.7883,149.2273,147.9011,1353944.0
2020-12-30,147.23,149.1226,146.8397,145.8067,1002621.0
2020-12-29,142.1143,142.1918,140.2238,143.8016,1015569.0
2020-12-28,144.9843,146.3255,143.8305,145.4593,1686157.0
2020-12-24,144.7947,145.0518,143.0573,145.0721,518813.0
2020-12-23,147.539,150.4737,146.897,145.6181,1317136.0
2020-12-22,141.5082,141.7719,139.1548,142.67,2197352.0
2020-12-21,142.1085,143.2567,138.81,143.5336,2646529.0
2020-12-18,143.7718,144.2776,142.0364,143.8413,4523560.0
2020-12-17,144.0001,144.7153,142.6194,143.9505,1565821.0
2020-12-16,145.582,147.2316,144.6003,144.1788,1767705.0
2020-12-15,142.6023,143.612,141.0337,142.0943,2206493.0
2020-12-14,137.2782,137.3254,133.1798,140.7443,2210876.0
2020-12-11,143.3188,144.141,139.6691,142.6005,1541057.0
2020-12-10,144.4225,146.0948,143.5763,142.9281,1635923.0
2020-12-09,142.8414,144.0029,141.6699,142.2233,2054039.0
2020-12-08,141.7601,144.1588,141.497,140.3869,1364850.0
2020-12-07,141.1324,141.6413,139.2165,140.7641,1634310.0
2020-12-04,141.2113,141.9035,139.8566,141.4788,1526333.0
2020-12-03,140.7363,142.1465,139.8563,140.2083,2609943.0
2020-12-02,141.8219,143.6315,141.5584,140.3373,1849423.0
2020-12-01,140.1603,141.3196,139.8105,139.6822,3129330.0
2020-11-30,136.8436,138.0905,136.3389,137.0517,4297660.0
2020-11-27,137.9596,138.0479,136.1444,138.759,1178239.0
2020-11-25,141.1684,143.9289,139.5243,139.6127,3066744.0
2020-11-24,142.6086,146.3658,142.0972,139.0767,2925403.0
2020-11-23,134.0991,136.0667,132.5119,132.6643,2151646.0
2020-11-20,128.0387,129.5397,126.9851,127.9493,2247054.0
2020-11-19,131.6014,133.965,129.7413,129.339,2205654.0
2020-11-18,130.1379,134.0057,129.1684,128.3464,3782353.0
2020-11-17,127.9405,130.1425,126.2506,125.9542,3668146.0
2020-11-16,125.8769,127.128,124.6058,125.3586,5430962.0
2020-11-13,122.6537,124.4432,122.151,121.8745,1560944.0
2020-11-12,117.8576,117.8576,113.5375,120.1076,2269947.0
2020-11-11,122.5993,122.5993,118.3843,124.5149,3130670.0
2020-11-10,123.6012,123.6012,120.7268,125.8053,3765841.0
2020-11-09,129.4846,133.6096,128.9586,127.0361,3978731.0
2020-11-06,110.7816,110.7816,107.3033,113.8342,1682257.0
2020-11-05,120.4593,125.2189,120.4273,116.3059,2069346.0
2020-11-04,108.8076,109.0791,105.062,112.0276,2136108.0
2020-11-03,120.6313,123.5008,120.1891,118.5095,3057524.0
2020-11-02,114.5669,117.242,113.2543,113.6059,3411610.0
2020-10-30,113.5101,116.1545,112.6028,111.0549,2261486.0
2020-10-29,110.6524,113.1786,109.2819,109.0101,1813073.0
2020-10-28,108.9301,111.3169,108.8614,107.9182,3221725.0
2020-10-27,106.5598,106.5789,104.564,108.3847,1793892.0
2020-10-26,109.1157,109.1542,105.9585,110.8067,1739901.0
2020-10-23,112.5806,112.8712,110.0427,113.9633,1435683.0
2020-10-22,119.064,123.918,118.7955,114.4695,1824957.0
2020-10-21,108.4711,109.1586,106.9605,109.824,1281695.0
2020-10-20,112.316,115.2155,112.316,111.2335,1826005.0
2020-10-19,107.3057,107.6125,105.2441,109.1788,1949965.0
2020-10-16,112.5765,114.5593,111.8676,110.6578,1982618.0
2020-10-15,109.9766,111.2151,109.1747,108.752,2504502.0
2020-10-14,105.6275,107.7084,103.1417,107.8875,2678057.0
2020-10-13,107.3245,107.6673,103.6563,110.5201,2314778.0
2020-10-12,114.9849,116.2989,114.6932,114.2235,1517432.0
2020-10-09,111.8587,111.9638,109.6905,113.4376,1963679.0
2020-10-08,115.2104,116.4342,114.514,114.4789,2514133.0
2020-10-07,113.9741,116.6663,113.8794,113.1429,2387182.0
2020-10-06,108.4657,109.5551,105.2863,111.1685,1943256.0
2020-10-05,114.0914,115.5997,113.1161,112.7696,1852083.0
2020-10-02,114.3249,119.5181,114.0076,110.1763,2125278.0
2020-10-01,106.889,107.7146,105.2573,107.4946,1596518.0
2020-09-30,110.3353,113.136,110.1352,107.9661,2501492.0
2020-09-29,104.4819,104.7346,102.2076,105.0388,1625334.0
2020-09-28,107.5202,109.8655,107.2485,106.2176,1543044.0
2020-09-25,105.705,108.589,105.4466,103.0447,1381304.0
2020-09-24,101.64,103.5661,99.8221,101.6204,1895767.0
