date,Open,High,Low,Close,Volume
2021-02-12,0.07,0.07,0.07,0.07,10900.0
2021-02-11,0.062,0.062,0.062,0.062,301.0
2021-02-10,0.0522,0.0522,0.0426,0.063,21500.0
2021-02-09,0.064,0.065,0.064,0.063,21500.0
2021-02-08,0.0641,0.0662,0.0641,0.062,50000.0
2021-02-05,0.042,0.042,0.042,0.042,0.0
2021-02-04,0.042,0.042,0.042,0.042,0.0
2021-02-03,0.042,0.042,0.042,0.042,0.0
2021-02-02,0.042,0.042,0.042,0.042,0.0
2021-02-01,0.042,0.042,0.042,0.042,0.0
2021-01-29,0.0294,0.0294,0.0206,0.042,4554.0
2021-01-28,0.06,0.06,0.06,0.06,100.0
2021-01-27,0.051,0.051,0.051,0.051,0.0
2021-01-26,0.051,0.051,0.051,0.051,0.0
2021-01-25,0.0619,0.0752,0.0619,0.051,1656.0
2021-01-22,0.06,0.06,0.06,0.06,3500.0
2021-01-21,0.051,0.051,0.051,0.051,1104.0
2021-01-20,0.051,0.051,0.051,0.051,0.0
2021-01-19,0.051,0.051,0.051,0.051,2000.0
2021-01-15,0.0349,0.0349,0.0291,0.042,2500.0
2021-01-14,0.0482,0.0677,0.0482,0.045,13100.0
2021-01-13,0.045,0.045,0.045,0.045,0.0
2021-01-12,0.0379,0.0379,0.0318,0.045,13100.0
2021-01-11,0.0527,0.0559,0.0527,0.0498,4750.0
2021-01-08,0.0512,0.0512,0.0485,0.054,5688.0
2021-01-07,0.0551,0.0551,0.0532,0.057,2100.0
2021-01-06,0.0571,0.0571,0.0552,0.059,3788.0
2021-01-05,0.0605,0.0621,0.06,0.059,3850.0
2021-01-04,0.062,0.062,0.062,0.062,0.0
2020-12-31,0.062,0.062,0.062,0.062,1106.0
2020-12-30,0.062,0.062,0.062,0.062,10000.0
2020-12-29,0.069,0.069,0.069,0.069,100.0
2020-12-28,0.0575,0.0575,0.0525,0.063,11000.0
2020-12-24,0.06,0.06,0.06,0.06,0.0
2020-12-23,0.0655,0.1547,0.0655,0.06,87011.0
2020-12-22,0.0504,0.0588,0.042,0.055,43000.0
2020-12-21,0.0667,0.0667,0.0182,0.1,2766.0
2020-12-18,0.5281,1.7164,0.5281,0.1625,22000.0
2020-12-17,0.025,0.025,0.025,0.025,0.0
2020-12-16,0.025,0.025,0.025,0.025,0.0
2020-12-15,0.025,0.025,0.025,0.025,500.0
2020-12-14,0.025,0.025,0.025,0.025,100.0
2020-12-11,0.025,0.025,0.025,0.025,0.0
2020-12-10,0.025,0.025,0.025,0.025,0.0
2020-12-09,0.025,0.025,0.025,0.025,0.0
2020-12-08,0.0313,0.0391,0.0313,0.025,4100.0
2020-12-07,0.0112,0.0112,0.0084,0.015,2806.0
2020-12-04,0.0125,0.0125,0.0125,0.0125,0.0
2020-12-03,0.0125,0.0125,0.0125,0.0125,0.0
2020-12-02,0.0125,0.0125,0.0125,0.0125,0.0
2020-12-01,0.0125,0.0125,0.0125,0.0125,0.0
2020-11-30,0.012,0.0153,0.0116,0.0125,100000.0
2020-11-27,0.02,0.02,0.02,0.02,0.0
2020-11-25,0.02,0.02,0.02,0.02,0.0
2020-11-24,0.02,0.02,0.02,0.02,0.0
2020-11-23,0.0201,0.0202,0.0167,0.02,3850.0
2020-11-20,0.02,0.02,0.02,0.02,1200.0
2020-11-19,0.0084,0.0084,0.0053,0.013,90135.0
2020-11-18,0.02,0.02,0.02,0.02,110.0
2020-11-17,0.02,0.02,0.0175,0.02,16750.0
2020-11-16,0.015,0.015,0.0149,0.015,46752.0
2020-11-13,0.01,0.01,0.01,0.01,0.0
2020-11-12,0.01,0.01,0.01,0.01,0.0
2020-11-11,0.01,0.01,0.01,0.01,0.0
2020-11-10,0.01,0.01,0.01,0.01,0.0
2020-11-09,0.01,0.01,0.01,0.01,0.0
2020-11-06,0.01,0.01,0.01,0.01,0.0
2020-11-05,0.01,0.01,0.01,0.01,0.0
2020-11-04,0.01,0.01,0.01,0.01,0.0
2020-11-03,0.01,0.01,0.01,0.01,0.0
2020-11-02,0.01,0.01,0.01,0.01,10000.0
2020-10-30,0.01,0.01,0.01,0.01,0.0
2020-10-29,0.01,0.01,0.01,0.01,0.0
2020-10-28,0.01,0.01,0.01,0.01,0.0
2020-10-27,0.01,0.01,0.01,0.01,0.0
2020-10-26,0.01,0.01,0.01,0.01,0.0
2020-10-23,0.01,0.01,0.01,0.01,0.0
2020-10-22,0.01,0.01,0.01,0.01,0.0
2020-10-21,0.01,0.01,0.01,0.01,0.0
2020-10-20,0.01,0.01,0.01,0.01,0.0
2020-10-19,0.01,0.01,0.01,0.01,0.0
2020-10-16,0.01,0.01,0.01,0.01,0.0
2020-10-15,0.01,0.01,0.01,0.01,0.0
2020-10-14,0.01,0.01,0.01,0.01,0.0
2020-10-13,0.01,0.01,0.01,0.01,0.0
2020-10-12,0.01,0.01,0.01,0.01,0.0
2020-10-09,0.01,0.01,0.01,0.01,0.0
2020-10-08,0.01,0.01,0.01,0.01,0.0
2020-10-07,0.01,0.01,0.01,0.01,0.0
2020-10-06,0.01,0.01,0.01,0.01,0.0
2020-10-05,0.01,0.01,0.01,0.01,0.0
2020-10-02,0.01,0.01,0.01,0.01,0.0
2020-10-01,0.01,0.01,0.01,0.01,0.0
2020-09-30,0.01,0.01,0.01,0.01,0.0
2020-09-29,0.01,0.01,0.01,0.01,0.0
2020-09-28,0.01,0.01,0.01,0.01,0.0
2020-09-25,0.01,0.01,0.01,0.01,0.0
2020-09-24,0.01,0.01,0.01,0.01,10000.0
2020-09-23,0.015,0.015,0.015,0.015,0.0
2020-09-22,0.015,0.015,0.015,0.015,21000.0
2020-09-21,0.0162,0.0162,0.0162,0.0162,0.0
2020-09-18,0.0162,0.0162,0.0162,0.0162,0.0
2020-09-17,0.0162,0.0162,0.0162,0.0162,0.0
2020-09-16,0.0162,0.0162,0.0162,0.0162,0.0
2020-09-15,0.0162,0.0162,0.0162,0.0162,0.0
