date,Open,High,Low,Close,Volume
2021-02-12,77.4004,78.1336,76.5768,77.23,1954789.0
2021-02-11,78.0892,78.9683,76.505,77.24,2307966.0
2021-02-10,78.6893,80.7722,78.3211,76.72,2212330.0
2021-02-09,73.6212,73.7286,72.0502,74.53,2634367.0
2021-02-08,78.9028,82.5228,78.6318,75.79,2678792.0
2021-02-05,70.9468,71.296,69.2011,72.04,2466668.0
2021-02-04,72.3019,73.3527,71.4692,71.93,1997224.0
2021-02-03,74.0207,76.9639,74.0207,71.29,2599046.0
2021-02-02,68.1636,69.1394,66.6388,68.66,2319039.0
2021-02-01,66.4335,66.5404,63.5561,67.38,2968958.0
2021-01-29,66.3325,68.3425,64.5043,67.8,5732821.0
2021-01-28,71.2009,72.1145,70.0688,71.45,2654497.0
2021-01-27,72.1937,75.2369,71.6591,71.2,3080395.0
2021-01-26,69.8026,70.9811,68.2791,71.31,2056790.0
2021-01-25,72.1601,73.3628,71.1879,72.08,3003634.0
2021-01-22,73.4101,74.8332,72.844,72.55,2563594.0
2021-01-21,71.7863,72.6047,69.9281,73.16,2698745.0
2021-01-20,75.38,75.9399,73.9204,75.39,2566771.0
2021-01-19,76.8984,79.4891,76.2216,74.78,2976262.0
2021-01-15,70.3572,70.6505,68.2219,71.74,3413699.0
2021-01-14,76.3118,79.4054,76.28,74.14,3028678.0
2021-01-13,70.0807,70.2714,68.2024,71.77,2520582.0
2021-01-12,74.7743,76.1624,73.6638,73.74,2645508.0
2021-01-11,75.695,79.8637,75.344,72.27,4944577.0
2021-01-08,68.9547,69.0403,66.8911,70.71,2683622.0
2021-01-07,72.2218,74.0511,71.4986,71.86,2568254.0
2021-01-06,69.4739,69.864,66.9332,71.22,5097922.0
2021-01-05,73.5438,77.5151,73.5438,71.75,3907023.0
2021-01-04,69.1575,69.8236,67.1497,69.88,2714167.0
2020-12-31,69.3844,69.6207,68.6562,69.94,2003500.0
2020-12-30,72.6689,75.1269,72.563,70.6,2906007.0
2020-12-29,67.3265,67.7336,65.7075,68.38,3847467.0
2020-12-28,69.2202,70.7055,68.8214,69.33,2341115.0
2020-12-24,68.2731,68.3619,67.1383,68.73,1295243.0
2020-12-23,70.354,71.993,69.9734,69.36,2988063.0
2020-12-22,68.5147,70.2245,68.1336,67.51,3574303.0
2020-12-21,68.2662,70.9016,67.2542,66.49,3479152.0
2020-12-18,66.6109,67.0378,65.5882,66.85,8457011.0
2020-12-17,66.487,66.4968,65.0566,67.17,3162471.0
2020-12-16,66.1497,66.198,64.6711,67.29,3395174.0
2020-12-15,69.3577,70.9378,68.4179,68.25,3028539.0
2020-12-14,64.7611,65.5415,62.1181,67.19,2816386.0
2020-12-11,68.8268,69.0445,67.111,69.51,2557008.0
2020-12-10,73.6778,77.5157,73.6778,70.86,3352563.0
2020-12-09,69.0814,70.7312,67.5912,68.77,3602172.0
2020-12-08,68.7468,71.8896,68.7468,67.39,3050808.0
2020-12-07,65.8036,66.2756,63.8773,67.05,3059542.0
2020-12-04,71.9997,75.4304,71.7624,69.32,4437462.0
2020-12-03,65.2911,67.4591,64.3735,65.02,2732736.0
2020-12-02,67.8305,72.3525,67.6572,64.43,4410677.0
2020-12-01,60.9929,62.353,59.78,61.88,4011966.0
2020-11-30,57.1107,57.324,53.5913,60.58,6423021.0
2020-11-27,64.8423,65.4649,63.9283,65.23,1936013.0
2020-11-25,65.6457,65.9893,64.5562,66.26,3755886.0
2020-11-24,67.2927,67.8465,65.7622,67.72,4193509.0
2020-11-23,69.1152,72.6415,68.984,65.84,4506466.0
2020-11-20,61.8814,63.0827,61.5886,61.59,2651716.0
2020-11-19,62.935,64.8388,62.4421,61.45,2673663.0
2020-11-18,56.9883,57.0675,53.4331,60.75,4151026.0
2020-11-17,67.5859,71.0948,66.4824,64.34,5370214.0
2020-11-16,64.0834,66.1204,61.8946,62.62,6020348.0
2020-11-13,61.2528,65.5847,61.1756,57.9274,5658371.0
2020-11-12,51.4198,52.1776,48.6741,54.0728,5079940.0
2020-11-11,58.2233,58.3123,57.0223,58.1443,4588526.0
2020-11-10,56.7791,56.8662,53.8865,57.3162,5192434.0
2020-11-09,61.1663,67.9421,61.0263,56.222,8912774.0
2020-11-06,44.6508,45.3747,42.8642,46.0186,3617112.0
2020-11-05,47.9852,49.1871,47.7036,47.5072,3211571.0
2020-11-04,47.4987,49.0834,46.4523,47.241,3709042.0
2020-11-03,45.7868,46.1823,44.12,46.8467,3287310.0
2020-11-02,47.8592,48.9704,46.9804,47.2805,3732559.0
2020-10-30,47.2963,48.7138,46.8065,45.9989,4579288.0
2020-10-29,47.781,50.5852,47.3976,45.3285,4436266.0
2020-10-28,42.154,42.8638,40.6883,43.5935,4911672.0
2020-10-27,45.504,45.8589,44.575,46.4031,3525708.0
2020-10-26,46.0239,46.0335,44.4106,47.4579,3215005.0
2020-10-23,49.6958,50.5708,48.5751,49.7648,3291382.0
2020-10-22,50.6484,52.2195,49.4727,49.3014,3408707.0
2020-10-21,47.8725,48.7941,47.657,48.0297,3798361.0
2020-10-20,49.1052,49.8224,48.8168,48.8874,3471831.0
2020-10-19,46.3986,46.4168,44.5485,48.2564,3683154.0
2020-10-16,48.0764,48.1131,46.2527,49.8633,2939724.0
2020-10-15,53.2465,55.0092,52.5894,51.766,3502154.0
2020-10-14,51.6995,53.3388,51.5096,51.3421,2112867.0
2020-10-13,49.014,49.5609,47.387,50.5436,2885576.0
2020-10-12,53.5032,55.2304,52.7564,52.7025,2768995.0
2020-10-09,51.3209,51.7578,49.9059,52.2885,3185968.0
2020-10-08,54.4222,56.0302,54.3595,52.88,2397977.0
2020-10-07,51.6718,52.405,50.8684,51.1942,2621494.0
2020-10-06,48.0498,48.0498,45.7547,50.3365,2926513.0
2020-10-05,52.5251,53.8375,52.4136,51.8054,2711639.0
2020-10-02,52.4956,55.5024,52.346,50.3365,3453476.0
2020-10-01,48.6864,49.0764,47.3128,49.5676,4047133.0
2020-09-30,50.4919,51.05,49.6451,51.1055,2670325.0
2020-09-29,49.948,50.0037,48.0898,51.4505,2464654.0
2020-09-28,53.2546,53.9457,52.7511,53.2152,2126626.0
2020-09-25,52.9417,54.172,52.5655,52.1308,2824527.0
2020-09-24,52.6491,54.2094,51.3907,52.1012,2980966.0
2020-09-23,49.2279,49.5385,46.6473,51.8843,3725292.0
2020-09-22,54.2327,55.3085,53.415,54.5756,4135916.0
2020-09-21,53.2241,53.509,51.0738,55.1277,6187532.0
2020-09-18,59.5398,61.017,59.2182,58.9724,7292385.0
2020-09-17,61.0425,62.7029,60.9802,59.4949,4186969.0
2020-09-16,61.4397,64.5561,60.7704,59.6526,5347858.0
