date,Open,High,Low,Close,Volume
2021-02-12,39.8554,41.2907,39.8233,38.51,4076934.0
2021-02-11,37.1409,37.2003,36.6754,37.32,4616931.0
2021-02-10,38.7953,39.3585,38.4267,38.34,4055226.0
2021-02-09,37.7852,37.7852,37.1307,38.23,4525678.0
2021-02-08,39.4096,40.3826,39.4096,38.53,6562795.0
2021-02-05,37.46,37.7547,37.1503,37.48,6950835.0
2021-02-04,36.8923,37.2886,36.3589,36.6,6991247.0
2021-02-03,38.0664,39.5411,38.0451,36.89,7443705.0
2021-02-02,35.4352,35.608,34.5906,36.17,8630876.0
2021-02-01,36.352,36.421,35.7164,36.62,5965508.0
2021-01-29,36.1742,36.3424,35.3088,36.89,4777888.0
2021-01-28,38.5525,39.1351,38.3391,38.24,4479223.0
2021-01-27,37.94,38.6885,37.2914,37.98,4865827.0
2021-01-26,37.9648,38.175,37.5149,38.39,3597892.0
2021-01-25,38.2701,38.4154,37.7587,38.22,4152422.0
2021-01-22,39.6535,40.158,39.4191,39.28,3795510.0
2021-01-21,38.8699,38.9082,37.6699,39.75,3495395.0
2021-01-20,40.79,41.0003,40.3894,40.76,2696298.0
2021-01-19,40.8409,41.0983,40.4068,40.65,4130062.0
2021-01-15,39.6474,39.8031,38.7618,40.19,4973155.0
2021-01-14,42.5803,43.7405,42.5699,41.65,4177860.0
2021-01-13,40.4017,40.4214,39.7994,40.66,3531505.0
2021-01-12,41.6859,42.326,41.5937,41.19,4726705.0
2021-01-11,41.4015,42.6358,41.2851,40.26,5699062.0
2021-01-08,40.1204,40.18,39.5339,40.24,5546750.0
2021-01-07,40.6829,41.3186,40.4235,40.34,4829303.0
2021-01-06,40.6736,41.4584,40.322,40.29,9180332.0
2021-01-05,39.8769,41.8337,39.7964,38.51,8518589.0
2021-01-04,35.8113,35.92,35.0655,36.03,6794599.0
2020-12-31,34.3292,34.3292,33.5275,35.14,3789069.0
2020-12-30,35.9104,36.1985,35.7167,36.03,3788926.0
2020-12-29,35.8523,35.9507,35.3307,36.14,4728315.0
2020-12-28,35.3971,35.6013,34.7798,35.9,5189046.0
2020-12-24,35.3856,35.4343,34.5809,35.83,2081061.0
2020-12-23,36.0001,36.6322,35.97,35.94,5800646.0
2020-12-22,34.5348,34.652,34.0756,34.94,4389565.0
2020-12-21,36.1296,36.9874,35.8713,35.54,7399731.0
2020-12-18,36.7289,36.8549,36.0308,37.3,3782223.0
2020-12-17,38.1501,38.4408,37.9696,38.1,3410801.0
2020-12-16,38.0614,38.5422,37.778,37.83,4279066.0
2020-12-15,38.2725,39.0349,37.9821,37.58,5270395.0
2020-12-14,35.5227,35.7843,34.6094,36.42,4630008.0
2020-12-11,37.6705,37.6904,36.8863,37.81,4557049.0
2020-12-10,39.133,40.3261,39.0292,38.42,4965517.0
2020-12-09,37.0282,37.2078,36.0282,37.58,6450576.0
2020-12-08,37.4903,38.0131,37.4098,37.39,4120911.0
2020-12-07,36.9266,37.0045,36.3569,37.42,4176276.0
2020-12-04,38.5527,39.0103,38.4815,38.23,5367243.0
2020-12-03,36.75,37.3363,36.4694,36.71,4648399.0
2020-12-02,37.1871,38.4089,37.0827,36.39,6286185.0
2020-12-01,34.8908,35.1533,34.5541,35.06,5324829.0
2020-11-30,32.0859,32.1398,30.4047,33.84,7388264.0
2020-11-27,36.5928,37.0102,36.5623,36.27,2598848.0
2020-11-25,36.34,36.6,35.81,36.34,5255506.0
2020-11-24,37.3718,37.7521,37.2653,37.11,7258478.0
2020-11-23,35.7584,36.3257,35.7068,35.21,6213612.0
2020-11-20,33.9423,34.2779,33.7237,33.66,4869829.0
2020-11-19,33.7083,34.2914,33.5225,33.18,4333768.0
2020-11-18,32.1234,32.313,31.2795,32.99,4948519.0
2020-11-17,34.538,35.3653,34.25,33.75,6099778.0
2020-11-16,33.3507,33.502,32.6948,33.2,7437126.0
2020-11-13,31.6049,32.0459,31.5844,31.21,4762914.0
2020-11-12,30.4511,31.0638,29.9964,30.63,5858630.0
2020-11-11,30.4414,30.489,29.6619,31.0524,6114795.0
2020-11-10,31.6979,31.9974,31.2493,31.4184,10317788.0
2020-11-09,29.6888,30.2348,29.2208,29.9049,11753169.0
2020-11-06,26.1479,26.4394,25.8272,26.3832,5030635.0
2020-11-05,26.394,26.6482,26.1496,26.5513,5926139.0
2020-11-04,26.72,27.1738,26.2612,26.6107,7404175.0
2020-11-03,26.2103,26.2584,25.6717,26.581,7717461.0
2020-11-02,26.7239,27.2719,26.2874,26.3832,8077173.0
2020-10-30,25.5958,25.9712,25.4335,25.2752,9439823.0
2020-10-29,25.1831,26.15,24.9294,24.3651,11682777.0
2020-10-28,22.5297,22.7979,22.1835,22.8516,8483371.0
2020-10-27,23.6851,23.7432,23.4234,23.9298,6143508.0
2020-10-26,24.2215,24.2696,23.7261,24.563,5347015.0
2020-10-23,25.0509,25.1234,24.4657,25.3346,4235291.0
2020-10-22,26.0145,26.9228,25.9405,25.1763,5203197.0
2020-10-21,24.2891,24.41,23.9892,24.563,4046687.0
2020-10-20,25.0378,25.3096,24.8796,25.0477,4062899.0
2020-10-19,24.5161,24.9377,24.2642,24.7707,4627761.0
2020-10-16,25.0975,25.5163,24.8682,24.9982,4770070.0
2020-10-15,25.7362,26.4228,25.6114,25.0972,5325005.0
2020-10-14,25.6119,26.1104,25.5621,25.5126,4767882.0
2020-10-13,25.2489,25.2876,24.7753,25.5423,4736456.0
2020-10-12,25.899,25.9137,25.4971,26.0171,4889638.0
2020-10-09,25.9451,26.036,25.4472,26.3733,10305656.0
2020-10-08,26.6085,27.0999,26.5676,26.1556,6181265.0
2020-10-07,25.4741,25.6544,25.2086,25.3148,8851622.0
2020-10-06,24.2887,24.5309,23.5387,25.0279,6744541.0
2020-10-05,25.4168,25.7202,25.1437,25.1367,6962014.0
2020-10-02,25.1429,26.1355,25.0689,24.3354,8151479.0
2020-10-01,23.5996,23.7146,23.1014,23.9793,8728720.0
2020-09-30,24.5482,24.6347,24.1059,24.8993,7345651.0
2020-09-29,25.1195,25.1389,24.6445,25.3741,7121182.0
2020-09-28,25.7109,25.9268,25.6029,25.8094,8440087.0
2020-09-25,25.3156,25.4965,24.9832,25.4632,9607179.0
2020-09-24,26.2645,26.611,25.7992,26.2546,9533087.0
2020-09-23,24.9047,24.9483,23.9397,25.8391,8124938.0
2020-09-22,26.0504,26.2968,25.5187,26.3535,6777133.0
2020-09-21,26.0369,26.1359,25.6607,26.027,8348456.0
2020-09-18,26.4351,26.4836,26.0663,26.6898,7042581.0
2020-09-17,27.2538,27.4411,26.9581,27.3032,10235336.0
2020-09-16,27.9677,28.5204,27.8019,27.7483,11434155.0
2020-09-15,27.218,27.4402,26.8411,27.5406,6545371.0
2020-09-14,27.0703,27.0703,26.6461,27.4219,5963504.0
2020-09-11,27.6991,27.8565,27.286,27.778,6880587.0
2020-09-10,26.5969,26.6337,25.6486,27.5703,6583656.0
2020-09-09,27.823,27.9289,27.3542,28.2133,5839572.0
2020-09-08,27.4446,27.5512,26.9843,27.7285,6149304.0
2020-09-04,28.0461,28.0778,27.1946,28.5991,7398020.0
2020-09-03,28.5204,29.0701,28.2111,28.6288,6178531.0
2020-09-02,28.5605,28.5996,28.2867,28.7277,5996161.0
2020-09-01,28.886,29.2718,28.6139,28.886,6213614.0
2020-08-31,28.7126,28.7126,28.0693,29.3608,4937139.0
2020-08-28,29.9845,30.2089,29.795,29.8653,5251411.0
2020-08-27,29.1756,29.2678,28.6641,29.4597,5544677.0
2020-08-26,29.6379,29.8038,29.4312,29.707,3992483.0
2020-08-25,29.0506,29.0978,28.1442,29.7367,4149134.0
2020-08-24,30.3208,30.7546,30.0815,30.2017,5080002.0
2020-08-21,29.3609,29.4899,29.2318,29.3113,4673192.0
2020-08-20,29.8159,30.0338,29.6673,29.7961,4721167.0
2020-08-19,29.8963,30.1599,29.6327,30.0928,3824757.0
2020-08-18,29.8017,30.0279,29.3878,30.2115,6547315.0
2020-08-17,30.3619,30.4398,29.9867,30.6072,4040246.0
2020-08-14,30.9445,31.2346,30.8645,30.7754,3795139.0
2020-08-13,30.7278,30.7516,30.044,31.3294,3820813.0
2020-08-12,32.0256,32.171,31.6476,32.1912,5308674.0
2020-08-11,30.5779,30.6437,29.8908,31.1923,5656384.0
2020-08-10,31.0175,31.2658,30.9395,30.8005,3528310.0
2020-08-07,30.3706,30.5587,30.1626,30.2031,3951120.0
2020-08-06,30.7227,30.9891,30.6634,30.6047,3633005.0
2020-08-05,30.4441,30.5346,29.8964,30.8691,4572046.0
2020-08-04,31.2002,31.8424,31.1598,30.7026,5737440.0
2020-08-03,30.0111,30.4318,29.8307,29.6743,6443493.0
2020-07-31,28.2469,28.256,27.0917,29.1944,9047381.0
2020-07-30,29.826,29.9692,28.8136,30.2031,11839841.0
2020-07-29,31.7898,31.8536,31.5933,31.7407,6410516.0
2020-07-28,31.2425,31.5036,30.9629,31.4371,4301053.0
2020-07-27,31.7897,31.8191,31.4075,31.7799,4390806.0
2020-07-24,31.6134,31.907,31.4568,31.6232,4553120.0
2020-07-23,31.6625,31.8723,31.4625,31.7211,5887832.0
2020-07-22,31.9081,31.9081,31.4283,32.0737,5248364.0
2020-07-21,33.3177,34.3624,33.2569,32.7397,6851489.0
2020-07-20,31.3729,31.5642,30.9423,31.7407,4414087.0
2020-07-17,31.8434,32.0059,31.3749,32.2304,3616861.0
2020-07-16,32.6715,32.8466,32.3798,32.7886,3481062.0
2020-07-15,33.3864,33.6427,33.1202,33.2783,6037216.0
2020-07-14,33.7237,34.6959,33.5997,32.818,5613722.0
2020-07-13,31.3825,31.5835,30.9612,31.7407,7148973.0
2020-07-10,31.9918,32.4552,31.8609,31.5449,6240811.0
2020-07-09,29.4841,29.5022,28.3773,30.6341,5622703.0
2020-07-08,32.2906,32.7671,32.1417,32.0737,3947790.0
2020-07-07,31.3509,31.3509,30.7005,31.9562,3753976.0
2020-07-06,32.5839,32.768,32.1285,32.7592,4477496.0
2020-07-02,31.8719,32.1498,31.3927,32.2206,4228564.0
2020-07-01,32.0444,32.5814,31.9858,32.0933,5504475.0
2020-06-30,32.4216,32.9439,32.0098,32.0149,8172349.0
2020-06-29,33.0061,33.4637,32.8668,32.7495,4972718.0
2020-06-26,31.4748,31.5122,30.6063,32.2304,4920021.0
2020-06-25,33.9106,34.6569,33.7777,33.1902,4840299.0
2020-06-24,31.4026,31.4209,30.347,32.4361,5213486.0
