date,Open,High,Low,Close,Volume
2019-07-08,187.72,187.83,187.62,187.71,999351.0
2019-07-05,187.8201,188.1505,187.73,187.71,1094080.0
2019-07-03,187.75,188.0502,187.5799,187.7,2290383.0
2019-07-02,187.9603,187.9603,187.4614,188.18,1919325.0
2019-07-01,188.9313,189.4238,188.5328,188.44,1693331.0
2019-06-28,187.3509,187.3509,186.186,187.76,3707776.0
2019-06-27,188.0601,188.12,187.7105,188.17,2935276.0
2019-06-26,186.0036,186.2415,185.1907,186.82,2747008.0
2019-06-25,187.0612,187.2751,186.5935,187.53,2065409.0
2019-06-24,187.1007,187.2302,186.1044,187.45,2928410.0
2019-06-21,186.8526,186.932,186.1379,187.55,3760730.0
2019-06-20,188.3,188.8303,188.1499,188.25,2989662.0
2019-06-19,189.5629,192.2978,189.5121,188.0,4591542.0
2019-06-18,186.5501,187.1807,186.51,186.45,1465915.0
2019-06-17,186.5604,187.5534,186.3849,186.28,2274310.0
2019-06-14,184.8606,185.1197,184.5219,185.2,1066822.0
2019-06-13,185.9308,186.8447,185.9308,185.54,1690105.0
2019-06-12,184.8302,184.9799,184.5409,185.04,1412502.0
2019-06-11,184.9901,185.2897,184.7803,185.1,1188020.0
2019-06-10,184.7807,184.9002,184.3822,185.14,1298858.0
2019-06-07,184.8817,184.9711,184.1561,185.44,1193592.0
2019-06-06,185.8004,186.4121,185.7803,185.54,886539.0
2019-06-05,186.0221,186.6665,185.9919,185.39,1176142.0
2019-06-04,184.39,184.47,183.9801,184.41,1432536.0
2019-06-03,183.9403,184.6186,183.641,184.17,2116082.0
2019-05-31,183.7516,184.02,183.185,184.3,1685062.0
2019-05-30,184.7406,184.8203,184.2823,185.08,1325579.0
2019-05-29,185.25,185.3999,184.8602,185.3,2024312.0
2019-05-28,185.1007,185.4693,184.5627,185.45,2190832.0
2019-05-24,185.3805,185.5998,185.0715,185.69,808467.0
2019-05-23,185.98,186.2999,185.6901,186.01,2668964.0
2019-05-22,186.4704,186.8465,186.4303,186.2,1089839.0
2019-05-21,186.7118,187.3458,186.6816,186.13,1041496.0
2019-05-20,185.8201,186.3811,185.3193,185.66,2814377.0
2019-05-17,185.8707,186.2923,185.7402,185.51,1025102.0
2019-05-16,185.6,185.6801,185.4199,185.55,1183522.0
2019-05-15,185.8115,186.5658,185.8115,185.28,1048834.0
2019-05-14,185.6527,186.5645,185.6527,184.95,1125778.0
2019-05-13,184.24,184.7201,184.24,184.22,1256309.0
2019-05-10,185.1809,185.9291,185.1809,184.78,1098316.0
2019-05-09,185.2117,185.7852,185.1715,184.65,1156175.0
2019-05-08,184.5704,184.9113,184.5704,184.31,921861.0
2019-05-07,183.8902,184.0399,183.5309,184.07,1314179.0
2019-05-06,184.35,184.6502,184.0999,184.3,2266650.0
2019-05-03,182.66,182.8302,182.5099,182.59,1731783.0
2019-05-02,182.1205,182.1205,181.7815,182.41,1116692.0
2019-05-01,182.2701,182.5197,182.0804,182.41,1572245.0
2019-04-30,182.7603,183.051,182.5598,182.53,1304944.0
2019-04-29,182.21,182.3499,182.0302,182.3,1131521.0
2019-04-26,182.48,182.7153,182.46,182.39,949598.0
2019-04-25,182.1002,182.2998,181.8308,182.3,1016218.0
2019-04-24,182.4101,182.7197,182.2203,182.51,968613.0
2019-04-23,182.8206,183.4229,182.7604,182.48,2112007.0
2019-04-22,182.02,182.42,181.59,182.01,1981138.0
2019-04-18,181.2824,181.4313,180.5577,181.94,1737138.0
2019-04-17,182.3702,182.6197,182.1207,182.56,1256441.0
2019-04-16,182.9004,183.7428,182.5594,182.64,1110913.0
2019-04-15,182.1901,182.5396,182.0003,182.31,916564.0
2019-04-12,181.9908,182.2198,181.5028,182.37,1165706.0
2019-04-11,181.902,182.1603,181.3059,182.5,1302076.0
2019-04-10,182.8701,183.1896,182.7403,183.0,1353475.0
2019-04-09,182.86,183.0099,182.7101,182.93,978608.0
2019-04-08,182.9301,183.0699,182.6105,183.05,948956.0
2019-04-05,183.7514,184.2843,183.7011,183.25,1246645.0
2019-04-04,182.1414,182.2905,181.6043,182.64,1139194.0
2019-04-03,182.5014,182.5809,181.7554,183.0,1882120.0
2019-04-02,183.05,183.4398,182.7602,183.1,1119195.0
2019-04-01,183.8819,184.5311,183.7813,183.29,1033304.0
2019-03-29,183.3322,184.4096,183.1107,182.7,1332228.0
2019-03-28,181.87,181.88,181.3604,181.93,1087179.0
2019-03-27,181.6101,181.9247,181.3803,181.72,970941.0
2019-03-26,181.98,182.18,181.6,181.99,1439245.0
2019-03-25,180.9216,181.2795,180.3152,181.46,1471018.0
2019-03-22,181.2014,181.3804,180.6842,181.7,1168814.0
2019-03-21,183.142,183.8568,183.142,182.53,929899.0
2019-03-20,182.11,182.4002,181.9099,182.05,840712.0
2019-03-19,181.84,182.15,181.74,181.84,1158563.0
2019-03-18,181.9801,182.4178,181.9501,181.84,695544.0
2019-03-15,181.83,182.1002,181.4498,181.78,1550287.0
2019-03-14,181.69,182.5302,181.64,181.67,1102248.0
2019-03-13,180.4076,180.4076,179.1638,181.58,1419297.0
2019-03-12,183.2428,183.9583,182.9203,182.53,1506720.0
2019-03-11,182.7147,183.6946,182.6642,181.79,784719.0
2019-03-08,180.9202,181.5216,180.7799,180.71,1299187.0
2019-03-07,179.3948,179.563,178.4545,180.32,2028199.0
2019-03-06,180.7613,180.9901,180.1844,181.25,1484767.0
2019-03-05,180.6861,180.785,179.5297,181.74,2647306.0
2019-03-04,182.84,182.86,182.1502,182.87,797201.0
2019-03-01,182.2805,182.4599,181.5331,182.59,1376626.0
2019-02-28,182.8002,183.0107,182.4595,182.6,1341369.0
2019-02-27,182.8107,183.2323,182.6501,182.46,764223.0
2019-02-26,182.16,182.6596,181.8404,182.25,1319809.0
2019-02-25,181.2671,181.2671,179.7462,182.4,1348399.0
2019-02-22,182.6602,182.9097,182.231,182.83,965390.0
2019-02-21,183.5523,184.2573,183.22,182.9,1201777.0
2019-02-20,182.8717,183.5459,182.7309,182.31,1244185.0
2019-02-19,182.6236,183.6326,182.5732,181.81,1165543.0
2019-02-15,181.3106,182.1035,180.9091,180.98,1406225.0
2019-02-14,180.04,180.4501,179.7999,180.02,1152150.0
2019-02-13,180.4311,181.4763,180.3306,179.98,2364820.0
2019-02-12,179.27,179.6797,178.8903,179.34,2013595.0
2019-02-11,178.9603,179.0101,178.4116,179.18,1701635.0
2019-02-08,179.9418,180.5356,179.7405,179.37,961040.0
2019-02-07,179.541,180.0333,179.4405,179.12,867838.0
2019-02-06,179.1306,179.672,179.1205,178.81,1255088.0
2019-02-05,178.5801,178.8298,178.0407,178.69,1620230.0
2019-02-04,178.7201,178.8603,178.2494,178.58,1544779.0
2019-02-01,178.7608,179.2529,178.2687,178.38,1716153.0
2019-01-31,179.4749,181.41,179.4749,177.84,2157976.0
2019-01-30,176.7004,176.9811,176.5499,176.45,1317235.0
2019-01-29,176.4002,176.8412,176.4002,176.2,1148685.0
2019-01-28,175.9002,176.0998,175.5011,176.1,1661186.0
2019-01-25,176.5,176.75,176.26,176.5,1077231.0
2019-01-24,176.35,176.48,175.9,176.35,1854306.0
2019-01-23,176.5807,177.183,176.3197,176.24,1445260.0
2019-01-22,175.6201,176.2712,175.3697,175.47,3747280.0
2019-01-18,175.1209,175.2204,174.4737,175.51,1455686.0
2019-01-17,176.151,176.794,176.151,175.74,1240596.0
2019-01-16,175.4,176.1206,175.38,175.33,1711098.0
2019-01-15,176.2221,177.0176,176.0711,175.61,1585767.0
2019-01-14,174.1032,174.5692,173.2604,174.85,3594241.0
2019-01-11,177.6339,179.2423,177.6339,176.06,1644066.0
2019-01-10,174.9009,175.569,174.8206,174.5,2680100.0
2019-01-09,173.5021,173.949,172.8367,174.1,2747070.0
2019-01-08,174.81,175.4202,174.3599,174.78,2769041.0
2019-01-07,174.8106,175.6636,174.6199,174.5,1698759.0
2019-01-04,173.4517,174.0778,172.915,173.99,2225096.0
2019-01-03,173.92,175.0995,173.6501,173.96,2615080.0
2019-01-02,173.453,174.1274,172.0796,174.18,3504105.0
2018-12-31,176.3025,176.9675,175.9801,175.64,1109619.0
2018-12-28,173.4377,173.4673,172.2041,174.59,1439767.0
2018-12-27,177.3006,179.3444,176.7896,175.39,2510598.0
