date,Open,High,Low,Close,Volume
2021-02-12,114.8343,117.2539,114.4395,114.13,649260.0
2021-02-11,113.9926,114.5479,111.7614,113.45,591149.0
2021-02-10,114.0664,116.3098,113.3493,112.7,760068.0
2021-02-09,111.6864,113.5648,110.6711,110.84,714519.0
2021-02-08,110.4404,111.2938,110.3601,110.22,706825.0
2021-02-05,110.0032,110.8624,108.9115,109.41,549776.0
2021-02-04,110.2192,113.2249,110.2192,107.89,663549.0
2021-02-03,106.8055,108.5984,106.4674,105.52,782976.0
2021-02-02,105.7885,107.2038,105.3507,104.84,855666.0
2021-02-01,104.3975,106.9949,104.3871,102.42,957017.0
2021-01-29,99.8301,101.9159,98.403,99.93,1773326.0
2021-01-28,102.7776,107.4513,102.6605,99.61,1340631.0
2021-01-27,93.5952,93.8935,90.8526,95.41,1012253.0
2021-01-26,96.4693,96.5635,94.2412,98.65,498217.0
2021-01-25,99.5439,101.0697,98.3589,100.17,778260.0
2021-01-22,102.7448,103.6675,102.6637,102.04,663732.0
2021-01-21,101.6195,102.1737,100.4521,102.6,499536.0
2021-01-20,103.43,104.0195,102.6208,103.48,632830.0
2021-01-19,104.4129,105.6257,103.9192,103.86,730080.0
2021-01-15,103.7767,105.4435,103.1873,102.94,597093.0
2021-01-14,103.1217,104.0695,102.789,102.7,1202686.0
2021-01-13,100.8113,101.2275,98.7454,101.88,766725.0
2021-01-12,103.6602,105.4446,103.59,103.53,1133677.0
2021-01-11,105.5892,108.5559,105.0147,103.31,747372.0
2021-01-08,102.0901,102.6611,100.6776,102.0,598277.0
2021-01-07,102.0309,103.5599,101.4072,101.73,885345.0
2021-01-06,103.8537,108.8701,102.8073,99.99,1271214.0
2021-01-05,92.7783,92.7783,90.4021,94.4,735753.0
2021-01-04,92.4664,92.4664,89.9619,94.03,657826.0
2020-12-31,96.5873,98.0611,96.2028,95.2748,330666.0
2020-12-30,93.8308,94.717,93.7512,93.8408,324218.0
2020-12-29,92.5774,93.3373,91.2087,93.6018,299667.0
2020-12-28,95.6295,97.6638,95.5069,94.3885,532413.0
2020-12-24,90.7202,90.7202,88.557,92.5362,219353.0
2020-12-23,93.3538,94.5608,92.8888,93.6615,738835.0
