date,Open,High,Low,Close,Volume
2021-02-12,109.3175,109.8538,107.4061,110.7,816984.0
2021-02-11,114.2355,118.0992,113.3026,113.44,890565.0
2021-02-10,112.8948,114.6729,111.213,112.16,741329.0
2021-02-09,111.3488,113.1099,111.0332,110.36,816561.0
2021-02-08,111.2701,113.5738,110.6789,110.21,1091450.0
2021-02-05,108.8008,110.0678,105.6786,108.5,1405097.0
2021-02-04,112.428,118.8637,109.0798,107.83,2671194.0
2021-02-03,106.7426,109.7546,106.7426,105.19,1420359.0
2021-02-02,102.8631,103.8522,100.608,103.43,859641.0
2021-02-01,100.8271,100.8949,97.3181,102.48,1182828.0
2021-01-29,98.658,99.0202,95.2455,101.05,1042741.0
2021-01-28,105.1033,108.5964,104.1553,103.54,1175426.0
2021-01-27,96.3742,97.0048,91.5806,100.81,1425503.0
2021-01-26,103.9252,104.1607,100.0059,107.07,1023903.0
2021-01-25,111.465,114.2788,109.6202,109.49,1041844.0
2021-01-22,110.0528,116.2086,108.5601,108.47,1753016.0
2021-01-21,109.2981,111.3404,108.0666,107.89,1051392.0
2021-01-20,105.5404,107.194,104.2757,106.59,822787.0
2021-01-19,105.027,106.1869,101.7953,107.25,986662.0
2021-01-15,108.8536,109.9783,107.2496,110.07,965618.0
2021-01-14,109.3896,110.8919,106.7413,111.47,1063747.0
2021-01-13,111.8506,114.1064,109.4967,112.94,1352025.0
2021-01-12,118.1097,124.4716,117.6363,114.51,1096090.0
2021-01-11,111.163,112.3401,109.5615,110.59,1136284.0
2021-01-08,106.7308,107.2345,102.4825,109.48,1283065.0
2021-01-07,113.3725,115.6911,112.4352,112.18,1438968.0
2021-01-06,114.4711,121.0355,114.0444,109.44,1551825.0
2021-01-05,107.0785,111.4566,106.8029,104.0,890968.0
2021-01-04,98.8426,98.914,94.5132,101.33,1067842.0
2020-12-31,104.3233,105.8806,103.5041,103.74,511421.0
2020-12-30,105.5238,108.2139,105.1012,103.94,757119.0
2020-12-29,99.5313,99.9443,96.8421,101.56,672628.0
2020-12-28,105.4171,108.2524,105.2509,103.44,809041.0
2020-12-24,98.7286,99.054,96.1829,100.92,336447.0
2020-12-23,104.3654,107.2467,104.1873,101.96,491620.0
2020-12-22,95.919,96.0602,92.9006,98.84,759325.0
2020-12-21,103.8932,107.1626,103.3676,101.33,924704.0
2020-12-18,101.4204,102.9468,100.2104,101.21,1636236.0
2020-12-17,101.5026,103.3007,99.9974,100.99,948941.0
2020-12-16,98.0708,99.1395,96.361,99.5,1066815.0
2020-12-15,101.1842,102.0656,98.9961,100.53,1155565.0
2020-12-14,94.6966,96.0443,90.5251,98.9,1392379.0
2020-12-11,96.9672,96.9672,92.2247,101.34,1860176.0
2020-12-10,104.0504,106.0581,102.0276,103.85,2084762.0
2020-12-09,103.1942,106.7817,102.6233,100.83,1855531.0
2020-12-08,99.4638,102.4101,98.9922,97.15,1031606.0
2020-12-07,95.43,95.8695,93.6822,95.49,1310817.0
2020-12-04,94.5782,94.7038,91.9786,96.21,1573757.0
2020-12-03,104.8968,115.7433,104.8968,96.66,3244639.0
2020-12-02,90.4871,92.1337,88.8613,88.92,1526650.0
2020-12-01,89.4782,91.4356,88.8666,88.62,1801008.0
2020-11-30,84.2951,84.8073,82.2754,85.75,5634387.0
2020-11-27,87.8402,88.1991,86.1855,87.98,932521.0
2020-11-25,88.2405,88.9941,85.618,88.03,1347266.0
2020-11-24,92.1668,96.3893,91.6684,89.03,2246467.0
2020-11-23,87.774,92.7212,87.0142,83.34,1947276.0
2020-11-20,76.0896,76.3168,73.8044,78.22,1288410.0
2020-11-19,80.1722,81.4587,79.0737,80.59,1238292.0
2020-11-18,79.2483,80.0097,76.8326,81.74,1414911.0
2020-11-17,90.1339,96.9052,89.7664,84.1,2184021.0
2020-11-16,77.714,77.714,74.3416,79.34,1932473.0
2020-11-13,80.461,83.6317,80.2353,77.61,1780230.0
2020-11-12,73.3223,74.2677,71.2755,74.27,1356700.0
2020-11-11,71.7387,72.0045,66.936,76.21,1589065.0
2020-11-10,81.6914,84.162,81.2981,81.35,1921984.0
2020-11-09,86.7155,93.8508,84.971,81.74,3794551.0
2020-11-06,66.8006,67.9556,64.6151,68.23,1309942.0
2020-11-05,70.9445,72.2876,70.3476,69.93,897642.0
2020-11-04,67.032,67.9838,64.5574,68.71,1261133.0
2020-11-03,70.0011,72.0524,69.7242,69.12,1274618.0
2020-11-02,67.43,69.34,66.7,67.43,1581643.0
2020-10-30,63.678,63.8232,59.1594,66.85,2946830.0
2020-10-29,67.3363,67.3363,61.4382,70.58,3743222.0
