date,Open,High,Low,Close,Volume
2021-02-12,10.9118,11.9153,10.7734,10.16,5476712.0
2021-02-11,8.9701,9.2337,8.1794,9.57,6606214.0
2021-02-10,10.4568,10.8043,10.2041,10.19,5422616.0
2021-02-09,9.8102,10.1933,9.6408,9.77,4707896.0
2021-02-08,10.3835,11.0007,10.3283,9.89,6098432.0
2021-02-05,8.9788,9.0258,8.6685,9.26,5525201.0
2021-02-04,9.1721,9.2055,8.9197,9.31,3198976.0
2021-02-03,9.5204,9.8445,9.0849,9.46,6528071.0
2021-02-02,8.6638,8.6725,8.0275,9.28,6075967.0
2021-02-01,9.5703,9.8622,9.2437,9.62,5014501.0
2021-01-29,9.21,9.92,9.06,9.21,7002958.0
2021-01-28,9.0681,9.5206,8.4743,9.34,6568962.0
2021-01-27,10.384,11.8933,10.2029,9.45,9379212.0
2021-01-26,8.2912,8.5086,7.8245,8.71,6142765.0
2021-01-25,9.185,9.4576,8.7761,8.97,5155985.0
2021-01-22,9.0322,9.3879,8.849,8.7,4885410.0
2021-01-21,8.4437,8.6356,7.8488,8.62,6871737.0
2021-01-20,8.1586,8.3456,7.296,8.85,8883848.0
2021-01-19,9.01,9.0994,8.2592,9.53,10572810.0
2021-01-15,10.5624,11.0557,10.4981,10.2,11305332.0
2021-01-14,10.4533,10.971,10.3652,9.96,9241065.0
2021-01-13,9.4225,9.7944,9.1228,9.27,10437592.0
2021-01-12,10.0848,11.2606,10.0606,9.16,10497587.0
2021-01-11,8.6896,9.4979,8.5707,7.97,4463298.0
2021-01-08,7.2223,7.2361,6.8718,7.52,4510643.0
2021-01-07,7.73,7.8497,7.5904,7.74,4555093.0
2021-01-06,8.3372,9.0855,8.3372,7.71,6207269.0
2021-01-05,7.625,8.22,7.6145,7.43,6759609.0
2021-01-04,7.3891,7.7113,7.2817,7.13,4948437.0
2020-12-31,6.7301,6.8713,6.6393,6.7,3562420.0
2020-12-30,7.2055,7.83,7.1592,6.7,4495629.0
2020-12-29,5.9086,5.9534,5.5679,6.24,5517905.0
2020-12-28,6.1859,6.2403,5.8508,6.5,7494348.0
2020-12-24,6.6966,6.7147,6.3518,7.03,1875476.0
2020-12-23,7.9428,8.7929,7.9311,7.36,5935926.0
2020-12-22,6.7712,6.8783,6.6007,6.86,3347552.0
2020-12-21,7.2854,7.692,7.1646,6.95,5582911.0
2020-12-18,6.7417,6.7708,6.5577,6.85,11348457.0
2020-12-17,7.02,7.06,6.7192,7.01,4133517.0
2020-12-16,6.4139,6.4139,5.9185,6.88,7675857.0
2020-12-15,7.3528,7.54,7.2696,7.21,4910752.0
2020-12-14,6.7547,6.7912,6.3896,7.07,6618805.0
2020-12-11,6.7044,6.7215,6.093,7.25,7598085.0
2020-12-10,8.3941,9.1744,8.3941,7.72,9811632.0
2020-12-09,7.1609,7.4371,7.0586,7.08,6185400.0
2020-12-08,6.9412,7.3108,6.8488,6.85,5965891.0
2020-12-07,6.4202,6.474,6.0615,6.78,7870465.0
2020-12-04,7.8765,8.361,7.8765,7.42,6229712.0
2020-12-03,6.8309,6.8944,6.4107,6.91,8244497.0
2020-12-02,7.0114,7.4101,6.9044,7.11,4987053.0
2020-12-01,7.1039,7.3426,6.8747,7.27,3831481.0
2020-11-30,6.7541,6.8226,6.2405,7.3,4236393.0
2020-11-27,7.7601,7.9143,7.5611,7.78,2152394.0
2020-11-25,7.92,7.9699,7.6008,7.93,3472283.0
2020-11-24,8.2162,8.5534,8.0893,7.99,4650689.0
2020-11-23,7.9849,8.3454,7.9194,7.64,6306307.0
2020-11-20,7.1202,7.4169,6.9224,7.16,4094706.0
2020-11-19,7.4683,7.7464,7.158,7.22,6180622.0
2020-11-18,6.8513,6.9621,6.5605,7.13,5059471.0
2020-11-17,7.7108,8.1559,7.6886,7.31,4139934.0
2020-11-16,6.7639,6.7822,6.0591,7.07,7940399.0
2020-11-13,7.504,7.9354,7.4767,7.18,3590997.0
2020-11-12,6.7801,7.1232,6.7045,6.75,5054481.0
2020-11-11,6.8407,7.1919,6.6055,6.91,6562932.0
