date,Open,High,Low,Close,Volume
2021-02-12,35.2728,35.741,35.1557,34.96,272535.0
2021-02-11,35.4419,35.7616,34.8736,35.18,309302.0
2021-02-10,34.2953,34.6855,33.7294,34.72,241192.0
2021-02-09,35.3005,35.6934,34.7061,35.17,334431.0
2021-02-08,35.6964,36.21,35.3266,35.22,244491.0
2021-02-05,33.5765,33.9497,32.1982,34.32,460074.0
2021-02-04,34.6715,35.3562,34.0905,34.04,524292.0
2021-02-03,32.606,33.7643,31.6814,33.05,664023.0
2021-02-02,32.572,32.7984,31.4991,32.83,434300.0
2021-02-01,33.5946,35.1349,33.4977,32.37,341180.0
2021-01-29,30.3772,30.6348,29.1846,31.1,745768.0
2021-01-28,32.1914,32.7649,31.6442,31.98,450660.0
2021-01-27,30.4311,30.8033,29.0077,31.55,514829.0
2021-01-26,32.0503,32.1881,30.4886,33.44,360529.0
2021-01-25,34.9918,35.56,34.4947,34.74,357362.0
2021-01-22,35.0418,35.82,34.6786,34.4,234331.0
2021-01-21,33.4525,33.5007,32.6153,34.1,253750.0
2021-01-20,34.4407,34.7033,33.8958,34.6,260007.0
2021-01-19,34.6818,35.262,34.6108,34.43,281272.0
2021-01-15,34.3704,34.8434,34.0533,34.26,252886.0
2021-01-14,34.9221,35.5925,34.912,34.65,219739.0
2021-01-13,33.5829,34.2562,32.7652,34.24,239091.0
2021-01-12,34.6443,34.7519,34.1455,35.03,221273.0
2021-01-11,35.773,36.4902,35.6587,35.09,222124.0
2021-01-08,34.8003,35.1185,34.2534,34.9,340459.0
2021-01-07,35.3156,35.8285,34.7515,34.87,244936.0
2021-01-06,35.4407,36.9834,35.3657,34.24,446696.0
2021-01-05,33.5479,34.8945,33.4101,32.58,286344.0
2021-01-04,31.0915,31.3129,30.0134,31.69,235003.0
2020-12-31,32.1217,32.5884,31.86,31.89,223897.0
2020-12-30,31.9322,32.6743,31.8911,31.67,144220.0
2020-12-29,29.5061,29.5061,27.559,31.43,254405.0
2020-12-28,31.954,32.0713,31.4943,32.31,211007.0
2020-12-24,32.5818,32.8457,32.0337,32.34,117344.0
2020-12-23,31.9201,32.1206,31.5992,31.88,206088.0
2020-12-22,30.9981,31.1773,30.4365,31.5,309298.0
2020-12-21,31.95,32.3897,31.3104,31.96,330020.0
2020-12-18,32.1742,32.4968,31.5582,32.54,1614099.0
2020-12-17,33.0622,33.3927,32.7471,32.79,464348.0
2020-12-16,31.4749,31.4749,30.5554,32.16,324639.0
2020-12-15,33.0152,33.4357,32.5434,32.6,343892.0
2020-12-14,31.1311,31.2275,30.5147,31.72,400145.0
2020-12-11,32.3718,32.6966,32.2906,32.13,255197.0
2020-12-10,32.24,32.4197,31.8108,32.27,287577.0
2020-12-09,32.4218,32.6681,31.7812,32.66,510736.0
2020-12-08,32.5106,33.0163,32.2132,32.65,310960.0
2020-12-07,32.6835,32.6835,31.9781,33.02,230397.0
2020-12-04,33.8818,34.6813,33.5495,33.25,229210.0
2020-12-03,32.0514,32.2883,31.7361,32.26,187302.0
2020-12-02,32.8426,33.2882,32.5474,32.55,229974.0
2020-12-01,32.2402,32.4692,31.9315,32.31,330328.0
2020-11-30,31.2599,31.3033,30.5261,31.815,386141.0
2020-11-27,32.391,32.4009,31.9558,32.57,132713.0
2020-11-25,32.1915,32.4419,31.4691,32.8,234725.0
2020-11-24,34.0856,34.7782,33.8393,33.65,391070.0
2020-11-23,33.3312,33.985,32.3973,32.72,337928.0
2020-11-20,31.8104,32.334,31.4982,31.7,374526.0
2020-11-19,32.4731,33.1813,32.2232,31.82,415626.0
2020-11-18,31.2272,31.4372,30.4921,31.96,437136.0
2020-11-17,32.9021,33.2171,31.6827,32.64,566090.0
2020-11-16,33.0001,33.4722,32.8495,32.93,562224.0
2020-11-13,33.2601,34.4293,33.1538,32.26,339007.0
2020-11-12,30.8901,31.3114,30.4487,30.84,688949.0
2020-11-11,31.1509,32.6623,30.7894,31.06,788576.0
2020-11-10,30.8922,32.2616,30.8922,29.75,707883.0
2020-11-09,29.6285,31.2153,29.2717,28.71,552265.0
2020-11-06,27.0649,27.517,26.9416,26.7,292854.0
2020-11-05,27.172,28.1906,26.9525,26.24,263900.0
2020-11-04,25.1501,25.4009,24.7287,25.11,380873.0
2020-11-03,25.3902,25.5692,24.9029,25.46,386058.0
2020-11-02,24.91,25.1205,24.3988,24.88,376835.0
2020-10-30,24.5505,24.9743,24.3588,24.44,388534.0
2020-10-29,25.1021,25.9072,24.8826,24.55,494224.0
2020-10-28,23.9226,24.7748,23.6091,24.17,715778.0
2020-10-27,25.1001,25.6376,24.8314,25.16,525391.0
2020-10-26,24.381,24.381,23.2249,25.25,368335.0
2020-10-23,26.591,26.8592,26.2165,26.43,248394.0
2020-10-22,26.0802,26.3587,25.6226,26.15,255382.0
2020-10-21,25.4839,25.8277,24.9015,26.08,197674.0
2020-10-20,26.0975,26.3586,25.6237,26.54,350996.0
2020-10-19,26.2819,26.4065,25.697,26.84,323806.0
2020-10-16,27.0707,27.4666,26.8728,27.21,299010.0
2020-10-15,28.1223,28.9906,27.9741,27.33,174773.0
2020-10-14,26.5338,26.6803,26.2017,26.85,443194.0
2020-10-13,26.6594,26.9484,26.1199,27.16,181453.0
2020-10-12,27.97,28.1101,27.7849,27.96,190548.0
2020-10-09,27.5026,27.689,27.1157,27.77,176842.0
2020-10-08,27.75,27.9001,27.3297,27.74,184756.0
