date,Open,High,Low,Close,Volume
2009-01-29,2.3739,2.4016,2.1984,2.47,96946700.0
2009-01-28,2.7432,2.9146,2.7217,2.65,7052800.0
2009-01-27,2.4754,2.6294,2.4754,2.36,3381900.0
2009-01-26,2.3111,2.4785,2.2902,2.26,4596200.0
2009-01-23,2.3827,2.6407,2.3336,2.15,7060300.0
2009-01-22,2.0702,2.1722,2.0702,2.05,3583100.0
2009-01-21,2.2739,2.3936,2.1977,2.18,7707300.0
2009-01-20,1.7391,1.7467,1.482,2.0,6267000.0
2009-01-16,2.3532,2.4183,2.1951,2.44,3726800.0
2009-01-15,2.45,2.56,2.37,2.45,4992400.0
2009-01-14,2.3914,2.4105,2.3057,2.45,2834100.0
2009-01-13,2.7201,2.7607,2.6694,2.7,3305900.0
2009-01-12,2.6642,2.692,2.5254,2.77,3952500.0
2009-01-09,2.7465,2.7465,2.6192,2.88,1996400.0
2009-01-08,3.0603,3.0909,3.0195,3.03,2211800.0
2009-01-07,2.9605,2.98,2.9021,3.0,2059100.0
2009-01-06,3.1,3.12,3.01,3.1,2735400.0
2009-01-05,3.05,3.0903,3.0098,3.04,1827400.0
2009-01-02,3.1933,3.3215,3.1613,3.09,2434600.0
2008-12-31,3.0001,3.0305,2.9495,2.98,1586800.0
2008-12-30,3.169,3.3476,3.169,3.0,1903300.0
2008-12-29,2.9106,2.9826,2.9106,2.87,1478800.0
2008-12-26,2.9303,2.9712,2.8997,2.9,1062100.0
2008-12-24,2.9213,3.0778,2.9213,2.86,681500.0
2008-12-23,2.9509,3.0234,2.9302,2.9,1916700.0
2008-12-22,2.8701,2.9614,2.8397,2.85,2178500.0
2008-12-19,2.89,2.9404,2.8498,2.88,3514200.0
2008-12-18,2.6619,2.6795,2.4862,2.84,1866500.0
2008-12-17,3.1128,3.2509,3.049,3.02,2925000.0
2008-12-16,3.5603,4.1424,3.5603,3.06,3668200.0
2008-12-15,2.65,2.6997,2.6004,2.66,3986800.0
2008-12-12,2.9991,3.2588,2.9872,2.76,3606200.0
2008-12-11,2.68,2.8009,2.6599,2.67,3591500.0
2008-12-10,2.7939,2.9233,2.7939,2.69,2330800.0
2008-12-09,2.61,2.67,2.52,2.61,3393200.0
2008-12-08,2.8944,3.1492,2.8944,2.69,2516300.0
2008-12-05,2.6957,2.9184,2.6371,2.49,2591000.0
2008-12-04,2.2702,2.3783,2.2309,2.29,2738900.0
2008-12-03,2.6128,2.8209,2.6128,2.43,3257900.0
2008-12-02,2.5153,2.68,2.4823,2.4,2932400.0
2008-12-01,1.8473,1.8473,1.6174,2.11,2452400.0
2008-11-28,2.48,2.5204,2.4296,2.47,997500.0
2008-11-26,2.7072,3.1177,2.7072,2.39,2810900.0
2008-11-25,2.4145,2.5456,2.3708,2.31,2977900.0
2008-11-24,2.3595,2.5418,2.2569,2.21,2908200.0
2008-11-21,2.1853,2.4993,2.1853,1.95,4188300.0
2008-11-20,1.3984,1.4278,1.1997,1.63,2803200.0
2008-11-19,1.6756,1.6756,1.4624,1.92,3099900.0
2008-11-18,2.3023,2.4302,2.2596,2.23,2315500.0
2008-11-17,2.1252,2.1252,1.9889,2.23,1777600.0
2008-11-14,2.2577,2.3202,2.115,2.39,1147900.0
2008-11-13,3.1061,3.6823,3.1061,2.62,3891400.0
2008-11-12,1.8889,1.8966,1.6518,2.16,3023100.0
2008-11-11,2.2987,2.2987,2.1123,2.44,2519500.0
2008-11-10,2.5452,2.5543,2.3987,2.66,1838700.0
2008-11-07,3.0461,3.2104,3.0242,2.91,3505400.0
2008-11-06,2.5988,2.6613,2.4113,2.75,2840700.0
2008-11-05,2.6217,2.6301,2.3948,2.86,3460900.0
2008-11-04,3.1212,3.2148,3.0588,3.06,1772800.0
2008-11-03,2.8101,2.8397,2.7214,2.83,1583500.0
2008-10-31,3.0471,3.2789,2.9809,2.9,2430300.0
2008-10-30,2.8318,3.0213,2.8318,2.76,3950900.0
2008-10-29,2.5004,2.6951,2.3262,2.47,5442400.0
2008-10-28,2.6924,2.8879,2.4737,2.51,3931700.0
2008-10-27,2.1216,2.1974,2.0364,2.18,2141400.0
2008-10-24,2.4873,2.8562,2.4516,2.28,2345800.0
2008-10-23,2.52,2.7015,2.3688,2.51,2859600.0
2008-10-22,2.0868,2.0868,1.7701,2.46,3266700.0
2008-10-21,2.7394,2.7905,2.5267,2.97,4733700.0
2008-10-20,3.751,4.1261,3.6663,3.41,5710200.0
2008-10-17,3.0103,3.2042,2.8674,2.98,6387900.0
2008-10-16,3.1516,3.2563,2.9213,3.08,7049800.0
2008-10-15,2.7868,2.9029,2.4799,3.06,4762100.0
2008-10-14,3.0209,3.1896,2.5302,3.45,6188200.0
2008-10-13,3.1864,3.1864,2.6766,3.68,3800600.0
2008-10-10,4.8876,6.418,4.4433,3.81,4846000.0
2008-10-09,2.2468,2.2564,1.5486,3.26,7038400.0
2008-10-08,4.3948,4.9851,4.2542,4.54,2409400.0
2008-10-07,3.7985,3.8048,3.0248,4.77,3201400.0
2008-10-06,5.9369,6.5395,5.0441,5.62,3919800.0
2008-10-03,5.6373,6.0566,4.985,5.84,3574700.0
2008-10-02,5.3938,6.481,5.3833,5.25,3360300.0
2008-10-01,5.2325,5.8925,4.6551,4.82,6331800.0
2008-09-30,3.1842,3.4051,2.3394,3.95,10949400.0
2008-09-29,8.37,8.37,8.37,8.37,0.0
2008-09-26,8.9472,9.5643,8.4673,8.37,2250400.0
2008-09-25,8.0708,8.4434,7.7668,8.15,1343400.0
2008-09-24,7.7401,8.1668,7.6508,7.77,946200.0
2008-09-23,7.5097,7.9663,7.2488,7.78,932400.0
2008-09-22,6.5626,6.6592,5.4516,7.9,1772500.0
2008-09-19,10.4653,11.3025,8.885,10.23,9170300.0
2008-09-18,9.2628,10.0941,7.244,8.5,5584300.0
2008-09-17,6.3789,6.6446,5.3917,7.32,4708900.0
2008-09-16,8.9009,9.3194,8.6764,8.81,4611300.0
2008-09-15,8.9503,9.5437,8.7525,9.0,3931700.0
2008-09-12,10.9957,12.3749,10.9456,9.82,2812500.0
2008-09-11,9.9457,11.1013,9.7244,8.97,2111600.0
2008-09-10,8.0009,8.0824,7.3221,8.41,1963100.0
2008-09-09,8.6109,9.1791,8.513,8.7,3597800.0
2008-09-08,8.7016,8.9064,7.7803,9.02,4583000.0
2008-09-05,10.277,10.9561,10.1412,9.66,1440300.0
2008-09-04,8.7983,8.8441,8.3868,9.2,1497200.0
2008-09-03,10.0066,10.3647,9.9539,9.75,2451200.0
2008-09-02,9.044,9.1435,8.4109,9.51,2197200.0
2008-08-29,9.833,10.1232,9.6465,9.66,1448200.0
2008-08-28,10.1747,10.8974,10.083,9.5,2041100.0
2008-08-27,8.8623,9.2031,8.852,8.72,1164300.0
2008-08-26,9.0515,9.5378,9.0184,8.61,1554200.0
2008-08-25,8.33,8.5495,8.2502,8.34,1794000.0
2008-08-22,8.7053,8.9577,8.1586,8.49,2976500.0
2008-08-21,8.0368,8.1123,7.4418,8.27,3272700.0
2008-08-20,8.1403,8.2004,7.2979,8.78,2756800.0
2008-08-19,9.208,9.2646,8.708,9.48,1829000.0
2008-08-18,9.2977,9.3331,8.6879,9.89,1849100.0
2008-08-15,10.5202,10.7519,10.2682,10.48,1847200.0
2008-08-14,10.6231,11.0528,10.6231,10.25,1453300.0
2008-08-13,9.92,10.13,9.48,9.92,1621000.0
2008-08-12,9.4019,9.5359,8.8305,9.95,1857700.0
2008-08-11,10.9565,11.2611,10.5993,10.69,1970500.0
2008-08-08,10.4244,10.7476,10.2472,10.21,3766200.0
2008-08-07,9.4948,9.5853,8.9336,9.98,2847800.0
2008-08-06,11.1317,11.7228,10.8471,10.64,2921800.0
2008-08-05,10.3508,10.5849,10.0556,10.26,3046100.0
2008-08-04,10.051,10.4592,9.7857,9.95,2053000.0
2008-08-01,9.8304,10.0531,9.4153,9.77,1669400.0
2008-07-31,9.6621,10.3007,9.4561,9.52,3105300.0
2008-07-30,9.6,9.7594,9.0722,9.62,2199200.0
2008-07-29,10.7413,12.0808,10.6787,9.6,2610700.0
2008-07-28,8.2583,8.6341,7.8919,8.52,2480500.0
2008-07-25,9.0,9.4067,8.5719,8.7,2405900.0
2008-07-24,7.3604,7.3993,6.3868,8.34,3390200.0
2008-07-23,9.6535,10.3289,9.269,9.47,4132200.0
2008-07-22,9.6129,10.6338,9.1633,8.72,2887300.0
2008-07-21,7.8575,8.008,7.4905,8.1,1983400.0
2008-07-18,8.3967,8.6931,7.9202,8.16,2929900.0
2008-07-17,8.1128,8.5467,7.5814,7.79,3044300.0
2008-07-16,7.9229,8.9674,7.8974,7.02,2962100.0
2008-07-15,6.3735,7.2636,6.1318,6.08,4174400.0
2008-07-14,5.2555,5.2996,4.2926,6.13,4222000.0
2008-07-11,7.843,8.6876,6.8053,7.14,6292300.0
2008-07-10,7.0444,7.2633,6.7207,7.22,2225200.0
2008-07-09,7.1675,7.7211,6.9049,7.4,2535900.0
2008-07-08,8.6348,9.7329,8.3353,7.73,2172900.0
2008-07-07,6.5189,6.636,6.1587,6.87,2482300.0
2008-07-03,6.9935,7.2709,6.7543,7.15,1271500.0
2008-07-02,6.9452,7.1186,6.6166,7.27,2387400.0
2008-07-01,8.077,8.6853,8.0657,7.61,2033300.0
2008-06-30,7.0996,7.1833,6.6064,7.36,2242300.0
2008-06-27,7.268,7.4314,6.7508,7.63,5775800.0
2008-06-26,7.8512,8.1243,7.7537,7.95,2333300.0
2008-06-25,8.3702,8.7565,8.2414,8.41,1538500.0
2008-06-24,8.6371,9.0928,8.3191,8.39,1759000.0
2008-06-23,7.4381,7.4714,6.7884,8.15,2541100.0
2008-06-20,9.4921,10.1121,9.2441,8.94,3021200.0
2008-06-19,8.2272,8.2743,7.5196,8.47,2648800.0
2008-06-18,8.7101,8.9087,8.3029,8.74,2107600.0
2008-06-17,8.3909,8.4998,7.9555,8.81,1713700.0
2008-06-16,9.6372,10.2368,9.4955,9.23,1830700.0
2008-06-13,8.8405,8.9685,8.5846,8.91,2008200.0
2008-06-12,9.0792,9.5166,9.0792,8.79,1637500.0
2008-06-11,8.1117,8.2695,7.7962,8.42,1988000.0
2008-06-10,9.2091,9.8347,9.2091,8.79,2472000.0
2008-06-09,8.2851,8.4851,7.9518,8.49,2384400.0
2008-06-06,8.3351,8.3719,7.9487,8.69,2737700.0
2008-06-05,9.2603,9.3917,9.0985,9.21,2161600.0
2008-06-04,9.0409,9.3547,8.8938,9.13,2828800.0
2008-06-03,9.1704,9.4172,8.9927,9.23,2529100.0
2008-06-02,9.27,9.4307,9.1194,9.25,3310700.0
2008-05-30,9.15,9.1901,8.9496,9.14,5541300.0
2008-05-29,9.395,9.9591,9.3407,9.02,2637000.0
2008-05-28,8.5336,8.5432,8.1113,8.71,3745600.0
2008-05-27,8.8007,8.9026,8.6581,8.72,2670400.0
2008-05-23,8.3241,8.4103,7.9893,8.51,2969500.0
2008-05-22,9.4587,10.2363,9.4587,8.78,5530300.0
2008-05-21,7.9144,7.9144,7.6852,8.1,2781700.0
2008-05-20,8.1503,8.3933,8.0896,8.1,2782900.0
2008-05-19,8.11,8.21,8.0,8.11,2028400.0
2008-05-16,7.7808,7.7808,7.3996,8.07,3321400.0
2008-05-15,8.5831,8.7494,8.3857,8.42,2569000.0
2008-05-14,7.7121,7.7121,7.1562,8.21,5780400.0
2008-05-13,8.7114,8.8859,8.2497,8.6,23776800.0
2008-05-12,8.7582,9.5606,8.7123,8.18,4507100.0
2008-05-09,8.2814,8.7921,8.1371,7.86,2995300.0
2008-05-08,7.1166,7.1348,6.6798,7.46,2022000.0
2008-05-07,7.5272,7.6025,7.2449,7.76,2517700.0
2008-05-06,8.2157,8.6059,8.068,8.0,1508800.0
2008-05-05,7.6689,7.6876,7.2013,7.93,1535400.0
2008-05-02,8.2915,8.8258,8.2093,8.18,3221400.0
2008-05-01,8.3635,8.8653,8.3524,7.92,2340300.0
2008-04-30,7.4203,7.4894,7.3513,7.47,2019900.0
2008-04-29,7.3157,7.4009,7.098,7.52,1701500.0
2008-04-28,7.8211,8.0975,7.7289,7.73,2791300.0
2008-04-25,8.0168,8.4561,7.9729,7.65,3305500.0
2008-04-24,6.7523,6.8954,5.8311,7.14,6973300.0
2008-04-23,7.5611,8.0393,7.146,7.96,5693900.0
2008-04-22,8.34,8.4897,8.1505,8.35,1997000.0
2008-04-21,7.7752,7.8517,7.1457,8.43,2197800.0
2008-04-18,9.3911,9.6568,9.3502,9.29,2150300.0
2008-04-17,9.2604,9.6137,9.1105,8.95,1140600.0
2008-04-16,8.9242,9.1646,8.9138,8.73,1685500.0
2008-04-15,8.687,8.9519,8.5705,8.44,1785400.0
2008-04-14,7.8693,8.0188,7.5889,8.14,2037300.0
2008-04-11,8.3014,8.4573,8.1845,8.41,2022100.0
2008-04-10,8.3559,8.3559,7.961,8.72,2125500.0
2008-04-09,8.743,8.7986,8.3999,9.08,1267300.0
2008-04-08,9.2807,9.3593,9.1529,9.36,1389800.0
2008-04-07,9.7343,10.1308,9.7343,9.53,1643900.0
2008-04-04,8.8574,8.9399,8.454,9.25,1437600.0
2008-04-03,9.552,9.6103,9.3285,9.69,1614900.0
2008-04-02,9.8502,10.0188,9.6617,9.89,2340200.0
2008-04-01,10.1694,10.5098,10.1588,9.86,2479200.0
2008-03-31,9.4211,9.7378,9.2678,9.32,2521400.0
2008-03-28,8.8146,8.8416,8.3364,9.28,1465000.0
2008-03-27,9.22,9.2566,8.7545,9.65,1668000.0
2008-03-26,9.5594,9.5777,9.1107,9.99,2264000.0
2008-03-25,10.54,10.82,10.44,10.54,2514800.0
2008-03-24,10.8714,11.6082,10.8714,10.52,3349900.0
2008-03-20,10.5872,11.1736,10.5004,10.16,4399800.0
2008-03-19,9.3658,9.5134,8.9598,9.75,2387200.0
2008-03-18,10.3753,10.9198,10.2288,10.14,3582200.0
2008-03-17,9.422,9.5483,8.9558,9.56,3298700.0
2008-03-14,9.4378,9.6177,8.835,9.95,2157500.0
2008-03-13,11.0072,11.6827,10.8854,10.46,2055100.0
2008-03-12,9.885,10.1907,9.5144,10.27,1601900.0
2008-03-11,10.6806,10.9243,10.2136,10.6,3052500.0
2008-03-10,9.5533,9.6555,9.1444,9.91,1855700.0
2008-03-07,10.4444,10.9968,10.3714,10.23,2647400.0
2008-03-06,9.7567,9.7843,9.3509,10.16,1883200.0
2008-03-05,10.5309,10.7469,10.3052,10.63,2455000.0
2008-03-04,10.7701,10.8894,10.3226,10.8,2790200.0
2008-03-03,11.0402,11.232,10.9393,10.99,2079100.0
2008-02-29,10.8723,10.9694,10.6391,11.03,2473800.0
2008-02-28,11.2315,11.3097,10.8991,11.36,1685100.0
2008-02-27,11.7415,12.2835,11.721,11.61,2530000.0
2008-02-26,11.69,11.9292,11.5007,11.71,2346500.0
2008-02-25,11.9742,12.2131,11.7665,11.75,3261100.0
2008-02-22,11.5801,11.6298,10.7558,11.62,5212900.0
2008-02-21,12.0321,12.1685,11.7983,12.19,1667300.0
2008-02-20,12.8012,13.4424,12.8012,12.28,1844200.0
2008-02-19,11.4685,11.5229,10.7971,12.04,2566500.0
2008-02-15,12.6704,12.7412,12.2356,12.6,2227800.0
2008-02-14,12.4002,12.6383,12.1423,12.45,1930900.0
2008-02-13,12.611,12.7331,12.153,12.5,2998400.0
2008-02-12,12.1666,12.1762,11.6127,12.45,2554900.0
2008-02-11,12.59,12.7603,12.2595,12.58,1902400.0
2008-02-08,12.6005,12.8639,12.3777,12.52,2493900.0
2008-02-07,12.6805,12.9641,12.326,12.6,4290700.0
2008-02-06,12.8718,13.0971,12.4212,12.72,3193000.0
2008-02-05,12.3208,12.4881,12.0453,12.42,2445000.0
2008-02-04,12.5578,12.5673,12.1198,12.87,2861900.0
2008-02-01,13.4826,13.9934,13.3336,13.07,2541400.0
2008-01-31,13.7611,15.3321,13.4445,12.47,2919600.0
2008-01-30,11.4138,11.5072,10.9748,11.81,3166300.0
2008-01-29,13.3332,14.7832,13.0267,12.28,5430300.0
2008-01-28,11.7164,12.3777,11.0441,11.16,3687100.0
2008-01-25,11.0273,11.6562,11.0273,10.59,4210700.0
2008-01-24,9.6045,9.7676,8.6622,10.09,4988200.0
2008-01-23,12.6601,14.4393,12.5054,11.15,3265500.0
2008-01-22,11.3794,13.2759,11.0127,10.12,3758000.0
2008-01-18,9.7102,10.0672,9.3233,9.75,2902400.0
2008-01-17,8.8595,8.8595,8.0008,9.75,3831100.0
2008-01-16,11.4774,12.5966,11.4774,10.74,4119100.0
2008-01-15,10.0731,10.3146,9.8896,10.25,2667800.0
2008-01-14,11.0349,11.5198,10.787,10.63,2664900.0
2008-01-11,10.9781,11.7388,10.7034,10.68,2204600.0
2008-01-10,11.7045,13.2452,11.3462,10.71,3848200.0
2008-01-09,9.8325,9.9488,9.1447,9.99,2742400.0
2008-01-08,9.7987,9.9873,9.4874,10.09,2746400.0
2008-01-07,10.1608,10.3868,9.8267,10.25,2395200.0
2008-01-04,10.1573,10.1668,9.74,10.43,1804400.0
2008-01-03,10.702,10.7604,10.4199,10.85,2026800.0
2008-01-02,10.6602,10.7355,10.2744,10.99,2087400.0
2007-12-31,11.8793,12.5743,11.6622,11.4,2839200.0
2007-12-28,10.5001,10.5369,9.8668,10.96,2646400.0
2007-12-27,11.6411,11.9673,11.5901,11.53,1927900.0
2007-12-26,11.5519,11.6006,11.2984,11.7,1416500.0
2007-12-24,12.2472,12.6043,12.2472,11.95,723100.0
2007-12-21,11.6116,11.7484,10.928,11.75,4164700.0
2007-12-20,11.9002,12.0093,11.4242,11.95,2288100.0
2007-12-19,11.7478,11.8713,11.4151,12.05,1878400.0
2007-12-18,12.6536,12.933,12.3846,12.44,2636500.0
2007-12-17,12.444,12.8796,12.3922,12.22,2016700.0
2007-12-14,11.8533,12.0178,11.3114,12.05,2248900.0
2007-12-13,12.4,12.4502,11.9285,12.38,2215600.0
2007-12-12,12.1524,12.2557,11.5419,12.54,3484600.0
2007-12-11,11.3724,11.5868,10.5062,12.28,3025600.0
2007-12-10,14.1559,15.2015,13.9422,13.35,2700700.0
2007-12-07,12.5604,12.8334,12.3076,12.49,2182500.0
2007-12-06,13.1059,13.9759,13.0043,12.33,1928900.0
2007-12-05,12.0679,12.468,12.0679,11.76,1857300.0
2007-12-04,10.8744,10.8837,10.4461,11.27,1678100.0
2007-12-03,11.4048,11.4624,11.0496,11.64,1843000.0
2007-11-30,11.8912,12.6364,11.7279,11.77,3094400.0
2007-11-29,11.11,11.7323,10.8892,11.09,3216800.0
2007-11-28,11.8694,12.9463,11.8115,11.03,3541700.0
2007-11-27,9.9128,10.3964,9.5937,10.08,3102900.0
2007-11-26,9.2791,9.313,8.5249,10.08,1781900.0
2007-11-23,11.2054,11.5712,11.2054,10.96,1104600.0
2007-11-21,10.59,10.9707,10.2995,10.58,2282100.0
2007-11-20,11.1,11.1,11.1,11.1,0.0
2007-11-19,10.7046,10.7883,10.1466,11.1,2731800.0
2007-11-16,10.9986,11.1055,10.2499,11.65,2178000.0
2007-11-15,11.7236,11.7236,11.1008,12.25,1260000.0
2007-11-14,12.0581,12.4403,11.4393,12.64,1813200.0
2007-11-13,13.5952,14.2504,13.3768,13.01,2124400.0
2007-11-12,11.7852,11.9862,11.2005,12.33,1931900.0
2007-11-09,13.7274,14.9732,13.6474,12.84,2443700.0
2007-11-08,11.7099,12.2576,11.2094,12.05,4792100.0
2007-11-07,10.8469,10.8469,9.9706,11.76,2945400.0
2007-11-06,12.9019,13.0093,12.4725,13.06,1542100.0
2007-11-05,13.3813,13.7893,13.2793,13.25,1256500.0
2007-11-02,12.9728,13.0386,12.4181,13.38,1937900.0
2007-11-01,13.4387,13.4672,12.9917,13.78,1671900.0
2007-10-31,14.6844,15.0158,14.6119,14.43,1392400.0
2007-10-30,14.5694,15.1062,14.4851,14.2,1569600.0
2007-10-29,13.6959,13.7442,13.1458,13.9017,1659700.0
2007-10-26,14.24,14.3604,13.889,14.1801,1611600.0
2007-10-25,13.2018,13.3039,12.6541,13.663,1877800.0
2007-10-24,13.7572,13.7572,12.9903,14.0111,2217900.0
2007-10-23,13.9597,13.9691,13.5237,14.2994,1187900.0
2007-10-22,14.731,15.2142,14.6796,14.4884,1567400.0
2007-10-19,14.3891,14.8631,14.2311,14.4387,3027400.0
2007-10-18,13.8287,14.2156,13.1269,14.5381,3177700.0
2007-10-17,15.4489,15.468,14.8271,15.7513,1739700.0
2007-10-16,15.4453,15.5206,14.9844,15.8805,2121300.0
2007-10-15,16.1305,16.3192,15.5925,16.5567,1562400.0
2007-10-12,16.9154,16.9154,16.6798,17.0241,839000.0
2007-10-11,16.9452,17.2692,16.7489,17.0539,1614800.0
2007-10-10,17.2641,17.4563,17.1629,17.1136,1335900.0
2007-10-09,17.0242,17.184,16.7345,16.9843,1610200.0
2007-10-08,16.9258,17.0236,16.7595,17.0639,1188800.0
2007-10-05,17.8931,18.2823,17.8828,17.6307,1682500.0
2007-10-04,17.1546,17.3306,16.9103,17.3025,844600.0
2007-10-03,17.6314,17.9737,17.5307,17.5213,876700.0
2007-10-02,17.673,18.223,17.673,17.4616,1154900.0
2007-10-01,17.4883,17.9022,17.4883,17.1434,1461900.0
2007-09-28,16.8162,16.9338,16.6008,16.9445,1352900.0
2007-09-27,17.1931,17.2926,17.0141,17.1931,659300.0
2007-09-26,16.9868,17.0548,16.6956,17.1931,1018700.0
2007-09-25,17.3524,17.6224,17.2724,17.3025,896200.0
2007-09-24,17.1484,17.3887,16.8505,17.4417,861100.0
2007-09-21,17.4517,17.4897,17.0154,17.8693,1446500.0
2007-09-20,17.6981,17.7076,17.3164,18.0682,856700.0
2007-09-19,18.3575,18.6026,18.0339,18.4859,1420400.0
2007-09-18,19.454,20.4508,19.1802,18.5356,1783500.0
2007-09-17,17.7204,17.8705,17.4501,17.6605,1059100.0
2007-09-14,18.0645,18.5909,17.9819,17.7301,2063500.0
2007-09-13,17.7376,18.142,17.634,17.3721,1117600.0
2007-09-12,17.0042,17.2135,16.8846,16.9843,862200.0
2007-09-11,17.2541,17.5881,17.2541,17.1036,1106500.0
2007-09-10,16.3781,16.4245,15.8028,16.9545,1411900.0
2007-09-07,17.452,17.7578,17.0672,17.5213,1298800.0
2007-09-06,18.0702,18.2835,17.6741,17.8793,1086700.0
2007-09-05,17.1372,17.1748,16.601,17.6207,1367500.0
2007-09-04,18.7844,19.3995,18.7427,18.3466,1109300.0
2007-08-31,17.9094,17.9883,17.5443,17.9787,1152000.0
2007-08-30,17.6906,17.9175,17.4538,17.7599,989100.0
2007-08-29,18.7806,19.5211,18.7699,18.0782,1540400.0
2007-08-28,16.8182,16.9877,16.3473,17.2826,1179200.0
2007-08-27,17.6366,17.6366,17.3201,17.9588,878300.0
2007-08-24,18.4066,18.4867,18.126,18.3367,1196700.0
2007-08-23,17.9316,18.026,17.3842,18.4063,889200.0
2007-08-22,18.755,19.0499,18.3028,18.8637,1465200.0
2007-08-21,19.3738,19.9082,19.2691,18.8737,1455400.0
2007-08-20,18.7102,19.0809,18.5352,18.3864,2377400.0
2007-08-17,17.9688,18.2969,17.5014,17.9688,3491800.0
2007-08-16,18.0783,18.8995,17.9162,17.3423,3121200.0
2007-08-15,16.0798,16.496,15.6258,16.4871,2559300.0
2007-08-14,16.1584,16.1584,15.3455,16.9545,2265100.0
2007-08-13,18.0127,18.4535,17.9512,17.7401,2524700.0
2007-08-10,17.2236,17.7266,16.9821,17.1235,2944800.0
2007-08-09,17.1757,17.4767,16.7291,17.3821,4738100.0
2007-08-08,18.241,19.0804,18.1284,17.9787,4165000.0
2007-08-07,17.7202,18.0994,17.4608,17.6903,3137300.0
2007-08-06,18.1547,18.5168,17.4306,17.7997,2999600.0
2007-08-03,16.3993,16.4876,15.4278,17.402,3594800.0
2007-08-02,18.1855,18.4431,17.6608,18.5654,2931500.0
2007-08-01,19.0131,19.2632,18.4627,18.9532,3215100.0
2007-07-31,18.5011,18.5575,17.9749,19.0328,1592200.0
2007-07-30,19.4307,19.49,19.1932,19.4803,2275100.0
2007-07-27,19.1246,19.5252,18.9389,19.2525,2658900.0
2007-07-26,18.9451,19.0209,18.301,19.3713,2515600.0
2007-07-25,19.9757,20.192,19.6904,20.0448,2008700.0
2007-07-24,19.2621,19.2988,18.4641,20.015,2859200.0
2007-07-23,20.9561,21.2751,20.9461,20.8866,1386200.0
2007-07-20,20.2807,20.2807,19.6178,20.8866,1944300.0
2007-07-19,21.5105,22.0532,21.2836,21.5501,1543500.0
2007-07-18,20.7938,20.9469,20.21,21.1539,1250500.0
2007-07-17,21.7686,22.1792,21.7486,21.6491,1683800.0
2007-07-16,21.4811,21.7365,21.3829,21.5699,1000000.0
2007-07-13,21.8479,22.0781,21.7477,21.7284,1006300.0
2007-07-12,22.4035,23.3107,22.3403,21.7085,2325200.0
2007-07-11,20.8173,20.9567,20.688,20.7677,2121000.0
2007-07-10,20.3504,20.455,19.9415,20.7677,2423500.0
2007-07-09,20.9777,21.0263,20.7058,21.1837,1448500.0
2007-07-06,21.4518,21.5822,21.3115,21.3223,1090400.0
2007-07-05,21.154,21.1836,21.0159,21.1936,791400.0
2007-07-03,21.3025,21.4704,21.1544,21.3322,506200.0
2007-07-02,21.503,21.8268,21.503,21.2728,1029400.0
2007-06-29,20.7399,20.9342,20.4483,20.9361,1579000.0
2007-06-28,21.1045,21.2921,20.9267,21.1341,1201900.0
2007-06-27,21.1446,21.1544,20.6545,21.253,2319900.0
2007-06-26,21.283,21.6271,21.165,21.3619,1563000.0
2007-06-25,21.116,21.3495,20.8824,21.3025,1500100.0
2007-06-22,21.4116,21.5594,21.1158,21.461,2118500.0
2007-06-21,21.4813,21.5499,21.1186,21.5897,2879500.0
2007-06-20,21.0735,21.1856,20.457,21.6986,1750200.0
2007-06-19,22.4218,22.7105,22.3122,22.3622,1361900.0
2007-06-18,22.4315,22.5803,22.3224,22.4117,916300.0
2007-06-15,22.4514,22.6698,22.3719,22.4216,1393300.0
2007-06-14,22.3325,22.5706,22.1539,22.3127,1091900.0
2007-06-13,22.7146,23.1134,22.6021,22.3523,1494200.0
2007-06-12,21.6608,21.8164,21.4663,21.8571,1585900.0
2007-06-11,22.5239,22.9094,22.4427,22.2532,1150100.0
2007-06-08,22.4179,22.848,22.4179,22.0453,1508300.0
2007-06-07,21.2554,21.3404,20.7078,21.768,1846000.0
2007-06-06,21.9234,21.933,21.4454,22.3127,1582100.0
2007-06-05,22.4641,22.5028,22.193,22.7187,1296200.0
2007-06-04,23.0852,23.2245,22.9758,23.0356,822000.0
2007-06-01,23.0951,23.1944,22.9461,23.0653,805800.0
2007-05-31,22.8878,22.9368,22.6821,23.0158,1323100.0
2007-05-30,23.1352,23.2651,23.0552,23.0257,1172500.0
2007-05-29,23.1645,23.3236,23.075,23.1148,1022900.0
2007-05-25,23.2139,23.3231,23.1345,23.1842,789400.0
2007-05-24,22.8039,22.967,22.43,23.1743,953700.0
2007-05-23,23.6299,23.778,23.5509,23.6694,828100.0
2007-05-22,24.1222,24.604,24.0812,23.7091,1134700.0
2007-05-21,23.3822,23.4714,23.1347,23.3822,1074600.0
2007-05-18,23.4813,23.5209,23.3426,23.4813,1107300.0
2007-05-17,23.4417,23.5408,23.293,23.4318,930100.0
2007-05-16,23.2159,23.2742,22.8659,23.4318,1363300.0
2007-05-15,23.5117,23.7566,23.3451,23.6397,1576700.0
