date,Open,High,Low,Close,Volume
2018-12-14,32.49,32.49,32.49,32.49,0.0
2018-12-13,32.49,32.49,32.49,32.49,0.0
2018-12-12,32.49,32.49,32.49,32.49,0.0
2018-12-11,32.49,32.49,32.49,32.49,0.0
2018-12-10,32.49,32.49,32.49,32.49,0.0
2018-12-07,32.49,32.49,32.49,32.49,0.0
2018-12-04,32.49,32.49,32.49,32.49,0.0
2018-12-03,32.49,32.49,32.49,32.49,0.0
2018-11-30,32.49,32.49,32.49,32.49,0.0
2018-11-29,32.49,32.49,32.49,32.49,0.0
2018-11-28,32.49,32.49,32.49,32.49,0.0
2018-11-27,32.49,32.49,32.49,32.49,0.0
2018-11-26,32.49,32.49,32.49,32.49,0.0
2018-11-21,32.49,32.49,32.49,32.49,0.0
2018-11-20,32.49,32.49,32.49,32.49,0.0
2018-11-19,32.49,32.49,32.49,32.49,0.0
2018-11-16,32.49,32.49,32.49,32.49,0.0
2018-11-15,32.49,32.49,32.49,32.49,0.0
2018-11-14,32.49,32.49,32.49,32.49,0.0
2018-11-13,32.49,32.49,32.49,32.49,0.0
2018-11-12,32.49,32.49,32.49,32.49,0.0
2018-11-09,32.49,32.49,32.49,32.49,0.0
2018-11-08,32.49,32.49,32.49,32.49,0.0
2018-11-07,32.49,32.49,32.49,32.49,0.0
2018-11-06,32.49,32.49,32.49,32.49,0.0
2018-11-05,32.49,32.49,32.49,32.49,0.0
2018-11-02,32.49,32.49,32.49,32.49,0.0
2018-11-01,32.49,32.49,32.49,32.49,0.0
2018-10-31,32.49,32.49,32.49,32.49,0.0
2018-10-30,32.49,32.49,32.49,32.49,0.0
2018-10-29,32.49,32.49,32.49,32.49,0.0
2018-10-26,32.49,32.49,32.49,32.49,0.0
2018-10-25,32.49,32.49,32.49,32.49,0.0
2018-10-24,32.49,32.49,32.49,32.49,0.0
2018-10-23,32.49,32.49,32.49,32.49,0.0
2018-10-22,32.49,32.49,32.49,32.49,0.0
2018-10-19,32.49,32.5,32.49,32.49,2034395.0
2018-10-18,32.49,32.5,32.47,32.49,1488237.0
2018-10-17,32.48,32.5,32.48,32.47,1283851.0
2018-10-16,32.5,32.52,32.48,32.48,2149828.0
2018-10-15,32.46,32.48,32.45,32.46,2577609.0
2018-10-12,32.48,32.49,32.42,32.48,4309800.0
2018-10-11,32.1806,32.4025,32.1302,32.04,1175144.0
2018-10-10,31.6812,31.6911,31.4245,31.88,2273655.0
2018-10-09,32.0001,32.0499,31.9502,32.05,1329786.0
2018-10-08,32.12,32.2603,32.12,32.09,1073952.0
2018-10-05,31.9104,31.96,31.7813,32.02,1306883.0
2018-10-04,32.0602,32.0801,31.9805,32.13,1848636.0
2018-10-03,32.17,32.17,32.1401,32.2,1113615.0
2018-10-02,32.21,32.21,32.19,32.22,1055717.0
2018-10-01,32.0805,32.0904,31.9416,32.21,598327.0
2018-09-28,32.1502,32.2198,32.0406,32.22,1315261.0
2018-09-27,32.27,32.3,32.25,32.27,975547.0
2018-09-26,32.2301,32.2301,32.1603,32.28,642195.0
2018-09-25,32.37,32.4202,32.34,32.33,484133.0
2018-09-24,32.3501,32.4002,32.33,32.3,405537.0
2018-09-21,32.29,32.3301,32.1597,32.25,2069240.0
2018-09-20,32.19,32.19,32.1451,32.22,444081.0
2018-09-19,32.25,32.27,32.23,32.24,991459.0
2018-09-18,32.1501,32.1501,32.0804,32.21,574926.0
2018-09-17,32.24,32.31,32.22,32.23,317758.0
2018-09-14,32.25,32.28,32.22,32.23,315971.0
2018-09-13,32.19,32.2,32.13,32.2,448479.0
2018-09-12,32.2,32.21,32.1601,32.22,362310.0
2018-09-11,32.25,32.3,32.17,32.25,364674.0
2018-09-10,32.25,32.29,32.22,32.24,586363.0
2018-09-07,32.23,32.26,32.2,32.21,747663.0
2018-09-06,32.1201,32.16,32.0603,32.18,320797.0
2018-09-05,32.0803,32.1101,31.971,32.18,418882.0
2018-09-04,32.28,32.35,32.24,32.28,1157517.0
2018-08-31,32.3,32.31,32.23,32.29,878393.0
2018-08-30,32.3501,32.4203,32.33,32.3,1749059.0
2018-08-29,32.3,32.3602,32.2048,32.26,1141845.0
2018-08-28,32.3001,32.4206,32.28,32.24,889591.0
2018-08-27,32.22,32.25,32.1499,32.2,562914.0
2018-08-24,32.26,32.3001,32.1799,32.22,710406.0
2018-08-23,32.16,32.18,32.0802,32.19,635467.0
2018-08-22,32.3002,32.3905,32.2901,32.23,798450.0
2018-08-21,32.21,32.3303,32.17,32.17,1372191.0
2018-08-20,31.9105,31.9304,31.7816,32.04,1313900.0
2018-08-17,32.16,32.22,32.11,32.15,663713.0
2018-08-16,32.16,32.2201,32.0699,32.14,1749927.0
2018-08-15,32.0202,32.0202,31.861,32.1,1559047.0
2018-08-14,32.0603,32.0603,31.9111,32.15,1114553.0
2018-08-13,32.3004,32.4615,32.2802,32.19,874359.0
2018-08-10,31.8016,31.8805,31.5158,32.03,1075231.0
2018-08-09,32.2,32.3198,32.1103,32.24,996974.0
2018-08-08,32.4503,32.6012,32.3497,32.35,1672034.0
2018-08-07,32.4007,32.7035,32.4007,32.25,2748203.0
2018-08-06,31.9903,31.9903,31.881,32.09,2494273.0
2018-08-03,32.3002,32.4508,32.2098,32.23,4929309.0
2018-08-02,32.16,32.19,32.0599,32.14,3797204.0
2018-08-01,31.9804,32.03,31.8513,32.09,3540903.0
2018-07-31,32.5212,32.7237,32.4706,32.32,4726308.0
2018-07-30,32.2001,32.2704,32.1499,32.14,6400620.0
2018-07-27,32.1,32.2203,32.06,32.07,6112763.0
2018-07-26,32.351,32.6139,32.169,32.17,25777682.0
2018-07-25,19.2717,19.4091,18.8593,19.45,872250.0
2018-07-24,18.9628,19.0001,18.0287,19.62,1393452.0
2018-07-23,19.6194,19.8967,18.8343,20.05,899586.0
2018-07-20,19.8492,19.9883,18.8753,20.61,890878.0
2018-07-19,21.46,21.8511,21.3598,21.43,425933.0
2018-07-18,20.7287,20.8774,19.8828,21.5,645382.0
2018-07-17,22.9901,23.7972,22.9901,22.31,653794.0
2018-07-16,21.5915,21.6407,21.1685,21.77,489799.0
2018-07-13,22.7388,23.6365,22.7388,21.93,615429.0
2018-07-12,21.18,21.2801,20.9498,21.17,441092.0
2018-07-11,20.8423,20.999,20.4015,21.06,615088.0
2018-07-10,20.7515,20.8172,19.9538,21.42,673111.0
2018-07-09,21.5611,21.6471,20.7579,22.05,619795.0
2018-07-06,23.3568,24.5929,23.3351,22.43,784451.0
2018-07-05,21.7317,21.9658,21.6503,21.54,704703.0
2018-07-03,21.5015,22.0915,21.5015,21.32,360611.0
2018-07-02,21.7588,22.4911,21.4297,21.12,534097.0
2018-06-29,20.3711,20.4204,20.0261,20.52,804731.0
2018-06-28,20.2643,20.3236,19.6912,20.56,559928.0
2018-06-27,20.5064,20.6982,20.101,20.87,895903.0
2018-06-26,21.3301,21.4406,20.662,21.28,630486.0
2018-06-25,21.5817,21.9075,21.4086,21.39,622523.0
2018-06-22,21.6066,22.1866,21.6066,21.23,1161502.0
2018-06-21,20.9711,21.524,20.9711,20.82,1101148.0
