date,Open,High,Low,Close,Volume
2021-02-12,252.6294,257.7494,252.0179,248.15,1294231.0
2021-02-11,246.5055,248.3327,244.86,245.34,663630.0
2021-02-10,242.2525,243.0374,239.8413,243.03,747586.0
2021-02-09,241.6311,243.2342,239.5401,242.15,758549.0
2021-02-08,246.5481,250.8189,246.1758,242.45,925353.0
2021-02-05,237.5167,239.4165,235.4587,238.78,1242255.0
2021-02-04,240.2519,247.6452,238.8039,237.08,1211051.0
2021-02-03,234.2203,235.9472,230.8525,233.95,1237866.0
2021-02-02,240.8771,250.5533,240.7197,235.13,1821085.0
2021-02-01,229.6008,233.6069,228.7482,226.54,2097334.0
2021-01-29,213.2988,214.0067,205.7541,221.01,2192196.0
2021-01-28,227.5367,229.5919,222.0462,230.0,2004294.0
2021-01-27,226.5769,227.0204,221.3511,230.75,1488922.0
2021-01-26,235.9872,238.0715,233.7259,238.0,1053658.0
2021-01-25,239.8905,240.6526,237.5438,239.55,1371633.0
2021-01-22,237.2894,237.6933,234.6681,239.93,908607.0
2021-01-21,242.8225,243.7764,238.9473,243.6,991080.0
2021-01-20,248.0526,252.4426,246.2925,245.21,959223.0
2021-01-19,241.1436,242.384,238.7222,242.07,835755.0
2021-01-15,242.1401,243.9573,239.0463,241.99,1281154.0
2021-01-14,241.3624,242.5648,239.2857,242.13,1053774.0
2021-01-13,247.2669,252.4872,246.6363,243.2,696011.0
2021-01-12,238.0754,239.5315,235.0402,239.21,823248.0
2021-01-11,241.0824,241.7879,239.264,241.85,544835.0
2021-01-08,242.7335,245.5619,239.8059,243.66,1378528.0
2021-01-07,244.6536,246.1046,241.4895,243.72,921146.0
2021-01-06,246.0734,250.029,243.899,242.45,1981775.0
2021-01-05,239.9604,242.1458,238.8476,239.66,1363945.0
2021-01-04,232.8628,233.0431,224.2161,239.02,1114868.0
2020-12-31,248.0157,251.3349,246.4073,245.04,639945.0
2020-12-30,243.8126,246.3489,243.8126,242.06,855814.0
2020-12-29,240.1849,241.7403,239.1579,240.2248,824228.0
2020-12-28,237.4629,238.9035,236.3898,237.9208,627766.0
2020-12-24,236.325,237.3911,235.4781,236.4446,256448.0
2020-12-23,235.2685,237.4744,234.8015,235.7165,619625.0
2020-12-22,235.179,236.9719,231.8134,234.6792,817292.0
2020-12-21,233.6832,234.8147,228.889,234.2503,936705.0
2020-12-18,241.2365,243.6068,239.2005,239.377,2504725.0
2020-12-17,239.5951,241.8591,238.7626,237.4819,776434.0
2020-12-16,236.1466,238.7861,234.4072,234.5196,794073.0
2020-12-15,233.692,235.6667,230.4338,233.4524,1016908.0
2020-12-14,227.4841,230.0035,224.5076,230.3505,1069600.0
2020-12-11,229.8157,230.5719,226.1426,231.5972,1057057.0
2020-12-10,234.6494,236.906,233.0867,234.5196,875192.0
2020-12-09,235.0287,236.6007,233.8646,235.3175,1006786.0
2020-12-08,235.529,237.4553,234.8669,234.8388,925863.0
2020-12-07,235.4892,237.3037,233.6251,236.1853,705571.0
2020-12-04,243.9366,249.0084,243.3961,238.968,844364.0
2020-12-03,234.6803,236.784,233.3079,234.1705,1067538.0
2020-12-02,237.0211,240.4903,235.6047,233.6519,787616.0
2020-12-01,225.8731,226.3332,220.6584,230.4003,1462287.0
2020-11-30,232.6247,233.7899,229.8261,232.7941,1671863.0
2020-11-27,229.378,230.2733,225.6114,232.2056,787609.0
2020-11-25,226.7395,226.9471,219.9172,233.1133,1900141.0
2020-11-24,244.696,252.0975,244.3737,239.6862,1513844.0
2020-11-23,231.9671,233.9146,230.7151,232.4051,699337.0
2020-11-20,232.3753,233.9029,230.658,232.2555,1116840.0
2020-11-19,235.5555,238.6249,233.9648,232.9637,1099580.0
2020-11-18,231.548,235.1308,231.1727,231.1584,855760.0
2020-11-17,229.9351,231.1523,225.1355,230.8392,997863.0
2020-11-16,235.798,236.6804,232.3936,235.1679,1646560.0
2020-11-13,237.072,243.4197,236.7264,231.3379,938977.0
2020-11-12,225.5768,228.7601,223.8922,224.6354,826287.0
2020-11-11,217.6777,217.6777,209.5965,224.6553,1166079.0
