date,Open,High,Low,Close,Volume
2021-02-12,21.6109,21.7629,21.3576,21.47,2926009.0
2021-02-11,20.8491,20.9067,20.3454,21.285,5275188.0
2021-02-10,21.1996,21.2475,20.5907,21.65,5818152.0
2021-02-09,23.5929,25.2895,23.479,22.035,8226568.0
2021-02-08,19.9393,19.9393,19.2998,20.56,6433756.0
2021-02-05,20.9606,21.5544,20.5746,21.07,9331891.0
2021-02-04,21.1247,21.1732,20.416,21.44,7362433.0
2021-02-03,21.3341,21.4022,20.9352,21.63,4783564.0
2021-02-02,22.1334,22.5639,22.0514,21.86,4331342.0
2021-02-01,21.6827,22.1532,21.5498,21.44,5388112.0
2021-01-29,20.9804,21.02,20.6234,21.07,5936096.0
2021-01-28,21.8962,22.6994,21.8645,21.3,5354870.0
2021-01-27,20.9206,21.3046,20.8498,20.81,7300529.0
2021-01-26,21.1011,21.304,20.8424,20.95,4502753.0
2021-01-25,20.4423,20.4521,19.9626,20.66,4696688.0
2021-01-22,20.7201,20.9512,20.6096,20.67,5047881.0
2021-01-21,20.3049,20.4455,19.917,20.62,5134645.0
2021-01-20,20.9,20.935,20.5603,20.91,4945644.0
2021-01-19,20.9718,21.4199,20.8088,20.78,7029840.0
2021-01-15,20.591,21.0675,20.449,20.45,9183152.0
2021-01-14,19.8806,19.9379,19.3265,20.34,7574353.0
2021-01-13,20.3434,20.4099,19.773,20.865,5314546.0
2021-01-12,21.6443,21.9838,21.5414,21.34,4390579.0
2021-01-11,21.0701,21.321,20.9195,21.03,7180203.0
2021-01-08,20.8419,20.8517,20.2433,21.04,4682736.0
2021-01-07,21.2205,21.4224,21.0186,21.12,6612693.0
2021-01-06,21.2656,22.0199,21.214,20.92,6688226.0
2021-01-05,21.0806,21.2221,20.7976,20.97,4930938.0
2021-01-04,20.6112,20.6211,20.0598,20.77,6064773.0
2020-12-31,20.81,20.8853,20.6897,20.78,3365511.0
2020-12-30,20.5912,20.7291,20.4189,20.75,2693440.0
2020-12-29,20.7592,20.947,20.5,20.83,4019557.0
2020-12-28,20.7925,20.8121,20.45,21.02,7151728.0
2020-12-24,21.04,21.112,20.9,21.04,1495463.0
2020-12-23,20.5771,20.6398,20.182,20.96,4408687.0
2020-12-22,21.5759,21.9421,21.5281,21.34,4636873.0
2020-12-21,21.1209,21.4047,20.8777,20.98,7376122.0
2020-12-18,21.8401,22.5523,21.7805,21.24,14972886.0
2020-12-17,20.6202,20.761,20.4693,20.56,3622805.0
2020-12-16,20.7154,21.139,20.6844,20.38,6467276.0
2020-12-15,19.9201,19.9201,19.6462,19.96,4096213.0
