date,Open,High,Low,Close,Volume
2021-02-12,191.8108,192.634,190.9574,191.43,1821753.0
2021-02-11,188.7938,189.9047,187.1226,190.41,1862266.0
2021-02-10,191.0008,191.5525,187.287,192.44,2711978.0
2021-02-09,194.4501,196.5736,194.2097,194.29,2862595.0
2021-02-08,195.5735,197.7495,193.6924,193.95,3076353.0
2021-02-05,188.2321,189.0665,186.6427,188.86,2218864.0
2021-02-04,191.3498,194.3044,189.9949,188.59,2309456.0
2021-02-03,185.03,186.7685,183.5363,185.11,2135438.0
2021-02-02,185.68,189.2235,185.3597,185.59,2913569.0
2021-02-01,184.9706,187.8338,182.4324,183.57,2637302.0
2021-01-29,180.225,181.5906,178.3843,181.17,3612280.0
2021-01-28,189.4094,197.3826,189.2284,183.58,3965207.0
2021-01-27,169.414,169.4953,159.6705,178.28,6985860.0
2021-01-26,185.3206,185.7592,181.9672,187.7,3463602.0
2021-01-25,188.7504,190.2776,186.4546,190.15,3423911.0
2021-01-22,192.9253,194.421,191.4859,191.91,3257239.0
2021-01-21,192.4472,196.4865,191.3336,191.27,4586624.0
2021-01-20,188.1002,188.2998,184.1486,188.3,3443232.0
2021-01-19,182.1016,182.4107,175.3369,188.16,5347792.0
2021-01-15,191.9911,193.1567,188.4553,194.8,4289911.0
2021-01-14,199.0353,201.4703,198.9443,198.01,3321165.0
2021-01-13,195.1346,196.55,191.9498,196.82,4098158.0
2021-01-12,202.0738,205.2825,201.5381,199.1,3844962.0
2021-01-11,197.546,204.1568,196.6757,195.28,7221960.0
2021-01-08,195.6413,197.9901,194.8554,193.6,3321516.0
2021-01-07,193.0089,196.2078,192.9681,191.1,4226679.0
2021-01-06,197.9192,207.9507,197.6777,188.92,5610103.0
2021-01-05,184.0121,189.393,183.6218,180.37,4843288.0
2021-01-04,178.7571,180.3572,176.3367,177.63,3463062.0
2020-12-31,178.6758,180.9873,178.3582,176.53,2571328.0
2020-12-30,172.0789,172.4314,169.2583,173.88,1935233.0
2020-12-29,172.9942,173.6388,170.4058,175.04,2359709.0
2020-12-28,175.6729,176.0201,173.4709,176.39,2430220.0
2020-12-24,174.4035,174.9288,173.1053,175.19,1941216.0
2020-12-23,177.8589,182.3258,177.7296,174.91,4752973.0
2020-12-22,172.3,173.0096,171.3556,172.35,3104018.0
2020-12-21,173.9167,177.4334,173.2093,171.76,4077382.0
2020-12-18,169.6634,170.6545,167.473,170.42,6715840.0
2020-12-17,170.4834,170.7609,168.7884,171.24,3495251.0
2020-12-16,171.3706,172.3437,170.0754,171.69,2193655.0
2020-12-15,172.1734,174.3224,172.1734,171.41,3490127.0
2020-12-14,169.0424,169.0424,166.3156,170.99,4016391.0
2020-12-11,171.9203,173.1733,171.4892,171.71,2676541.0
2020-12-10,171.2182,171.8593,169.7189,172.4,2643724.0
2020-12-09,174.793,176.3761,173.8452,174.07,2853776.0
2020-12-08,172.9403,174.2235,172.1783,172.72,2682233.0
2020-12-07,171.5606,172.23,168.7451,172.91,3430836.0
2020-12-04,175.6824,176.4682,174.5238,175.03,2935688.0
2020-12-03,173.3836,173.3836,170.7407,174.92,4214583.0
2020-12-02,174.8146,175.0011,172.3105,176.41,3109258.0
2020-12-01,178.2932,179.6417,175.6061,179.05,4909317.0
2020-11-30,180.8192,182.6654,178.7802,179.53,8010031.0
2020-11-27,178.736,179.0325,176.8973,179.77,2371901.0
2020-11-25,181.9346,184.7496,181.5456,179.82,3780713.0
2020-11-24,175.9801,176.0583,173.376,177.86,4610697.0
2020-11-23,180.9329,185.8812,180.2476,177.56,5760551.0
2020-11-20,172.4,174.5923,171.6292,172.31,6657666.0
2020-11-19,174.0719,178.9523,173.2362,171.37,6834937.0
2020-11-18,167.765,174.0147,166.3597,166.85,13092322.0
2020-11-17,162.0856,162.7873,158.6364,163.04,6299877.0
2020-11-16,164.6734,165.6614,163.0267,164.4939,5035611.0
2020-11-13,164.1077,166.6153,163.7102,162.2035,2769730.0
2020-11-12,158.7281,160.0403,157.7042,158.8674,2709061.0
2020-11-11,159.2661,162.3817,158.5669,159.0267,3336512.0
2020-11-10,158.4459,160.484,157.9616,157.4135,3577873.0
2020-11-09,146.4753,146.4842,138.9338,154.2666,5092826.0
2020-11-06,163.7184,167.0722,163.5909,160.8292,3498036.0
2020-11-05,156.8734,157.0011,153.7309,157.9711,3114899.0
2020-11-04,155.3743,157.6176,153.4274,155.9695,3156872.0
2020-11-03,156.4884,158.881,155.6004,156.079,2545379.0
2020-11-02,154.1381,155.2591,152.9371,153.7488,2674299.0
2020-10-30,150.5002,151.3051,148.0265,151.5878,3694809.0
2020-10-29,152.6297,153.4653,150.7941,153.6093,2157971.0
2020-10-28,154.8647,157.224,154.0649,154.5653,2656149.0
2020-10-27,155.3489,156.145,153.9828,156.3778,2406066.0
2020-10-26,156.4522,156.994,153.9539,157.3139,2310577.0
2020-10-23,159.4053,159.4053,157.835,159.5645,1817012.0
2020-10-22,155.5551,155.8508,151.997,158.9371,3649395.0
2020-10-21,160.1984,160.6291,157.4921,162.6118,3033868.0
2020-10-20,164.1056,166.563,162.9774,164.1852,2698956.0
2020-10-19,161.2456,161.9732,158.9269,163.3686,2322539.0
2020-10-16,163.255,164.5736,161.7278,164.235,5048946.0
2020-10-15,168.4584,172.2264,167.7089,164.7728,1859375.0
2020-10-14,161.3115,161.4865,158.0266,163.289,2286154.0
2020-10-13,166.0245,168.1481,165.6008,164.952,2015231.0
2020-10-12,164.1558,165.3447,163.4764,163.8865,2436329.0
2020-10-09,164.5478,167.1955,164.4463,163.03,2582692.0
2020-10-08,160.4542,161.1647,159.2601,161.1877,2189233.0
2020-10-07,160.6324,162.188,160.1808,160.0126,2927019.0
2020-10-06,154.7625,155.2513,151.0629,157.7521,2932595.0
2020-10-05,162.327,164.6809,162.327,160.8193,2268568.0
2020-10-02,160.5891,163.6788,159.7604,158.4392,1978717.0
2020-10-01,158.1307,160.6063,157.8212,157.9413,3866185.0
2020-09-30,156.7363,158.4286,155.795,156.7662,2806214.0
