date,Open,High,Low,Close,Volume
2021-02-12,66.0334,67.3725,65.6986,65.56,2705177.0
2021-02-11,65.6818,67.0763,63.8831,65.34,6044197.0
2021-02-10,68.6852,69.3634,67.4664,69.28,3328049.0
2021-02-09,71.0018,72.9013,71.0018,69.5,2513058.0
2021-02-08,67.9,69.0384,67.4707,67.95,2478185.0
2021-02-05,65.921,66.6354,65.5043,66.18,1667644.0
2021-02-04,66.9377,67.888,66.7895,66.22,1324964.0
2021-02-03,66.5061,68.0024,66.1347,65.47,1597357.0
2021-02-02,63.9412,64.199,62.5038,64.22,2012357.0
2021-02-01,63.8221,64.1039,61.8746,64.19,1918207.0
2021-01-29,64.1305,64.4189,62.798,64.31,3402174.0
2021-01-28,65.3726,66.2537,65.3625,64.96,1391171.0
2021-01-27,63.7855,64.61,62.3894,64.78,2227609.0
2021-01-26,66.4901,66.934,65.1832,66.57,1609100.0
2021-01-25,66.8812,67.8191,66.5081,66.6,1755829.0
2021-01-22,67.1662,68.3795,66.7788,66.52,1910993.0
2021-01-21,65.4136,66.4679,64.7732,65.9,2040665.0
2021-01-20,67.9421,70.0141,67.578,66.25,2788083.0
2021-01-19,62.5971,62.6931,60.9465,63.9,2639009.0
2021-01-15,64.77,65.1903,63.8895,64.75,1653623.0
2021-01-14,65.0614,65.8285,64.6072,64.76,1720080.0
2021-01-13,64.4824,65.5453,64.1281,64.09,2496449.0
2021-01-12,63.0157,63.7813,61.6734,64.01,3254094.0
2021-01-11,65.5493,66.5735,65.3465,64.77,2022099.0
2021-01-08,63.0745,63.0842,61.6286,64.03,2672418.0
2021-01-07,63.771,63.8782,62.1928,64.61,2969413.0
2021-01-06,67.0633,69.2741,67.0566,65.36,1942205.0
2021-01-05,63.701,64.6232,63.3885,63.45,2297062.0
2021-01-04,62.4671,62.5639,60.6381,63.5,2177446.0
2020-12-31,65.5177,66.8099,64.6184,64.44,1906716.0
2020-12-30,63.57,63.9317,63.4601,63.59,1173463.0
2020-12-29,62.4187,62.6265,60.9935,63.5,1452925.0
2020-12-28,63.7954,64.0605,62.9018,64.38,1585661.0
2020-12-24,64.78,64.93,64.1952,64.79,1074265.0
2020-12-23,66.1696,68.0559,66.021,64.55,2315067.0
2020-12-22,61.1394,61.1394,59.818,62.48,2604453.0
2020-12-21,63.5415,63.5415,62.5419,63.85,2145838.0
2020-12-18,64.9,66.1881,64.251,64.95,4709988.0
2020-12-17,64.2586,64.3172,63.1151,65.0,3314976.0
2020-12-16,63.0744,63.5604,60.9526,65.24,4096332.0
2020-12-15,66.5152,66.6197,64.5966,68.25,2227297.0
2020-12-14,69.9002,70.723,69.7397,69.78,3153654.0
2020-12-11,69.4202,70.0426,69.3098,69.29,1776485.0
2020-12-10,70.0254,70.9618,70.0254,69.41,1638841.0
2020-12-09,69.5219,69.9766,68.9257,69.16,1986199.0
2020-12-08,68.5202,69.0519,68.2192,68.41,2186337.0
2020-12-07,67.7824,67.9284,66.1957,68.7,2849730.0
2020-12-04,71.0939,72.215,70.4665,70.1,2808736.0
2020-12-03,70.6842,72.3151,69.7328,69.13,3534724.0
2020-12-02,65.4563,66.2702,64.7405,66.1,3895060.0
2020-12-01,68.065,69.8477,67.9715,66.76,3326125.0
2020-11-30,65.8565,66.5197,65.3464,65.2,5085768.0
2020-11-27,64.4107,64.8111,63.7681,64.5594,1329287.0
2020-11-25,64.7187,65.9568,64.1496,64.5494,2997885.0
2020-11-24,65.0534,65.784,64.3533,64.3607,2923331.0
2020-11-23,64.8915,67.4978,64.7425,62.702,2764165.0
2020-11-20,59.1499,59.4268,57.7846,60.3283,2866090.0
2020-11-19,61.5423,61.817,59.6976,61.9174,3569658.0
2020-11-18,62.5467,63.3979,62.0771,63.0199,1682853.0
2020-11-17,63.637,64.7596,63.0005,63.3476,2329086.0
2020-11-16,65.1974,66.3921,63.3696,64.3011,4746804.0
2020-11-13,63.2564,64.8005,63.2564,61.9273,1844404.0
2020-11-12,60.1113,60.652,59.0888,60.4176,3046869.0
2020-11-11,60.8052,61.2039,60.566,60.6957,2620953.0
2020-11-10,59.2563,59.2563,58.3665,60.0501,2034233.0
2020-11-09,59.4875,60.7201,58.2304,59.9409,3378099.0
2020-11-06,56.4686,57.1133,55.5895,56.9414,1528980.0
2020-11-05,58.0429,59.6317,57.9105,57.3188,1612814.0
2020-11-04,56.3161,57.4348,55.7567,56.1567,2727571.0
2020-11-03,54.6087,54.9022,53.1409,56.1071,2466253.0
2020-11-02,57.0217,57.5293,56.2923,57.2393,1638525.0
2020-10-30,57.222,57.6246,56.7389,56.842,2488732.0
2020-10-29,57.3732,58.6679,56.918,56.852,2140742.0
2020-10-28,56.0788,56.5604,55.6366,56.3752,1991222.0
2020-10-27,57.2096,58.3391,57.1204,57.2791,1843042.0
2020-10-26,55.123,55.123,52.8714,57.0705,2212623.0
2020-10-23,59.8722,60.2426,59.2067,59.6429,1320396.0
2020-10-22,59.5581,60.2151,58.9617,59.0371,2101957.0
2020-10-21,60.3498,62.6436,59.8575,58.7689,3395092.0
2020-10-20,56.4914,56.4962,55.5125,57.4678,1630228.0
2020-10-19,56.5,56.6324,54.9214,57.9147,1711543.0
2020-10-16,58.4632,59.1968,57.5655,59.3052,1687463.0
2020-10-15,62.2514,64.5333,62.1767,60.0799,1676003.0
2020-10-14,59.1977,60.0913,59.1877,58.8781,1404300.0
2020-10-13,58.6299,58.9784,57.9629,58.5603,1756674.0
2020-10-12,59.4064,60.9084,58.4357,58.5702,2019908.0
2020-10-09,56.3907,56.6478,55.1621,57.587,2455576.0
2020-10-08,58.5802,59.1114,58.2724,58.5901,2093824.0
2020-10-07,58.0457,58.193,57.1164,58.3716,1750248.0
2020-10-06,57.6033,58.2452,56.5822,58.2127,1999659.0
2020-10-05,57.633,57.9308,56.4129,58.6,3921352.0
2020-10-02,59.5404,61.4327,59.4491,58.9079,2321336.0
2020-10-01,58.6304,59.0351,58.0679,58.8186,1314053.0
2020-09-30,59.5675,60.6783,59.5675,59.0768,1563742.0
2020-09-29,57.786,57.9988,56.6643,58.5603,1156435.0
2020-09-28,59.0683,59.8257,58.6147,59.3549,2406430.0
2020-09-25,61.5016,64.3723,61.5016,58.7788,2640432.0
2020-09-24,56.5044,57.0901,55.8689,56.5143,7799604.0
2020-09-23,54.052,54.2957,51.3444,56.703,2804243.0
2020-09-22,58.6222,59.25,57.9061,58.9874,2842114.0
2020-09-21,58.2186,58.6378,56.5993,59.4443,3029868.0
2020-09-18,60.032,60.3621,58.2969,61.6095,3826925.0
2020-09-17,62.2823,62.4552,60.908,63.3178,2916021.0
2020-09-16,64.5897,65.6762,64.2933,64.7679,2847631.0
2020-09-15,64.7481,65.1249,64.2425,64.8077,2965779.0
2020-09-14,66.2779,67.8539,66.2779,64.8673,2195759.0
2020-09-11,63.3975,63.9457,62.7098,63.288,5104836.0
2020-09-10,64.4314,67.1515,64.1718,63.0199,4495582.0
2020-09-09,60.2542,60.5953,58.9969,60.8249,4607145.0
2020-09-08,60.3779,60.4651,59.0942,61.1526,2825430.0
2020-09-04,62.5379,63.3464,62.0528,61.9969,3191061.0
2020-09-03,59.0291,59.7032,56.513,61.2221,3188212.0
2020-09-02,64.2061,65.6729,63.6793,62.9603,4824536.0
2020-09-01,61.9878,61.9878,60.6542,62.2154,1730863.0
2020-08-31,61.8718,62.0184,61.1193,62.3743,2049106.0
2020-08-28,62.9074,63.2413,62.0138,63.0551,1753494.0
2020-08-27,63.3421,64.4057,63.1532,63.1044,2123673.0
2020-08-26,62.3849,62.5515,61.65,62.6012,1767207.0
2020-08-25,62.1036,62.1036,60.8448,62.69,1666849.0
2020-08-24,63.1971,64.0691,62.746,62.6999,2522083.0
2020-08-21,62.098,62.4929,61.8117,62.0783,1586389.0
2020-08-20,61.8227,62.2241,61.4114,62.0586,1712415.0
2020-08-19,62.552,62.9407,62.2174,62.6308,1039179.0
2020-08-18,62.7985,63.1929,61.9074,62.8183,1388105.0
2020-08-17,62.71,62.9655,62.0023,62.8281,1516343.0
2020-08-14,62.7315,63.3851,62.351,63.0847,2907974.0
2020-08-13,63.0912,63.4006,62.4435,63.7358,1871516.0
2020-08-12,64.1766,64.312,63.1228,64.831,1462951.0
2020-08-11,64.2195,64.9862,63.9049,64.3377,2494471.0
2020-08-10,64.9232,66.6555,64.6977,63.6964,2644880.0
2020-08-07,62.5576,63.7645,62.4369,61.9599,2653968.0
2020-08-06,61.5358,62.1851,61.1029,61.6245,3140477.0
2020-08-05,60.6239,60.986,58.9778,62.0882,4045921.0
2020-08-04,66.3056,68.4388,65.6962,64.2489,5641165.0
2020-08-03,61.1346,61.6886,59.6184,61.5949,5173724.0
2020-07-31,60.6872,61.0826,59.9161,60.628,2040654.0
2020-07-30,60.9841,61.2923,59.9599,60.7464,1493069.0
2020-07-29,62.0513,62.9447,61.2594,61.1706,1554863.0
2020-07-28,60.1155,60.88,59.9368,59.9275,1255446.0
2020-07-27,60.5815,61.0817,59.9813,60.1643,1108204.0
2020-07-24,59.8981,60.4879,59.3377,60.0064,1194455.0
2020-07-23,60.6528,61.9694,60.6126,60.0952,1476770.0
2020-07-22,59.4737,59.5524,58.6961,59.5427,1462524.0
2020-07-21,59.7006,60.4881,59.4939,59.7696,1459320.0
2020-07-20,59.0509,59.1291,58.4845,59.3552,1041690.0
2020-07-17,60.3437,61.2617,60.1442,60.0064,1371916.0
2020-07-16,59.9297,61.0284,59.68,59.5624,1467180.0
2020-07-15,60.248,61.6141,59.7056,59.7104,2077866.0
2020-07-14,59.1908,60.6693,58.7904,58.0233,2672159.0
2020-07-13,56.1693,56.4732,54.8774,57.2438,2287908.0
2020-07-10,60.6712,63.8415,60.584,57.7372,2518913.0
2020-07-09,52.7851,52.7851,50.5362,54.8365,3924198.0
2020-07-08,56.3861,56.4245,55.1666,57.1551,2504017.0
2020-07-07,57.5616,58.1466,56.3137,57.9049,2644514.0
2020-07-06,58.5956,58.8516,57.926,58.6547,1663561.0
2020-07-02,56.8223,57.7515,55.807,57.6681,2422646.0
2020-07-01,56.7117,57.5384,55.5809,57.7865,2139577.0
2020-06-30,59.4589,60.6549,59.0871,58.9112,2130169.0
2020-06-29,58.9447,59.6266,58.1425,58.4673,1698758.0
2020-06-26,56.0576,56.1513,54.3603,57.5004,3444172.0
2020-06-25,59.9401,61.3015,59.0766,59.0691,2177212.0
2020-06-24,57.5983,57.6554,55.5997,58.6449,3443525.0
2020-06-23,59.3806,60.145,58.387,60.3418,2555507.0
2020-06-22,60.0024,60.1379,58.8997,60.5984,3056337.0
2020-06-19,60.8253,60.8253,58.9488,62.3743,3908560.0
2020-06-18,64.7515,67.1363,64.4197,63.1636,1564213.0
2020-06-17,60.8578,61.1372,58.8556,62.6407,2393751.0
2020-06-16,64.4696,65.4913,63.0272,63.9825,4551184.0
2020-06-15,64.0746,66.3249,62.8914,61.9204,3009720.0
2020-06-12,62.0664,63.1665,60.7746,61.3679,2918746.0
2020-06-11,56.3833,56.5632,53.5138,59.0494,3840414.0
2020-06-10,61.3661,61.7693,59.1303,63.6766,3549390.0
2020-06-09,64.6282,64.6946,62.1118,65.8768,4055530.0
2020-06-08,70.2474,72.8779,69.1656,67.7514,4996865.0
2020-06-05,62.3984,62.5201,60.1324,64.0515,6775726.0
2020-06-04,65.556,68.1133,64.6116,63.2129,6626542.0
2020-06-03,56.5575,57.2128,51.8362,59.296,10550417.0
2020-06-02,61.5556,61.8702,60.7297,61.6639,2437528.0
2020-06-01,62.8363,64.4187,61.9889,61.7724,2183867.0
2020-05-29,60.4606,60.7551,58.6449,60.6181,3932864.0
2020-05-28,61.3237,62.1643,60.2388,61.402,3091360.0
2020-05-27,61.2851,61.5577,59.3967,61.4902,3843393.0
2020-05-26,61.5814,63.6287,61.3471,60.4025,3189915.0
2020-05-22,57.4966,57.5351,56.5625,58.0017,1390464.0
2020-05-21,56.7764,56.7764,54.743,58.0605,3178713.0
2020-05-20,60.9911,62.9313,60.6712,59.4324,2763743.0
2020-05-19,54.9837,55.0471,52.8641,57.1884,2118588.0
2020-05-18,60.9412,62.7643,60.8388,59.6088,2691548.0
2020-05-15,56.5267,57.3639,55.7761,57.0414,2437304.0
2020-05-14,59.8541,61.8597,59.1229,57.9723,2967944.0
2020-05-13,55.1686,55.3066,52.87,56.9532,3781335.0
2020-05-12,57.7398,58.3147,56.5145,58.8738,3005321.0
2020-05-11,60.4657,61.83,60.1827,59.5402,3789236.0
2020-05-08,61.6587,64.999,61.5097,59.1776,5187998.0
2020-05-07,57.7234,60.0568,57.6093,56.1104,5000512.0
2020-05-06,51.1498,51.1498,48.7298,53.6802,5459347.0
2020-05-05,57.5525,60.144,57.1467,55.8459,5987899.0
2020-05-04,51.4826,51.5887,47.9739,54.2094,11128997.0
2020-05-01,57.643,58.0667,55.7975,58.8052,2760937.0
2020-04-30,60.1579,60.2916,58.1336,60.9415,2815950.0
2020-04-29,62.5231,63.6182,61.9755,62.0292,3264059.0
2020-04-28,63.3967,66.2566,62.5231,61.5392,3880238.0
2020-04-27,58.5899,59.2095,57.9899,58.4819,3545132.0
2020-04-24,55.9554,55.9921,53.8704,57.7959,4385792.0
2020-04-23,61.5992,64.1571,61.5365,59.6774,2909567.0
2020-04-22,56.5738,57.2197,54.2177,58.717,3985124.0
2020-04-21,59.8168,60.2836,58.5689,60.6671,2811601.0
2020-04-20,64.5803,67.8051,64.2672,62.5779,3442531.0
2020-04-17,61.2851,62.0938,60.5848,61.0885,2883967.0
2020-04-16,60.3818,61.2652,59.0969,59.6578,3105399.0
2020-04-15,58.4565,58.5722,56.6638,58.9424,3050740.0
2020-04-14,58.6956,59.1804,57.0176,60.1771,3326047.0
2020-04-13,61.4356,62.4517,60.788,60.9317,3072126.0
2020-04-09,61.6801,64.4401,61.6801,59.7166,2865999.0
2020-04-08,57.9618,59.5394,57.389,57.2374,3366645.0
2020-04-07,55.1889,56.2938,53.5457,56.2182,2886661.0
2020-04-06,55.5134,56.1647,54.2403,55.3167,2765069.0
2020-04-03,53.4647,54.502,52.6993,52.7395,2873747.0
2020-04-02,52.5678,53.8276,50.654,53.0629,2873975.0
2020-04-01,53.2098,54.3231,51.9362,54.229,2965394.0
2020-03-31,55.3034,55.3034,53.4581,56.7082,3815660.0
2020-03-30,58.169,58.7513,56.5406,57.9625,3883477.0
2020-03-27,56.5832,56.9829,54.7272,57.4137,4272642.0
2020-03-26,57.8832,60.0354,55.1929,60.0007,4810428.0
2020-03-25,65.2136,71.3762,64.9418,61.9214,5592936.0
2020-03-24,56.8615,59.3186,52.91,58.7856,5799994.0
