date,Open,High,Low,Close,Volume
2021-02-12,203.2775,207.1878,201.4361,199.86,1264802.0
2021-02-11,192.6535,192.6918,187.2185,197.12,1442979.0
2021-02-10,197.1657,198.373,193.2616,199.82,2522554.0
2021-02-09,197.9579,199.1006,193.0356,200.31,5786535.0
2021-02-08,216.2425,220.7974,215.1724,213.34,3019376.0
2021-02-05,208.7172,213.9081,208.0494,207.49,1586630.0
2021-02-04,200.2773,203.0931,198.34,201.49,813238.0
2021-02-03,197.3778,197.4919,191.9048,202.4,866988.0
2021-02-02,210.7426,215.5157,208.4337,207.11,1120020.0
2021-02-01,200.0936,202.1958,197.2725,200.94,1067939.0
2021-01-29,202.073,207.5608,201.8393,200.45,1000148.0
2021-01-28,205.2388,213.1343,205.2388,200.3,1160940.0
2021-01-27,190.5999,191.3469,184.3855,195.38,1284932.0
2021-01-26,195.8681,196.1661,191.5619,199.78,856156.0
2021-01-25,200.2788,201.1849,194.3987,203.99,787415.0
2021-01-22,204.4003,206.1758,202.2757,204.66,906571.0
2021-01-21,203.7069,204.9737,199.7688,205.56,890308.0
2021-01-20,213.2503,219.9757,211.9879,207.05,1727152.0
2021-01-19,201.6524,205.9534,201.0346,198.73,1679243.0
2021-01-15,196.8617,199.1251,192.9486,196.28,1688228.0
2021-01-14,191.8484,193.958,187.3883,195.47,1407870.0
2021-01-13,200.5556,204.5374,199.0902,199.5,1281440.0
2021-01-12,191.7644,192.0519,184.3839,199.15,1592914.0
2021-01-11,204.6181,205.256,202.2625,206.54,840621.0
2021-01-08,211.7988,214.1998,210.3401,210.43,899756.0
2021-01-07,211.6941,216.0655,210.4564,208.01,944395.0
2021-01-06,200.6142,204.7662,198.0873,201.53,1140658.0
2021-01-05,207.4042,210.452,205.357,204.74,877975.0
2021-01-04,195.2529,195.2529,186.2421,201.85,1850023.0
2020-12-31,208.583,209.5705,207.6358,207.79,643956.0
2020-12-30,208.7475,214.1509,206.8952,206.35,1524234.0
2020-12-29,202.7504,205.4635,201.5369,202.45,879217.0
2020-12-28,197.5158,197.5158,193.4264,201.12,629937.0
2020-12-24,202.53,204.5006,201.5497,202.5,211642.0
2020-12-23,200.8447,201.4786,198.0024,201.82,684461.0
2020-12-22,200.9838,202.3915,198.8425,201.86,706256.0
2020-12-21,199.6035,200.0537,194.0448,201.77,1087656.0
2020-12-18,208.9373,217.2213,208.3147,203.39,5178457.0
2020-12-17,197.7908,198.2325,192.52,197.4,2128510.0
2020-12-16,195.7017,199.0617,194.902,195.12,2920387.0
2020-12-15,193.4185,194.6027,191.0895,194.7,2440311.0
2020-12-14,197.0371,207.5421,196.6499,195.2,3660294.0
2020-12-11,192.2517,195.1223,190.8725,190.21,1585787.0
2020-12-10,192.9462,198.9721,192.4396,187.82,1507688.0
2020-12-09,186.1426,190.1376,185.8837,183.68,1305966.0
2020-12-08,182.7936,185.0932,180.8408,183.6,1785117.0
2020-12-07,185.4223,188.8163,184.7987,183.39,1335673.0
2020-12-04,181.3622,182.9231,180.1433,180.73,1126572.0
2020-12-03,180.1918,183.2723,179.0888,180.76,950903.0
2020-12-02,183.6809,186.2777,182.4851,181.3,703129.0
2020-12-01,178.6314,178.6314,172.4802,180.06,1151046.0
2020-11-30,184.3187,189.4589,182.6088,180.51,2667041.0
2020-11-27,176.9567,179.0446,175.4323,176.41,615069.0
2020-11-25,177.479,181.5218,177.479,173.98,889221.0
2020-11-24,168.5694,168.7326,164.8158,169.83,1135807.0
2020-11-23,172.3376,173.8984,169.1351,171.19,1138935.0
2020-11-20,174.2093,181.0731,173.4117,170.05,1456159.0
2020-11-19,171.1407,179.5481,170.4463,165.58,1688317.0
2020-11-18,161.2406,162.6749,159.2087,161.56,985589.0
2020-11-17,162.0501,164.6453,161.4862,162.2,946288.0
2020-11-16,163.4367,164.7535,161.6236,162.39,1047340.0
2020-11-13,163.4766,166.2216,162.6602,161.83,1148761.0
