date,Open,High,Low,Close,Volume
2016-05-26,209.56,209.56,209.56,209.56,0.0
2016-05-25,209.56,209.56,209.56,209.56,0.0
2016-05-24,209.56,209.56,209.56,209.56,0.0
2016-05-23,209.56,209.56,209.56,209.56,0.0
2016-05-20,209.56,209.56,209.56,209.56,0.0
2016-05-19,209.56,209.56,209.56,209.56,0.0
2016-05-18,209.56,209.56,209.56,209.56,0.0
2016-05-17,209.53,212.3392,208.0704,209.56,49704180.0
2016-05-16,209.1435,211.3554,207.6458,210.0,11876087.0
2016-05-13,215.7603,216.6824,214.7179,215.51,11085911.0
2016-05-12,213.3377,213.9956,209.822,215.28,16339447.0
2016-05-11,216.1808,216.3302,214.0588,216.59,1941967.0
2016-05-10,217.7522,219.4171,217.2447,216.12,2540441.0
2016-05-09,215.1283,217.3256,215.1283,213.79,2369059.0
2016-05-06,214.4781,215.8448,213.8504,213.16,2781344.0
2016-05-05,212.7102,214.2929,212.3395,212.52,1962035.0
2016-05-04,212.821,214.719,212.1883,212.37,1783183.0
2016-05-03,211.8242,212.9838,210.6944,212.77,2029124.0
2016-05-02,217.344,220.7145,216.1899,215.06,2744701.0
2016-04-29,214.2412,216.5366,212.5273,212.11,2079811.0
2016-04-28,214.6494,220.5289,213.9546,210.79,2117834.0
2016-04-27,207.5135,208.2417,205.575,209.19,2725827.0
2016-04-26,212.057,214.7984,211.4602,210.84,5298293.0
2016-04-25,219.1648,229.964,217.8477,209.63,7777638.0
2016-04-22,200.9313,201.5879,199.6579,201.45,3243430.0
2016-04-21,202.5904,203.3025,200.354,202.3,2555096.0
2016-04-20,198.2169,198.4765,194.3314,202.12,1889989.0
2016-04-19,206.9753,210.0462,206.1823,205.93,1749451.0
2016-04-18,204.2119,204.4504,203.1384,204.83,1492876.0
2016-04-15,206.9307,208.8787,205.9669,205.44,1619154.0
2016-04-14,203.431,204.4863,202.4953,203.89,2989902.0
2016-04-13,207.0783,210.4413,206.9204,205.13,1983493.0
2016-04-12,202.3007,203.317,201.8125,202.67,2354270.0
2016-04-11,200.8837,201.6608,199.2409,202.54,2297808.0
2016-04-08,203.4253,203.5836,201.6434,204.46,1159203.0
2016-04-07,203.8831,204.2701,202.2856,204.68,1039272.0
2016-04-06,208.1498,210.3831,208.0376,206.12,1238746.0
2016-04-05,203.8124,203.9713,202.7795,204.51,1051982.0
2016-04-04,206.03,206.7403,205.1197,205.99,1757658.0
2016-04-01,205.5614,207.5919,205.1191,205.03,1736894.0
2016-03-31,203.3677,203.4862,201.0661,204.62,1540222.0
2016-03-30,206.0804,206.4615,204.4558,205.79,1244510.0
2016-03-29,206.3234,208.8072,206.293,204.5445,1705905.0
2016-03-28,202.8116,203.6517,202.3215,202.4322,1585377.0
2016-03-24,200.2352,200.311,197.7084,201.9639,1499607.0
2016-03-23,202.9334,203.4476,202.0286,203.7076,1650725.0
2016-03-22,205.6169,207.1683,204.8613,204.4848,1917788.0
2016-03-21,204.9522,206.5728,204.4069,203.588,1786819.0
2016-03-18,201.5474,202.3891,200.864,202.1632,3121303.0
2016-03-17,203.7946,205.8518,203.5123,202.5717,3021174.0
2016-03-16,207.0575,214.0043,207.0575,201.4558,5792372.0
2016-03-15,196.3744,197.8501,195.9701,194.9694,1002383.0
2016-03-14,193.5382,193.637,192.649,194.3617,1421344.0
2016-03-11,195.109,195.109,193.6208,195.1986,1294422.0
2016-03-10,192.891,193.513,190.6002,193.7638,2216634.0
2016-03-09,195.5705,196.3742,194.566,194.7702,2291583.0
2016-03-08,191.6383,192.426,190.496,192.7675,1832225.0
2016-03-07,195.0806,196.0828,194.279,194.5211,1130818.0
2016-03-04,195.2705,195.9927,194.1045,194.6207,1775868.0
2016-03-03,194.6953,196.9899,194.0713,193.724,2291184.0
2016-03-02,193.5583,195.1616,193.1965,192.7077,2827128.0
2016-03-01,195.6854,197.6056,193.8977,193.7838,3616173.0
2016-02-29,188.4294,190.1804,186.7076,190.1669,3492192.0
2016-02-26,190.8196,191.4311,189.4685,191.801,2038302.0
2016-02-25,195.8036,199.4325,195.1766,192.7675,3498309.0
2016-02-24,189.6,190.3206,187.3981,189.1706,1552361.0
2016-02-23,187.9583,189.1416,187.1085,188.7421,1782251.0
2016-02-22,190.8276,192.0629,190.1044,190.0673,2505447.0
2016-02-19,190.2702,192.8174,188.8947,188.1543,1862788.0
2016-02-18,187.6579,189.954,187.0965,187.0682,1949779.0
2016-02-17,189.7485,193.3699,189.3832,186.9985,2060560.0
2016-02-16,188.9063,192.9399,188.9063,185.4143,1783865.0
2016-02-12,189.4806,195.0613,188.7751,184.3183,2238046.0
2016-02-11,181.0815,184.0179,180.571,178.6987,3239017.0
2016-02-10,177.7557,179.553,176.63,178.5493,1842714.0
2016-02-09,183.3352,186.8004,181.7629,179.9342,2265965.0
2016-02-08,175.1043,175.7083,168.9376,177.0846,2978122.0
2016-02-05,179.5939,180.1738,175.7999,180.821,2116786.0
2016-02-04,180.2583,182.497,175.9437,182.7739,2285830.0
2016-02-03,187.7541,190.5176,186.5749,185.0755,1507190.0
2016-02-02,180.5661,182.4116,179.0857,181.4288,1937087.0
2016-02-01,185.5129,187.8616,182.432,183.6407,1331011.0
2016-01-29,183.6598,186.8278,182.3416,181.3491,2158174.0
2016-01-28,181.5965,185.6486,181.5965,177.8319,2175898.0
2016-01-27,171.7077,173.0601,168.3648,175.0022,2338779.0
2016-01-26,177.716,178.8514,176.9162,178.5194,2012046.0
2016-01-25,176.8358,177.2921,174.5204,179.1471,1460215.0
2016-01-22,182.5523,184.258,181.6944,181.379,2217806.0
2016-01-21,177.9244,179.0216,175.7895,178.639,1597800.0
2016-01-20,183.996,189.2784,182.7094,179.5755,2410439.0
2016-01-19,176.4585,177.2905,174.8539,176.985,1714832.0
2016-01-15,175.1504,176.7518,172.2522,176.3872,2845173.0
2016-01-14,183.5079,187.244,183.3956,181.2993,1180327.0
2016-01-13,175.1242,175.9738,170.5423,178.9179,1472493.0
2016-01-12,182.4959,183.7257,180.1651,182.9134,1037371.0
2016-01-11,182.2169,182.802,180.2036,182.6344,964787.0
2016-01-08,182.9458,186.9309,182.2532,182.2657,2114400.0
2016-01-07,181.9377,185.6207,181.2699,180.542,1353291.0
2016-01-06,181.9097,183.4259,181.0964,181.2096,883369.0
2016-01-05,181.6798,181.6798,179.7493,182.2657,1239835.0
2016-01-04,181.8688,182.9979,179.3235,182.4152,1667026.0
2015-12-31,185.5359,187.3916,185.5058,184.9161,651047.0
2015-12-30,184.6085,184.8761,183.5579,185.0954,637598.0
2015-12-29,187.1393,188.7098,186.5252,185.8,866502.0
2015-12-28,184.434,185.3849,182.5721,183.6366,589148.0
2015-12-24,183.5884,184.4065,183.0895,183.0908,257288.0
2015-12-23,183.2114,184.0796,182.393,182.6939,777789.0
2015-12-22,181.7313,181.9198,179.4293,181.7412,1089670.0
2015-12-21,181.1576,181.8667,180.1738,180.5802,1117923.0
2015-12-18,176.6645,176.6645,173.0984,179.7466,2948436.0
2015-12-17,182.6355,183.9289,181.5199,183.1008,1098196.0
2015-12-16,186.5805,190.1246,185.7047,183.6466,2190045.0
2015-12-15,181.0669,184.0391,180.6639,179.697,1401258.0
2015-12-14,174.747,174.824,171.1861,177.4443,1883091.0
2015-12-11,177.7721,178.9939,174.8397,179.1214,2344434.0
2015-12-10,181.7617,182.7108,180.9116,182.1084,1370449.0
2015-12-09,182.1686,184.4226,181.4469,182.5153,1661865.0
2015-12-08,183.3291,184.9442,182.3878,183.4679,1241302.0
2015-12-07,185.7637,188.5091,185.4003,184.1924,1929010.0
2015-12-04,186.9556,190.1907,186.2778,183.7756,1810432.0
2015-12-03,176.8263,177.5685,173.1582,179.9947,1987702.0
2015-12-02,181.6455,181.8797,180.0555,183.2099,2201761.0
2015-12-01,185.7129,187.1118,184.8735,185.0756,1108306.0
2015-11-30,182.7062,183.0412,180.8932,183.3588,1335534.0
2015-11-27,185.0638,186.909,184.4906,183.845,283321.0
2015-11-25,182.3168,183.1993,181.4741,182.3962,588404.0
2015-11-24,182.5157,184.7352,182.0379,182.2473,856433.0
2015-11-23,182.7241,184.6433,182.1701,183.0115,1229452.0
2015-11-20,183.0512,183.5769,182.2874,183.0908,1653987.0
2015-11-19,180.8744,180.8744,173.766,182.5947,1563336.0
2015-11-18,184.0359,184.8655,183.6761,183.3786,1386142.0
2015-11-17,180.6313,180.6313,178.4462,182.5947,1197120.0
2015-11-16,184.9381,185.487,183.6807,184.4206,1009469.0
2015-11-13,181.5852,183.7981,179.1113,184.0137,1780645.0
2015-11-12,187.487,187.9038,186.4749,187.4969,801120.0
2015-11-11,187.2219,187.2909,185.3708,187.9534,538833.0
2015-11-10,189.2738,191.1374,188.4176,187.8641,1114184.0
2015-11-09,186.6239,187.7779,185.4501,186.3954,869137.0
2015-11-06,187.1709,188.4033,186.5722,186.6534,1051764.0
2015-11-05,186.1771,187.6199,185.2847,186.2466,1621584.0
2015-11-04,186.3301,187.1755,185.1897,187.2092,1159409.0
2015-11-03,190.4904,193.2146,189.4905,187.8641,1603285.0
2015-11-02,182.9908,183.2982,179.5033,185.9786,1138178.0
2015-10-30,184.9747,184.9747,181.8221,187.9534,1544927.0
2015-10-29,198.9641,209.0792,198.9641,190.3549,2124299.0
2015-10-28,185.5883,187.8235,184.6376,183.8351,1094289.0
2015-10-27,180.4829,181.5961,178.5594,181.9496,1697512.0
2015-10-26,183.8947,184.9876,183.5768,183.7855,1026067.0
2015-10-23,185.4075,187.4832,184.9328,183.7756,1359014.0
2015-10-22,183.4692,187.4947,183.4387,181.5031,1722757.0
