date,Open,High,Low,Close,Volume
2021-02-12,3.6804,3.8747,3.6702,3.64,559604.0
2021-02-11,3.561,3.5982,3.4158,3.62,503020.0
2021-02-10,3.5832,3.5926,3.3003,3.69,775857.0
2021-02-09,3.8527,4.0427,3.8211,3.75,423747.0
2021-02-08,3.65,3.85,3.55,3.65,1613095.0
2021-02-05,3.6558,3.8511,3.645,3.51,996358.0
2021-02-04,3.1924,3.2113,3.0693,3.28,367286.0
2021-02-03,3.392,3.5075,3.2345,3.31,622250.0
2021-02-02,2.9556,2.9556,2.6513,3.17,931991.0
2021-02-01,3.0926,3.1368,2.8275,3.29,1382613.0
2021-01-29,3.0579,3.0829,2.7579,3.35,3671246.0
2021-01-28,4.2264,4.2816,3.4403,5.09,598740.0
2021-01-27,7.1778,8.6862,7.1645,6.22,451113.0
2021-01-26,6.2312,7.0722,6.1929,5.52,428286.0
2021-01-25,5.0313,5.2069,4.959,4.95,320895.0
2021-01-22,4.8213,4.8891,4.5793,4.9,349443.0
2021-01-21,4.8113,4.9612,4.6369,4.89,187125.0
2021-01-20,4.9407,4.9407,4.6478,5.0,132441.0
2021-01-19,4.6729,4.6729,4.2362,5.0,159656.0
2021-01-15,5.0005,5.1102,4.644,5.23,121987.0
2021-01-14,5.304,5.304,5.1619,5.45,104951.0
2021-01-13,5.4944,5.4944,5.3431,5.65,84419.0
2021-01-12,5.7602,5.9623,5.5577,5.73,105441.0
2021-01-11,5.5576,5.5576,5.2496,5.6,93499.0
2021-01-08,5.7404,5.9542,5.6997,5.69,89396.0
2021-01-07,5.63,5.6798,5.4805,5.64,46202.0
2021-01-06,5.5414,5.6189,5.4058,5.63,43618.0
2021-01-05,4.9028,4.9028,4.2919,5.54,133886.0
2021-01-04,5.6093,5.6093,5.2006,6.015,45182.0
2020-12-31,6.6748,7.0494,6.5252,6.32,87206.0
2020-12-30,5.9901,6.2518,5.8894,5.97,46248.0
2020-12-29,5.5737,5.5737,5.2197,5.85,45658.0
2020-12-28,5.9703,6.0887,5.8222,6.01,53985.0
2020-12-24,5.9005,5.9005,5.5415,6.15,60345.0
2020-12-23,6.1616,6.5336,6.1511,6.06,42127.0
2020-12-22,5.8126,5.893,5.5282,6.01,50810.0
2020-12-21,6.1323,6.2382,5.9301,6.25,46990.0
2020-12-18,6.57,6.9571,6.57,6.37,39773.0
2020-12-17,6.7457,6.9594,6.7457,6.62,45472.0
2020-12-16,6.9336,7.186,6.9282,6.69,5479.0
2020-12-15,6.4577,6.7006,5.9109,6.68,41745.0
2020-12-14,7.0533,7.7848,7.0324,6.9,108333.0
2020-12-11,7.3315,8.3373,7.2709,6.66,60608.0
2020-12-10,6.3006,6.9643,6.0081,5.94,80776.0
2020-12-09,5.2574,5.2574,4.9713,5.56,22188.0
2020-12-08,5.1787,5.1787,4.6559,5.73,112097.0
2020-12-07,5.793,5.793,5.3866,6.23,152596.0
2020-12-04,6.7809,7.3281,6.3999,6.86,172679.0
2020-12-03,6.9607,6.9656,6.8627,7.03,16775.0
2020-12-02,7.1714,7.3079,7.0275,7.07,23213.0
2020-12-01,7.1624,7.6451,7.1209,7.03,67605.0
2020-11-30,6.4497,6.6151,5.8255,7.07,145617.0
2020-11-27,8.1781,9.3495,7.7173,7.62,210459.0
2020-11-25,6.327,6.327,5.5127,7.15,273653.0
2020-11-24,7.4476,7.4476,6.0555,8.3,353997.0
2020-11-23,8.9457,9.7021,8.9457,8.72,191343.0
2020-11-20,8.1547,8.158,7.7255,8.35,54985.0
2020-11-19,8.6206,9.1085,8.1326,8.55,239056.0
2020-11-18,7.7951,8.1931,6.0536,8.56,131308.0
