date,Open,High,Low,Close,Volume
2021-02-12,25.2295,26.1447,25.2087,24.74,2165628.0
2021-02-11,24.4107,24.7443,24.1075,24.28,1784584.0
2021-02-10,24.3717,24.7123,24.0768,24.17,1698102.0
2021-02-09,23.9704,24.1923,23.7385,23.87,1719151.0
2021-02-08,24.4825,25.0843,24.2836,23.93,2405286.0
2021-02-05,22.2177,22.3535,21.1132,23.35,3246976.0
2021-02-04,25.2108,25.7738,25.0856,24.69,1899235.0
2021-02-03,24.2414,24.4799,24.1094,24.06,2084957.0
2021-02-02,23.6718,23.7701,23.2296,23.88,2321775.0
2021-02-01,24.0749,24.4764,23.6581,23.73,1887623.0
2021-01-29,22.2163,22.4038,21.1644,23.23,5698918.0
2021-01-28,23.9358,24.2849,23.5238,24.31,4021379.0
2021-01-27,24.3941,24.6997,24.0982,24.4237,2450938.0
2021-01-26,24.8981,25.0712,24.5321,24.8882,1503045.0
2021-01-25,24.7202,24.888,24.2712,24.74,1708002.0
2021-01-22,25.4057,25.8207,25.2337,25.1057,2410069.0
2021-01-21,24.8534,25.1131,24.5167,25.1946,1488748.0
2021-01-20,25.4326,25.5793,25.1588,25.5702,1704154.0
2021-01-19,26.3858,27.2777,26.3132,25.758,2807258.0
2021-01-15,25.1673,25.5501,24.8852,24.9278,2330508.0
2021-01-14,25.8183,26.7397,25.7451,25.0859,1867335.0
2021-01-13,24.1568,24.2653,23.8413,24.1864,1659321.0
2021-01-12,25.1118,26.2461,24.9958,24.3051,2784772.0
2021-01-11,23.7412,24.3278,23.5457,23.2672,1404871.0
2021-01-08,22.5384,22.5479,21.5856,23.0695,2377939.0
2021-01-07,22.7163,22.7446,22.1877,23.2475,2217179.0
2021-01-06,24.2621,25.4667,24.1247,23.4649,3259713.0
2021-01-05,22.2215,22.6849,22.0301,22.0119,2351681.0
2021-01-04,21.0067,21.1805,20.1924,21.834,2442602.0
2020-12-31,23.2208,23.8946,23.1016,22.6742,1807913.0
2020-12-30,22.44,22.8649,22.44,22.18,1159079.0
2020-12-29,21.923,22.1205,21.7452,21.9329,1356641.0
2020-12-28,21.8143,22.3668,21.7797,21.834,1527755.0
2020-12-24,21.6265,21.6758,21.2622,21.666,546691.0
2020-12-23,21.9972,22.5473,21.9639,21.666,1362643.0
2020-12-22,20.9452,21.2528,20.7988,21.0729,2542008.0
2020-12-21,20.9945,21.0141,20.3104,21.1125,3184359.0
2020-12-18,21.0102,21.1821,20.3134,21.3794,6858585.0
2020-12-17,20.8288,21.501,19.6996,21.8736,3219685.0
2020-12-16,21.5003,21.5474,20.9297,22.0119,2694991.0
2020-12-15,22.536,22.6999,22.0789,22.4765,2904712.0
2020-12-14,20.9322,20.9322,19.7195,22.1997,3875729.0
2020-12-11,22.951,23.1282,22.6509,23.0004,1939828.0
2020-12-10,24.1321,24.8076,24.0385,23.5341,1580404.0
2020-12-09,23.1702,23.3353,22.7915,23.376,1565162.0
2020-12-08,23.4561,23.9421,23.2757,23.2969,1717322.0
2020-12-07,23.1326,23.1518,22.6217,23.4254,1664106.0
2020-12-04,24.4013,24.9029,24.2273,23.9789,3098253.0
2020-12-03,23.7682,24.5035,23.6952,23.1387,2301126.0
2020-12-02,23.0716,23.7082,23.0302,22.5457,2429076.0
2020-12-01,21.7459,21.8216,21.2541,22.2294,2450800.0
2020-11-30,21.3669,21.6847,20.7453,21.9724,2098899.0
2020-11-27,22.5503,22.5791,22.1756,22.8719,765141.0
2020-11-25,22.7836,22.8862,22.3729,22.9114,1361376.0
2020-11-24,24.1791,25.0464,23.8974,23.4451,2383109.0
2020-11-23,22.6666,23.2209,22.5112,22.1404,2184096.0
2020-11-20,21.3012,21.5716,21.1209,21.1619,2995050.0
2020-11-19,21.472,21.7865,21.1574,21.1916,2062459.0
2020-11-18,21.0536,21.7979,20.9508,21.152,2894505.0
2020-11-17,21.5447,21.9959,21.0627,21.152,1801299.0
2020-11-16,20.8225,20.8798,20.1879,21.1916,2157417.0
2020-11-13,21.2277,21.944,21.0709,20.638,1886568.0
2020-11-12,18.9776,18.9776,17.7521,19.7287,3026456.0
2020-11-11,20.3817,20.3817,19.503,20.8456,2278666.0
2020-11-10,21.5214,21.8461,21.2373,21.241,4039149.0
2020-11-09,21.3016,22.6797,21.3016,20.4898,6866190.0
2020-11-06,17.0904,17.2162,16.1419,17.9199,2696973.0
2020-11-05,19.3266,20.408,19.3266,18.6612,2203651.0
2020-11-04,17.1595,17.1777,16.4312,17.8804,3192869.0
2020-11-03,19.7313,20.3658,19.5441,19.2345,4230375.0
2020-11-02,18.6996,19.1591,18.1524,18.2955,3584146.0
2020-10-30,18.1544,18.9135,18.1223,17.4554,3730845.0
2020-10-29,17.7707,18.8215,17.5286,16.8425,3011842.0
2020-10-28,14.9954,15.0334,13.8708,16.1086,5891859.0
2020-10-27,16.8903,16.8903,16.0797,17.7418,2572344.0
2020-10-26,18.2582,18.3045,17.5773,18.7042,2048519.0
2020-10-23,19.6292,19.9951,19.4611,19.4625,2293790.0
