date,Open,High,Low,Close,Volume
2021-02-12,220.3442,228.3476,220.3442,213.16,3318406.0
2021-02-11,209.3719,212.1893,208.5961,207.23,2658126.0
2021-02-10,201.0987,201.3526,197.9445,203.5,1730262.0
2021-02-09,204.8602,206.0226,202.9463,204.65,1515506.0
2021-02-08,202.9468,202.9468,199.8032,204.12,1995374.0
2021-02-05,201.8767,202.9812,199.2427,204.2,2096985.0
2021-02-04,204.1205,205.9845,202.725,204.45,2552132.0
2021-02-03,203.583,204.3521,202.3077,204.36,1731563.0
2021-02-02,211.4649,218.4139,210.9376,205.93,3701188.0
2021-02-01,198.3802,200.2645,197.8315,198.6,2228714.0
2021-01-29,195.6666,197.1492,193.1924,197.47,3508101.0
2021-01-28,205.2775,213.1807,203.2598,201.29,3406482.0
2021-01-27,192.6511,195.3799,189.8172,194.33,3790998.0
2021-01-26,193.0442,193.0442,185.6786,200.05,3867707.0
2021-01-25,207.7682,209.7835,203.6769,206.46,4815424.0
2021-01-22,206.6511,208.0347,202.3013,207.13,4290569.0
2021-01-21,205.821,212.5837,203.753,207.9,6346356.0
2021-01-20,219.2755,220.6593,217.8816,218.18,3239593.0
2021-01-19,212.3893,212.9831,209.3915,215.28,2841906.0
2021-01-15,218.7104,221.7793,217.4258,216.6,2325287.0
2021-01-14,214.3847,214.5519,212.1813,216.16,1720001.0
2021-01-13,215.6443,217.0517,213.4442,216.61,1466035.0
2021-01-12,220.2315,223.6609,216.9847,218.64,3223371.0
2021-01-11,214.5564,215.3457,211.4089,217.35,2969758.0
2021-01-08,219.6431,222.9478,218.6255,218.82,3922910.0
2021-01-07,214.8511,217.6463,213.3311,212.72,2023152.0
2021-01-06,214.1379,220.4511,213.7003,209.8,2512400.0
2021-01-05,208.1333,211.7595,208.0872,205.5,2127506.0
2021-01-04,198.1016,199.041,191.755,203.01,2642629.0
2020-12-31,210.1069,212.4488,209.4044,208.22,1739904.0
2020-12-30,207.096,208.7437,206.8332,205.98,1279654.0
2020-12-29,202.5571,203.0726,199.6901,204.42,1735191.0
2020-12-28,207.3438,209.9563,206.9169,205.65,1788329.0
2020-12-24,205.5425,208.1877,204.7459,203.39,691717.0
2020-12-23,199.5236,200.1925,197.7726,201.17,1787625.0
2020-12-22,201.2105,202.8853,200.8217,201.52,1444282.0
