date,Open,High,Low,Close,Volume
2021-02-12,66.7095,69.7008,66.0729,65.57,5551976.0
2021-02-11,65.1728,67.2289,64.4562,63.955,7196249.0
2021-02-10,58.4916,58.8669,56.1088,60.39,3621109.0
2021-02-09,61.0272,61.2719,60.0652,61.69,2003232.0
2021-02-08,64.4869,67.1702,64.4438,62.12,4603292.0
2021-02-05,59.9709,60.7569,59.6988,59.74,3004263.0
2021-02-04,60.2979,61.504,60.1115,59.26,3299277.0
2021-02-03,57.4214,58.1443,56.6687,57.7,3038709.0
2021-02-02,57.2281,57.6285,56.1441,57.91,4010009.0
2021-02-01,58.1963,59.1868,57.6245,57.59,4600306.0
2021-01-29,54.2848,56.1541,51.0088,56.43,15496407.0
2021-01-28,51.7651,52.0841,50.3383,52.65,6740324.0
2021-01-27,55.474,60.3035,55.2347,53.19,8690161.0
2021-01-26,52.3314,53.1499,52.0232,52.06,3656701.0
2021-01-25,51.8666,52.5418,51.3245,51.28,3260978.0
2021-01-22,49.376,49.6415,47.5557,50.71,5237347.0
2021-01-21,55.2019,57.2982,55.1593,53.51,4356402.0
2021-01-20,51.071,51.4012,49.9017,51.82,2937487.0
2021-01-19,52.5051,53.1986,51.7095,51.99,3607320.0
2021-01-15,52.2507,54.26,52.0321,51.21,5866794.0
2021-01-14,51.1932,52.815,50.5528,50.37,4606717.0
2021-01-13,49.45,49.7098,48.5807,49.47,6435153.0
2021-01-12,48.3591,48.5845,46.7249,49.9,4909360.0
2021-01-11,52.2799,53.6628,52.0332,51.56,3540138.0
2021-01-08,48.4801,48.5326,44.8741,51.82,7544368.0
2021-01-07,55.3912,56.7156,55.2002,54.74,4404521.0
2021-01-06,53.7775,55.354,53.3669,53.41,4521080.0
2021-01-05,53.463,54.8336,53.4529,53.06,3869985.0
2021-01-04,49.6446,49.9789,47.0156,52.23,7498225.0
2020-12-31,61.484,68.9385,61.3731,55.39,15479810.0
2020-12-30,50.8124,52.9278,50.8124,49.53,3965382.0
2020-12-29,46.0491,46.0491,43.8575,48.29,4622375.0
2020-12-28,49.5356,49.9076,48.5956,50.06,2741055.0
2020-12-24,49.533,49.597,48.5878,49.92,1224521.0
2020-12-23,49.91,50.5595,49.3704,49.93,2685488.0
2020-12-22,47.3488,47.5075,45.0543,49.72,4115432.0
2020-12-21,52.8119,53.6765,52.643,52.21,3817443.0
2020-12-18,52.7429,53.6761,52.0734,53.19,6978013.0
2020-12-17,53.5702,53.7309,53.0802,53.46,2997471.0
2020-12-16,52.3472,52.5798,51.5271,53.02,2985225.0
2020-12-15,55.0176,56.5042,54.7012,53.58,4891682.0
2020-12-14,50.4933,51.0765,49.7573,51.14,3596360.0
2020-12-11,51.5033,52.55,51.3814,51.09,3134564.0
2020-12-10,53.2878,55.3933,53.2079,51.61,3740601.0
2020-12-09,49.6428,50.2185,47.7552,51.1,4666266.0
2020-12-08,54.081,55.8372,54.0366,52.42,3601833.0
2020-12-07,50.357,50.8949,49.4017,51.14,4720829.0
2020-12-04,54.6543,57.7997,54.554,51.75,6454364.0
2020-12-03,48.8427,49.7463,48.3555,48.48,4704588.0
2020-12-02,48.2866,49.0648,48.0512,47.72,4515969.0
2020-12-01,49.1413,52.004,49.0224,47.27,6658107.0
2020-11-30,43.8158,44.3591,42.6435,44.88,4834136.0
2020-11-27,46.4169,47.3701,46.4169,45.85,2118507.0
2020-11-25,45.0114,45.1301,43.9631,45.26,3207727.0
2020-11-24,46.6025,47.4913,46.1477,45.84,4480388.0
2020-11-23,46.2476,48.3664,46.0638,44.48,5795055.0
2020-11-20,42.2606,42.8363,42.082,42.42,2584352.0
2020-11-19,43.0852,43.6271,42.7376,42.61,2612719.0
2020-11-18,42.1625,42.7632,41.8179,42.49,3907046.0
2020-11-17,42.4221,42.57,41.574,42.72,3662032.0
2020-11-16,44.5407,45.5331,44.0707,43.58,5560313.0
2020-11-13,43.2101,45.1317,43.0472,41.47,4985142.0
2020-11-12,38.3634,38.5348,37.1062,39.31,4068725.0
2020-11-11,39.5575,39.8042,38.314,40.6,3642383.0
2020-11-10,41.1404,41.6373,40.6535,41.27,3961671.0
2020-11-09,41.46,42.9186,41.1203,41.48,5957574.0
2020-11-06,40.3266,41.1116,40.1214,39.81,3048502.0
2020-11-05,40.6019,42.2045,40.5804,39.15,4546694.0
2020-11-04,37.2124,37.3305,36.1199,37.51,4179872.0
2020-11-03,37.3306,37.782,37.0131,37.48,4316659.0
2020-11-02,35.9995,35.9995,34.5818,37.03,5401003.0
2020-10-30,37.4816,37.7382,36.4849,37.73,5068947.0
2020-10-29,38.1701,38.8422,37.498,38.11,6438434.0
2020-10-28,38.9908,39.9699,38.9603,38.81,5631707.0
2020-10-27,40.31,40.7398,39.9802,40.32,4004552.0
2020-10-26,39.6673,39.792,38.228,40.495,4886861.0
2020-10-23,40.9447,41.1662,39.7889,41.72,6695990.0
2020-10-22,43.8072,45.5557,43.3492,42.94,6104819.0
2020-10-21,42.3419,43.0918,42.2507,42.06,6871254.0
2020-10-20,41.9264,42.8899,41.8271,41.41,7437669.0
2020-10-19,43.7764,48.0169,43.536,40.92,17145050.0
2020-10-16,37.7906,38.6041,37.2846,37.94,17427812.0
2020-10-15,38.859,39.7688,38.5191,38.0,3676308.0
2020-10-14,37.3636,37.599,36.9027,37.73,3482488.0
2020-10-13,37.2497,37.763,36.5523,37.85,4253997.0
2020-10-12,38.5615,38.9463,38.0754,38.32,5258784.0
2020-10-09,36.9378,37.135,35.6515,38.12,4724386.0
2020-10-08,39.4388,40.3164,39.3506,38.7,4612982.0
