date,Open,High,Low,Close,Volume
2021-02-12,82.405,82.7693,81.1547,83.05,1262486.0
2021-02-11,82.8447,83.3122,81.6274,83.95,1144351.0
2021-02-10,84.9058,85.6053,83.7434,85.2024,1160078.0
2021-02-09,84.7758,85.123,83.516,84.7758,1000602.0
2021-02-08,82.9589,83.0354,81.3426,84.4882,1012942.0
2021-02-05,85.7496,86.6347,85.0613,86.1249,1324062.0
2021-02-04,85.6311,86.6329,84.5211,86.0555,1578777.0
2021-02-03,86.1366,86.4709,85.2911,86.5217,1307916.0
2021-02-02,86.2618,87.0502,85.2107,87.0872,1261106.0
2021-02-01,87.1619,87.5233,85.8629,87.8411,887406.0
2021-01-29,88.0299,89.0952,87.1699,88.1883,1163492.0
2021-01-28,87.7443,89.4302,86.6979,88.7835,1622389.0
2021-01-27,92.0585,96.3343,91.6651,90.1128,3078054.0
2021-01-26,88.8236,89.3617,87.2791,88.6248,1170394.0
2021-01-25,91.024,93.8639,90.6481,88.724,1306556.0
2021-01-22,86.1187,86.1187,85.022,86.6805,1189008.0
2021-01-21,87.2958,87.9431,86.9572,87.1269,999795.0
2021-01-20,88.3729,89.5429,87.9652,87.6427,1232736.0
2021-01-19,86.0502,86.2725,84.7837,87.1665,1133045.0
2021-01-15,89.875,92.142,89.4505,87.98,1354055.0
2021-01-14,85.0581,85.1837,83.2407,86.1646,1134217.0
2021-01-13,88.8144,90.9261,88.0316,87.1566,1310550.0
2021-01-12,84.1041,84.8151,82.8095,84.5874,1158616.0
2021-01-11,85.4093,85.6719,83.6881,86.2638,878378.0
2021-01-08,86.7233,87.0369,85.2139,87.2459,1488552.0
2021-01-07,84.6567,84.8938,81.7167,87.5534,1554984.0
2021-01-06,91.7467,93.5614,91.1451,90.4996,1624206.0
2021-01-05,89.1017,89.4863,87.7311,89.3688,1584195.0
2021-01-04,87.9821,88.0107,85.9664,89.6564,1532905.0
2020-12-31,92.8366,94.4574,92.5186,91.2932,1177058.0
2020-12-30,90.2437,91.0547,90.2437,89.8251,790373.0
2020-12-29,89.32,90.1187,88.8369,89.587,882552.0
2020-12-28,90.0542,90.3738,89.3352,89.7556,950601.0
2020-12-24,89.4139,90.1999,89.0209,88.7141,498878.0
2020-12-23,86.8149,86.9888,85.2788,87.9701,1331519.0
2020-12-22,88.2605,88.4861,87.4757,88.7537,1046594.0
2020-12-21,89.0227,89.328,87.624,89.339,1278398.0
2020-12-18,89.6951,90.1522,88.1196,90.5889,2501510.0
2020-12-17,90.9394,91.7334,90.2532,91.4817,1203824.0
2020-12-16,90.7153,91.6994,89.8091,91.5313,1167699.0
2020-12-15,93.0979,94.8688,92.2681,92.1761,1122618.0
2020-12-14,89.7977,90.7766,88.7364,90.8468,1131377.0
2020-12-11,92.1509,92.8854,91.7082,91.5016,1217472.0
2020-12-10,90.3109,90.5344,88.8629,91.2436,1195887.0
2020-12-09,91.3181,91.6895,89.9986,91.9976,1013196.0
2020-12-08,92.7714,93.7156,92.0458,92.682,1285773.0
2020-12-07,93.6604,94.8703,93.6604,92.9003,843598.0
2020-12-04,91.7466,92.273,90.4303,92.5432,925779.0
2020-12-03,92.8375,93.4227,91.7841,93.6244,1267453.0
2020-12-02,95.512,96.0536,94.1983,94.9934,1050199.0
2020-12-01,94.696,95.4971,94.1174,94.8347,1239611.0
2020-11-30,93.9129,94.1348,92.8281,94.1899,3320263.0
2020-11-27,94.667,94.9578,93.5434,94.9735,840099.0
2020-11-25,94.64,95.3943,92.901,95.2315,1413057.0
2020-11-24,95.4001,95.6775,94.2511,95.4695,1331887.0
2020-11-23,94.4906,94.6524,93.3922,95.0331,1268647.0
2020-11-20,95.5992,97.0507,95.4197,95.3307,1710005.0
2020-11-19,94.0469,94.1006,92.1718,94.7851,1254171.0
2020-11-18,92.1193,92.1193,88.3541,95.9755,1526708.0
2020-11-17,96.7981,97.4475,94.0876,99.378,1145724.0
2020-11-16,104.1079,105.1477,102.9014,103.1972,1587452.0
2020-11-13,100.4958,101.0326,99.3443,101.3223,930137.0
2020-11-12,100.5308,100.5405,98.7351,101.6298,909432.0
2020-11-11,102.098,102.7379,100.6922,102.9583,1005505.0
2020-11-10,104.3377,106.467,104.2222,103.3724,1250992.0
2020-11-09,101.5162,103.6008,100.4787,102.3668,1314908.0
2020-11-06,101.3134,102.4561,100.6477,100.9175,659449.0
2020-11-05,99.076,100.4457,97.61,100.1682,1556394.0
2020-11-04,98.4699,100.1968,96.5912,100.3753,1483317.0
2020-11-03,102.9389,104.1849,102.2367,102.7809,1499745.0
2020-11-02,103.1466,104.9624,102.5136,101.6865,1219305.0
2020-10-30,99.758,100.8363,98.8745,99.133,1393574.0
2020-10-29,99.9002,102.0735,98.6454,99.0048,1025966.0
