date,Open,High,Low,Close,Volume
2021-02-12,113.6615,114.1651,113.1881,113.25,1123226.0
2021-02-11,112.4453,112.5933,111.3505,113.22,1289834.0
2021-02-10,113.1327,113.2967,111.3404,113.69,1732954.0
2021-02-09,112.726,113.1104,111.8193,113.55,1154706.0
2021-02-08,114.6808,115.3543,114.2485,114.38,1618331.0
2021-02-05,113.8702,114.8827,113.5995,113.73,1423234.0
2021-02-04,113.9872,115.3285,113.6824,113.08,1206562.0
2021-02-03,111.554,111.9492,110.7239,112.22,1343157.0
2021-02-02,113.0901,114.0917,112.7696,113.0,1579062.0
2021-02-01,112.2904,112.9929,111.5527,112.09,1229643.0
2021-01-29,110.9314,111.8549,109.6801,111.32,1891855.0
2021-01-28,112.7233,115.7158,112.5211,112.11,1952863.0
2021-01-27,108.9568,109.1786,106.2088,110.96,2505098.0
2021-01-26,113.3927,113.4175,112.5476,113.95,1709466.0
2021-01-25,113.0319,113.6785,111.6503,114.19,1542526.0
2021-01-22,116.2874,117.6694,115.6574,115.36,1978234.0
2021-01-21,114.241,114.5194,112.3025,114.58,2268444.0
2021-01-20,115.03,115.8097,114.7901,115.05,1916328.0
2021-01-19,114.4626,115.2206,113.69,115.01,1636884.0
2021-01-15,115.1919,116.4522,115.0407,114.72,3799177.0
2021-01-14,112.684,112.8096,110.5584,114.64,1605682.0
2021-01-13,116.2901,117.001,115.7693,116.21,1444831.0
2021-01-12,115.6055,116.0395,113.9523,116.4,1477106.0
2021-01-11,116.4827,116.9977,115.5524,117.04,1541741.0
2021-01-08,118.8104,119.3712,117.6463,118.6,1372742.0
2021-01-07,118.6026,119.5008,117.9717,118.05,1827580.0
2021-01-06,119.7532,122.4833,119.143,117.76,1617851.0
2021-01-05,115.9143,116.8354,115.4486,115.21,1336135.0
2021-01-04,111.7452,111.8114,108.1998,114.83,1731113.0
2020-12-31,119.3059,120.8308,119.2138,117.93,898548.0
2020-12-30,116.99,117.5806,116.5796,116.93,735925.0
2020-12-29,115.1638,115.5526,113.2493,116.82,863873.0
2020-12-28,118.683,119.4809,117.8749,118.09,1151465.0
2020-12-24,117.5425,118.1077,117.2902,117.0,466056.0
2020-12-23,114.7107,115.1975,113.1721,116.25,957075.0
2020-12-22,119.0609,120.3149,118.225,117.92,1695311.0
2020-12-21,116.53,116.7451,114.2092,116.51,1392321.0
2020-12-18,116.9816,117.7658,116.0683,117.41,3232877.0
2020-12-17,118.4881,120.3232,118.3051,117.51,1890657.0
2020-12-16,115.5128,115.984,114.7453,116.08,997240.0
2020-12-15,117.5348,118.3351,117.0588,116.78,1479680.0
2020-12-14,113.6022,114.4544,112.3875,114.78,1227839.0
2020-12-11,115.9929,117.3364,115.3161,115.41,1426129.0
2020-12-10,113.7524,114.2519,112.3518,114.94,1672870.0
2020-12-09,115.8842,115.8842,114.2242,116.58,1611862.0
2020-12-08,117.5859,118.9553,117.4439,116.75,1234666.0
2020-12-07,116.005,116.3702,114.9391,116.77,1173476.0
2020-12-04,118.2847,119.1657,118.2847,117.54,1638514.0
2020-12-03,117.6825,119.0248,117.2788,117.14,1619462.0
2020-12-02,114.4285,114.8169,111.8205,116.5876,1621659.0
2020-12-01,118.5607,118.985,117.6728,119.0859,1419712.0
2020-11-30,119.058,120.2944,118.6968,118.5783,1566622.0
2020-11-27,118.0044,118.1521,117.059,118.638,616089.0
2020-11-25,118.7287,118.8254,117.4162,119.0859,1400801.0
2020-11-24,119.5447,120.3169,118.8419,119.8723,1416017.0
2020-11-23,118.8315,118.9987,117.5925,119.5538,936253.0
2020-11-20,119.1196,119.2968,118.096,119.7927,950926.0
2020-11-19,120.4511,121.3935,119.178,120.0216,1172678.0
2020-11-18,118.3904,118.9817,116.7717,119.9718,1204533.0
2020-11-17,120.6686,120.9642,119.913,120.7383,1634281.0
2020-11-16,120.9492,121.6602,119.532,121.4251,1678050.0
