date,Open,High,Low,Close,Volume
2021-02-12,21.1579,22.3638,20.5334,20.39,6973377.0
2021-02-11,19.6505,20.1631,19.007,19.75,6371134.0
2021-02-10,18.7152,19.2859,17.4759,19.82,9420158.0
2021-02-09,21.1709,22.6054,20.7835,20.69,9748330.0
2021-02-08,20.602,21.1527,20.1022,20.4,6548186.0
2021-02-05,19.8233,20.3886,19.3848,20.08,5033964.0
2021-02-04,19.6901,20.5792,18.7269,20.46,15730077.0
2021-02-03,18.8883,18.9903,17.9801,19.62,6698720.0
2021-02-02,19.952,21.0795,19.6088,20.15,6414018.0
2021-02-01,21.4057,23.6247,20.7557,20.22,17185504.0
2021-01-29,18.098,18.1207,16.9115,18.98,7583839.0
2021-01-28,18.3406,18.4606,17.4361,19.09,5607974.0
2021-01-27,19.0311,20.4899,18.4304,19.49,8851032.0
2021-01-26,21.0426,22.9035,20.9711,20.81,16899354.0
2021-01-25,19.4532,19.8711,17.9524,19.96,11227808.0
2021-01-22,21.7563,22.9584,21.1552,21.0,12500777.0
2021-01-21,19.3819,20.0348,18.8821,19.19,6922802.0
2021-01-20,18.0835,18.1289,17.0839,18.97,6810484.0
2021-01-19,18.7639,18.7639,17.5388,19.77,7308910.0
2021-01-15,18.6994,18.6996,17.3015,20.13,7543512.0
2021-01-14,20.504,21.096,19.1048,21.65,9565370.0
2021-01-13,22.5526,24.3883,21.7763,22.02,13757675.0
2021-01-12,21.0505,22.0096,20.1923,20.95,9458336.0
2021-01-11,20.7801,22.055,20.3585,20.74,4551662.0
2021-01-08,20.4505,21.3219,19.4215,21.24,7819901.0
2021-01-07,22.7385,23.7663,21.7743,22.09,8433026.0
2021-01-06,19.0053,20.3017,17.7809,20.03,11075390.0
2021-01-05,21.9661,24.0968,21.9661,20.96,10173864.0
2021-01-04,18.0711,18.6467,16.2145,20.07,13052561.0
2020-12-31,24.3772,26.1712,22.9525,23.73,19709689.0
2020-12-30,21.4544,22.9065,19.9314,22.8,12862993.0
2020-12-29,22.6877,22.8002,20.4034,24.39,14623644.0
2020-12-28,22.8839,23.848,19.0602,26.84,19288376.0
2020-12-24,25.382,25.4256,21.0742,29.78,32161981.0
2020-12-23,53.8049,94.3357,51.2564,32.59,89916519.0
2020-12-22,16.2494,16.602,14.8386,17.52,10387325.0
2020-12-21,20.5717,21.9462,19.951,19.54,23014098.0
2020-12-18,15.1813,15.6526,14.6805,15.32,6408946.0
2020-12-17,15.9304,16.522,15.6603,15.36,2382861.0
2020-12-16,15.6966,16.8606,15.5552,15.05,4278675.0
2020-12-15,13.1575,13.1744,12.0384,14.29,4970035.0
2020-12-14,14.7939,14.8209,13.5888,15.6,3229428.0
2020-12-11,15.5098,15.8219,14.124,16.19,4185731.0
2020-12-10,18.121,19.5149,17.8979,17.16,3933060.0
2020-12-09,16.1905,16.3237,14.4853,17.18,9702460.0
2020-12-08,15.4449,15.7345,14.4989,15.72,5415227.0
2020-12-07,15.6098,16.3331,14.8483,16.0,6666236.0
