date,Open,High,Low,Close,Volume
2013-02-07,41.81,41.81,41.81,41.81,0.0
2013-02-06,41.81,41.81,41.81,41.81,0.0
2013-02-05,41.81,41.81,41.81,41.81,0.0
2013-02-04,41.81,41.81,41.81,41.81,0.0
2013-02-01,41.81,41.81,41.81,41.81,0.0
2013-01-31,41.81,41.81,41.81,41.81,0.0
2013-01-30,41.81,41.81,41.81,41.81,0.0
2013-01-29,41.81,41.81,41.81,41.81,0.0
2013-01-28,41.81,41.81,41.81,41.81,0.0
2013-01-25,41.81,41.81,41.81,41.81,0.0
2013-01-24,41.81,41.81,41.81,41.81,0.0
2013-01-23,41.81,41.81,41.81,41.81,0.0
2013-01-22,41.81,41.81,41.81,41.81,0.0
2013-01-18,41.81,41.81,41.81,41.81,0.0
2013-01-17,41.81,41.81,41.81,41.81,0.0
2013-01-16,41.81,41.81,41.81,41.81,0.0
2013-01-15,41.81,41.81,41.81,41.81,0.0
2013-01-14,41.81,41.81,41.81,41.81,0.0
2013-01-11,41.81,41.81,41.81,41.81,0.0
2013-01-10,41.81,41.81,41.81,41.81,0.0
2013-01-09,41.81,41.81,41.81,41.81,0.0
2013-01-08,41.81,41.81,41.81,41.81,0.0
2013-01-07,41.81,41.81,41.81,41.81,0.0
2013-01-04,41.81,41.81,41.81,41.81,0.0
2013-01-03,41.81,41.81,41.81,41.81,0.0
2013-01-02,41.81,41.81,41.81,41.81,0.0
2012-12-31,41.81,41.81,41.81,41.81,0.0
2012-12-28,41.81,41.81,41.81,41.81,0.0
2012-12-27,41.81,41.81,41.81,41.81,0.0
2012-12-26,41.81,41.81,41.81,41.81,0.0
2012-12-24,41.81,41.81,41.81,41.81,0.0
2012-12-21,41.81,41.81,41.81,41.81,0.0
2012-12-20,41.81,41.81,41.81,41.81,0.0
2012-12-19,41.81,41.81,41.81,41.81,0.0
2012-12-18,41.81,41.81,41.81,41.81,0.0
2012-12-17,41.81,41.81,41.81,41.81,0.0
2012-12-14,41.81,41.81,41.81,41.81,0.0
2012-12-13,41.81,41.81,41.81,41.81,0.0
2012-12-12,41.81,41.81,41.81,41.81,0.0
2012-12-11,41.81,41.81,41.81,41.81,0.0
2012-12-10,41.81,41.81,41.81,41.81,0.0
2012-12-07,41.81,41.81,41.81,41.81,0.0
2012-12-06,41.81,41.81,41.81,41.81,0.0
2012-12-05,41.81,41.81,41.81,41.81,0.0
2012-12-04,41.81,41.81,41.81,41.81,0.0
2012-12-03,41.81,41.81,41.81,41.81,0.0
2012-11-30,41.81,41.81,41.81,41.81,0.0
2012-11-29,41.81,41.81,41.81,41.81,0.0
2012-11-28,41.81,41.81,41.81,41.81,0.0
2012-11-27,41.81,41.81,41.81,41.81,0.0
2012-11-26,41.81,41.81,41.81,41.81,0.0
2012-11-23,41.81,41.81,41.81,41.81,0.0
2012-11-21,41.81,41.81,41.81,41.81,0.0
2012-11-20,41.81,41.81,41.81,41.81,0.0
2012-11-19,41.81,41.81,41.81,41.81,0.0
2012-11-16,41.81,41.81,41.81,41.81,0.0
2012-11-15,41.81,41.81,41.81,41.81,0.0
2012-11-14,41.81,41.81,41.81,41.81,0.0
2012-11-13,41.81,41.81,41.81,41.81,0.0
2012-11-12,41.81,41.81,41.81,41.81,0.0
2012-11-09,41.81,41.81,41.81,41.81,0.0
2012-11-08,41.81,41.81,41.81,41.81,0.0
2012-11-07,41.81,41.81,41.81,41.81,0.0
2012-11-06,41.81,41.81,41.81,41.81,0.0
2012-11-05,41.81,41.81,41.81,41.81,0.0
2012-11-02,41.81,41.81,41.81,41.81,0.0
2012-11-01,41.81,41.81,41.81,41.81,0.0
2012-10-31,41.81,41.81,41.81,41.81,0.0
2012-10-26,41.81,41.81,41.81,41.81,0.0
2012-10-25,41.81,41.81,41.81,41.81,0.0
2012-10-24,41.81,41.81,41.81,41.81,0.0
2012-10-23,41.81,41.81,41.81,41.81,0.0
2012-10-22,41.81,41.81,41.81,41.81,0.0
2012-10-19,41.81,41.81,41.81,41.81,0.0
2012-10-18,41.81,41.81,41.81,41.81,0.0
2012-10-17,41.81,41.81,41.81,41.81,0.0
2012-10-16,41.81,41.81,41.81,41.81,0.0
2012-10-15,41.81,41.81,41.81,41.81,0.0
2012-10-12,41.81,41.81,41.81,41.81,0.0
2012-10-11,41.81,41.81,41.81,41.81,0.0
2012-10-10,41.81,41.81,41.81,41.81,0.0
2012-10-09,41.81,41.81,41.81,41.81,0.0
2012-10-08,41.81,41.81,41.81,41.81,0.0
2012-10-05,41.81,41.81,41.81,41.81,0.0
2012-10-04,41.81,41.81,41.81,41.81,0.0
2012-10-03,41.81,41.81,41.81,41.81,0.0
2012-10-02,41.81,41.81,41.81,41.81,0.0
2012-10-01,41.81,41.81,41.81,41.81,0.0
2012-09-28,41.81,41.81,41.81,41.81,0.0
2012-09-27,41.81,41.81,41.81,41.81,0.0
2012-09-26,41.81,41.81,41.81,41.81,0.0
2012-09-25,41.81,41.81,41.81,41.81,0.0
2012-09-24,41.81,41.81,41.81,41.81,0.0
2012-09-21,41.81,41.81,41.81,41.81,0.0
2012-09-20,41.81,41.81,41.81,41.81,0.0
2012-09-19,41.81,41.81,41.81,41.81,0.0
2012-09-18,41.81,41.81,41.81,41.81,0.0
2012-09-17,41.81,41.81,41.81,41.81,0.0
2012-09-14,41.81,41.81,41.81,41.81,0.0
2012-09-13,41.81,41.81,41.81,41.81,0.0
2012-09-12,41.81,41.81,41.81,41.81,0.0
2012-09-11,41.81,41.81,41.81,41.81,0.0
2012-09-10,41.81,41.81,41.81,41.81,0.0
2012-09-07,41.81,41.81,41.81,41.81,0.0
2012-09-06,41.81,41.81,41.81,41.81,0.0
2012-09-05,41.81,41.81,41.81,41.81,0.0
2012-09-04,41.81,41.81,41.81,41.81,0.0
2012-08-31,41.81,41.81,41.81,41.81,0.0
2012-08-30,41.81,41.81,41.81,41.81,0.0
2012-08-29,41.81,41.81,41.81,41.81,0.0
2012-08-28,41.81,41.81,41.81,41.81,0.0
2012-08-27,41.81,41.81,41.81,41.81,0.0
2012-08-24,41.81,41.81,41.81,41.81,0.0
2012-08-23,41.81,41.81,41.81,41.81,0.0
2012-08-22,41.81,41.81,41.81,41.81,0.0
2012-08-21,41.81,41.81,41.81,41.81,0.0
2012-08-20,41.81,41.81,41.81,41.81,0.0
2012-08-17,41.81,41.81,41.81,41.81,0.0
2012-08-16,41.81,41.81,41.81,41.81,0.0
2012-08-15,41.81,41.81,41.81,41.81,0.0
2012-08-14,41.81,41.81,41.81,41.81,0.0
2012-08-13,41.81,41.81,41.81,41.81,0.0
2012-08-10,41.81,41.81,41.81,41.81,0.0
2012-08-09,41.81,41.81,41.81,41.81,0.0
2012-08-08,41.81,41.81,41.81,41.81,0.0
2012-08-07,41.81,41.81,41.81,41.81,0.0
2012-08-06,41.81,41.81,41.81,41.81,0.0
2012-08-03,41.81,41.81,41.81,41.81,0.0
2012-08-02,41.81,41.81,41.81,41.81,0.0
2012-08-01,41.81,41.81,41.81,41.81,0.0
2012-07-31,41.81,41.81,41.81,41.81,0.0
2012-07-30,41.81,41.81,41.81,41.81,0.0
2012-07-27,41.81,41.81,41.81,41.81,0.0
2012-07-26,41.81,41.81,41.81,41.81,0.0
2012-07-25,41.81,41.81,41.81,41.81,0.0
2012-07-24,41.81,41.81,41.81,41.81,0.0
2012-07-23,41.81,41.81,41.81,41.81,0.0
2012-07-20,41.81,41.81,41.81,41.81,0.0
2012-07-19,41.81,41.81,41.81,41.81,0.0
2012-07-18,41.81,41.81,41.81,41.81,0.0
2012-07-17,41.81,41.81,41.81,41.81,0.0
2012-07-16,41.81,41.81,41.81,41.81,0.0
2012-07-13,41.81,41.81,41.81,41.81,0.0
2012-07-12,41.81,41.81,41.81,41.81,0.0
2012-07-11,41.81,41.81,41.81,41.81,0.0
2012-07-10,41.81,41.81,41.81,41.81,0.0
2012-07-09,41.81,41.81,41.81,41.81,0.0
2012-07-06,41.81,41.81,41.81,41.81,0.0
2012-07-05,41.81,41.81,41.81,41.81,0.0
2012-07-03,41.81,41.81,41.81,41.81,0.0
2012-07-02,41.81,41.81,41.81,41.81,0.0
2012-06-29,41.81,41.81,41.81,41.81,0.0
2012-06-28,41.81,41.81,41.81,41.81,0.0
2012-06-27,41.81,41.81,41.81,41.81,0.0
2012-06-26,41.81,41.81,41.81,41.81,0.0
2012-06-25,41.81,41.81,41.81,41.81,0.0
2012-06-22,41.81,41.81,41.81,41.81,0.0
2012-06-21,41.81,41.81,41.81,41.81,0.0
2012-06-20,41.81,41.81,41.81,41.81,0.0
2012-06-19,41.81,41.81,41.81,41.81,0.0
2012-06-18,41.81,41.81,41.81,41.81,0.0
2012-06-15,41.81,41.81,41.81,41.81,0.0
2012-06-14,41.81,41.81,41.81,41.81,0.0
2012-06-13,41.81,41.81,41.81,41.81,0.0
2012-06-12,41.81,41.81,41.81,41.81,0.0
2012-06-11,41.81,41.81,41.81,41.81,0.0
2012-06-08,41.81,41.81,41.81,41.81,0.0
2012-06-07,41.81,41.81,41.81,41.81,0.0
2012-06-06,41.81,41.81,41.81,41.81,0.0
2012-06-05,41.81,41.81,41.81,41.81,0.0
2012-06-04,41.81,41.81,41.81,41.81,0.0
2012-06-01,41.81,41.81,41.81,41.81,0.0
2012-05-31,41.81,41.81,41.81,41.81,0.0
2012-05-30,41.81,41.81,41.81,41.81,0.0
2012-05-29,41.81,41.81,41.81,41.81,0.0
2012-05-25,41.81,41.81,41.81,41.81,0.0
2012-05-24,41.81,41.81,41.81,41.81,0.0
2012-05-23,41.81,41.81,41.81,41.81,0.0
2012-05-22,41.81,41.81,41.81,41.81,0.0
2012-05-21,41.81,41.81,41.81,41.81,0.0
2012-05-18,41.81,41.81,41.81,41.81,0.0
2012-05-17,41.81,41.81,41.81,41.81,0.0
2012-05-16,41.81,41.81,41.81,41.81,0.0
2012-05-15,41.81,41.81,41.81,41.81,0.0
2012-05-14,41.81,41.81,41.81,41.81,0.0
2012-05-11,41.81,41.81,41.81,41.81,0.0
2012-05-10,41.81,41.81,41.81,41.81,0.0
2012-05-09,41.81,41.81,41.81,41.81,0.0
2012-05-08,41.81,41.81,41.81,41.81,0.0
2012-05-07,41.81,41.81,41.81,41.81,0.0
2012-05-04,41.81,41.81,41.81,41.81,0.0
2012-05-03,41.81,41.81,41.81,41.81,0.0
2012-05-02,41.81,41.81,41.81,41.81,0.0
2012-05-01,41.81,41.81,41.81,41.81,0.0
2012-04-30,41.81,41.81,41.81,41.81,0.0
2012-04-27,41.81,41.81,41.81,41.81,0.0
2012-04-26,41.81,41.81,41.81,41.81,0.0
2012-04-25,41.81,41.81,41.81,41.81,0.0
2012-04-24,41.81,41.81,41.81,41.81,0.0
2012-04-23,41.81,41.81,41.81,41.81,0.0
2012-04-20,41.81,41.81,41.81,41.81,0.0
2012-04-19,41.81,41.81,41.81,41.81,0.0
2012-04-18,41.81,41.81,41.81,41.81,0.0
2012-04-17,41.81,41.81,41.81,41.81,0.0
2012-04-16,41.81,41.81,41.81,41.81,0.0
2012-04-13,41.81,41.81,41.81,41.81,0.0
2012-04-12,41.81,41.81,41.81,41.81,0.0
2012-04-11,41.81,41.81,41.81,41.81,0.0
2012-04-10,41.81,41.81,41.81,41.81,0.0
2012-04-09,41.81,41.81,41.81,41.81,0.0
2012-04-05,41.81,41.81,41.81,41.81,0.0
2012-04-04,41.81,41.81,41.81,41.81,0.0
2012-04-03,41.81,41.81,41.81,41.81,0.0
2012-04-02,41.81,41.81,41.81,41.81,0.0
2012-03-30,41.81,41.81,41.81,41.81,0.0
2012-03-29,41.81,41.81,41.81,41.81,0.0
2012-03-28,41.81,41.81,41.81,41.81,0.0
2012-03-27,41.81,41.81,41.81,41.81,0.0
2012-03-26,41.81,41.81,41.81,41.81,0.0
2012-03-23,41.81,41.81,41.81,41.81,0.0
2012-03-22,41.81,41.81,41.81,41.81,0.0
2012-03-21,41.81,41.81,41.81,41.81,0.0
2012-03-20,41.81,41.81,41.81,41.81,0.0
2012-03-19,41.81,41.81,41.81,41.81,0.0
2012-03-16,41.81,41.81,41.81,41.81,0.0
2012-03-15,41.81,41.81,41.81,41.81,0.0
2012-03-14,41.81,41.81,41.81,41.81,0.0
2012-03-13,41.81,41.81,41.81,41.81,0.0
2012-03-12,41.81,41.81,41.81,41.81,0.0
2012-03-09,41.81,41.81,41.81,41.81,0.0
2012-03-08,41.81,41.81,41.81,41.81,0.0
2012-03-07,41.81,41.81,41.81,41.81,0.0
2012-03-06,41.81,41.81,41.81,41.81,0.0
2012-03-05,41.81,41.81,41.81,41.81,0.0
2012-03-02,41.81,41.81,41.81,41.81,0.0
2012-03-01,41.81,41.81,41.81,41.81,0.0
2012-02-29,41.81,41.81,41.81,41.81,0.0
2012-02-28,41.81,41.81,41.81,41.81,0.0
2012-02-27,41.81,41.81,41.81,41.81,0.0
2012-02-24,41.81,41.81,41.81,41.81,0.0
2012-02-23,41.81,41.81,41.81,41.81,0.0
2012-02-22,41.81,41.81,41.81,41.81,0.0
2012-02-21,41.81,41.81,41.81,41.81,0.0
2012-02-17,41.81,41.81,41.81,41.81,0.0
2012-02-16,41.81,41.81,41.81,41.81,0.0
2012-02-15,41.81,41.81,41.81,41.81,0.0
2012-02-14,41.81,41.81,41.81,41.81,0.0
2012-02-13,41.81,41.81,41.81,41.81,0.0
2012-02-10,41.81,41.81,41.81,41.81,0.0
2012-02-09,41.81,41.81,41.81,41.81,0.0
2012-02-08,41.81,41.81,41.81,41.81,0.0
2012-02-07,41.81,41.81,41.81,41.81,0.0
2012-02-06,41.81,41.81,41.81,41.81,0.0
2012-02-03,41.81,41.81,41.81,41.81,0.0
2012-02-02,41.81,41.81,41.81,41.81,0.0
2012-02-01,41.81,41.81,41.81,41.81,0.0
2012-01-31,41.81,41.81,41.81,41.81,0.0
2012-01-30,41.81,41.81,41.81,41.81,0.0
2012-01-27,41.81,41.81,41.81,41.81,0.0
2012-01-26,41.81,41.81,41.81,41.81,0.0
2012-01-25,41.81,41.81,41.81,41.81,0.0
2012-01-24,41.81,41.81,41.81,41.81,0.0
2012-01-23,41.81,41.81,41.81,41.81,0.0
2012-01-20,41.81,41.81,41.81,41.81,0.0
2012-01-19,41.81,41.81,41.81,41.81,0.0
2012-01-18,41.81,41.81,41.81,41.81,0.0
2012-01-17,41.81,41.81,41.81,41.81,0.0
2012-01-13,41.81,41.81,41.81,41.81,0.0
2012-01-12,41.81,41.81,41.81,41.81,0.0
2012-01-11,41.81,41.81,41.81,41.81,0.0
2012-01-10,41.81,41.81,41.81,41.81,0.0
2012-01-09,41.81,41.81,41.81,41.81,0.0
2012-01-06,41.81,41.81,41.81,41.81,0.0
2012-01-05,41.81,41.81,41.81,41.81,0.0
2012-01-04,41.81,41.81,41.81,41.81,0.0
2012-01-03,41.81,41.81,41.81,41.81,0.0
2011-12-30,41.81,41.81,41.81,41.81,0.0
2011-12-29,41.81,41.81,41.81,41.81,0.0
2011-12-28,41.81,41.81,41.81,41.81,0.0
2011-12-27,41.81,41.81,41.81,41.81,0.0
2011-12-23,41.81,41.81,41.81,41.81,0.0
2011-12-22,41.81,41.81,41.81,41.81,0.0
2011-12-21,41.81,41.81,41.81,41.81,0.0
2011-12-20,41.81,41.81,41.81,41.81,0.0
