date,Open,High,Low,Close,Volume
2021-02-12,161.5101,162.7621,160.5986,161.38,1206228.0
2021-02-11,162.9332,165.3446,161.4299,162.21,1105320.0
2021-02-10,160.6807,163.1361,160.1987,160.34,1644272.0
2021-02-09,158.5026,158.9589,156.4395,159.15,1195081.0
2021-02-08,159.4508,160.4662,156.5439,159.81,1327262.0
2021-02-05,150.337,150.337,140.1083,159.89,3544859.0
2021-02-04,161.5441,165.6352,159.847,160.73,1812382.0
2021-02-03,159.3439,160.6163,157.4048,158.56,941950.0
2021-02-02,161.9119,167.6721,161.6093,158.5,1670496.0
2021-02-01,152.9361,154.0618,150.3389,153.9,1421975.0
2021-01-29,151.3748,152.1414,147.3478,153.67,1621543.0
2021-01-28,159.9119,164.9623,158.5534,157.03,1540214.0
2021-01-27,150.0146,152.4209,146.9124,152.6,1890046.0
2021-01-26,156.2157,157.171,153.3595,158.22,842553.0
2021-01-25,158.0894,158.5424,154.0914,159.31,1343413.0
2021-01-22,160.1843,161.075,158.947,161.01,974450.0
2021-01-21,161.8575,163.2682,160.3383,162.96,1046115.0
2021-01-20,167.047,171.402,165.7468,163.46,1184528.0
2021-01-19,158.5815,158.8863,156.6151,159.93,1007297.0
2021-01-15,158.0862,158.5833,155.5031,160.12,1409240.0
2021-01-14,162.8604,166.4209,162.8604,162.62,1145693.0
2021-01-13,165.4786,169.1087,164.5505,162.95,1675412.0
2021-01-12,161.3136,163.025,159.969,159.83,1176145.0
2021-01-11,161.2514,163.6787,160.0069,159.0,1201729.0
2021-01-08,157.6212,159.1946,155.7233,158.95,1222397.0
2021-01-07,158.2766,159.2836,156.3911,159.3,1201562.0
2021-01-06,164.9859,170.2593,164.9859,160.25,1383329.0
2021-01-05,158.6301,162.9317,158.3192,155.81,969824.0
2021-01-04,150.6905,151.4842,145.9763,153.16,1229012.0
2020-12-31,156.3527,159.0503,155.7247,154.09,499190.0
2020-12-30,151.5926,153.4869,150.1248,152.22,427576.0
2020-12-29,154.4971,157.4858,153.965,152.45,735671.0
2020-12-28,147.1896,148.1278,145.4207,148.89,683439.0
2020-12-24,149.1002,149.3995,147.3137,149.25,283763.0
2020-12-23,146.1028,146.7096,143.473,148.7408,662037.0
2020-12-22,153.1466,156.6471,150.9677,150.5878,1019413.0
2020-12-21,148.0426,149.3549,146.1836,148.3614,863127.0
2020-12-18,151.6362,152.2354,149.329,151.6062,1766602.0
2020-12-17,154.2143,158.1134,153.9856,151.117,804646.0
2020-12-16,150.2768,153.172,150.0625,148.611,743121.0
2020-12-15,150.807,154.8211,150.1397,147.5727,997127.0
2020-12-14,141.9331,143.8385,141.2384,142.3611,966615.0
2020-12-11,138.2901,138.6765,134.683,141.4525,1426925.0
2020-12-10,144.5968,145.9626,143.1622,145.7556,1039777.0
2020-12-09,146.9637,147.4129,144.9921,146.9737,1089833.0
2020-12-08,147.9804,150.1551,147.0615,146.3347,948107.0
2020-12-07,142.4591,143.1498,139.1209,145.3363,936449.0
2020-12-04,151.494,154.2774,150.6559,148.8107,621048.0
2020-12-03,144.8966,145.7218,143.2168,146.0751,838572.0
2020-12-02,150.1412,152.8784,149.9346,147.6126,772413.0
2020-12-01,141.6103,142.015,137.0277,145.8654,935219.0
2020-11-30,147.7707,148.9707,146.2855,148.8806,880201.0
2020-11-27,149.3213,149.4652,147.426,149.7791,381674.0
2020-11-25,148.7342,149.3375,146.776,149.4397,601260.0
2020-11-24,154.3415,158.7737,154.3206,150.8374,1103576.0
2020-11-23,145.6765,147.9525,144.7025,146.0052,659118.0
2020-11-20,145.5661,146.6522,143.7923,145.7057,1462558.0
2020-11-19,144.9592,145.0082,142.4106,146.2948,1777335.0
2020-11-18,145.7684,148.482,143.549,147.9521,1531698.0
2020-11-17,151.5338,153.4823,147.545,149.9089,1363141.0
2020-11-16,145.843,145.843,139.1022,149.9788,1388102.0
2020-11-13,153.2431,156.0716,152.5758,151.117,1598880.0
2020-11-12,147.8431,149.8404,145.9352,148.1917,1341973.0
2020-11-11,147.4527,147.8137,143.0329,149.1601,1275453.0
2020-11-10,147.1361,148.5786,144.1165,149.9189,2126749.0
2020-11-09,151.8344,156.8,146.9448,155.6996,2844709.0
2020-11-06,137.051,141.12,132.0604,138.2976,2214085.0
