date,Open,High,Low,Close,Volume
2021-02-12,485.1327,494.1246,478.4712,477.74,497724.0
2021-02-11,495.9828,531.7735,490.951,470.08,562673.0
2021-02-10,429.0659,432.4712,425.3484,427.47,470059.0
2021-02-09,431.0988,437.1411,429.6088,425.27,305005.0
2021-02-08,428.8292,437.5212,426.7994,420.31,187431.0
2021-02-05,404.9614,407.5538,401.33,407.11,232095.0
2021-02-04,410.2304,415.19,409.0538,407.34,180378.0
2021-02-03,396.51,397.6098,387.6151,403.69,206903.0
2021-02-02,414.1958,428.7519,414.1958,405.19,260545.0
2021-02-01,403.0718,411.9787,399.7632,397.33,252515.0
2021-01-29,385.3658,392.6523,377.646,387.83,298959.0
2021-01-28,395.02,402.7275,394.2524,393.03,199128.0
2021-01-27,389.7368,393.188,377.489,391.36,314406.0
2021-01-26,387.2995,388.4331,378.4907,395.16,234595.0
2021-01-25,396.1364,399.205,387.5648,402.63,192476.0
2021-01-22,412.3092,417.5775,410.4785,408.84,259280.0
2021-01-21,404.8942,406.3846,400.3834,406.2,161630.0
2021-01-20,403.6508,405.652,399.2642,406.55,241936.0
2021-01-19,394.884,395.5276,381.9326,405.84,291509.0
2021-01-15,407.7056,411.2095,403.626,409.22,305818.0
2021-01-14,410.3465,415.4346,408.2929,411.98,247168.0
2021-01-13,415.7258,420.7954,413.3079,412.45,214664.0
2021-01-12,405.248,413.6753,398.0049,407.95,312781.0
2021-01-11,425.7987,438.95,423.755,413.79,312629.0
2021-01-08,400.9901,406.3203,395.7503,405.47,348469.0
2021-01-07,422.7401,439.8889,421.9393,409.1,379888.0
2021-01-06,413.2412,435.0414,413.2412,394.82,419591.0
2021-01-05,384.6738,390.0887,383.1004,380.57,374747.0
2021-01-04,370.6605,371.8616,357.8856,378.13,432738.0
2020-12-31,384.941,386.7166,381.6691,384.33,176519.0
2020-12-30,386.8346,391.9864,385.4679,383.75,166109.0
2020-12-29,371.505,372.2003,363.4991,378.04,185461.0
2020-12-28,384.7218,388.2913,379.9405,382.59,250626.0
2020-12-24,371.576,371.576,361.0006,376.89,138272.0
2020-12-23,376.8915,378.8518,371.7988,379.74,191070.0
2020-12-22,382.436,392.3439,380.572,379.96,474566.0
2020-12-21,386.0883,397.4073,382.9237,375.91,505644.0
2020-12-18,368.622,369.667,360.5792,373.0,900630.0
2020-12-17,372.8775,374.9786,367.1659,375.43,819547.0
2020-12-16,372.7678,373.6751,366.056,377.41,474327.0
2020-12-15,378.885,379.7184,371.006,383.45,311686.0
2020-12-14,387.1145,394.1466,387.1145,383.46,309212.0
2020-12-11,382.4013,388.3715,379.8984,377.56,162063.0
2020-12-10,377.4846,383.6914,373.9205,375.14,292363.0
2020-12-09,375.8428,380.8706,372.3646,376.87,215348.0
2020-12-08,378.0631,381.726,375.6751,375.84,207548.0
2020-12-07,369.4323,370.9656,363.7973,373.83,321179.0
2020-12-04,380.936,385.9304,379.9026,378.47,255901.0
2020-12-03,376.7919,383.6622,374.7646,372.37,263549.0
2020-12-02,363.743,365.9998,357.7135,367.21,385577.0
2020-12-01,362.9445,363.9716,352.6733,372.17,403462.0
2020-11-30,378.36,380.0995,368.893,378.42,603322.0
2020-11-27,376.98,381.1646,375.0802,377.0,206044.0
2020-11-25,369.7945,373.9495,363.4961,372.73,345103.0
2020-11-24,378.1684,388.4113,371.5346,373.47,566216.0
2020-11-23,358.333,359.9826,349.9872,362.69,590896.0
2020-11-20,346.7555,346.7555,337.9202,354.99,698917.0
2020-11-19,382.2606,418.2671,378.9046,358.39,1189739.0
2020-11-18,332.1306,332.9255,326.7595,337.58,211381.0
2020-11-17,339.8128,340.5784,336.5615,340.79,323286.0
2020-11-16,344.031,344.5032,338.2468,345.98,292721.0
2020-11-13,347.3766,350.7863,344.6832,345.86,228863.0
2020-11-12,328.3598,328.9354,315.4581,340.78,316723.0
2020-11-11,364.0357,372.4509,360.8512,356.27,297102.0
2020-11-10,337.6508,341.5393,326.7613,345.02,553120.0
2020-11-09,348.4813,353.9381,344.069,352.71,490003.0
2020-11-06,352.7948,361.3611,351.1459,346.43,370253.0
2020-11-05,346.5285,356.9089,345.5216,340.12,398975.0
2020-11-04,338.1795,347.9316,334.7282,329.18,423481.0
2020-11-03,323.5993,331.8203,314.001,319.22,571704.0
2020-11-02,296.7763,302.4778,294.8074,293.07,510736.0
2020-10-30,277.4195,278.3474,268.829,283.64,304394.0
2020-10-29,299.4046,309.1737,297.5335,291.97,263022.0
2020-10-28,285.9319,288.8669,283.5296,285.2,300175.0
2020-10-27,283.594,283.594,276.0111,289.28,351565.0
2020-10-26,290.3768,292.7248,284.6061,295.1,250771.0
2020-10-23,304.4417,306.0192,299.649,303.72,293546.0
2020-10-22,308.1921,316.0909,306.5661,300.91,321708.0
2020-10-21,288.4698,293.3934,284.4645,291.86,233052.0
2020-10-20,296.4286,303.2621,295.8373,294.83,211050.0
2020-10-19,290.9414,298.0713,290.0253,291.57,347565.0
2020-10-16,296.0719,301.5959,295.3367,293.0,218790.0
2020-10-15,294.4113,301.7091,294.4113,287.31,204296.0
2020-10-14,280.9422,282.9325,274.3432,284.77,345591.0
2020-10-13,284.6453,286.5375,282.0435,286.73,227405.0
2020-10-12,289.2636,291.3381,288.2615,288.25,277856.0
2020-10-09,286.3899,289.0542,285.7391,284.0,216223.0
2020-10-08,280.4567,284.1627,280.4567,279.09,221290.0
2020-10-07,279.1741,283.55,277.9719,276.58,279130.0
2020-10-06,272.83,279.3152,272.83,269.97,378267.0
2020-10-05,275.1134,282.8898,274.3863,268.01,375199.0
2020-10-02,265.2567,272.2841,265.2567,258.81,354539.0
2020-10-01,260.1609,262.5314,257.6586,258.48,461331.0
2020-09-30,246.972,248.2304,239.6796,252.46,596371.0
2020-09-29,255.6713,256.5293,251.2055,258.92,191952.0
2020-09-28,260.061,263.0146,258.0586,260.56,272735.0
2020-09-25,263.1323,270.2248,261.1842,257.46,250591.0
2020-09-24,254.0756,259.6337,254.0756,250.67,215686.0
2020-09-23,245.3722,246.4644,241.0613,249.58,308537.0
2020-09-22,253.5665,255.4455,249.3539,252.28,388570.0
2020-09-21,246.4609,251.3112,242.9754,248.73,369558.0
2020-09-18,256.3502,261.0976,254.2168,256.15,537906.0
2020-09-17,261.7485,267.6468,260.36,256.18,289653.0
2020-09-16,248.3361,248.4316,241.8914,254.15,277322.0
2020-09-15,260.7823,266.1071,259.6948,257.46,251966.0
2020-09-14,249.1086,251.2219,244.7787,251.26,302976.0
2020-09-11,247.3672,247.994,244.3605,249.96,225921.0
2020-09-10,244.0012,246.7761,237.9921,249.44,535581.0
2020-09-09,250.0427,252.227,243.7599,255.11,519855.0
2020-09-08,244.0799,245.0963,237.5117,249.26,556708.0
2020-09-04,252.5062,254.7979,241.6685,260.55,354687.0
2020-09-03,248.9887,248.9887,228.5333,269.25,416842.0
2020-09-02,299.6535,306.2495,296.4825,294.36,360527.0
2020-09-01,287.0201,287.1909,283.6334,287.16,254945.0
2020-08-31,291.8676,297.948,291.6186,286.53,340661.0
2020-08-28,282.0324,284.2619,281.4244,280.16,259726.0
2020-08-27,267.6361,268.0833,256.7342,277.26,267423.0
2020-08-26,291.4233,299.7613,291.2138,284.74,320502.0
2020-08-25,279.5097,284.5339,277.7187,277.86,328288.0
2020-08-24,271.4667,276.5038,266.5984,275.39,256117.0
2020-08-21,273.2656,273.2656,269.5815,275.33,234951.0
2020-08-20,270.6678,270.8019,263.7038,276.55,182702.0
2020-08-19,283.3402,285.6736,281.8182,283.13,249117.0
2020-08-18,285.3503,292.1919,285.3503,281.96,317287.0
2020-08-17,285.0006,287.7766,282.5407,286.74,212897.0
2020-08-14,287.2855,288.7382,285.3889,286.03,163777.0
2020-08-13,288.0202,290.7964,287.1558,285.61,142834.0
2020-08-12,286.0648,288.7634,284.3908,284.01,239636.0
2020-08-11,279.1275,281.1267,276.8065,280.57,183312.0
2020-08-10,278.0009,279.1214,272.8653,280.41,223234.0
2020-08-07,281.36,281.6466,277.9311,283.04,195110.0
2020-08-06,288.2884,291.3843,287.0956,286.73,241508.0
2020-08-05,291.3822,294.2113,289.0517,288.84,228570.0
2020-08-04,288.5109,292.8349,287.1346,284.68,307353.0
2020-08-03,278.0457,278.0457,273.1307,280.72,244467.0
2020-07-31,285.8407,291.5212,284.4257,280.75,472756.0
2020-07-30,278.3516,282.5741,276.5068,274.95,205745.0
2020-07-29,273.3908,277.7661,271.6965,273.85,404593.0
2020-07-28,255.4931,255.4931,240.1368,271.18,458347.0
2020-07-27,275.7409,280.1727,274.8912,273.34,347600.0
2020-07-24,267.975,269.2262,263.3446,269.98,423067.0
2020-07-23,275.9101,278.0432,273.1161,275.71,261027.0
2020-07-22,281.3162,287.5511,281.3162,277.0,244471.0
2020-07-21,269.4252,272.1467,264.7013,273.28,238236.0
2020-07-20,278.2123,280.4419,274.7362,276.36,245306.0
2020-07-17,277.1595,282.7624,277.1595,273.1,258700.0
2020-07-16,267.8501,269.5025,265.0562,267.66,287200.0
2020-07-15,264.1606,265.1407,256.2518,268.16,272500.0
2020-07-14,276.203,286.6353,275.784,266.47,313600.0
2020-07-13,246.4243,246.787,237.2709,255.5,211800.0
2020-07-10,257.2748,257.2748,248.7123,260.67,261000.0
2020-07-09,263.1247,266.8361,260.2302,262.01,324900.0
2020-07-08,260.4196,263.6897,259.9275,257.21,278800.0
2020-07-07,247.846,248.8532,241.1757,254.26,280900.0
2020-07-06,263.2702,267.1686,261.2653,261.63,286200.0
2020-07-02,253.5982,256.8017,251.4922,255.04,228700.0
2020-07-01,246.0971,246.5385,240.8003,251.23,224200.0
2020-06-30,259.1905,264.6358,258.0625,255.95,344500.0
2020-06-29,257.2449,263.8698,254.495,252.05,237600.0
2020-06-26,239.5377,242.6371,231.1279,246.42,813808.0
2020-06-25,258.3768,263.5031,256.9552,253.64,232091.0
2020-06-24,241.4957,241.8396,229.1905,250.5,370074.0
2020-06-23,255.4988,255.4988,249.8733,260.77,292892.0
2020-06-22,261.1416,263.8283,257.8579,261.79,307127.0
2020-06-19,260.7902,260.7902,246.5678,264.41,986989.0
2020-06-18,264.1845,267.275,261.6674,262.23,188347.0
2020-06-17,255.6544,257.0244,250.0434,260.82,236085.0
2020-06-16,265.8315,268.3993,259.7702,266.46,244466.0
2020-06-15,267.4305,275.7735,264.7417,259.41,307122.0
2020-06-12,257.6717,258.7512,251.7679,258.33,305222.0
2020-06-11,240.9077,241.8027,231.4412,250.19,349260.0
2020-06-10,263.7422,264.4413,260.2073,267.08,232368.0
2020-06-09,267.3921,269.6092,264.1534,270.32,315980.0
2020-06-08,280.574,285.7119,278.9332,277.06,284179.0
2020-06-05,290.508,305.1665,289.1057,277.55,438179.0
2020-06-04,255.496,255.8692,248.1174,261.17,345104.0
2020-06-03,270.5689,275.1411,268.1007,269.02,334385.0
2020-06-02,262.2553,263.3771,258.0371,264.09,266011.0
2020-06-01,270.7327,277.9256,269.3651,264.97,294137.0
2020-05-29,264.8264,269.068,260.9648,261.32,490691.0
2020-05-28,256.6026,262.018,255.286,257.42,335017.0
2020-05-27,260.0574,264.0499,256.8533,258.67,501867.0
2020-05-26,262.0621,271.8632,258.5924,255.96,558931.0
2020-05-22,243.3302,245.1221,240.0458,243.54,301558.0
2020-05-21,246.2275,250.5592,245.1291,244.15,285871.0
2020-05-20,240.9811,242.1461,238.9795,241.49,369871.0
2020-05-19,245.0735,253.1904,244.7258,240.55,489905.0
2020-05-18,245.4819,257.2303,242.6206,235.8,571098.0
2020-05-15,216.261,217.6511,213.599,217.8,383086.0
2020-05-14,224.0737,226.7637,220.0208,221.77,457007.0
2020-05-13,215.5062,216.1035,205.8004,223.08,445778.0
2020-05-12,223.7273,225.6353,217.3137,230.2,299052.0
2020-05-11,233.4047,236.1509,230.6979,235.26,339249.0
2020-05-08,250.0429,257.8091,249.2701,242.92,270549.0
2020-05-07,232.7255,235.0082,229.4179,233.86,276195.0
2020-05-06,231.8613,234.4091,230.1889,232.42,219059.0
2020-05-05,236.6209,242.8215,236.6209,233.15,349746.0
2020-05-04,234.542,240.4597,231.4098,228.77,346885.0
2020-05-01,225.62,227.136,222.7382,225.55,349635.0
2020-04-30,230.1912,237.8666,226.0421,229.66,578500.0
2020-04-29,258.1199,275.5729,257.0319,244.97,640792.0
2020-04-28,221.6222,224.139,213.653,228.48,915633.0
2020-04-27,231.9209,246.4669,231.3148,220.93,560398.0
2020-04-24,215.0949,221.9568,213.325,208.62,418502.0
2020-04-23,201.5819,209.1326,201.5819,200.97,436891.0
2020-04-22,200.6375,202.895,196.5679,199.41,498841.0
2020-04-21,187.9384,189.4294,182.7434,192.85,379183.0
2020-04-20,203.254,209.2523,202.8,202.35,381535.0
2020-04-17,201.304,205.1742,198.1074,202.98,382433.0
2020-04-16,203.5079,206.6465,200.461,201.6,387726.0
2020-04-15,191.4311,192.0366,185.66,196.81,389083.0
2020-04-14,209.4208,215.4769,205.0965,206.88,358835.0
2020-04-13,194.8481,196.3796,189.0129,197.91,331738.0
2020-04-09,203.6387,207.3872,201.9386,201.22,529255.0
2020-04-08,197.5642,200.8142,194.0251,196.65,252288.0
2020-04-07,185.2898,185.9207,177.7836,192.36,413610.0
2020-04-06,199.1959,208.7097,198.9102,191.85,306396.0
2020-04-03,183.288,190.428,182.218,178.08,598571.0
2020-04-02,174.6108,180.5158,171.357,174.24,599818.0
2020-04-01,175.3668,176.9174,171.8705,176.46,606045.0
2020-03-31,180.4645,183.073,175.9333,183.6,520980.0
2020-03-30,190.5146,194.7605,184.8568,188.35,323920.0
2020-03-27,176.7738,176.7738,165.6928,184.57,390691.0
2020-03-26,207.6889,218.8457,205.6212,197.51,505465.0
2020-03-25,192.6435,208.8657,187.9082,186.23,505364.0
2020-03-24,181.0112,182.7299,168.0251,180.55,813418.0
2020-03-23,162.0535,163.9457,147.2683,170.72,1176140.0
2020-03-20,172.9305,176.4529,164.5754,179.38,1701578.0
2020-03-19,188.3367,192.8519,175.3294,185.07,1202036.0
2020-03-18,205.074,228.5474,203.3624,185.47,803182.0
2020-03-17,191.7628,205.8887,188.5294,180.66,564428.0
2020-03-16,177.952,197.676,172.2805,166.08,800298.0
2020-03-13,194.0483,204.712,181.7444,184.02,659397.0
